dates,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0005,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0013,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0027,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0040,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046,satname
1999-07-25 22:05:51+00:00,368.28,358.92,355.38,355.47,358.97,352.15,339.15,337.89,327.22,329.76,312.82,331.46,337.43,339.21,351.01,344.16,343.35,344.59,344.63,,351.95,361.90,361.68,357.05,348.59,346.56,342.98,337.20,338.42,340.71,345.82,344.92,353.18,355.21,354.64,348.29,349.87,351.77,351.69,342.55,344.39,331.33,336.69,332.50,342.05,344.89,352.35,L7
1999-08-26 22:05:56+00:00,381.86,372.83,370.70,368.58,365.98,362.19,352.80,351.40,342.95,336.88,322.15,342.51,350.25,353.00,362.46,357.56,355.30,356.20,353.05,361.28,363.11,371.75,371.94,364.65,359.29,357.04,352.89,347.58,349.65,352.78,356.17,356.36,363.48,363.47,361.82,358.36,359.68,358.68,360.12,354.23,356.00,344.75,349.51,347.25,352.56,355.44,360.60,L7
1999-09-27 22:06:00+00:00,379.13,372.63,371.77,368.04,360.32,355.67,348.40,349.34,341.55,334.62,320.21,339.68,346.76,350.12,359.52,354.09,354.10,355.13,351.35,351.61,359.50,368.32,368.01,360.73,354.99,351.89,349.11,346.86,348.27,350.97,353.36,354.16,359.65,358.88,359.19,356.68,357.82,356.12,358.18,353.34,353.66,343.28,349.16,346.44,350.57,351.61,356.55,L7
1999-11-30 22:05:47+00:00,376.37,370.58,371.82,365.60,358.56,352.66,348.28,356.56,344.24,335.02,326.15,344.47,347.22,348.14,359.19,359.36,354.06,358.49,353.85,351.61,359.50,371.33,369.59,366.28,360.60,353.22,347.56,345.62,347.33,351.13,351.41,351.82,356.67,356.86,358.41,356.25,359.91,353.93,354.99,351.94,351.63,344.06,347.88,348.89,352.72,353.93,359.17,L7
1999-12-16 22:05:57+00:00,375.24,371.79,373.35,365.92,359.80,353.37,351.26,357.34,348.65,338.59,330.98,347.58,349.22,349.50,361.81,358.51,354.74,360.57,356.80,358.56,365.01,377.21,373.82,369.57,364.50,356.77,349.71,346.81,348.66,353.45,354.49,354.14,356.41,358.53,361.76,359.42,361.40,355.63,356.19,354.08,352.44,345.81,352.27,352.26,355.16,357.08,362.26,L7
2000-02-18 22:05:41+00:00,376.90,374.62,377.32,369.39,359.39,354.35,354.11,360.00,353.10,339.48,333.01,349.59,351.43,350.74,363.26,359.43,355.94,362.39,359.61,358.84,365.61,386.46,376.96,372.19,365.62,359.58,351.21,348.62,351.21,356.63,365.11,360.79,357.29,356.59,360.01,359.88,361.44,355.71,356.71,356.00,353.91,349.43,356.16,357.20,358.44,360.12,364.74,L7
2000-03-05 22:05:36+00:00,372.58,372.09,373.85,366.54,354.44,348.96,349.94,356.52,350.62,338.18,332.07,347.77,348.45,347.10,360.37,355.44,353.02,359.60,358.18,356.99,361.52,385.31,375.43,371.51,364.01,357.45,349.00,347.31,347.02,351.94,360.60,357.92,354.43,355.85,359.72,359.69,360.54,355.10,355.65,355.55,352.33,346.93,353.96,356.49,356.87,356.69,362.19,L7
2000-03-21 22:05:37+00:00,370.73,370.57,371.53,365.99,354.87,350.83,351.33,355.23,349.19,337.88,330.87,345.06,348.42,347.77,358.88,353.37,351.37,358.36,356.94,355.35,361.09,382.24,375.01,371.10,363.33,356.82,348.18,346.62,346.09,351.13,357.80,356.63,355.32,356.62,359.56,359.51,359.16,353.80,354.57,354.58,351.87,345.17,351.84,354.53,355.09,354.31,359.95,L7
2000-05-08 22:05:09+00:00,372.01,368.82,369.60,366.31,356.91,353.95,356.08,358.29,353.03,341.00,336.58,350.30,352.48,350.27,361.41,357.56,353.16,360.14,358.01,358.07,362.95,384.29,375.36,372.80,364.61,359.19,350.88,348.70,346.73,352.27,359.50,358.10,358.31,359.96,362.17,360.68,359.09,352.96,354.44,354.53,351.65,345.18,351.64,349.19,355.34,355.25,359.99,L7
2000-05-24 22:04:58+00:00,373.56,368.87,368.49,365.74,358.89,355.04,356.73,358.92,354.13,342.83,338.16,351.86,353.73,352.17,362.49,360.41,355.44,359.36,357.23,358.07,363.42,383.70,373.64,372.38,365.62,360.65,353.23,350.53,347.94,353.22,358.32,359.46,360.27,360.22,362.42,361.35,359.68,352.44,353.76,353.89,351.54,346.47,353.42,348.23,354.57,354.73,357.88,L7
