dates,satname,nzd0316-0000,nzd0316-0001,nzd0316-0002,nzd0316-0003,nzd0316-0004,nzd0316-0005,nzd0316-0006,nzd0316-0007,nzd0316-0008,nzd0316-0009,nzd0316-0010,nzd0316-0011,nzd0316-0012,nzd0316-0013,nzd0316-0014,nzd0316-0015,nzd0316-0016,nzd0316-0017,nzd0316-0018,nzd0316-0019,nzd0316-0020,nzd0316-0021,nzd0316-0022,nzd0316-0023,nzd0316-0024,nzd0316-0025,nzd0316-0026,nzd0316-0027,nzd0316-0028,nzd0316-0029,nzd0316-0030,nzd0316-0031,nzd0316-0032,nzd0316-0033,nzd0316-0034,nzd0316-0035,nzd0316-0036,nzd0316-0037,nzd0316-0038,nzd0316-0039,nzd0316-0040,nzd0316-0041,nzd0316-0042,nzd0316-0043,nzd0316-0044,nzd0316-0045,nzd0316-0046
1999-07-25 22:05:51+00:00,L7,357.28,347.07,342.55,341.47,347.97,336.75,326.32,323.89,315.37,320.14,303.20,319.61,324.60,325.21,335.61,330.16,329.35,330.59,332.78,,340.95,350.90,348.85,345.20,336.74,335.56,331.98,326.20,326.57,329.71,335.55,334.65,341.33,344.21,344.37,335.46,337.04,339.92,339.84,329.72,332.54,319.48,323.86,313.25,330.20,330.89,338.35
1999-08-26 22:05:56+00:00,L7,374.15,363.82,361.19,354.59,351.70,342.44,341.62,337.83,335.75,325.36,312.86,330.64,338.24,339.71,344.11,343.87,340.16,340.73,338.55,339.99,352.98,360.31,357.38,349.33,347.07,346.24,341.51,336.67,337.96,343.57,346.66,347.92,350.85,350.44,349.13,343.60,344.66,342.67,345.64,341.07,344.69,335.24,337.51,324.74,340.16,338.90,341.75
1999-09-27 22:06:00+00:00,L7,358.38,355.77,356.08,347.51,333.71,321.22,321.78,325.76,322.30,316.72,302.95,317.55,321.94,324.91,332.23,327.71,332.25,333.53,331.50,326.65,336.98,346.18,342.32,336.43,329.92,326.29,326.27,330.12,329.06,332.05,333.47,335.49,335.55,334.40,339.66,335.48,336.28,334.55,337.84,333.73,332.52,323.88,330.63,318.07,330.12,324.50,329.00
1999-11-30 22:05:47+00:00,L7,382.66,380.10,388.98,376.84,367.84,364.05,364.90,396.78,367.98,348.97,356.72,374.55,365.61,360.73,378.59,393.72,372.47,387.11,377.02,,,394.91,391.33,398.64,393.13,371.78,357.46,356.46,360.19,366.17,359.15,358.40,363.42,365.39,369.66,371.99,383.17,363.03,361.10,364.73,361.23,362.11,361.02,381.77,374.85,379.44,385.58
1999-12-16 22:05:57+00:00,L7,384.86,391.90,395.96,385.18,378.92,376.00,379.67,378.47,381.55,365.24,362.68,375.26,373.73,372.94,392.09,373.12,375.46,386.88,383.84,386.61,395.69,414.89,407.22,397.96,395.31,385.10,372.46,365.71,369.19,376.88,380.00,376.64,370.57,379.35,388.39,388.58,383.88,377.68,376.21,379.14,370.91,368.02,386.32,390.48,380.16,387.66,392.62
2000-02-18 22:05:41+00:00,L7,352.60,347.18,347.23,342.29,332.92,323.43,325.44,320.64,323.60,313.20,301.96,315.65,320.47,314.85,324.66,318.17,318.81,323.17,332.85,335.66,330.34,384.13,349.40,344.30,328.38,336.60,326.46,322.26,,398.11,376.53,355.74,331.74,321.48,323.47,322.58,322.06,326.33,328.45,324.19,325.91,,,,,,
2000-03-05 22:05:36+00:00,L7,352.52,351.20,343.83,340.34,326.92,315.49,320.73,320.42,323.38,318.86,308.15,321.52,323.33,321.53,329.69,323.94,325.56,326.79,331.37,332.58,336.64,354.59,349.70,345.91,339.02,335.61,330.47,330.15,321.17,324.80,324.12,333.58,336.56,346.74,347.69,342.64,340.16,339.62,340.36,338.81,336.76,325.24,328.73,321.88,333.88,325.18,331.58
2000-03-21 22:05:37+00:00,L7,343.62,343.72,339.09,340.53,339.18,335.17,337.45,326.04,322.79,320.77,309.25,312.26,327.43,328.41,326.41,320.28,320.41,329.39,331.54,330.94,341.52,349.03,352.13,349.80,340.66,335.79,326.24,325.30,323.16,330.01,327.09,333.54,340.54,342.61,342.09,337.79,331.40,328.07,329.92,328.88,330.34,318.92,322.53,315.47,328.76,322.06,328.26
2000-05-08 22:05:09+00:00,L7,389.63,370.66,372.03,379.40,369.53,372.97,377.82,374.14,370.69,356.09,357.84,374.39,373.82,369.92,380.39,382.88,372.96,374.23,363.28,363.82,369.86,382.04,371.90,372.00,363.01,364.11,366.06,366.15,357.64,361.32,365.71,366.30,378.87,378.06,377.30,370.03,363.35,354.89,362.41,360.91,356.59,349.28,357.12,332.59,356.76,359.17,359.20
2000-05-24 22:04:58+00:00,L7,391.73,378.72,372.17,373.59,379.65,373.98,370.96,373.93,370.29,361.57,355.36,370.78,371.53,374.78,381.38,388.75,380.41,365.95,362.11,,374.62,389.02,373.66,379.40,381.22,378.25,376.17,370.42,363.55,366.83,359.52,375.88,381.58,370.62,372.22,375.69,373.55,358.84,359.27,360.43,360.41,362.50,372.64,358.92,360.26,363.43,358.60
