dates,satname,nzd0521-0000,nzd0521-0001,nzd0521-0002,nzd0521-0003,nzd0521-0004,nzd0521-0005,nzd0521-0006,nzd0521-0007,nzd0521-0008,nzd0521-0009,nzd0521-0010,nzd0521-0011,nzd0521-0012,nzd0521-0013,nzd0521-0014,nzd0521-0015,nzd0521-0016,nzd0521-0017,nzd0521-0018,nzd0521-0019,nzd0521-0020,nzd0521-0021,nzd0521-0022,nzd0521-0023,nzd0521-0024,nzd0521-0025,nzd0521-0026,nzd0521-0027,nzd0521-0028,nzd0521-0029,nzd0521-0030,nzd0521-0031,nzd0521-0032,nzd0521-0033,nzd0521-0034,nzd0521-0035,nzd0521-0036,nzd0521-0037,nzd0521-0038,nzd0521-0039,nzd0521-0040,nzd0521-0041,nzd0521-0042,nzd0521-0043,nzd0521-0044,nzd0521-0045,nzd0521-0046,nzd0521-0047,nzd0521-0048,nzd0521-0049,nzd0521-0050,nzd0521-0051,nzd0521-0052,nzd0521-0053,nzd0521-0054,nzd0521-0055,nzd0521-0056,nzd0521-0057,nzd0521-0058,nzd0521-0059,nzd0521-0060,nzd0521-0061,nzd0521-0062,nzd0521-0063,nzd0521-0064,nzd0521-0065,nzd0521-0066,nzd0521-0067,nzd0521-0068,nzd0521-0069,nzd0521-0070,nzd0521-0071,nzd0521-0072,nzd0521-0073,nzd0521-0074,nzd0521-0075,nzd0521-0076,nzd0521-0077,nzd0521-0078,nzd0521-0079,nzd0521-0080,nzd0521-0081,nzd0521-0082,nzd0521-0083,nzd0521-0084,nzd0521-0085,nzd0521-0086,nzd0521-0087,nzd0521-0088,nzd0521-0089,nzd0521-0090,nzd0521-0091,nzd0521-0092,nzd0521-0093,nzd0521-0094,nzd0521-0095,nzd0521-0096,nzd0521-0097,nzd0521-0098,nzd0521-0099,nzd0521-0100
1999-08-17 22:13:37+00:00,L7,283.96,311.84,358.27,351.97,339.40,335.66,321.74,326.86,334.48,357.39,332.14,328.54,326.45,336.05,339.79,355.08,359.08,357.13,355.45,356.43,352.90,352.78,358.95,357.68,355.54,364.80,364.97,360.19,358.82,355.90,349.55,345.06,326.04,315.13,318.74,327.20,321.81,326.82,329.16,319.98,309.07,307.58,318.27,316.97,318.35,315.00,308.13,297.38,291.74,288.58,285.98,283.84,287.28,290.83,287.07,281.91,273.35,263.77,275.12,286.01,289.35,290.54,305.34,282.69,266.29,264.56,,290.98,286.18,283.38,291.74,300.43,305.83,301.35,320.08,315.30,302.70,316.62,324.57,314.90,304.41,316.02,333.16,341.16,349.56,350.55,361.44,361.88,361.84,357.81,356.48,358.04,360.63,373.67,389.26,413.63,426.09,424.30,412.68,397.16,389.09
1999-09-27 22:07:36+00:00,L7,357.12,348.38,401.46,383.43,356.54,348.99,326.56,333.41,348.86,364.46,350.12,382.23,395.39,336.43,339.90,352.24,350.84,350.00,353.71,351.32,348.09,357.17,361.98,365.31,358.36,356.50,352.38,349.76,353.02,355.87,351.01,340.41,332.81,321.85,325.16,335.49,323.55,335.02,329.99,321.68,314.35,306.31,312.47,316.97,318.28,314.56,310.44,302.84,295.64,290.27,289.95,293.65,297.20,297.10,292.39,289.33,277.26,271.06,278.17,282.66,293.02,307.27,301.66,284.29,288.24,282.28,,291.68,306.29,327.65,334.79,351.40,341.29,330.75,298.17,303.75,299.60,316.86,313.51,,,,331.68,342.08,336.58,344.68,344.44,348.76,359.67,359.87,358.87,370.03,387.34,405.13,414.49,417.48,419.42,413.54,403.16,391.44,392.57
1999-10-04 22:13:49+00:00,L7,,,,,,,,,,,,,300.50,307.62,312.14,322.07,,,,,,,,,,,,321.28,320.04,319.02,299.57,299.95,290.91,284.04,289.49,298.64,293.67,300.04,300.37,288.05,282.24,276.89,277.79,275.77,277.11,285.27,281.49,268.37,267.59,263.74,267.01,270.28,272.01,273.58,268.67,257.04,251.86,243.70,249.29,249.99,254.65,259.08,257.57,255.11,247.41,234.07,183.70,261.18,251.53,267.04,272.45,288.11,,236.80,269.25,273.96,258.53,277.65,282.56,283.64,283.13,283.63,297.14,306.54,312.15,317.14,319.12,323.57,326.83,328.63,331.58,334.03,343.52,357.58,374.92,382.64,381.01,371.69,359.99,357.23,347.75
1999-12-07 22:13:41+00:00,L7,,,,,,,,,,,,,,,,,,370.09,367.10,372.83,375.17,376.59,378.24,380.92,377.42,378.01,369.10,364.27,365.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.11,368.07,364.16,360.41,369.73,374.12,,,,,,,,,,,
1999-12-16 22:07:33+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02 22:07:23+00:00,L7,,,,,,,,,,,,,,,,,,,,,344.99,357.04,359.03,355.59,351.32,348.75,346.17,342.01,338.78,337.54,325.14,321.15,310.67,304.90,310.60,313.91,307.07,322.33,314.52,302.78,293.29,285.00,298.11,297.92,298.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.51,310.41,319.28,334.47,340.50,344.38,350.29,,,,,,,,,,,,
2000-05-08 22:06:44+00:00,L7,269.99,59.00,355.51,350.61,331.64,322.36,312.32,317.93,331.56,349.14,330.32,346.24,340.84,353.27,361.14,363.67,356.37,360.65,370.34,369.42,368.05,373.74,375.70,368.92,371.71,366.99,361.46,360.37,360.63,354.76,344.36,335.97,331.12,320.95,325.17,330.87,324.81,325.11,318.60,309.20,299.84,292.01,292.98,281.18,286.51,289.48,305.90,308.89,288.09,280.66,286.05,291.23,292.00,294.98,291.37,290.39,272.50,267.71,274.72,277.99,272.99,275.00,274.86,276.83,267.48,260.51,269.84,291.58,282.31,275.76,287.09,300.24,304.90,295.07,297.03,,269.10,281.81,,,,,311.29,,,,339.40,340.30,346.05,352.31,357.50,365.96,388.72,428.05,436.33,437.33,428.98,416.94,403.04,395.46,393.69
2000-05-15 22:12:54+00:00,L7,297.35,326.95,373.61,367.06,352.40,349.47,338.59,341.53,357.26,372.56,364.27,387.54,391.40,378.35,380.76,389.80,386.34,391.54,391.85,385.17,392.35,399.64,391.19,393.70,392.64,383.09,381.04,377.22,381.27,373.75,362.36,353.52,346.51,337.39,338.23,345.54,341.15,343.60,335.79,324.14,315.71,304.28,310.60,304.03,307.22,329.78,329.47,305.53,298.42,297.94,311.00,320.95,320.31,317.62,312.01,304.87,295.66,290.48,293.29,301.88,299.77,297.30,296.52,294.23,294.33,287.63,294.49,310.43,301.11,289.95,298.90,309.53,319.67,324.30,322.41,305.78,288.28,302.35,313.17,332.21,325.66,321.19,334.50,339.09,352.44,356.73,361.16,360.93,372.02,374.93,381.83,394.52,430.57,452.81,452.70,461.14,456.74,445.92,425.96,415.84,413.11
2000-06-16 22:12:38+00:00,L7,,,296.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-25 22:06:19+00:00,L7,303.57,271.00,353.89,352.06,339.09,331.70,326.19,327.45,339.21,356.73,337.30,350.27,353.58,350.76,364.82,371.64,,364.87,366.77,365.10,371.03,373.82,371.24,377.16,372.23,369.36,367.39,365.81,368.74,365.88,356.12,335.89,333.13,329.17,320.78,335.81,326.49,329.85,325.97,319.43,303.04,299.19,313.02,309.37,306.71,295.75,297.13,292.40,288.52,291.51,299.89,306.10,307.33,298.43,291.53,284.14,274.17,275.27,285.49,284.99,287.65,285.48,285.95,288.20,279.55,277.29,267.40,292.71,292.26,288.51,297.29,311.17,314.14,310.09,296.64,292.41,278.00,291.53,304.40,312.10,310.16,308.05,322.67,333.48,345.57,355.49,357.11,367.25,377.25,375.07,371.38,373.40,396.45,415.35,420.81,425.79,420.25,416.79,411.33,406.00,393.31
