dates,satname,nzd0560-0000,nzd0560-0001,nzd0560-0002,nzd0560-0003,nzd0560-0004,nzd0560-0005,nzd0560-0006,nzd0560-0007,nzd0560-0008,nzd0560-0009,nzd0560-0010,nzd0560-0011,nzd0560-0012,nzd0560-0013,nzd0560-0014,nzd0560-0015,nzd0560-0016,nzd0560-0017,nzd0560-0018,nzd0560-0019,nzd0560-0020,nzd0560-0021,nzd0560-0022,nzd0560-0023,nzd0560-0024,nzd0560-0025,nzd0560-0026,nzd0560-0027,nzd0560-0028,nzd0560-0029,nzd0560-0030,nzd0560-0031
1999-08-17 22:13:37+00:00,L7,,338.28,339.09,327.30,307.76,289.67,253.01,242.10,272.49,304.43,331.44,333.27,333.62,326.46,302.80,302.84,313.48,337.41,344.13,335.38,317.63,310.05,322.83,326.53,316.37,319.10,67.03,115.24,144.50,150.91,130.25,
1999-11-05 22:13:40+00:00,L7,321.35,322.68,321.22,322.87,316.21,308.39,301.47,290.09,296.33,303.56,314.47,313.55,307.09,301.19,288.33,303.03,325.37,335.59,348.43,338.82,310.90,301.57,293.41,293.13,309.86,324.03,326.45,333.33,348.38,349.27,346.41,347.55
1999-12-07 22:14:05+00:00,L7,317.24,324.50,322.26,316.46,311.17,307.82,312.98,306.25,300.18,305.64,311.78,310.00,305.93,293.97,299.35,311.28,332.50,344.31,350.76,353.17,322.73,303.99,,,,,,,,,,
2000-05-15 22:13:18+00:00,L7,,,,,,,,327.12,346.13,335.06,,,106.64,153.09,123.98,74.26,182.34,348.15,617.33,448.83,473.51,474.54,,,,,,,,,,
2000-05-31 22:13:06+00:00,L7,,,,,,,,,247.15,248.33,268.01,308.65,330.14,333.15,326.15,256.24,310.10,319.07,319.03,297.23,308.21,313.76,325.69,314.02,311.72,318.30,325.23,332.09,320.35,330.44,331.76,344.63
2000-06-16 22:12:38+00:00,L7,306.50,305.06,304.51,303.86,291.20,299.57,305.66,260.44,259.29,306.53,294.97,331.03,329.94,324.37,334.93,336.25,328.64,310.60,331.32,309.67,310.91,314.71,319.36,308.37,312.58,311.82,319.64,328.30,344.24,345.57,343.81,351.73
2000-09-04 22:11:58+00:00,L7,299.05,302.14,287.95,280.75,287.59,312.21,309.29,298.35,309.03,322.97,310.41,304.02,299.63,309.63,320.02,329.84,332.69,327.00,320.49,318.05,324.62,320.34,315.74,317.89,312.72,309.29,319.67,331.46,334.81,324.87,324.33,333.20
2000-09-20 22:11:38+00:00,L7,294.70,298.37,292.67,286.28,283.43,286.35,280.25,291.07,296.08,306.39,310.61,296.68,292.30,299.13,315.12,323.12,329.38,323.12,318.06,320.11,320.20,315.33,314.31,320.24,314.25,309.32,318.15,341.07,343.84,337.63,336.27,335.63
2001-02-11 22:11:12+00:00,L7,324.04,320.50,313.97,320.44,329.14,329.56,306.85,279.90,277.43,288.05,331.24,331.88,326.43,325.04,327.58,338.62,348.77,342.21,338.87,337.36,340.14,342.35,320.07,317.17,313.05,329.17,337.02,341.78,342.66,331.71,342.81,404.15
2001-02-27 22:11:30+00:00,L7,338.59,362.94,370.13,357.17,344.07,336.65,309.45,291.67,298.64,305.28,333.45,348.75,336.55,326.89,335.96,342.21,354.67,343.91,340.92,344.30,351.63,343.59,326.90,324.27,330.63,331.34,347.73,349.44,345.88,340.83,358.03,419.25
2001-04-16 22:11:18+00:00,L7,296.43,315.72,286.19,287.98,278.66,269.19,251.12,236.93,264.26,301.43,313.68,305.07,286.15,274.07,277.22,317.64,336.98,338.42,328.02,311.36,300.56,307.79,310.22,307.59,301.95,304.11,325.01,332.47,328.85,332.23,338.73,350.21
2001-07-05 22:10:09+00:00,L7,276.41,263.81,275.87,277.68,284.07,303.45,251.31,235.95,293.80,338.79,346.94,339.97,263.30,239.28,226.64,248.43,366.90,371.25,373.57,365.29,353.25,313.49,,308.05,329.81,335.81,343.94,360.93,357.80,357.88,363.07,389.80
2001-11-26 22:09:45+00:00,L7,320.48,332.88,329.77,321.10,314.45,314.25,303.33,296.95,304.12,304.18,323.14,311.70,297.92,285.83,293.77,311.53,321.19,338.81,338.91,337.92,331.50,314.40,307.34,291.04,303.94,317.48,331.83,330.67,318.75,328.32,339.15,355.28
2002-03-18 22:09:57+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,327.24,333.36,330.31,344.51,359.23,358.93,357.52,361.33
2002-05-21 22:09:29+00:00,L7,281.84,281.75,274.69,274.34,278.14,269.33,248.97,236.87,229.47,259.58,286.10,301.76,278.58,294.86,301.07,313.84,320.16,323.30,310.85,291.75,291.96,280.59,303.14,303.48,306.15,312.82,325.63,334.18,330.46,335.05,333.13,350.01
2002-07-08 22:09:12+00:00,L7,,,,,,,,,,,307.39,282.62,270.62,268.20,253.93,327.58,349.12,361.48,327.55,293.63,280.17,275.13,282.24,284.84,296.36,326.88,345.54,571.07,583.86,551.87,328.18,343.14
2002-10-28 22:08:34+00:00,L7,307.39,325.32,324.72,312.90,305.59,299.13,,,,,,296.22,307.10,307.08,302.38,313.81,318.78,322.69,329.59,332.67,320.30,292.07,279.01,277.92,283.20,311.82,343.78,346.18,340.28,331.92,334.61,348.73
2003-03-21 22:09:27+00:00,L7,328.26,352.05,333.42,334.37,339.37,319.79,344.85,306.23,359.37,333.72,326.87,321.17,330.81,333.46,337.99,345.65,346.36,351.73,344.93,358.23,378.24,371.05,358.34,335.56,332.87,337.25,370.24,408.64,403.81,383.66,387.81,402.00
2003-05-24 22:09:28+00:00,L7,291.12,292.16,276.73,277.14,276.11,263.85,252.86,241.44,295.39,291.30,278.41,268.39,265.65,244.88,245.90,287.16,306.53,296.55,305.91,317.03,315.20,283.90,293.09,307.63,321.47,331.28,344.61,343.27,338.93,336.27,345.09,355.92
2003-08-12 22:09:35+00:00,L7,,392.59,373.21,282.02,,321.86,245.15,373.68,349.72,312.12,316.68,301.86,320.32,317.42,332.46,342.82,339.32,338.15,340.46,351.48,347.62,314.60,318.68,308.58,332.86,337.87,349.28,371.04,375.03,374.83,356.58,362.31
2003-10-07 21:58:59+00:00,L5,320.37,321.99,315.35,317.70,319.02,306.22,288.43,282.28,294.88,310.28,301.55,300.17,302.31,307.98,308.21,320.80,341.85,339.11,334.98,329.38,317.42,310.18,312.23,316.99,306.90,304.63,333.49,353.54,350.85,353.37,358.38,368.48
2003-10-15 22:08:58+00:00,L7,338.00,344.40,339.43,335.70,334.72,320.12,307.09,299.16,310.48,320.16,308.36,305.69,305.55,312.90,318.41,339.97,349.32,340.96,337.01,339.78,317.79,305.47,308.80,323.96,314.24,305.28,325.24,343.30,346.62,351.18,355.77,360.00
2003-11-16 22:09:47+00:00,L7,305.41,310.69,306.86,301.60,293.57,275.96,271.83,267.74,283.06,289.60,283.44,283.10,289.05,293.26,296.47,316.71,327.16,318.82,,,,,,,,,,,,,,
2003-12-26 21:59:54+00:00,L5,310.39,340.29,330.64,326.50,310.43,308.48,304.14,318.89,320.20,310.56,308.12,309.83,310.88,303.40,292.68,313.45,337.43,344.48,333.89,317.47,301.72,299.54,296.11,301.46,317.78,323.14,324.17,329.56,342.68,341.03,344.40,351.59
2004-01-27 22:00:01+00:00,L5,330.87,354.82,345.37,333.30,324.88,313.12,321.90,313.74,311.34,313.69,312.64,316.17,321.24,310.94,291.73,317.91,343.18,338.17,345.98,329.80,319.98,307.92,306.04,314.79,320.91,322.47,328.21,327.87,330.34,329.42,328.36,340.50
2004-03-31 22:00:23+00:00,L5,326.03,333.30,327.65,325.21,315.89,298.48,296.76,298.43,308.15,297.07,287.62,286.45,298.24,315.48,313.07,305.97,311.55,312.00,324.48,325.59,310.57,287.67,284.94,293.89,303.71,306.41,318.27,322.94,326.97,331.58,341.34,348.04
2004-04-24 22:10:19+00:00,L7,332.66,361.65,346.70,336.99,333.57,291.73,296.69,309.87,317.37,319.77,307.27,319.35,322.42,327.83,317.86,308.66,314.90,330.77,348.09,346.22,334.48,310.33,310.39,314.32,310.38,311.89,337.67,338.80,342.14,346.45,354.99,371.15
2004-05-02 22:00:57+00:00,L5,314.21,331.46,331.09,279.07,301.06,300.91,251.73,250.25,314.03,308.23,298.61,266.30,290.76,317.96,306.66,286.05,300.44,301.77,322.29,339.86,325.81,311.90,309.62,307.92,307.37,308.71,325.47,333.87,342.10,343.72,351.91,362.27
2004-05-18 22:01:26+00:00,L5,,399.32,387.81,,352.46,354.57,348.78,356.54,371.58,340.53,321.45,306.36,330.73,353.09,357.21,258.57,295.91,311.00,353.52,381.68,379.05,345.39,329.26,327.34,333.44,340.97,337.49,355.24,361.04,355.11,364.18,366.37
2004-05-26 22:09:57+00:00,L7,278.86,348.42,340.90,268.12,,309.34,245.10,230.71,320.68,297.07,293.56,255.86,292.70,322.87,317.69,244.56,284.56,291.25,326.67,343.00,340.03,316.21,307.13,308.97,313.32,313.56,320.82,339.59,343.20,349.37,351.01,360.07
2004-06-27 22:10:12+00:00,L7,288.31,286.92,271.04,280.72,285.00,268.78,251.41,240.59,235.54,252.88,264.10,269.27,262.18,237.83,241.00,249.55,267.25,278.69,301.01,295.45,281.11,282.50,263.77,279.21,287.64,300.39,312.93,319.90,313.71,316.57,322.29,327.40
2004-07-05 22:02:51+00:00,L5,261.59,256.96,281.01,279.60,,349.84,254.57,241.04,227.54,253.90,259.87,266.85,251.51,262.30,275.22,245.19,245.49,325.26,,,,,,,,,,,,,,
2004-08-14 22:09:59+00:00,L7,329.83,341.47,333.85,328.28,321.70,305.76,290.12,286.52,312.98,318.59,300.80,299.63,323.14,340.13,332.80,321.87,339.04,340.98,351.96,333.34,318.19,306.75,319.17,324.92,322.42,328.04,336.59,359.87,474.67,600.17,456.38,
2004-08-22 22:04:24+00:00,L5,304.79,332.66,326.77,306.28,300.96,290.21,257.75,263.56,288.18,287.83,274.74,270.87,290.89,304.04,298.32,291.56,305.82,310.60,313.87,312.35,294.32,264.68,286.59,292.40,301.49,305.88,312.61,329.53,329.80,,,
2004-09-15 22:09:25+00:00,L7,325.48,356.78,363.35,342.80,326.22,320.60,328.41,243.01,202.97,168.49,217.37,257.09,313.40,323.67,321.49,348.24,302.18,307.46,325.11,309.45,302.45,282.92,,,,289.40,336.43,337.98,336.94,344.49,352.22,361.83
2004-10-01 22:09:45+00:00,L7,295.66,235.93,247.26,,,,,,,,,,,,,,325.34,330.87,331.49,324.80,308.62,299.64,307.24,308.69,,,,,,,,
