dates,nzd0560-0000,nzd0560-0001,nzd0560-0002,nzd0560-0003,nzd0560-0004,nzd0560-0005,nzd0560-0006,nzd0560-0007,nzd0560-0008,nzd0560-0009,nzd0560-0010,nzd0560-0011,nzd0560-0012,nzd0560-0013,nzd0560-0014,nzd0560-0015,nzd0560-0016,nzd0560-0017,nzd0560-0018,nzd0560-0019,nzd0560-0020,nzd0560-0021,nzd0560-0022,nzd0560-0023,nzd0560-0024,nzd0560-0025,nzd0560-0026,nzd0560-0027,nzd0560-0028,nzd0560-0029,nzd0560-0030,nzd0560-0031,satname
1999-08-17 22:13:37+00:00,,341.99,343.42,329.30,310.36,294.00,,,276.82,307.68,333.44,335.63,335.15,329.71,306.51,306.55,316.73,340.01,347.38,338.63,319.99,312.05,324.20,328.39,318.00,321.99,,,,,,,L7
1999-11-05 22:13:40+00:00,322.87,334.62,334.99,327.31,314.88,303.86,307.87,296.49,289.24,307.62,325.19,326.04,322.06,317.45,299.70,307.08,323.05,339.40,349.90,340.73,316.90,308.04,309.64,311.90,314.93,324.79,330.01,336.89,352.38,353.27,349.97,352.88,L7
1999-12-07 22:14:05+00:00,317.25,325.63,324.19,320.67,309.71,298.62,298.62,289.57,286.33,302.04,317.69,317.12,314.37,304.71,293.97,302.86,321.28,337.10,345.27,339.96,315.27,303.66,309.64,311.90,314.93,324.79,330.01,336.89,352.38,353.27,349.97,352.88,L7
2000-05-15 22:13:18+00:00,311.62,307.64,302.59,307.38,299.37,288.15,289.38,282.65,280.51,290.89,302.70,299.27,298.99,279.22,282.49,294.42,317.75,341.43,336.01,338.42,312.00,294.91,,,,,,,,,,,L7
2000-05-31 22:13:06+00:00,311.62,307.64,302.59,307.38,299.37,288.15,289.38,282.65,266.16,271.36,286.43,305.24,315.39,307.94,306.32,277.33,315.68,334.91,329.27,319.58,311.38,305.41,327.16,316.02,313.47,321.41,328.34,335.20,323.85,333.94,334.87,349.30,L7
2000-06-16 22:12:38+00:00,300.88,288.20,284.84,294.78,279.40,279.90,282.06,,245.72,271.81,278.02,315.75,327.39,323.13,324.11,289.81,313.75,323.67,319.55,297.83,305.47,310.77,320.15,307.98,309.34,310.06,317.43,325.19,326.67,332.38,332.78,340.68,L7
2000-09-04 22:11:58+00:00,301.11,298.60,290.39,289.61,285.89,300.05,300.48,307.95,245.72,290.86,290.05,313.29,319.08,320.63,325.03,305.44,322.06,325.71,321.86,306.57,313.31,315.19,319.53,312.43,311.46,311.58,319.96,329.06,331.38,331.88,331.74,340.85,L7
2000-09-20 22:11:38+00:00,300.24,302.33,295.60,290.55,287.74,299.93,299.07,307.51,245.72,297.24,296.73,310.96,313.56,317.76,325.41,312.72,326.39,326.79,323.41,312.45,316.85,316.76,319.27,315.81,313.41,313.24,321.73,334.28,337.00,335.81,335.10,342.88,L7
2001-02-11 22:11:12+00:00,305.04,304.34,295.08,294.39,298.19,306.26,295.06,307.51,246.76,303.47,315.98,309.16,305.02,308.93,318.24,327.86,334.61,328.91,323.47,322.84,326.62,324.57,315.73,317.10,312.17,313.85,322.87,336.03,338.10,329.07,332.40,354.55,L7
2001-02-27 22:11:30+00:00,311.98,304.34,295.08,294.39,306.61,308.77,292.56,307.51,262.53,300.11,318.00,316.28,311.11,309.61,318.31,327.09,335.81,329.61,324.02,324.39,330.10,326.98,316.92,316.71,314.88,314.83,325.70,335.99,336.24,328.20,335.42,365.64,L7
2001-04-16 22:11:18+00:00,316.67,313.25,294.41,301.60,321.31,301.24,276.47,,269.55,290.34,321.25,322.81,312.65,300.75,304.54,323.77,338.89,335.18,328.02,323.09,325.02,326.37,315.73,311.82,311.25,314.50,329.55,334.19,331.21,327.01,339.49,380.65,L7
2001-07-05 22:10:09+00:00,305.03,313.25,294.41,290.24,321.31,296.29,276.47,,270.12,298.32,325.14,324.10,298.37,300.75,304.54,323.77,341.77,340.90,335.28,329.51,329.08,320.62,315.73,308.52,313.83,316.16,329.48,337.21,333.74,330.60,341.71,377.44,L7
2001-11-26 22:09:45+00:00,298.06,349.45,,267.53,326.05,307.51,326.53,320.15,271.80,320.49,334.43,325.11,280.14,300.33,310.34,328.10,343.04,354.23,355.24,350.61,341.65,313.33,313.45,298.98,316.38,325.75,337.00,344.91,337.27,342.10,350.22,371.21,L7
2002-03-18 22:09:57+00:00,326.00,349.45,,,326.05,333.58,326.53,320.15,,318.68,332.06,322.25,304.74,300.33,310.34,328.10,335.69,350.41,353.41,352.42,342.05,323.32,313.45,299.33,316.03,326.20,331.85,338.37,339.87,344.50,349.12,359.47,L7
2002-05-21 22:09:29+00:00,308.44,329.17,306.36,288.96,311.60,317.29,306.75,297.51,261.14,301.00,316.39,320.64,297.25,309.47,319.27,334.54,339.80,346.36,344.00,333.96,325.64,309.26,313.29,308.19,316.69,328.78,336.81,344.01,344.65,349.27,350.82,366.87,L7
2002-07-08 22:09:12+00:00,290.89,308.89,306.36,288.96,297.14,301.00,286.97,274.87,261.14,283.33,304.13,300.91,280.25,318.61,328.21,334.43,346.64,351.99,331.20,304.69,294.79,285.25,297.75,301.01,311.79,327.69,337.16,344.24,350.35,352.49,342.94,356.49,L7
2002-10-28 22:08:34+00:00,300.90,322.39,321.71,303.77,305.06,306.23,286.97,274.87,261.14,283.33,304.13,301.59,280.25,317.47,320.58,331.08,340.44,344.69,333.75,317.10,305.54,289.42,292.80,295.08,300.78,327.02,348.17,354.85,351.87,349.99,341.82,362.07,L7
