,dates,chi0489-0000,chi0489-0001,chi0489-0002,chi0489-0003,chi0489-0004,chi0489-0005,chi0489-0006,chi0489-0007,chi0489-0008,chi0489-0009,chi0489-0010,chi0489-0011
0,1984-07-08 14:10:01+00:00,,,,,,,,,,,,
1,1985-01-25 14:06:03+00:00,202.37212245237464,148.49568202473026,142.94869777720132,,,,159.75742434940577,,,111.05323806920495,106.19839183527911,132.7983604086033
2,1985-03-05 14:11:53+00:00,,,,186.11164558673295,212.84479214928126,,181.4987218890538,,155.68230454106558,144.0646160295317,137.73353043218242,151.81418384104765
3,1986-01-12 14:03:06+00:00,232.46640331250615,149.34899814341208,165.91612987103736,180.70052961995032,178.732136680554,,155.89340586018227,,,,,
4,1986-02-04 14:08:47+00:00,225.22451694475842,,82.93094252877319,191.0919487826398,203.1245821323243,,,,178.7388284705027,150.0948780632885,118.63630520750624,121.11298509271886
5,1986-08-15 14:03:05+00:00,232.43736336053954,116.6291901446093,111.19377178739218,,,,,87.39956096771547,,,110.13681375976384,
6,1986-08-31 14:02:52+00:00,202.15561996305354,118.97113540386007,107.1227846655147,,,,,92.02464893742781,,,,117.27992648272412
7,1986-09-25 13:55:54+00:00,232.2072080691748,143.95138609575773,145.74882629445926,167.267190827019,165.066216008063,143.5270180612115,146.63112228264748,140.7679521854919,,117.52042750949022,107.85480160285908,123.57206330477467
8,1986-10-02 14:01:51+00:00,201.7519313193464,121.82614159884089,125.39819614993705,140.17464883346832,130.8747265613699,117.67124321295529,116.66424321877007,101.94070171685657,,63.89501007313429,72.22561606123564,96.58327190441261
9,1986-10-18 14:00:56+00:00,217.4752756533026,142.90150306819814,144.01702175989152,155.56626238222782,145.46184052436462,129.36225697946438,141.1654029759718,138.21194583912884,134.02913513754928,95.27676770845444,82.56669167229656,114.16468639841469
10,1986-10-27 13:54:50+00:00,232.43078833042478,142.31235081023527,148.24641214914408,157.63324546164455,153.17254235343364,128.88707493528486,146.22370589192516,141.3236324450211,,101.79832930561118,94.7155706754941,123.40776047605753
11,1986-12-21 14:00:25+00:00,234.0332608087663,155.58789130413155,161.18427257421004,169.92282522256812,168.62864314931582,160.87824389002674,165.9593807632769,187.5300369367343,164.13577244914498,127.34256718396037,103.07259409280383,147.0684716005336
