dates,satname,nzd0475-0000,nzd0475-0001,nzd0475-0002,nzd0475-0003,nzd0475-0004,nzd0475-0005
1999-08-26 22:07:08+00:00,L7,324.20,336.28,336.85,338.22,332.23,326.06
1999-10-13 22:07:12+00:00,L7,322.02,310.88,313.06,321.53,319.01,325.55
1999-11-14 22:07:06+00:00,L7,328.62,316.44,326.12,321.29,317.56,320.36
1999-11-30 22:06:59+00:00,L7,322.66,309.38,319.61,318.43,310.40,313.52
2000-03-21 22:06:49+00:00,L7,333.96,338.97,337.62,,,
2000-05-08 22:06:20+00:00,L7,320.52,322.34,325.95,329.06,317.42,315.98
2000-06-25 22:05:55+00:00,L7,311.95,318.30,314.17,326.73,316.74,324.38
2000-07-27 22:05:24+00:00,L7,320.77,318.68,320.75,326.26,319.64,330.41
2000-08-03 22:11:31+00:00,L7,316.03,322.82,324.25,329.59,325.90,321.61
2000-08-12 22:05:17+00:00,L7,320.82,318.55,324.42,328.04,325.03,319.03
2000-09-20 22:10:50+00:00,L7,324.74,315.91,323.57,325.86,320.75,322.21
2000-12-18 22:04:37+00:00,L7,332.54,315.13,326.66,326.74,318.74,322.15
2001-02-20 22:04:36+00:00,L7,330.79,328.67,331.53,334.10,326.62,325.58
2001-03-08 22:04:32+00:00,L7,336.28,338.52,339.99,341.68,340.65,343.67
2001-04-09 22:04:17+00:00,L7,331.40,334.84,333.40,339.86,329.13,328.25
2001-06-28 22:03:32+00:00,L7,314.77,310.85,318.52,324.66,317.84,321.05
2001-07-14 22:03:33+00:00,L7,314.75,312.60,318.78,324.67,314.99,320.67
2001-08-15 22:03:02+00:00,L7,320.50,317.82,324.76,324.92,319.49,325.65
2002-03-11 22:03:07+00:00,L7,328.36,332.40,325.82,336.92,333.65,342.55
2002-03-27 22:03:01+00:00,L7,327.81,323.36,322.42,331.48,323.19,334.70
2002-04-12 22:03:01+00:00,L7,322.87,326.77,330.41,336.34,336.23,329.60
2002-05-14 22:02:55+00:00,L7,315.14,324.17,326.82,340.75,334.97,332.18
2002-05-30 22:02:49+00:00,L7,316.40,315.69,322.95,327.08,320.96,314.78
2002-06-15 22:02:43+00:00,L7,309.67,307.80,323.62,324.69,313.89,316.64
2002-07-01 22:02:38+00:00,L7,309.74,316.11,315.43,319.04,313.48,319.19
2002-11-22 22:02:21+00:00,L7,331.71,322.99,329.00,329.53,323.62,325.99
2002-12-08 22:02:27+00:00,L7,316.64,309.14,311.63,316.05,308.90,314.15
2002-12-24 22:02:33+00:00,L7,329.20,318.40,322.72,326.77,312.48,322.18
2003-08-05 22:02:35+00:00,L7,318.61,315.68,319.40,325.79,314.72,323.54
2003-08-13 21:51:08+00:00,L5,323.70,338.80,340.59,344.59,346.86,353.94
2003-08-29 21:51:26+00:00,L5,322.44,328.43,326.98,337.42,334.76,348.75
2003-09-14 21:51:42+00:00,L5,326.02,324.28,323.35,328.31,326.52,338.61
2003-09-30 21:51:54+00:00,L5,319.18,308.87,317.29,317.14,315.11,315.95
2003-10-16 21:52:08+00:00,L5,323.79,312.77,322.90,330.27,326.90,328.99
2003-11-17 21:52:33+00:00,L5,322.88,305.23,311.93,313.99,308.13,321.04
2003-12-27 22:03:06+00:00,L7,328.69,311.25,320.52,321.42,311.17,310.19
