dates,satname,sar2524-0000,sar2524-0001,sar2524-0002,sar2524-0003,sar2524-0004,sar2524-0005
1984-04-13 09:26:43+00:00,L5,206.92,217.57,193.21,206.30,211.89,202.10
1984-05-06 09:33:03+00:00,L5,206.91,213.95,188.03,216.41,214.18,208.41
1984-06-07 09:33:54+00:00,L5,215.21,219.51,191.16,207.49,212.72,207.03
1984-07-18 09:28:22+00:00,L5,226.88,231.47,203.52,231.51,231.15,216.19
1984-08-26 09:35:45+00:00,L5,191.08,195.02,170.42,179.70,208.46,196.59
1984-09-04 09:29:37+00:00,L5,216.73,224.72,193.16,216.36,215.98,207.00
1984-09-11 09:35:50+00:00,L5,,,,201.00,216.31,198.92
1984-09-20 09:29:40+00:00,L5,206.08,212.40,191.61,218.06,225.99,218.21
1984-10-13 09:35:49+00:00,L5,212.32,211.84,180.61,197.19,207.10,202.00
1984-10-22 09:29:36+00:00,L5,203.16,211.91,182.30,210.74,226.52,217.51
1984-12-09 09:29:34+00:00,L5,205.36,,185.58,209.44,225.15,222.50
1985-01-10 09:29:51+00:00,L5,107.56,,214.93,,,
1985-01-17 09:36:05+00:00,L5,190.12,208.05,172.14,192.51,223.38,211.11
1985-03-15 09:29:58+00:00,L5,195.92,204.53,170.36,184.27,204.96,197.35
1985-04-23 09:35:59+00:00,L5,212.36,221.55,194.64,220.90,214.24,205.70
1985-05-02 09:29:43+00:00,L5,204.82,212.17,195.54,214.91,220.24,208.74
1985-06-03 09:29:40+00:00,L5,217.53,228.18,194.37,219.60,217.17,205.67
1985-06-10 09:35:50+00:00,L5,181.45,194.77,163.78,182.26,204.30,200.68
1985-06-26 09:35:47+00:00,L5,205.25,209.53,185.91,187.98,213.09,173.15
1985-07-05 09:29:33+00:00,L5,205.07,209.89,180.48,201.50,209.31,194.95
1985-07-12 09:35:41+00:00,L5,217.01,225.78,200.03,222.34,222.71,216.80
1985-08-06 09:29:18+00:00,L5,199.98,205.29,185.82,203.34,216.25,207.95
1985-08-13 09:35:25+00:00,L5,217.35,218.73,190.38,211.09,215.19,212.34
1985-08-22 09:29:08+00:00,L5,218.36,219.83,202.04,224.59,222.80,214.19
1985-10-09 09:28:35+00:00,L5,184.83,205.69,174.86,188.93,206.71,177.50
1986-01-04 09:33:20+00:00,L5,,,154.30,165.21,187.74,187.24
1986-01-13 09:26:58+00:00,L5,176.07,200.37,165.33,177.91,204.16,195.09
1986-02-21 09:32:17+00:00,L5,202.45,196.01,171.07,196.98,210.69,202.78
1986-03-25 09:31:37+00:00,L5,172.56,196.69,165.48,169.67,206.02,180.82
1986-05-21 09:24:03+00:00,L5,205.71,212.86,197.75,210.10,212.64,209.13
1986-05-28 09:30:02+00:00,L5,208.44,219.84,194.02,206.47,212.38,199.70
1986-06-06 09:23:35+00:00,L5,207.95,217.03,193.59,206.24,216.41,208.28
1986-06-22 09:23:04+00:00,L5,214.35,215.57,192.06,219.61,212.63,203.60
1986-07-24 09:21:59+00:00,L5,207.59,213.34,188.64,210.07,216.27,208.89
1986-07-31 09:27:55+00:00,L5,218.98,220.28,194.64,215.97,218.10,210.35
1986-08-16 09:27:20+00:00,L5,227.39,222.67,198.49,224.12,221.85,219.09
1986-09-10 09:20:15+00:00,L5,207.83,213.13,193.26,210.22,219.83,209.08
1987-01-16 09:19:18+00:00,L5,198.22,213.07,174.16,202.31,,
1987-02-08 09:26:31+00:00,L5,198.28,205.77,174.61,199.52,224.24,212.13
1987-02-17 09:20:35+00:00,L5,74.56,244.00,,,,
1987-03-21 09:21:38+00:00,L5,218.38,212.08,183.25,207.37,221.53,215.43
1987-04-29 09:29:06+00:00,L5,221.13,222.83,203.38,217.87,214.91,210.40
1987-05-08 09:23:11+00:00,L5,218.15,221.92,204.59,227.52,230.44,224.13
1987-05-15 09:29:33+00:00,L5,205.90,210.04,185.88,196.12,211.92,199.62
1987-06-09 09:23:59+00:00,L5,213.67,213.63,194.23,214.87,221.04,202.95
1987-06-16 09:30:19+00:00,L5,187.79,198.98,168.52,169.41,195.92,183.44
1987-06-25 09:24:20+00:00,L5,214.71,224.31,199.86,219.90,218.83,210.56
1987-07-02 09:30:39+00:00,L5,209.57,214.07,189.38,207.06,212.45,201.63
1987-07-11 09:24:39+00:00,L5,,,,,,
1987-07-18 09:30:57+00:00,L5,209.84,211.97,186.65,198.43,210.15,201.43
1987-08-03 09:31:25+00:00,L5,206.22,214.85,187.90,208.70,218.10,210.54
1987-08-12 09:25:31+00:00,L5,,,,,,
1987-08-19 09:31:54+00:00,L5,205.27,209.17,182.94,195.12,212.32,204.70
1987-08-28 09:25:57+00:00,L5,,384.33,,,,
1987-09-04 09:32:19+00:00,L5,208.28,214.41,182.17,206.54,206.90,203.00
1987-09-13 09:26:21+00:00,L5,209.92,214.71,187.43,216.47,216.24,212.29
1987-10-06 09:33:02+00:00,L5,214.15,213.38,195.96,206.61,218.08,211.61
1987-10-31 09:27:40+00:00,L5,387.41,379.19,,,,
