,dates,jap0106-0000,jap0106-0001,jap0106-0002,jap0106-0003,jap0106-0004,jap0106-0005,jap0106-0006,jap0106-0007,jap0106-0008,jap0106-0009,jap0106-0010,jap0106-0011
0,1984-04-26 00:41:47+00:00,,,,,,,224.41927559506516,,,,,
1,1984-07-31 00:43:53+00:00,209.5656863402805,225.82578367664192,238.31845317064952,243.52732800133052,258.42248595661175,274.89468553999376,,,268.64521136855734,,247.62735138344436,
2,1984-08-16 00:44:25+00:00,206.46603542033628,221.111084189984,225.95874314011124,241.78803784347244,239.4023792434089,255.13964355788312,261.5745313194777,262.7165103750076,266.1357994822322,,,
3,1984-09-17 00:44:44+00:00,183.5372118011545,200.65649782249295,202.13851233462125,,,226.5091842158292,245.6285913583873,,,,,
4,1985-05-15 00:44:44+00:00,201.16238358953794,210.1194148803003,207.1983551810804,216.4061301693274,216.86404408033843,225.2211621618588,239.17216929580417,239.9222476659539,,225.0108096986021,223.30437780003848,
5,1985-05-31 00:44:45+00:00,214.34505550670104,220.76121054323391,223.20235329928252,228.43020060124454,233.68828146817958,240.50314545635433,242.64045910710718,245.84572998331623,,,,
6,1985-06-16 00:44:43+00:00,220.73119954223077,233.2033346152799,242.6963360339809,238.89951246536367,248.3423088357085,257.1638451017958,261.083667459623,,248.2013558992437,,246.36970133780767,235.65294507076825
7,1985-07-02 00:44:39+00:00,201.85602958736143,211.56273928223303,223.7630423118503,234.42745199457528,233.08155351307772,240.03890178853234,242.1501106011649,242.009802460354,,,215.11555199544873,
8,1985-08-03 00:44:24+00:00,211.6617776132071,214.08011567172295,231.23117732003368,244.52051573257273,249.38608838249084,253.48955244624756,255.14862244676007,,247.29374003408762,243.78709368504173,,
9,1985-08-19 00:44:15+00:00,212.87859943592812,221.36671543839878,233.45025108029984,250.8090886321433,250.5505983145627,250.21407871856658,260.9495544552615,,,,220.53674404813208,218.09765125889973
10,1985-10-22 00:43:30+00:00,,,,,,201.34244133499178,230.9973324202575,228.0842407421141,227.5426277067416,206.41209384908083,187.2196739956163,188.60404454789864
11,1986-09-23 00:34:56+00:00,237.2112971970712,237.04434502811208,223.72358425444122,227.72082344644267,220.57257049817107,217.42611020469485,220.4212742003693,223.7883665494244,228.51430697207425,213.417259290488,215.05557609923233,215.15950385996555
12,1986-11-10 00:33:17+00:00,214.79498196002257,216.9772411868966,,,,243.88121976805263,239.10014217916876,248.31879679301284,,232.52707980079413,,
