dates,satname,nzd0193-0000,nzd0193-0001,nzd0193-0002
1999-07-18 21:58:49+00:00,L7,345.38,328.49,352.86
1999-08-12 21:52:44+00:00,L7,352.70,351.72,376.89
1999-09-13 21:52:41+00:00,L7,329.37,330.78,345.37
1999-09-29 21:52:52+00:00,L7,353.80,354.11,374.16
1999-10-15 21:52:49+00:00,L7,348.02,341.03,354.40
1999-10-22 21:58:52+00:00,L7,354.30,360.79,365.52
1999-11-23 21:58:47+00:00,L7,,,356.38
1999-12-02 21:52:40+00:00,L7,355.60,363.13,435.72
1999-12-09 21:58:57+00:00,L7,338.38,340.26,350.23
2000-01-19 21:52:37+00:00,L7,360.05,354.52,376.72
2000-02-04 21:52:37+00:00,L7,362.72,368.43,377.40
2000-02-11 21:58:45+00:00,L7,371.82,371.73,384.18
2000-02-20 21:52:29+00:00,L7,353.28,354.24,365.60
2000-03-14 21:58:35+00:00,L7,358.74,353.99,368.79
2000-03-30 21:58:33+00:00,L7,359.83,365.98,405.16
2000-05-01 21:58:18+00:00,L7,360.29,360.92,420.48
2000-05-26 21:51:48+00:00,L7,368.49,370.63,373.25
2000-06-18 21:57:51+00:00,L7,354.47,362.29,465.87
2000-07-29 21:51:02+00:00,L7,364.41,368.77,465.88
2000-08-05 21:57:08+00:00,L7,327.08,316.65,332.66
2000-08-14 21:50:56+00:00,L7,347.65,340.15,435.42
2000-09-15 21:50:25+00:00,L7,330.88,336.03,352.60
2000-10-17 21:50:01+00:00,L7,349.32,354.76,435.74
2000-11-09 21:56:21+00:00,L7,,,542.09
2000-12-20 21:50:16+00:00,L7,353.10,350.47,365.12
2001-01-05 21:50:16+00:00,L7,357.88,366.24,377.06
2001-01-12 21:56:30+00:00,L7,300.42,302.50,316.31
2001-03-10 21:50:10+00:00,L7,326.02,324.25,341.99
2001-06-05 21:55:40+00:00,L7,347.60,344.70,465.72
2001-06-21 21:55:29+00:00,L7,355.41,355.40,450.98
2001-06-30 21:49:12+00:00,L7,353.00,353.74,450.96
2001-09-09 21:54:36+00:00,L7,360.22,345.84,435.58
2001-09-25 21:54:28+00:00,L7,368.06,354.87,435.61
2001-10-11 21:54:09+00:00,L7,361.13,360.99,376.75
2001-11-05 21:48:14+00:00,L7,340.65,342.44,354.57
2002-01-24 21:48:42+00:00,L7,369.22,367.96,420.27
2002-01-31 21:54:50+00:00,L7,328.63,330.02,333.31
2002-02-25 21:48:47+00:00,L7,362.36,353.14,377.32
2002-03-20 21:54:48+00:00,L7,356.42,356.14,362.01
2002-03-29 21:48:39+00:00,L7,347.23,345.52,359.29
2002-04-05 21:54:49+00:00,L7,346.27,350.96,354.49
2002-06-01 21:48:28+00:00,L7,352.05,353.14,451.04
2002-07-19 21:48:09+00:00,L7,296.55,284.96,292.73
2002-08-20 21:47:58+00:00,L7,364.90,352.97,363.50
2002-08-27 21:54:00+00:00,L7,358.86,354.62,374.51
2002-10-07 21:47:33+00:00,L7,349.41,343.99,435.52
2002-10-14 21:53:43+00:00,L7,360.27,357.30,435.60
