dates,satname,nzd0446-0000,nzd0446-0001,nzd0446-0002,nzd0446-0003,nzd0446-0004,nzd0446-0005,nzd0446-0006,nzd0446-0007,nzd0446-0008,nzd0446-0009,nzd0446-0010,nzd0446-0011,nzd0446-0012,nzd0446-0013,nzd0446-0014,nzd0446-0015,nzd0446-0016,nzd0446-0017,nzd0446-0018,nzd0446-0019,nzd0446-0020,nzd0446-0021,nzd0446-0022,nzd0446-0023,nzd0446-0024,nzd0446-0025,nzd0446-0026,nzd0446-0027,nzd0446-0028,nzd0446-0029,nzd0446-0030,nzd0446-0031,nzd0446-0032,nzd0446-0033,nzd0446-0034,nzd0446-0035,nzd0446-0036,nzd0446-0037,nzd0446-0038,nzd0446-0039,nzd0446-0040,nzd0446-0041,nzd0446-0042,nzd0446-0043,nzd0446-0044,nzd0446-0045,nzd0446-0046,nzd0446-0047,nzd0446-0048,nzd0446-0049,nzd0446-0050,nzd0446-0051,nzd0446-0052,nzd0446-0053,nzd0446-0054,nzd0446-0055,nzd0446-0056,nzd0446-0057,nzd0446-0058,nzd0446-0059,nzd0446-0060,nzd0446-0061,nzd0446-0062,nzd0446-0063,nzd0446-0064,nzd0446-0065,nzd0446-0066,nzd0446-0067,nzd0446-0068,nzd0446-0069,nzd0446-0070,nzd0446-0071,nzd0446-0072,nzd0446-0073,nzd0446-0074,nzd0446-0075,nzd0446-0076,nzd0446-0077,nzd0446-0078,nzd0446-0079,nzd0446-0080,nzd0446-0081,nzd0446-0082,nzd0446-0083,nzd0446-0084,nzd0446-0085,nzd0446-0086,nzd0446-0087,nzd0446-0088,nzd0446-0089,nzd0446-0090,nzd0446-0091,nzd0446-0092,nzd0446-0093,nzd0446-0094,nzd0446-0095,nzd0446-0096,nzd0446-0097,nzd0446-0098,nzd0446-0099,nzd0446-0100,nzd0446-0101,nzd0446-0102,nzd0446-0103,nzd0446-0104,nzd0446-0105,nzd0446-0106,nzd0446-0107,nzd0446-0108,nzd0446-0109,nzd0446-0110,nzd0446-0111,nzd0446-0112,nzd0446-0113,nzd0446-0114,nzd0446-0115,nzd0446-0116,nzd0446-0117,nzd0446-0118,nzd0446-0119,nzd0446-0120,nzd0446-0121,nzd0446-0122,nzd0446-0123,nzd0446-0124,nzd0446-0125,nzd0446-0126,nzd0446-0127,nzd0446-0128,nzd0446-0129,nzd0446-0130,nzd0446-0131,nzd0446-0132,nzd0446-0133,nzd0446-0134,nzd0446-0135,nzd0446-0136,nzd0446-0137,nzd0446-0138,nzd0446-0139,nzd0446-0140,nzd0446-0141,nzd0446-0142,nzd0446-0143,nzd0446-0144,nzd0446-0145,nzd0446-0146,nzd0446-0147,nzd0446-0148,nzd0446-0149,nzd0446-0150,nzd0446-0151,nzd0446-0152,nzd0446-0153,nzd0446-0154,nzd0446-0155,nzd0446-0156,nzd0446-0157,nzd0446-0158,nzd0446-0159,nzd0446-0160,nzd0446-0161,nzd0446-0162,nzd0446-0163,nzd0446-0164
1999-10-27 22:19:03+00:00,L7,126.09,147.58,168.20,185.60,202.42,223.73,240.96,261.16,281.05,298.99,313.05,327.48,327.31,330.21,332.08,337.74,342.50,346.58,346.38,350.62,352.75,363.36,362.81,366.78,372.60,371.82,367.31,369.30,366.47,370.37,368.75,370.48,371.60,369.74,369.67,372.37,372.41,371.67,368.89,368.99,363.17,362.99,365.61,363.88,367.52,365.73,366.89,373.29,377.54,376.12,376.99,373.66,374.12,370.77,368.04,367.60,365.85,364.61,364.94,365.06,359.55,362.29,363.15,364.52,367.18,367.74,369.38,370.86,367.51,373.81,375.17,375.20,376.08,376.84,376.53,377.12,376.22,371.49,371.63,370.47,363.59,376.77,375.53,369.71,374.75,369.98,367.91,366.50,362.28,358.42,359.03,366.29,363.13,363.85,363.05,358.57,367.00,367.24,361.42,362.21,353.50,326.60,382.82,386.62,384.61,379.39,382.70,380.42,384.41,385.72,384.98,,,,,,,,,,,,,,,,,,,,,,,,,130.60,,362.85,360.37,355.76,363.22,355.89,356.38,369.43,367.98,369.28,373.27,369.16,368.79,367.20,363.90,357.04,359.18,355.62,359.33,359.94,356.01,350.28,355.18,349.03,351.75,353.13,345.87,342.78,355.66
1999-11-21 22:12:47+00:00,L7,,,,,,230.64,250.98,269.15,288.01,304.73,323.85,335.71,338.00,340.26,344.33,348.56,353.51,355.66,361.79,363.47,370.81,372.98,375.21,379.27,382.87,383.50,384.07,384.18,385.04,379.86,378.46,378.52,383.66,382.83,385.04,389.32,384.98,386.17,385.74,375.54,381.22,382.01,379.68,386.65,380.71,382.22,385.55,382.76,383.37,378.86,376.94,377.94,375.41,374.22,378.88,377.44,384.45,380.76,380.20,382.27,381.41,385.28,384.40,381.74,381.38,380.60,383.49,382.85,382.72,384.05,382.15,385.53,386.39,388.68,388.37,392.61,384.56,383.51,384.35,383.11,382.47,380.00,380.69,383.57,377.12,377.54,374.23,374.26,372.98,374.08,372.17,374.62,372.63,378.34,383.86,393.55,388.89,342.45,378.87,370.15,385.16,386.74,379.84,385.76,385.45,385.41,387.73,386.37,389.67,395.10,392.60,400.99,395.94,390.26,386.80,383.87,378.96,376.09,372.58,372.63,370.13,367.98,368.50,369.79,369.70,375.24,374.18,376.35,379.70,382.16,382.95,384.64,386.04,380.23,381.62,382.01,379.09,377.86,376.21,376.33,373.53,377.73,369.99,371.67,373.31,378.50,374.65,374.49,369.55,374.18,372.49,371.56,367.65,366.21,361.19,360.20,353.28,342.83,346.74,338.36,340.68,335.67,333.35,341.41,355.28
1999-11-28 22:18:56+00:00,L7,126.41,145.35,167.38,188.69,204.31,224.08,244.15,261.84,281.17,299.41,316.37,324.44,329.19,331.82,337.43,339.97,341.04,349.53,355.83,356.48,363.09,365.85,371.55,375.94,377.35,377.89,374.82,373.56,373.97,374.65,376.71,374.07,369.44,374.89,375.89,378.54,376.44,377.41,378.24,377.91,374.36,375.74,374.27,377.16,375.89,372.78,372.45,377.56,376.75,378.87,377.61,377.27,377.80,379.93,378.13,378.47,381.25,377.43,375.05,373.58,374.00,370.14,367.19,369.31,371.62,372.88,372.85,373.37,367.66,370.83,372.93,379.49,377.60,383.17,383.27,383.85,382.92,380.32,376.68,374.28,371.36,371.17,373.19,376.26,371.37,368.13,369.67,369.09,365.60,366.00,366.43,366.86,371.04,375.01,400.20,388.11,371.20,374.20,361.71,369.67,370.77,369.81,369.26,373.95,376.52,379.94,382.40,388.10,388.73,386.02,385.38,388.53,383.72,377.66,380.31,376.00,371.90,366.89,370.74,367.95,366.61,365.90,362.98,360.38,367.14,363.30,363.26,367.42,364.46,371.90,376.41,374.42,371.97,377.84,375.93,373.94,367.50,366.22,368.57,363.81,364.16,367.13,364.30,367.62,365.19,368.58,366.74,368.53,367.16,363.74,363.88,361.03,360.21,357.07,352.22,349.14,347.62,344.09,342.93,341.38,337.00,334.98,335.80,343.76,365.15
1999-12-07 22:13:17+00:00,L7,109.51,130.95,153.23,172.37,185.94,213.08,232.06,249.93,270.67,288.98,302.61,313.09,312.99,318.15,317.33,321.05,325.81,327.62,329.50,339.86,346.29,349.81,352.26,355.03,361.27,364.01,361.66,364.32,356.13,359.86,360.96,356.46,358.44,361.95,361.00,360.63,359.54,353.64,355.88,352.98,359.53,362.49,364.19,362.37,363.12,361.02,358.55,358.98,355.29,355.54,351.85,357.98,363.44,363.70,363.77,364.73,360.96,358.05,362.17,360.27,355.22,357.27,357.19,357.29,359.32,359.68,362.26,358.40,356.98,360.15,362.47,364.43,367.33,369.55,369.39,369.28,366.25,366.69,364.40,360.62,362.75,361.48,362.38,,352.90,353.93,351.46,352.49,352.70,352.81,353.42,355.64,353.34,363.61,376.39,359.64,339.19,339.24,350.58,307.26,352.36,356.44,354.66,362.02,366.07,366.54,367.59,368.21,376.47,378.30,377.75,372.47,369.41,367.55,365.72,362.16,359.71,356.91,353.03,352.73,353.78,352.49,350.18,349.20,343.53,347.32,346.20,351.33,352.57,358.55,360.92,362.99,365.47,361.75,359.35,357.39,354.84,357.49,356.27,352.57,354.60,349.48,353.43,355.61,357.31,362.26,357.83,353.87,352.97,350.92,346.73,346.27,343.38,341.26,335.94,334.95,338.21,329.77,333.39,332.03,336.01,332.02,330.21,339.39,346.30
1999-12-14 22:19:07+00:00,L7,126.56,143.75,166.36,187.20,206.32,225.54,245.05,260.74,279.05,298.40,318.75,325.90,329.49,333.16,334.35,340.58,345.40,349.08,351.04,358.22,365.83,365.62,371.58,372.50,378.18,374.78,371.20,373.36,373.95,373.72,371.39,373.45,372.96,376.79,377.23,380.36,379.56,378.10,373.68,372.36,377.09,375.08,374.30,376.03,376.56,378.34,376.03,376.64,380.20,382.62,378.62,379.25,378.11,379.16,380.85,381.35,382.48,382.07,381.25,379.80,375.57,370.88,370.76,373.69,374.86,372.34,375.38,375.46,374.21,379.84,377.59,379.93,383.89,381.22,382.02,383.92,381.93,377.84,378.89,375.07,374.27,370.92,369.21,373.29,369.37,368.57,369.16,366.09,368.55,373.58,371.74,369.18,374.08,376.44,378.65,386.56,385.22,,,270.15,243.51,236.29,240.88,,,,235.73,266.72,,,388.29,395.33,387.70,388.52,384.02,378.76,373.45,371.09,367.10,366.48,367.94,361.09,358.88,360.79,360.56,364.63,365.12,360.93,369.15,373.24,373.58,379.64,377.50,375.18,378.72,374.41,370.36,368.13,367.87,362.21,368.36,361.91,369.12,368.77,365.85,369.61,365.23,370.39,179.21,199.84,132.91,,,,,,,,,,357.05,354.39,356.54,365.69,375.32
2000-05-15 22:12:30+00:00,L7,109.48,128.91,153.37,168.61,190.58,208.95,232.61,251.72,269.72,291.34,305.95,319.47,326.04,331.92,333.91,339.71,341.50,345.04,348.40,355.41,353.65,362.26,363.95,369.53,369.57,368.82,369.16,364.23,366.32,367.30,369.81,371.11,369.39,367.88,371.36,371.92,372.56,374.82,371.76,368.30,372.75,368.37,369.65,369.43,367.42,367.30,370.91,371.58,369.88,367.44,367.64,369.59,366.26,369.12,368.10,365.03,368.52,368.75,365.23,366.62,368.00,363.57,363.88,363.40,365.90,363.09,368.12,369.85,367.04,365.72,369.73,371.83,371.55,368.50,369.40,367.20,365.40,364.61,363.37,362.08,359.92,361.16,364.17,365.08,365.30,364.14,361.53,365.08,364.40,365.79,363.19,365.11,363.48,366.80,365.38,372.86,374.54,356.09,291.66,268.86,349.27,343.66,350.73,350.04,346.92,359.39,356.65,366.93,368.84,378.08,380.59,383.60,384.89,375.75,371.77,366.57,370.16,367.95,359.98,358.82,352.84,350.40,351.92,355.31,353.67,352.02,354.07,359.78,357.58,362.33,364.91,367.74,361.25,364.93,358.54,356.25,353.88,352.10,352.17,347.87,348.62,345.47,350.19,354.70,356.92,359.42,357.63,354.45,354.81,353.17,353.81,348.55,351.75,354.71,353.55,354.06,358.15,356.07,360.20,361.52,361.48,368.60,375.71,376.84,379.96
2000-08-19 22:11:01+00:00,L7,126.45,133.90,156.56,185.07,202.85,227.29,250.89,268.25,285.29,308.80,329.54,336.21,337.56,341.11,349.84,349.46,354.66,358.61,368.25,373.46,376.70,379.54,389.37,390.24,397.91,402.75,395.79,400.24,397.28,392.97,391.29,392.24,393.72,388.57,391.41,391.57,395.19,398.17,395.62,393.15,394.09,394.33,397.29,396.58,391.66,393.42,393.60,394.72,394.81,392.58,392.20,394.91,392.22,390.81,392.17,394.41,395.09,390.63,389.75,388.07,386.82,386.83,387.11,388.78,385.09,385.41,386.85,389.15,390.82,390.23,389.62,393.10,391.96,395.91,398.93,398.13,393.00,393.66,395.65,397.08,399.75,400.38,399.31,394.34,392.41,392.67,395.03,398.96,396.05,397.97,397.53,,,,,,,,,,,,,,,,,,,,,,,,,395.09,397.01,390.67,390.90,390.05,385.03,383.63,382.72,381.32,380.80,387.65,387.06,387.29,391.53,387.23,393.62,397.88,396.04,392.16,391.96,389.24,387.41,386.30,383.45,385.93,388.76,389.41,390.71,391.74,393.40,393.23,392.43,392.68,390.15,387.40,384.52,377.83,376.79,374.01,376.10,371.10,370.61,367.49,367.77,367.29,365.41,368.22,365.47,366.88,371.17
2000-09-20 22:10:50+00:00,L7,108.00,128.04,151.90,170.52,191.02,211.14,232.01,258.73,276.22,299.02,316.50,325.71,329.38,333.98,339.61,345.17,352.43,355.29,359.15,362.28,366.34,368.79,372.95,377.35,382.65,381.69,377.49,380.16,381.13,381.29,382.50,384.72,381.78,380.41,381.90,375.94,376.17,378.07,375.60,378.23,376.80,376.30,376.07,379.98,381.86,378.51,384.62,383.17,386.32,386.65,383.41,381.34,377.90,375.77,380.22,380.54,384.33,380.73,377.93,378.62,378.80,378.63,376.05,371.38,373.28,374.53,372.73,377.09,379.36,377.00,377.21,380.58,378.34,386.09,389.75,385.34,383.73,382.87,384.06,383.64,386.67,386.69,383.14,384.67,385.48,380.69,376.54,379.29,377.34,381.98,379.95,375.03,377.98,385.05,376.84,379.83,369.43,373.42,371.21,374.47,372.76,375.04,377.61,378.51,380.54,382.34,386.80,386.13,395.59,396.21,398.67,399.30,395.65,,392.56,392.13,389.79,384.61,381.33,378.43,373.99,372.22,369.85,376.61,378.80,379.08,380.32,381.50,383.09,380.26,379.25,380.61,380.56,378.95,375.38,376.70,367.32,372.22,368.77,363.29,361.54,362.05,365.28,366.50,368.95,372.90,367.85,369.76,370.77,365.29,366.76,364.75,363.34,360.48,360.10,358.22,359.96,355.30,352.17,348.79,349.37,343.18,338.33,342.12,363.03
2000-09-27 22:16:36+00:00,L7,90.65,110.18,130.99,154.75,170.58,193.84,219.30,237.79,257.78,275.23,295.41,309.06,313.61,317.15,324.95,330.10,339.48,338.47,351.82,358.34,361.00,365.05,368.89,371.30,375.03,377.32,376.30,367.60,367.20,368.34,371.04,370.68,365.75,364.94,369.77,369.30,370.44,369.63,362.91,367.75,369.72,366.34,369.86,370.87,367.13,367.26,368.08,367.30,365.60,368.04,365.22,362.57,367.08,364.34,366.16,370.05,366.67,363.97,365.20,366.63,361.25,358.97,358.23,355.54,357.84,364.42,363.87,364.32,362.79,366.21,366.75,367.46,368.28,369.90,370.00,370.76,374.40,371.43,373.12,371.83,370.46,371.81,371.85,372.22,371.49,370.58,367.08,373.21,378.48,374.51,374.05,375.08,374.23,370.69,370.78,344.91,366.68,370.66,371.85,369.14,366.43,362.99,363.21,368.26,371.84,369.97,375.48,378.74,378.75,384.43,385.07,386.36,391.32,387.55,382.83,381.12,375.89,373.51,373.47,371.60,367.39,363.23,367.48,368.06,367.36,366.70,368.93,372.25,376.12,378.72,375.57,380.12,378.36,375.66,369.72,371.36,369.19,366.89,363.35,362.96,365.73,368.87,366.60,370.06,370.05,374.24,371.51,367.58,367.27,366.07,362.52,360.91,359.44,357.82,360.40,358.74,355.37,356.64,355.65,354.09,354.20,349.71,345.04,356.63,362.15
2000-10-06 22:10:47+00:00,L7,98.31,122.54,126.52,148.54,175.74,195.32,219.36,238.83,257.18,273.21,293.05,311.62,315.67,319.84,323.64,330.93,335.95,344.53,354.26,354.74,358.10,363.49,363.54,364.36,367.79,370.38,368.22,368.76,365.03,366.95,368.53,369.98,364.41,363.76,363.28,362.73,363.10,360.76,361.04,360.98,360.53,358.52,362.98,360.87,361.34,364.17,363.59,361.50,362.05,364.81,367.27,368.35,369.54,367.81,368.70,367.86,372.11,366.74,366.13,365.50,359.44,357.15,354.87,359.89,362.63,363.41,361.98,362.04,367.64,365.24,367.34,366.15,365.79,368.93,372.81,375.20,366.66,367.24,365.93,366.22,367.55,367.31,368.17,367.46,367.06,370.37,370.52,368.24,368.75,373.61,379.56,382.43,371.12,326.52,324.90,344.67,339.74,355.46,357.26,360.68,358.70,365.41,368.33,369.17,370.22,369.03,369.78,378.24,377.89,383.83,386.91,387.83,384.73,,377.89,375.99,372.71,373.41,365.13,360.22,360.27,358.25,361.90,368.93,367.12,369.13,369.27,370.72,371.89,375.28,374.73,372.74,372.06,371.34,361.81,361.78,,358.69,356.96,352.15,357.76,356.54,361.32,360.22,361.18,367.28,365.08,359.66,356.99,358.78,356.61,354.74,351.71,354.38,353.93,347.16,346.39,345.15,340.26,341.62,341.00,339.69,340.78,343.85,356.21
