dates,sar1214-0000,sar1214-0001,sar1214-0002,satname
1986-12-22 09:25:33+00:00,,234.89,,L5
1993-03-05 09:22:27+00:00,,256.39,210.17,L5
1999-08-05 09:53:16+00:00,164.18,242.33,177.74,L7
1999-08-12 09:59:25+00:00,165.41,244.51,190.09,L7
1999-08-21 09:53:13+00:00,165.36,244.65,185.77,L7
1999-08-28 09:59:28+00:00,164.97,243.78,187.30,L7
1999-09-13 09:59:23+00:00,163.83,243.34,185.51,L7
1999-09-22 09:53:17+00:00,163.62,242.56,184.86,L7
1999-09-29 09:59:32+00:00,163.44,243.14,186.91,L7
1999-10-15 09:59:30+00:00,163.33,242.89,188.53,L7
1999-10-31 09:59:25+00:00,162.55,241.33,188.53,L7
1999-11-09 09:53:16+00:00,162.28,241.38,189.50,L7
1999-11-16 09:59:25+00:00,161.12,241.29,190.76,L7
1999-12-11 09:53:17+00:00,161.12,240.97,190.76,L7
1999-12-18 09:59:28+00:00,159.64,239.71,190.76,L7
2000-01-03 09:59:21+00:00,159.64,240.12,191.96,L7
2000-02-04 09:59:18+00:00,159.23,240.23,191.94,L7
2000-02-13 09:53:05+00:00,158.49,240.25,189.89,L7
2000-02-20 09:59:11+00:00,157.54,239.98,191.17,L7
2000-02-29 09:52:59+00:00,157.34,239.49,188.18,L7
2000-03-07 09:59:06+00:00,157.58,238.74,185.36,L7
2000-03-16 09:52:55+00:00,157.41,238.91,183.59,L7
2000-04-24 09:58:51+00:00,156.05,237.93,178.85,L7
2000-05-03 09:52:36+00:00,156.80,239.21,180.81,L7
2000-05-19 09:52:25+00:00,159.36,239.66,178.61,L7
2000-06-04 09:52:13+00:00,159.89,238.98,178.69,L7
2000-06-11 09:58:23+00:00,159.67,239.11,176.68,L7
2000-06-20 09:52:10+00:00,161.15,239.21,176.40,L7
2000-07-06 09:51:56+00:00,161.63,239.24,175.84,L7
2000-07-13 09:58:00+00:00,162.14,239.50,177.75,L7
2000-07-22 09:51:40+00:00,162.95,239.90,179.03,L7
2000-07-29 09:57:43+00:00,163.62,240.35,180.73,L7
2000-08-07 09:51:26+00:00,163.91,240.59,180.74,L7
2000-08-14 09:57:37+00:00,164.10,240.18,182.34,L7
2000-08-23 09:51:20+00:00,164.34,240.48,181.62,L7
2000-08-30 09:57:26+00:00,164.45,240.36,182.68,L7
2000-09-08 09:51:05+00:00,165.00,241.41,185.44,L7
2000-09-15 09:57:07+00:00,164.63,241.30,187.99,L7
2000-10-01 09:56:58+00:00,164.79,240.76,187.54,L7
2000-10-10 09:50:42+00:00,164.61,241.00,186.76,L7
2000-11-11 09:50:41+00:00,162.12,240.49,187.03,L7
2000-12-13 09:50:44+00:00,158.81,240.80,189.05,L7
2001-01-05 09:56:57+00:00,156.35,240.91,189.75,L7
2001-01-14 09:50:50+00:00,153.88,239.89,188.65,L7
2001-03-10 09:56:51+00:00,142.61,236.98,177.18,L7
2001-03-19 09:50:34+00:00,142.85,237.34,176.66,L7
2001-04-04 09:50:23+00:00,142.80,238.43,180.69,L7
2001-05-06 09:50:23+00:00,160.26,238.76,181.68,L7
2001-05-13 09:56:27+00:00,183.28,240.91,186.23,L7
2001-05-29 09:56:18+00:00,196.33,241.06,189.07,L7
2001-06-07 09:49:59+00:00,206.81,241.75,190.69,L7
2001-06-14 09:56:07+00:00,225.06,242.53,189.24,L7
2001-06-23 09:49:46+00:00,233.39,244.40,190.10,L7
2001-06-30 09:55:52+00:00,239.00,244.46,191.18,L7
2001-07-25 09:49:36+00:00,260.60,246.68,189.50,L7
2001-08-01 09:55:40+00:00,260.60,246.43,190.18,L7
2001-08-10 09:49:18+00:00,264.27,246.44,190.52,L7
2001-08-17 09:55:21+00:00,264.27,245.37,190.52,L7
2001-08-26 09:49:07+00:00,264.27,245.22,189.83,L7
2001-09-11 09:48:55+00:00,277.49,245.43,192.86,L7
2001-09-18 09:54:59+00:00,289.14,245.23,192.72,L7
2001-09-27 09:48:46+00:00,290.19,245.00,192.72,L7
2001-10-04 09:54:47+00:00,302.51,244.88,192.42,L7
2001-10-13 09:48:31+00:00,302.40,244.79,191.75,L7
2001-10-29 09:48:38+00:00,302.25,244.48,192.07,L7
2001-11-05 09:54:55+00:00,289.46,244.08,193.11,L7
2001-11-14 09:48:50+00:00,276.96,243.66,192.24,L7
2001-12-07 09:55:05+00:00,261.44,243.04,190.49,L7
2001-12-16 09:49:01+00:00,248.12,242.73,191.64,L7
2001-12-23 09:55:13+00:00,241.27,241.64,192.12,L7
2002-01-17 09:49:08+00:00,224.40,241.11,191.15,L7
2002-02-02 09:49:11+00:00,224.40,241.59,192.85,L7
2002-02-25 09:55:28+00:00,210.56,241.77,191.19,L7
2002-03-06 09:49:16+00:00,206.94,242.05,189.49,L7
2002-03-13 09:55:25+00:00,195.32,241.88,191.83,L7
2002-03-22 09:49:08+00:00,195.32,242.09,192.49,L7
2002-04-07 09:49:09+00:00,184.78,241.07,192.49,L7
2002-04-14 09:55:20+00:00,171.83,241.55,197.17,L7
