dates,nzd0008-0000,nzd0008-0001,nzd0008-0002,nzd0008-0003,nzd0008-0004,nzd0008-0005,nzd0008-0006,nzd0008-0007,nzd0008-0008,nzd0008-0009,nzd0008-0010,nzd0008-0011,nzd0008-0012,nzd0008-0013,nzd0008-0014,nzd0008-0015,nzd0008-0016,nzd0008-0017,nzd0008-0018,nzd0008-0019,nzd0008-0020,nzd0008-0021,nzd0008-0022,nzd0008-0023,nzd0008-0024,nzd0008-0025,nzd0008-0026,nzd0008-0027,nzd0008-0028,nzd0008-0029,nzd0008-0030,nzd0008-0031,nzd0008-0032,nzd0008-0033,satname
1999-08-17 22:10:26+00:00,362.68,346.11,334.25,333.75,351.75,372.79,374.67,378.14,380.92,385.11,382.98,386.51,393.39,,,416.80,413.73,406.41,394.68,398.06,403.43,404.80,416.07,418.92,419.81,398.01,389.69,378.26,374.26,375.90,352.33,334.80,327.92,282.09,L7
1999-11-21 22:10:24+00:00,368.92,348.05,346.70,347.45,361.27,379.38,377.00,379.54,386.58,385.09,386.70,393.78,396.94,406.80,416.39,417.59,412.65,413.35,407.03,413.73,414.94,415.81,424.31,412.30,406.69,394.15,393.36,383.86,376.28,372.77,350.02,335.67,333.44,308.27,L7
1999-12-07 22:10:30+00:00,369.42,353.36,345.22,355.79,363.39,375.20,364.72,369.23,373.37,377.71,381.52,393.68,395.13,401.39,408.29,406.52,405.40,404.44,397.54,405.34,411.02,405.52,416.30,401.67,394.56,379.10,370.01,365.59,365.55,365.71,338.97,320.53,322.18,298.73,L7
2000-04-29 22:09:53+00:00,376.08,355.54,348.34,350.56,351.39,367.86,366.79,367.15,375.18,382.75,388.18,395.93,401.18,404.79,408.74,411.36,413.44,416.16,423.99,431.12,434.24,431.87,433.78,425.41,418.45,403.83,403.22,393.33,392.63,384.77,361.86,339.89,335.74,,L7
2000-05-15 22:09:42+00:00,375.91,361.26,350.85,355.07,357.97,371.12,365.47,366.13,378.36,,,396.90,399.73,,,410.18,414.17,420.42,418.85,424.18,424.22,425.17,432.06,427.00,411.69,400.70,393.35,391.67,382.82,383.24,360.85,343.47,335.91,293.20,L7
2000-06-16 22:09:26+00:00,380.20,355.64,348.95,348.94,362.23,375.24,365.01,370.83,376.56,,,,392.25,,,412.92,421.39,426.42,419.35,429.92,433.89,430.29,432.46,423.97,409.60,392.55,383.26,386.81,387.99,390.86,364.27,345.61,338.48,302.03,L7
2000-09-04 22:08:22+00:00,372.79,356.23,350.78,355.40,361.89,369.02,358.23,355.90,368.24,380.73,383.74,380.71,386.37,393.34,403.14,407.77,410.72,414.94,424.43,429.31,429.60,432.59,433.87,425.14,408.62,393.86,393.69,387.39,377.85,375.77,351.62,333.86,332.26,276.28,L7
2000-09-20 22:08:03+00:00,378.86,358.38,351.79,354.95,354.57,360.95,358.25,358.43,369.79,378.96,369.43,383.72,397.05,399.53,401.28,405.34,402.70,410.63,415.94,418.56,423.80,422.45,426.33,410.41,402.44,389.69,381.93,369.38,361.60,364.00,343.31,327.07,324.52,,L7
2000-10-06 22:07:59+00:00,378.65,350.47,342.79,346.52,349.88,373.19,370.28,366.39,370.26,374.91,369.57,380.89,392.23,404.19,407.78,418.35,417.28,423.27,426.59,426.84,420.95,425.60,426.76,422.01,411.01,402.48,396.23,385.98,375.72,382.28,363.44,342.88,348.83,,L7
2000-10-22 22:07:50+00:00,379.05,352.33,337.98,340.95,354.37,378.09,375.14,372.37,368.60,370.67,368.15,371.49,384.60,401.05,404.82,413.44,407.14,406.01,397.91,401.41,405.11,411.22,410.81,406.52,405.07,402.08,395.93,375.69,360.55,359.99,343.52,321.85,330.80,280.53,L7
2000-12-25 22:08:03+00:00,370.02,351.65,343.74,342.46,347.52,360.37,358.73,356.44,373.01,373.66,372.00,387.97,395.36,398.22,405.46,401.02,406.70,409.08,396.82,405.59,406.91,397.50,399.59,396.09,393.01,369.08,363.17,358.51,357.02,365.31,338.00,318.29,315.11,294.11,L7
2001-01-26 22:08:07+00:00,400.58,363.84,359.30,363.94,374.79,389.10,378.18,382.66,385.31,391.75,398.84,397.01,402.00,411.38,420.04,416.91,419.03,421.68,415.93,425.09,423.85,423.89,427.85,424.42,425.13,400.75,400.48,386.95,383.85,383.88,349.89,339.48,339.16,314.64,L7
2001-04-16 22:07:42+00:00,365.59,343.05,340.99,353.75,361.85,374.44,366.01,360.79,374.14,384.03,384.97,395.90,397.55,407.39,406.41,407.84,407.30,407.47,411.61,419.98,420.71,423.12,418.27,420.31,410.38,387.33,366.89,368.62,363.80,371.78,351.30,336.46,332.59,279.37,L7
2001-05-18 22:07:26+00:00,399.13,370.60,353.10,355.81,379.67,400.16,404.18,399.51,402.15,390.09,399.83,418.63,419.42,420.61,420.22,415.83,429.37,414.59,397.72,425.85,418.84,439.77,448.96,442.19,430.69,420.59,419.24,409.79,415.14,411.38,391.63,368.42,358.33,344.90,L7
2001-06-03 22:07:16+00:00,384.71,362.35,348.94,357.64,372.17,385.66,381.67,383.47,393.81,395.06,398.62,402.88,404.32,,,424.17,425.25,427.00,431.92,436.67,440.98,431.60,430.22,428.03,417.63,405.13,402.69,397.11,389.57,392.46,363.33,347.94,337.84,307.85,L7
2001-06-19 22:07:05+00:00,360.50,345.17,340.59,346.60,359.01,372.65,371.00,372.52,,,,,,,,,419.59,419.52,422.02,424.65,424.54,428.87,427.30,421.00,409.41,392.89,385.28,384.37,379.56,380.82,358.68,343.62,333.94,284.13,L7
2001-08-22 22:06:23+00:00,358.47,345.18,338.35,340.32,355.20,365.98,356.04,362.87,367.29,368.20,375.58,384.27,391.69,401.86,402.07,403.31,410.64,410.89,403.14,408.00,409.84,405.56,412.04,412.39,389.99,374.94,362.56,368.96,368.19,371.87,351.01,334.14,329.30,306.56,L7
2001-12-12 22:06:14+00:00,348.94,339.71,329.01,335.92,334.06,349.08,354.86,346.80,356.94,359.79,361.12,378.26,386.95,395.16,401.85,402.58,400.87,394.07,386.76,389.82,396.08,396.31,400.93,402.15,392.84,379.26,369.96,368.58,361.90,369.44,347.77,324.76,317.22,292.19,L7
2001-12-28 22:06:14+00:00,363.12,343.98,336.50,338.73,349.70,368.16,372.58,369.12,374.62,375.16,379.73,395.21,396.79,403.32,412.57,411.56,414.30,409.88,402.52,403.00,409.70,411.87,424.31,425.54,413.71,393.03,384.44,384.09,379.86,381.75,355.65,333.31,329.34,307.37,L7
2002-03-18 22:06:22+00:00,372.38,358.74,358.47,370.21,381.86,393.74,381.94,376.56,385.86,392.43,401.10,404.55,404.79,404.66,402.71,406.75,406.43,408.40,402.15,411.69,424.77,430.12,430.33,436.84,422.71,397.11,394.66,392.60,386.90,390.33,361.47,338.29,335.85,308.27,L7
2002-06-22 22:06:03+00:00,,342.93,341.85,355.30,363.64,371.53,368.65,336.04,369.69,,,,,,,,,409.69,413.77,422.95,423.23,421.60,425.98,418.68,410.72,398.13,389.88,387.58,381.73,385.28,359.13,334.04,331.56,279.42,L7
2002-07-08 22:06:00+00:00,355.67,348.78,340.98,338.90,340.25,363.94,372.91,359.76,371.68,381.42,371.18,383.34,393.34,,,407.40,409.68,420.19,417.57,416.61,413.66,409.28,414.79,409.95,409.70,385.04,383.66,384.14,376.55,383.20,357.04,345.20,336.86,323.97,L7
2002-07-24 22:05:50+00:00,370.53,361.02,357.63,362.20,366.39,377.99,376.22,373.21,378.32,,381.68,377.70,387.15,,,405.51,411.52,412.29,402.47,416.42,419.45,412.19,414.47,413.91,408.58,383.01,376.20,373.90,372.30,379.24,358.29,336.27,332.79,312.60,L7
2002-11-13 22:05:30+00:00,383.92,354.31,340.01,346.61,364.19,377.51,370.47,369.98,367.53,364.71,370.90,372.10,381.75,391.16,399.31,403.73,400.17,393.90,382.41,389.20,395.76,405.70,412.55,410.60,404.62,385.39,379.46,387.92,377.23,378.56,351.81,330.24,324.78,274.79,L7
2003-01-16 22:06:02+00:00,399.91,370.12,361.68,370.09,379.27,395.35,388.16,390.43,389.97,393.73,395.17,401.16,400.58,412.49,416.35,424.97,423.19,417.37,408.09,419.39,430.52,434.32,438.17,433.47,419.40,403.42,395.03,394.65,394.56,395.46,364.54,353.68,345.70,321.27,L7
2003-05-24 22:06:17+00:00,401.61,359.07,368.54,369.51,377.22,382.44,372.16,373.56,386.89,,,,,,,,,,436.17,429.52,434.74,439.26,437.05,428.03,425.26,428.36,418.94,419.82,409.04,399.31,372.39,354.07,345.83,,L7
2003-11-16 22:06:11+00:00,,360.59,354.98,357.78,359.72,371.43,381.85,376.75,383.60,385.05,378.77,388.49,397.64,409.75,419.49,,,,401.76,404.39,406.25,410.58,407.09,406.95,396.83,386.40,388.29,389.79,382.51,375.34,349.83,331.63,318.91,302.26,L7
2003-12-26 21:56:18+00:00,,,,,373.54,383.43,374.80,,,,,,,,,,,,,,,,,,,,,,,,,334.04,323.57,309.24,L5
2004-02-04 22:06:41+00:00,375.76,354.48,353.61,358.79,367.68,384.11,380.94,376.87,385.56,385.04,383.38,,,,,411.30,410.94,408.07,406.19,413.17,419.58,410.27,411.04,408.34,400.91,390.37,384.23,381.80,379.54,377.87,335.38,,,,L7
2004-04-08 22:06:49+00:00,,347.70,344.74,347.19,344.74,356.01,358.58,358.71,372.77,373.92,379.56,376.27,390.64,,,,,395.14,,,,,,,,,,,,,334.22,319.85,312.93,,L7
2004-05-18 21:58:14+00:00,406.90,381.27,370.94,376.07,382.26,390.97,388.75,386.21,402.89,406.71,416.18,415.82,,,,415.11,428.07,432.28,431.65,429.63,436.40,436.47,439.73,433.37,427.28,414.26,411.40,399.91,400.27,400.63,368.37,352.50,344.96,325.50,L5
2004-06-11 22:06:38+00:00,354.24,340.59,345.94,,,,,,,,,,,,,,,,,,413.64,,,,,409.69,403.27,406.37,382.91,384.16,351.50,331.21,314.59,288.30,L7
2004-06-19 21:59:10+00:00,382.51,362.54,355.67,359.91,365.68,378.35,374.35,388.94,391.85,402.59,405.60,399.21,399.93,394.00,404.49,408.39,421.08,,,,,,,,,,,,,,,,,,L5
2004-07-29 22:06:27+00:00,339.65,339.70,331.80,331.87,336.62,,,,,,,,373.54,,,,,,,,,,,,,358.66,350.77,,,,,,299.34,276.38,L7
2004-08-06 22:00:22+00:00,360.22,364.98,357.64,336.73,360.79,376.04,364.83,371.95,361.22,383.40,380.46,401.26,391.15,386.90,368.90,,,,424.52,428.56,433.21,420.15,421.55,398.10,386.66,390.81,388.83,375.74,384.54,355.47,331.63,308.74,296.82,,L5
2004-08-22 22:00:48+00:00,375.85,357.70,348.55,354.70,365.46,380.93,367.77,362.29,372.40,385.36,390.88,391.33,384.27,372.90,381.80,386.62,390.17,401.45,411.15,419.48,425.73,425.67,419.40,401.45,402.79,404.65,393.83,376.09,362.06,359.25,,,,,L5
