dates,nzd0168-0000,nzd0168-0001,nzd0168-0002,nzd0168-0003,nzd0168-0004,satname
1999-07-18 21:58:49+00:00,352.19,,,343.09,354.94,L7
1999-09-20 21:58:56+00:00,346.33,342.72,343.77,338.79,335.08,L7
1999-10-22 21:58:52+00:00,351.48,351.44,349.50,347.28,388.78,L7
1999-12-09 21:58:33+00:00,350.32,353.08,345.79,344.64,361.73,L7
2000-02-27 21:58:16+00:00,323.35,332.69,337.90,345.28,349.30,L7
2000-03-14 21:58:11+00:00,353.54,350.64,356.83,360.86,,L7
2000-03-30 21:58:33+00:00,354.67,350.52,352.54,349.78,345.33,L7
2000-05-01 21:58:18+00:00,350.05,348.87,349.29,356.41,343.50,L7
2000-08-05 21:56:44+00:00,336.45,335.05,332.48,326.18,348.77,L7
2000-09-22 21:56:05+00:00,355.60,347.34,354.11,340.92,338.04,L7
2000-10-24 21:56:17+00:00,349.18,341.81,342.53,335.92,327.81,L7
2001-01-12 21:56:06+00:00,347.96,340.63,338.34,321.85,364.22,L7
2001-06-05 21:55:16+00:00,347.95,344.31,338.39,345.07,401.72,L7
2001-06-21 21:55:29+00:00,361.87,354.27,360.77,361.93,389.73,L7
2001-09-09 21:54:36+00:00,343.34,330.78,335.94,323.57,418.64,L7
2001-10-11 21:53:46+00:00,353.39,345.90,350.12,346.13,,L7
2002-01-15 21:54:47+00:00,373.07,359.28,355.44,349.87,428.26,L7
2002-01-31 21:54:26+00:00,349.32,335.64,342.36,330.09,,L7
2002-02-16 21:54:54+00:00,326.12,311.75,314.46,301.39,,L7
2002-04-05 21:54:49+00:00,349.97,,,,,L7
2002-08-27 21:53:36+00:00,351.28,340.60,347.96,340.31,,L7
2002-10-14 21:53:43+00:00,356.08,347.18,339.12,338.93,,L7
2002-11-15 21:53:36+00:00,359.56,346.20,346.67,344.98,,L7
2003-01-18 21:54:30+00:00,355.41,353.35,342.81,339.21,415.68,L7
2003-03-23 21:54:40+00:00,332.61,320.77,321.76,310.64,,L7
2003-05-26 21:54:19+00:00,354.40,344.51,340.83,,,L7
2003-08-06 21:42:27+00:00,371.82,348.82,343.83,330.39,,L5
2003-10-17 21:54:15+00:00,,,340.51,337.25,414.83,L7
2003-10-25 21:44:04+00:00,357.99,349.37,330.90,315.26,,L5
2003-11-02 21:54:26+00:00,358.38,346.61,346.73,336.56,,L7
2003-12-04 21:54:43+00:00,,349.51,352.76,337.33,392.61,L7
2004-02-06 21:54:44+00:00,337.10,329.31,327.64,,,L7
2004-02-14 21:44:33+00:00,349.96,339.62,341.74,342.71,,L5
2004-03-25 21:54:54+00:00,353.06,343.94,347.15,339.71,360.20,L7
2004-04-02 21:44:54+00:00,352.25,354.26,347.74,356.20,,L5
2004-04-18 21:45:25+00:00,338.45,334.25,336.40,334.00,338.97,L5
2004-05-04 21:46:16+00:00,,,346.98,320.67,324.01,L5
2004-05-12 21:55:13+00:00,,348.21,346.22,347.70,338.39,L7
2004-05-20 21:46:44+00:00,332.73,329.95,327.22,317.25,337.07,L5
2004-06-21 21:47:40+00:00,,,,342.26,366.56,L5
2004-06-29 21:55:03+00:00,347.38,344.15,341.67,342.64,,L7
2004-07-23 21:48:09+00:00,367.44,354.54,360.36,344.77,359.03,L5
2004-08-16 21:54:26+00:00,,,342.52,339.21,338.43,L7
2004-09-25 21:49:43+00:00,348.45,349.36,341.27,343.09,336.27,L5
2004-10-11 21:50:27+00:00,348.17,342.78,348.09,346.07,338.79,L5
2004-10-27 21:50:23+00:00,352.91,334.66,346.52,351.48,357.95,L5
2005-01-15 21:51:45+00:00,382.17,,373.22,371.39,389.17,L5
2005-02-08 21:55:11+00:00,339.83,335.58,334.08,335.61,,L7
2005-02-24 21:55:17+00:00,357.66,348.44,345.73,348.61,357.38,L7
2005-03-04 21:52:28+00:00,,,370.24,,,L5
2005-03-12 21:55:20+00:00,345.34,333.20,341.40,330.97,343.71,L7
2005-04-13 21:55:12+00:00,337.59,325.55,332.12,327.07,,L7
2005-04-21 21:53:10+00:00,357.28,350.82,349.71,362.25,421.79,L5
2005-05-23 21:53:00+00:00,358.67,349.73,350.92,363.60,411.57,L5
2005-05-31 21:55:35+00:00,360.75,,,,396.78,L7
2005-06-08 21:53:09+00:00,376.57,366.72,369.18,364.51,425.88,L5
2005-08-03 21:55:25+00:00,365.98,354.26,357.46,348.78,,L7
2005-08-19 21:55:20+00:00,360.04,,,340.08,341.29,L7
2005-10-30 21:53:39+00:00,343.38,342.70,342.91,336.34,372.84,L5
2006-01-10 21:55:28+00:00,,341.59,343.72,333.88,333.11,L7
2006-02-11 21:55:41+00:00,353.83,334.62,334.51,325.62,330.20,L7
2006-02-19 21:56:39+00:00,343.90,332.02,327.19,326.72,339.45,L5
2006-04-08 21:57:36+00:00,351.67,348.57,349.07,335.47,390.19,L5
2006-05-02 21:56:05+00:00,,352.71,350.52,337.29,351.01,L7
2006-06-19 21:55:36+00:00,351.35,362.24,,,,L7
2006-06-27 21:58:48+00:00,351.35,343.69,346.06,332.52,345.48,L5
2006-07-05 21:55:30+00:00,,349.00,356.97,,336.13,L7
2006-07-13 21:59:02+00:00,358.99,355.34,352.08,349.43,367.79,L5
2006-07-21 21:55:21+00:00,346.28,344.06,347.60,339.13,355.80,L7
2006-08-22 21:55:41+00:00,357.50,348.37,350.21,337.48,339.20,L7
2006-09-23 21:55:06+00:00,,,364.83,349.85,,L7
2006-11-26 21:56:05+00:00,,,,343.07,357.04,L7
2006-12-13 21:54:31+00:00,370.37,365.85,362.31,358.55,351.85,L5
2007-01-05 22:00:52+00:00,362.40,353.49,351.89,349.92,,L5
2007-01-29 21:55:57+00:00,355.23,344.66,347.48,341.27,333.09,L7
2007-03-02 21:56:31+00:00,,341.33,347.36,336.51,332.16,L7
2007-03-18 21:56:33+00:00,359.05,350.68,357.85,346.24,351.43,L7
2007-04-19 21:56:31+00:00,357.72,349.05,353.29,350.21,365.12,L7
2007-05-05 21:56:27+00:00,364.44,354.93,351.44,355.77,367.14,L7
2007-06-06 21:56:17+00:00,361.70,353.01,360.35,,,L7
2007-09-10 21:55:51+00:00,356.59,352.35,354.00,347.29,340.64,L7
2007-09-26 21:55:23+00:00,341.38,330.22,334.02,329.33,355.62,L7
2007-10-12 21:55:23+00:00,368.60,,,348.32,,L7
2008-01-16 21:55:59+00:00,,328.44,329.97,328.31,333.44,L7
2008-02-01 21:56:21+00:00,,346.53,349.92,341.32,339.93,L7
2008-03-04 21:55:48+00:00,354.32,345.42,349.07,338.84,332.20,L7
2008-04-21 21:55:44+00:00,346.94,344.08,338.22,337.58,346.40,L7
2008-05-07 21:55:40+00:00,343.54,335.13,,,354.26,L7
2008-08-27 21:54:42+00:00,355.10,348.80,348.86,344.64,354.65,L7
2008-09-28 21:54:48+00:00,357.51,,,350.63,342.55,L7
2008-12-09 21:49:42+00:00,350.75,344.08,338.50,342.19,335.29,L5
2008-12-25 21:50:34+00:00,368.00,355.06,353.31,347.67,,L5
2009-01-02 21:55:15+00:00,362.34,343.47,342.01,335.25,351.87,L7
2009-03-23 21:56:15+00:00,359.15,349.70,352.48,339.87,334.93,L7
2009-04-08 21:55:56+00:00,361.47,352.37,345.70,,342.74,L7
2009-05-10 21:56:03+00:00,344.22,342.43,336.86,322.78,341.92,L7
2009-07-13 21:56:21+00:00,318.07,312.44,312.38,306.84,328.56,L7
2009-07-29 21:56:16+00:00,,,352.52,345.03,354.94,L7
2009-11-26 21:56:28+00:00,345.78,342.91,336.90,333.70,365.68,L5
2009-12-20 21:57:07+00:00,335.21,326.70,,,346.12,L7
2010-01-05 21:57:24+00:00,,356.74,346.38,339.11,359.92,L7
2010-01-13 21:56:49+00:00,349.70,344.14,333.36,333.16,339.86,L5
2010-02-06 21:57:27+00:00,,,345.81,346.59,348.93,L7
2010-03-10 21:58:08+00:00,,,,339.92,335.75,L7
2010-03-26 21:57:49+00:00,358.57,364.94,351.64,361.41,,L7
2010-04-11 21:57:51+00:00,,353.63,340.00,333.80,334.45,L7
2010-04-27 21:57:49+00:00,362.33,346.53,351.04,330.26,336.69,L7
2010-05-13 21:58:09+00:00,,,343.68,,343.49,L7
2010-05-29 21:58:09+00:00,366.24,353.74,358.70,344.58,,L7
2010-06-30 21:58:13+00:00,358.39,,,348.24,,L7
2010-07-16 21:58:15+00:00,,357.86,,,,L7
2010-09-18 21:58:19+00:00,,,361.54,,363.86,L7
2010-10-04 21:58:17+00:00,367.44,361.91,352.09,351.69,330.31,L7
2010-10-28 21:55:51+00:00,371.66,361.37,360.43,353.27,,L5
2010-11-05 21:58:13+00:00,357.83,344.54,,334.92,339.95,L7
2010-11-21 21:58:50+00:00,362.38,349.30,346.97,334.98,,L7
2010-12-31 21:55:56+00:00,363.98,348.95,346.92,341.06,,L5
2011-01-16 21:55:34+00:00,358.88,354.26,360.48,356.02,,L5
2011-02-01 21:55:59+00:00,361.45,356.23,356.27,351.79,350.83,L5
2011-02-17 21:55:37+00:00,,,340.43,340.21,363.06,L5
2011-02-25 21:59:08+00:00,353.55,344.97,335.64,340.37,340.86,L7
2011-04-06 21:55:50+00:00,362.19,346.59,342.97,335.94,370.78,L5
2011-08-20 21:59:26+00:00,352.64,349.24,347.64,342.77,358.70,L7
2012-01-27 22:00:03+00:00,365.70,,,351.92,368.63,L7
2012-03-15 22:00:09+00:00,360.98,356.55,356.33,352.80,347.28,L7
2012-04-16 22:00:05+00:00,357.16,346.08,348.11,345.49,333.68,L7
2012-05-02 22:00:07+00:00,,348.44,349.58,347.47,,L7
2012-05-11 21:54:32+00:00,369.74,361.23,,,,L7
2012-05-18 22:00:44+00:00,350.09,357.97,353.73,350.34,336.01,L7
2012-08-06 22:00:40+00:00,311.24,,318.14,318.88,355.34,L7
2012-08-22 22:01:14+00:00,349.20,346.54,362.90,348.03,359.37,L7
2012-10-25 22:01:27+00:00,347.44,344.93,349.99,345.48,330.38,L7
2012-11-26 22:02:01+00:00,356.17,356.96,357.39,,,L7
2012-12-12 22:01:41+00:00,,335.89,338.56,336.23,333.49,L7
2013-04-11 22:08:15+00:00,367.43,354.01,367.74,346.00,357.15,L8
2013-05-29 22:07:41+00:00,375.26,362.81,374.81,351.09,372.03,L8
2013-06-22 22:01:14+00:00,353.84,351.42,,,421.04,L7
2013-06-30 22:08:00+00:00,362.19,358.98,364.19,351.45,436.93,L8
2013-07-08 22:01:03+00:00,365.22,362.47,368.44,367.31,438.51,L7
2013-07-16 22:08:00+00:00,356.48,351.39,350.48,349.61,343.03,L8
2013-07-24 22:01:20+00:00,362.64,352.09,361.32,350.00,355.30,L7
2013-08-17 22:07:39+00:00,340.44,342.02,344.00,349.34,369.34,L8
2013-08-25 22:01:25+00:00,349.06,351.95,352.49,,,L7
2013-09-02 22:08:04+00:00,345.20,343.79,344.65,346.92,,L8
2013-09-26 22:01:23+00:00,374.17,355.53,364.90,338.71,346.20,L7
2013-10-20 22:07:26+00:00,351.25,358.61,351.31,351.82,,L8
2013-11-05 22:07:46+00:00,340.91,328.70,338.79,327.57,352.17,L8
2013-11-13 22:01:48+00:00,343.63,340.90,,,334.32,L7
2013-11-21 22:07:13+00:00,347.51,336.71,347.98,336.91,371.02,L8
2013-12-15 22:01:57+00:00,,,347.70,341.95,339.66,L7
2014-02-01 22:02:54+00:00,321.83,308.46,311.58,,,L7
2014-02-09 22:06:57+00:00,350.85,345.83,355.56,348.66,,L8
2014-02-25 22:06:44+00:00,351.22,343.56,350.11,349.09,333.97,L8
2014-03-05 22:02:49+00:00,355.19,,,339.87,360.92,L7
2014-03-29 22:06:15+00:00,355.52,352.74,353.45,346.98,,L8
2014-04-06 22:03:00+00:00,337.09,334.87,334.97,327.16,332.89,L7
2014-04-22 22:02:48+00:00,359.59,354.27,359.43,352.50,348.14,L7
2014-04-30 22:05:22+00:00,368.99,356.25,357.22,350.25,,L8
2014-05-08 22:02:53+00:00,358.41,,,342.84,338.69,L7
2014-05-16 22:05:09+00:00,368.13,356.61,361.31,348.11,361.98,L8
2014-07-27 22:03:38+00:00,361.24,,,359.15,,L7
2014-08-04 22:05:38+00:00,366.95,354.33,362.24,349.76,,L8
2014-08-12 22:03:41+00:00,353.09,346.88,352.34,345.74,361.51,L7
2014-08-20 22:06:06+00:00,358.24,349.02,352.80,347.71,,L8
2014-10-07 22:06:13+00:00,359.53,349.36,348.82,347.22,,L8
2014-11-08 22:05:52+00:00,363.63,357.15,350.06,345.89,363.00,L8
2014-12-18 22:04:33+00:00,,336.13,328.35,320.83,,L7
2015-02-20 22:04:48+00:00,344.52,316.47,311.19,,366.25,L7
2015-02-28 22:05:24+00:00,361.62,350.91,353.12,341.88,,L8
2015-03-16 22:05:13+00:00,342.50,336.91,327.01,322.75,315.20,L8
2015-03-24 22:04:40+00:00,346.20,335.78,335.32,322.50,344.50,L7
2015-05-27 22:05:30+00:00,351.85,346.93,352.07,,339.39,L7
2015-06-04 22:05:12+00:00,367.92,354.29,350.07,345.03,360.91,L8
2015-06-12 22:05:14+00:00,353.27,348.26,349.71,348.60,385.83,L7
2015-06-20 22:04:57+00:00,375.22,351.37,350.32,345.80,367.99,L8
2015-07-22 22:05:37+00:00,365.26,351.74,344.75,344.66,,L8
2015-08-07 22:05:16+00:00,348.70,336.63,337.29,330.95,334.13,L8
2015-08-15 22:05:52+00:00,326.50,320.02,325.72,308.51,333.58,L7
2015-08-23 22:05:24+00:00,357.05,347.84,316.43,,,L8
2015-09-16 22:05:58+00:00,374.63,362.88,367.55,,,L7
2015-12-21 22:06:54+00:00,,,348.74,348.23,337.28,L7
2015-12-29 22:06:09+00:00,361.76,346.87,354.44,346.14,373.72,L8
2016-01-22 22:07:21+00:00,345.13,342.72,338.94,341.10,337.53,L7
2016-05-13 22:08:02+00:00,,,366.99,368.10,367.83,L7
2016-05-21 22:05:14+00:00,342.28,347.22,349.86,354.12,346.18,L8
2016-05-29 22:08:31+00:00,358.13,,,,,L7
2016-06-30 22:08:12+00:00,346.36,347.48,347.35,358.37,383.77,L7
2016-07-16 22:08:36+00:00,,,,,373.56,L7
2016-07-24 22:06:01+00:00,349.92,354.30,352.55,345.75,371.12,L8
2016-08-01 22:08:38+00:00,343.36,335.86,336.28,,,L7
2016-08-17 22:08:39+00:00,344.96,341.50,346.02,333.76,336.68,L7
2016-09-10 22:05:51+00:00,351.36,336.58,331.95,336.51,336.96,L8
2016-09-18 22:08:45+00:00,343.35,350.29,341.03,338.81,350.11,L7
2016-10-04 22:08:47+00:00,360.08,359.26,347.24,343.44,358.34,L7
2016-10-12 22:06:21+00:00,366.19,349.28,356.12,343.42,,L8
2016-11-05 22:08:15+00:00,350.96,,,343.40,357.58,L7
2016-11-21 22:08:33+00:00,,352.87,359.86,344.20,355.39,L7
2017-01-16 22:05:47+00:00,371.05,359.48,353.21,344.50,373.83,L8
2017-02-01 22:05:40+00:00,369.15,365.40,363.91,348.96,374.91,L8
2017-02-09 22:07:31+00:00,335.02,327.49,325.71,,,L7
2017-02-25 22:07:41+00:00,353.47,,356.25,343.30,347.20,L7
2017-03-05 22:05:50+00:00,365.05,357.34,362.21,347.37,,L8
2017-03-13 22:08:12+00:00,366.01,357.76,364.15,345.81,359.39,L7
2017-04-06 22:05:10+00:00,348.02,346.42,349.01,341.14,388.87,L8
2017-04-30 22:08:28+00:00,351.64,351.08,,,368.61,L7
2017-05-08 22:04:59+00:00,359.82,356.37,338.43,325.74,348.54,L8
2017-05-24 22:05:34+00:00,353.34,350.92,352.77,346.98,,L8
2017-06-25 22:05:47+00:00,338.99,348.13,348.56,344.83,360.27,L8
2017-07-03 22:08:41+00:00,,334.69,336.54,,333.84,L7
2017-07-11 22:05:50+00:00,368.79,354.74,365.82,349.14,361.04,L8
2017-08-12 22:05:40+00:00,349.72,335.26,345.36,346.59,369.09,L8
2017-08-28 22:05:44+00:00,351.72,342.80,345.61,343.29,350.73,L8
2017-11-08 22:08:39+00:00,371.49,363.93,,,376.88,L7
2017-12-02 22:05:46+00:00,348.21,345.18,347.79,343.05,334.53,L8
2018-01-11 22:08:02+00:00,348.90,,,347.45,336.49,L7
2018-01-27 22:07:23+00:00,348.72,347.32,349.27,351.18,338.94,L7
2018-03-08 22:05:15+00:00,351.87,349.29,346.38,339.42,346.95,L8
2018-04-01 22:06:35+00:00,346.57,343.72,,,348.41,L7
2018-04-17 22:06:43+00:00,,,364.36,348.32,372.42,L7
2018-04-25 22:05:14+00:00,356.80,357.03,354.24,359.57,417.20,L8
2018-05-03 22:06:26+00:00,339.17,332.58,338.78,337.57,,L7
2018-05-19 22:06:11+00:00,367.19,364.27,370.92,,,L7
2018-05-27 22:04:28+00:00,350.85,352.76,355.56,363.05,407.00,L8
2018-06-12 22:04:53+00:00,338.25,344.30,344.36,346.00,420.93,L8
2018-06-28 22:05:04+00:00,361.95,354.19,363.89,347.24,408.02,L8
2018-07-06 22:04:54+00:00,363.22,357.98,,361.05,435.89,L7
2018-07-22 22:04:37+00:00,360.11,349.11,358.43,364.63,419.05,L7
2018-08-15 22:05:28+00:00,350.08,352.76,350.85,345.98,,L8
2018-08-23 22:04:25+00:00,,,359.78,363.19,421.32,L7
2018-08-31 22:05:35+00:00,330.71,328.58,326.45,327.07,,L8
2018-09-08 22:04:05+00:00,351.29,347.46,,,,L7
2018-09-24 22:03:19+00:00,347.11,342.23,340.23,341.10,,L7
2018-10-02 22:05:23+00:00,364.85,354.26,346.95,348.73,428.14,L8
2018-10-18 22:05:53+00:00,356.05,350.24,354.65,352.56,349.47,L8
2019-01-06 22:05:29+00:00,362.43,353.51,363.06,345.83,355.72,L8
2019-01-22 22:05:50+00:00,358.45,360.70,371.03,353.04,365.49,L8
2019-01-30 22:00:18+00:00,350.99,346.38,351.45,350.98,393.46,L7
2019-02-15 21:59:26+00:00,350.56,347.88,348.16,,,L7
2019-03-03 21:59:20+00:00,351.29,350.35,349.28,350.30,,L7
2019-04-04 21:57:52+00:00,346.65,346.00,347.35,342.35,,L7
2019-04-12 22:05:06+00:00,356.31,352.34,356.99,346.10,412.91,L8
2019-05-22 21:56:04+00:00,,371.75,374.05,372.90,,L7
2019-06-15 22:05:51+00:00,351.70,354.02,356.65,362.23,404.44,L8
2019-06-23 21:54:55+00:00,374.00,376.23,388.28,376.89,380.22,L7
2019-07-17 22:05:59+00:00,363.97,355.59,365.86,368.90,409.79,L8
2019-08-10 21:53:01+00:00,349.57,,,349.43,417.67,L7
2019-08-18 22:06:11+00:00,334.53,331.01,332.04,,,L8
2019-08-26 21:52:21+00:00,357.67,350.48,,,417.43,L7
2019-09-19 22:06:20+00:00,369.15,357.24,347.71,343.38,425.49,L8
2019-10-29 21:50:00+00:00,352.87,339.81,344.15,340.36,,L7
2019-11-06 22:06:24+00:00,354.02,349.06,355.16,348.02,,L8
