dates,satname,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0003,nzd0070-0004,nzd0070-0005,nzd0070-0006,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0029,nzd0070-0030,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036
1999-08-26 22:04:44+00:00,L7,377.14,400.28,355.92,327.05,358.91,351.23,338.71,339.08,354.65,326.83,306.90,336.77,328.31,337.48,341.56,342.42,331.06,325.90,307.53,292.74,332.57,339.49,307.98,324.71,317.40,323.28,321.13,322.15,323.67,350.07,322.08,301.16,317.22,346.90,341.97,321.72,352.16
1999-10-04 22:10:38+00:00,L7,,,,,,,,,,,,,,,,,,,,421.22,423.47,421.96,412.37,415.81,421.16,422.28,417.78,414.68,404.01,412.29,409.91,409.27,416.55,,,,
2000-03-28 22:10:07+00:00,L7,462.81,448.31,448.66,436.77,423.24,430.60,433.16,433.97,424.29,431.64,419.10,427.56,426.70,428.44,428.48,422.07,421.65,417.68,412.55,410.86,418.58,416.19,411.50,408.39,412.26,408.21,417.88,421.43,428.55,425.06,419.64,406.71,405.85,407.07,405.23,406.46,414.62
2000-04-29 22:09:53+00:00,L7,453.82,450.40,437.98,439.59,426.42,427.50,426.62,424.71,426.15,422.97,413.11,427.30,419.32,424.93,416.77,406.24,370.28,330.98,363.20,,,411.20,406.34,410.99,407.18,400.86,417.75,399.25,400.34,400.22,401.90,390.75,386.38,404.39,,,407.78
2000-05-24 22:03:46+00:00,L7,454.22,458.53,456.35,449.14,457.50,438.82,418.22,419.58,418.90,418.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-31 22:09:54+00:00,L7,412.29,414.82,388.26,367.82,371.45,368.71,365.44,371.44,,,,372.73,356.31,359.54,354.94,352.38,338.99,350.89,,,367.65,379.99,370.97,368.23,,356.10,356.41,346.61,352.63,358.97,366.08,327.25,345.41,354.20,355.40,,
2000-06-16 22:09:50+00:00,L7,424.70,429.71,417.01,400.77,390.51,390.89,375.18,384.41,384.93,366.00,357.41,378.67,373.83,377.09,365.84,355.04,354.22,356.90,,,368.21,386.04,379.98,381.18,392.25,357.20,376.06,365.77,375.45,378.83,382.85,364.67,361.28,365.92,,,
2000-07-11 22:03:17+00:00,L7,,,,,,,,,,,,,,,377.00,363.63,,369.50,344.41,388.34,417.79,407.21,400.19,405.57,,,,,,,,,,,,,
2000-08-12 22:02:54+00:00,L7,,,,,,,,,,,,,,,,,354.78,367.28,354.30,368.17,367.70,379.57,382.65,382.37,399.33,376.68,401.26,,,,,,,,,,
2000-09-13 22:02:26+00:00,L7,579.55,594.02,,,260.66,,,,,,,,245.80,265.56,,,153.47,,,,,,,,,,,,,,,,,,,,
2000-10-15 22:01:56+00:00,L7,,,,365.51,367.34,367.03,354.07,354.78,355.39,354.62,327.90,346.98,357.56,357.34,355.15,349.34,349.86,345.48,335.78,336.11,337.78,347.83,328.64,328.05,339.56,338.64,343.53,343.06,344.85,,,,,,,,
2000-11-23 22:08:18+00:00,L7,418.03,408.67,390.61,372.60,377.92,366.56,354.17,350.67,360.37,358.09,330.87,345.49,350.04,353.95,356.56,357.66,347.05,341.13,334.63,343.64,336.60,359.79,351.91,349.08,349.32,352.41,353.86,348.20,350.06,358.00,357.97,339.75,351.79,358.83,347.39,344.21,365.65
2001-03-08 22:02:09+00:00,L7,377.46,390.35,379.30,350.13,361.02,356.12,346.39,341.96,346.58,340.61,,339.96,342.51,344.88,343.81,337.18,330.81,325.76,323.39,325.49,324.65,338.09,330.99,330.14,322.75,326.00,340.18,324.76,328.16,337.19,340.57,298.23,319.64,341.77,338.26,335.08,344.81
