dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
1999-07-18 21:58:25+00:00,,,,,,,,,,,,,,390.97,364.86,339.55,335.85,331.02,338.68,347.43,355.05,362.11,378.78,392.65,,,346.94,L7
1999-08-26 22:04:44+00:00,379.19,375.95,376.62,375.76,358.27,363.94,372.33,374.44,379.31,370.92,364.35,366.80,388.77,392.38,371.54,340.22,338.44,340.78,337.73,350.18,355.60,361.01,375.84,398.95,376.66,360.41,353.60,L7
1999-09-27 22:04:48+00:00,407.16,372.87,372.17,373.63,360.74,361.01,377.47,379.92,374.53,373.72,379.57,384.84,405.06,405.99,382.49,333.03,327.19,329.57,340.18,352.56,362.27,362.02,387.48,411.55,374.39,356.93,346.19,L7
1999-10-22 21:58:28+00:00,,,,,,,,,,,,,,,354.35,327.28,328.42,328.35,327.67,347.76,344.48,357.49,366.34,389.20,362.45,346.29,342.49,L7
1999-12-25 21:58:28+00:00,392.88,367.72,371.27,372.62,364.60,366.17,378.83,381.78,380.48,373.48,366.07,374.31,392.44,406.48,380.98,337.56,329.40,335.87,339.45,351.71,355.95,361.53,367.96,398.61,370.35,346.90,346.72,L7
2000-03-05 22:04:24+00:00,,,,,,,390.91,388.03,385.29,377.00,374.28,371.48,400.33,392.90,371.75,342.62,340.06,339.74,344.68,350.54,355.29,362.25,376.26,400.93,375.23,365.81,362.99,L7
2000-03-14 21:58:11+00:00,381.92,380.63,382.70,381.71,363.48,363.56,379.30,381.84,379.83,373.86,369.08,373.10,394.74,394.00,368.14,333.02,334.80,335.78,338.44,351.50,348.34,361.42,369.90,392.26,369.91,348.02,349.56,L7
2000-03-30 21:58:09+00:00,410.14,389.13,386.57,387.50,367.56,368.66,379.50,378.19,375.98,364.13,366.17,370.00,391.54,397.33,367.04,338.26,339.02,336.03,343.16,349.08,350.26,361.25,368.45,394.15,368.74,358.10,353.62,L7
2000-04-15 21:57:55+00:00,371.35,383.29,385.88,385.05,364.22,360.67,378.36,368.76,366.85,357.41,357.15,368.98,389.47,385.38,355.55,337.34,338.38,342.59,341.67,351.70,350.94,359.31,368.20,400.72,365.43,352.17,347.95,L7
2000-05-17 21:57:43+00:00,384.41,381.98,379.70,377.35,361.45,363.76,373.38,369.15,367.95,363.94,358.04,368.10,379.25,389.59,366.31,337.18,334.54,331.50,335.87,344.87,349.30,361.32,371.23,392.64,361.14,349.99,346.53,L7
2000-06-18 21:57:27+00:00,,,,,,,,,,,,,,,366.74,333.79,331.79,329.92,334.95,344.13,349.60,364.56,369.58,395.53,,,339.98,L7
2000-08-12 22:02:54+00:00,366.90,370.15,382.53,366.94,349.22,351.25,358.73,364.60,360.50,355.40,353.47,359.82,387.19,384.54,360.74,333.36,331.11,328.05,332.19,344.18,341.04,353.79,365.09,373.48,365.89,344.74,344.82,L7
2000-09-13 22:02:26+00:00,383.10,365.13,367.85,367.34,350.47,352.08,364.19,364.25,364.98,347.75,348.37,350.89,375.72,384.89,361.44,336.47,326.00,327.89,331.10,342.73,341.85,353.93,362.90,377.39,363.90,347.25,343.36,L7
2000-10-15 22:01:56+00:00,382.68,343.36,367.17,364.95,351.00,351.59,364.81,365.38,367.19,346.36,341.99,349.50,369.55,378.44,366.59,328.45,323.50,332.11,,,,,,,,,,L7
2000-11-16 22:02:09+00:00,397.94,371.97,379.41,384.20,364.80,367.14,374.14,369.64,370.19,364.89,364.79,376.10,399.16,399.88,378.81,343.03,337.53,333.98,338.96,356.82,361.19,363.61,384.84,403.80,367.65,346.71,340.62,L7
2000-11-25 21:55:59+00:00,388.84,368.24,370.44,371.30,351.70,351.08,365.19,359.11,361.72,353.63,349.27,354.57,375.83,384.76,363.37,333.39,330.99,333.78,337.49,349.92,349.94,360.19,357.11,386.83,365.73,350.39,353.55,L7
2001-01-12 21:56:06+00:00,,,,,,,,,375.97,363.44,362.17,367.36,391.13,393.28,385.61,342.13,334.75,341.51,344.79,359.76,355.77,362.13,371.65,397.38,374.35,351.81,354.38,L7
2001-02-13 21:56:03+00:00,404.74,380.46,382.73,380.77,364.94,371.58,378.55,376.47,378.50,366.08,366.19,368.28,396.77,387.74,369.84,338.29,339.00,335.18,343.82,351.83,357.86,361.28,370.52,389.52,370.39,356.23,354.38,L7
2001-03-24 22:01:59+00:00,393.40,375.48,378.59,376.10,366.38,370.41,379.16,374.02,372.20,362.36,355.40,366.77,391.61,390.35,368.81,336.83,337.38,330.98,335.87,343.96,352.40,360.21,362.50,388.80,364.01,349.29,350.34,L7
2001-05-20 21:55:29+00:00,,,,,,,,,,,,,,,351.29,327.08,325.95,317.93,327.23,336.33,330.89,350.18,349.69,367.86,,,,L7
2001-06-05 21:55:16+00:00,373.37,370.19,372.97,375.69,355.93,356.66,367.36,361.93,364.89,354.53,348.65,359.01,378.21,387.57,362.74,336.46,333.98,335.20,337.73,344.53,348.10,357.38,365.77,387.00,,,,L7
2001-06-12 22:01:24+00:00,,,378.79,381.36,362.22,364.92,375.27,371.83,374.26,361.79,368.64,369.82,407.01,397.02,365.26,334.22,331.85,333.55,341.86,346.08,349.01,354.07,369.26,386.12,,,350.52,L7
2001-06-28 22:01:09+00:00,373.43,372.71,371.25,375.06,355.89,357.62,367.88,363.33,366.50,354.25,349.52,357.87,380.37,382.08,,332.39,334.06,336.99,344.85,352.74,347.30,363.63,371.76,386.44,,,350.13,L7
2001-08-08 21:54:37+00:00,377.64,362.71,367.61,368.78,349.67,356.79,365.64,359.33,357.53,334.61,327.46,327.53,358.49,362.43,356.69,312.43,318.00,319.77,325.75,337.37,337.19,335.30,,,,,,L7
2001-09-09 21:54:12+00:00,382.62,372.34,377.93,375.46,361.60,360.80,369.48,370.64,363.87,356.60,350.27,363.83,385.98,392.19,377.34,341.08,337.30,334.87,333.65,350.94,349.54,362.47,369.27,389.64,375.63,352.54,353.97,L7
2001-09-25 21:54:04+00:00,397.80,376.10,379.48,382.99,357.66,358.04,372.82,369.55,363.56,356.90,353.83,359.07,384.48,387.57,,336.19,340.32,337.20,344.04,350.78,348.18,350.58,368.29,391.69,369.02,352.18,348.43,L7
2001-10-02 22:00:04+00:00,380.11,372.64,373.48,375.00,355.68,355.18,366.62,361.78,361.03,357.11,348.01,353.79,378.25,390.13,374.15,330.33,334.16,333.36,332.35,345.10,342.39,348.56,366.17,380.11,362.29,348.23,343.99,L7
2001-10-11 21:53:46+00:00,,369.89,368.05,373.91,354.67,356.34,368.59,359.85,361.84,350.62,347.13,356.25,379.46,399.45,,333.37,332.00,331.36,334.46,350.22,347.05,348.10,366.79,391.34,366.29,343.93,343.47,L7
2001-10-18 22:00:06+00:00,,,,,354.53,353.37,361.50,365.81,359.82,348.07,342.90,346.40,377.03,381.13,367.64,319.11,317.43,322.84,322.48,331.47,337.39,342.47,353.54,376.54,354.51,338.45,327.20,L7
2001-11-28 21:54:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,333.90,L7
2002-01-06 22:00:31+00:00,367.68,367.99,370.39,369.52,360.31,358.52,363.85,367.99,366.54,357.90,355.71,358.90,380.56,385.90,,331.02,331.56,327.90,335.26,344.39,348.54,359.31,360.36,393.91,366.15,347.22,343.29,L7
2002-01-31 21:54:26+00:00,397.89,371.33,373.24,372.41,359.11,363.94,370.84,370.25,375.79,356.62,355.12,360.95,384.57,390.93,376.31,331.25,329.47,325.52,341.28,342.68,349.56,355.85,361.82,386.95,369.87,348.83,337.25,L7
2002-03-27 22:00:37+00:00,356.15,,365.10,367.21,351.22,352.39,362.77,362.70,359.90,355.74,348.44,359.86,383.77,384.05,360.70,331.31,327.64,327.77,331.61,340.98,347.52,347.34,367.56,385.35,361.85,344.36,344.84,L7
2002-04-12 22:00:37+00:00,389.02,374.27,375.73,375.65,356.02,365.83,382.68,372.50,377.16,,,364.80,382.49,391.62,361.72,337.45,334.75,330.88,332.37,345.60,350.70,359.21,358.95,389.17,369.84,347.26,348.32,L7
2002-05-23 21:54:18+00:00,412.44,358.83,365.06,362.92,358.98,350.74,362.34,360.23,357.79,358.78,344.23,350.31,372.58,369.08,358.31,339.94,326.70,326.51,319.84,338.97,330.38,341.15,349.57,383.08,,,338.14,L7
2002-06-15 22:00:19+00:00,387.15,368.46,369.05,372.32,356.10,357.87,371.32,366.86,366.18,360.64,354.97,361.41,383.37,391.47,372.54,340.69,333.62,333.85,332.84,347.39,346.30,353.55,372.41,389.11,,,,L7
2002-07-17 22:00:08+00:00,404.13,369.04,375.35,375.69,363.77,362.22,371.82,374.87,370.66,365.97,361.45,368.97,390.35,397.51,,337.91,338.38,338.40,342.60,354.40,350.95,356.20,370.50,395.28,,,347.27,L7
2002-08-18 21:59:57+00:00,,368.44,387.29,378.75,381.41,377.20,392.04,383.45,397.17,386.42,367.34,368.42,391.68,422.39,,352.65,339.47,339.63,338.96,351.38,343.00,364.10,,405.10,370.70,347.73,346.25,L7
2002-08-27 21:53:36+00:00,395.88,377.70,381.00,379.53,367.74,371.55,382.39,375.26,381.21,363.55,360.00,372.41,387.51,402.18,387.31,346.06,340.68,337.65,342.81,355.40,359.41,372.77,383.82,406.98,385.38,357.75,360.08,L7
2002-09-19 21:59:35+00:00,,361.58,361.28,365.17,351.71,351.84,361.87,359.55,358.35,355.42,349.61,357.06,377.52,377.52,359.27,329.93,327.34,326.58,327.67,336.33,339.13,341.73,357.46,377.06,353.27,344.87,342.81,L7
2002-10-05 21:59:31+00:00,378.81,373.63,370.83,377.00,365.60,364.05,377.74,372.71,376.37,374.48,359.00,360.68,385.34,390.42,360.60,331.19,328.51,326.55,330.67,340.62,345.37,351.98,366.81,387.44,361.76,344.19,350.28,L7
2002-10-14 21:53:19+00:00,,384.92,381.31,382.45,372.41,370.79,382.01,375.08,381.97,379.61,375.04,369.06,385.34,386.25,386.35,342.90,339.39,333.86,344.77,353.08,349.06,362.83,374.05,396.97,375.48,351.12,351.02,L7
