dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
1999-07-18 21:58:25+00:00,,,,,,,,,,,,,,390.97,364.86,339.55,335.85,331.02,338.68,347.43,355.05,362.11,378.78,392.65,,,346.94,L7
1999-08-26 22:04:44+00:00,379.19,375.95,376.62,375.76,358.27,363.94,372.33,374.44,379.31,370.92,364.35,366.80,388.77,391.68,368.20,339.88,337.14,335.90,338.21,348.81,355.33,361.56,377.31,395.80,376.66,360.41,350.27,L7
1999-09-27 22:04:48+00:00,393.18,374.41,374.39,374.69,359.50,362.48,374.90,377.18,376.92,372.32,371.96,375.82,396.91,396.45,372.96,337.60,333.83,333.79,338.86,350.06,357.64,361.71,380.70,401.05,375.52,358.67,348.91,L7
1999-10-22 21:58:28+00:00,393.18,374.41,374.39,374.69,359.50,362.48,374.90,377.18,376.92,372.32,371.96,375.82,396.91,396.45,368.31,335.02,332.48,332.43,336.06,349.48,354.35,360.66,377.11,398.09,371.17,354.54,347.31,L7
1999-12-25 21:58:28+00:00,393.08,372.18,373.35,374.00,361.20,363.71,376.21,378.71,378.11,372.71,370.00,375.32,395.42,398.96,370.84,335.53,331.86,333.12,336.74,349.93,354.67,360.83,375.28,398.19,370.96,352.63,347.19,L7
2000-03-05 22:04:24+00:00,400.02,370.29,371.72,373.12,362.67,363.59,382.40,383.24,380.10,374.73,373.31,376.88,399.28,401.79,372.39,335.12,331.27,333.38,338.00,350.64,354.50,360.82,374.51,400.07,370.61,353.98,349.60,L7
2000-03-14 21:58:11+00:00,393.99,373.74,375.38,375.99,362.94,363.58,381.63,382.89,380.03,374.51,372.25,375.93,398.14,399.84,371.54,334.70,331.97,333.86,338.08,350.81,353.27,360.94,373.59,398.51,370.47,352.79,349.59,L7
2000-03-30 21:58:09+00:00,394.98,379.16,380.18,380.61,365.21,366.13,382.13,382.46,380.40,372.12,368.90,372.22,394.76,397.68,368.45,335.75,334.34,335.15,338.68,350.12,350.86,360.79,369.78,395.03,369.34,353.02,351.08,L7
2000-04-15 21:57:55+00:00,389.07,380.19,381.60,381.72,364.97,364.76,381.38,379.72,377.69,369.18,366.55,371.57,393.70,395.22,366.30,336.01,335.01,336.39,339.18,350.38,350.88,360.54,369.52,395.98,368.69,352.88,350.56,L7
2000-05-17 21:57:43+00:00,388.14,380.55,381.22,380.85,364.26,364.56,380.05,377.96,376.06,368.30,365.13,370.99,391.30,394.28,368.30,337.66,336.03,336.92,340.55,349.90,351.68,361.18,370.33,396.55,368.47,353.50,351.23,L7
