dates,satname,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2001-06-28 22:01:09+00:00,L7,389.03,377.30,376.12,379.65,361.46,363.62,373.88,369.83,373.00,359.82,354.72,363.07,386.37,390.75,,338.89,338.93,342.19,350.42,358.31,352.87,368.22,377.76,394.24,,,354.03
2001-08-08 21:54:37+00:00,L7,349.64,354.47,358.86,360.54,339.67,346.02,354.87,347.66,345.86,324.61,318.13,318.20,347.72,346.87,336.69,300.76,309.25,310.44,315.75,327.37,327.19,327.06,,,,,
2001-09-09 21:54:12+00:00,L7,369.42,368.46,373.80,371.58,356.89,355.72,364.40,365.14,358.37,351.89,345.87,359.43,380.90,384.86,367.91,335.58,333.17,330.47,328.94,346.23,344.83,358.59,364.19,383.04,370.13,349.07,350.67
2001-09-25 21:54:04+00:00,L7,417.00,381.75,385.48,388.64,364.52,365.42,380.20,377.55,371.56,363.76,360.23,365.47,391.86,398.24,,344.19,346.32,343.60,350.90,357.64,355.04,356.23,375.67,401.29,377.02,357.23,353.23
2001-10-02 22:00:04+00:00,L7,370.51,369.82,370.48,372.18,352.25,351.49,362.93,357.78,357.03,353.68,344.81,350.59,374.56,384.80,367.29,326.33,331.16,330.16,328.92,341.67,338.96,345.74,362.48,375.31,358.29,345.70,341.59
2001-10-11 21:53:46+00:00,L7,449.71,377.30,375.92,381.32,363.67,366.03,378.28,370.35,372.34,359.62,355.53,364.65,389.15,413.45,,343.87,339.88,339.76,343.46,359.22,356.05,355.51,376.48,403.94,376.79,350.56,349.77
2001-10-18 22:00:06+00:00,L7,,,,,340.24,337.99,346.12,349.14,343.15,333.78,329.57,333.07,361.65,358.91,339.07,302.44,304.93,309.51,308.19,317.18,323.10,330.71,338.16,356.54,337.84,327.92,317.20
2001-11-28 21:54:11+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,337.40
2002-01-06 22:00:31+00:00,L7,374.88,370.11,372.64,371.64,362.88,361.29,366.62,370.99,369.54,360.47,358.11,361.30,383.33,389.90,,334.02,333.81,330.30,337.83,346.96,351.11,361.43,363.13,397.51,369.15,349.11,345.09
2002-01-31 21:54:26+00:00,L7,341.89,354.86,355.74,355.94,339.11,342.40,349.30,346.92,352.46,336.62,336.45,342.28,363.03,359.82,336.31,307.92,311.97,306.85,321.28,322.68,329.56,339.38,340.28,358.95,346.54,334.09,323.25
2002-03-27 22:00:37+00:00,L7,365.35,,367.97,369.92,354.51,355.93,366.31,366.53,363.73,359.03,351.51,362.93,387.31,389.16,367.27,335.14,330.52,330.84,334.90,344.27,350.81,350.05,371.10,389.95,365.68,346.78,347.14
2002-04-12 22:00:37+00:00,L7,376.22,370.51,371.73,371.89,351.45,360.91,377.76,367.17,371.83,,,360.53,377.57,384.51,352.58,332.12,330.75,326.61,327.80,341.03,346.13,355.45,354.03,382.77,364.51,343.89,345.12
2002-05-23 21:54:18+00:00,L7,450.04,369.89,376.81,373.98,372.41,365.20,376.80,375.90,373.46,372.21,356.76,362.84,387.04,389.97,385.17,355.61,338.45,339.04,333.27,352.40,343.81,352.21,364.03,401.88,,,347.54
2002-06-15 22:00:19+00:00,L7,357.95,359.87,359.92,363.73,345.67,346.64,360.09,354.69,354.01,350.21,345.24,351.68,372.14,375.25,351.68,328.52,324.50,324.12,322.41,336.96,335.87,344.96,361.18,374.51,,,
2002-07-17 22:00:08+00:00,L7,416.53,372.69,379.22,379.34,368.20,366.99,376.59,380.04,375.83,370.40,365.58,373.10,395.12,404.40,,343.08,342.25,342.53,347.03,358.83,355.38,359.85,375.27,401.48,,,350.37
2002-08-18 21:59:57+00:00,L7,499.74,379.26,398.79,389.57,394.55,391.35,406.19,398.78,412.50,399.56,379.61,380.69,405.83,442.83,,367.98,350.97,351.90,352.10,364.52,356.14,374.92,,423.50,386.03,357.41,355.45
2002-08-27 21:53:36+00:00,L7,367.08,369.23,372.00,371.06,357.45,360.47,371.31,363.26,369.21,353.26,350.40,362.81,376.43,386.18,366.74,334.06,331.68,328.05,332.52,345.11,349.12,364.30,372.74,392.58,373.38,350.17,352.88
2002-09-19 21:59:35+00:00,L7,369.54,366.52,366.53,370.11,357.71,358.30,368.33,366.55,365.35,361.42,355.21,362.66,383.98,386.85,371.27,336.93,332.59,332.18,333.67,342.33,345.13,346.67,363.92,385.46,360.27,349.29,347.01
2002-10-05 21:59:31+00:00,L7,394.01,378.10,375.58,381.47,371.03,369.90,383.59,379.04,382.70,379.91,364.07,365.75,391.19,398.86,371.46,337.52,333.26,331.62,336.10,346.05,350.80,356.45,372.66,395.04,368.09,348.19,354.08
2002-10-14 21:53:19+00:00,L7,483.88,391.16,387.94,388.69,379.98,378.94,390.16,383.91,390.80,387.18,382.11,376.13,393.49,398.03,401.49,351.73,346.02,340.93,352.34,360.65,356.63,369.07,382.20,407.57,384.31,356.70,356.32
2002-10-21 21:59:36+00:00,L7,364.43,369.31,371.09,373.53,358.93,361.82,367.63,368.98,372.70,359.55,349.57,348.86,368.51,377.66,350.71,323.06,323.29,320.76,322.61,333.65,333.48,343.56,348.29,369.85,355.54,337.12,339.88
2002-12-24 22:00:09+00:00,L7,391.18,377.76,378.23,373.87,362.47,358.37,369.51,371.05,370.18,363.07,359.57,363.23,385.70,380.15,347.35,327.07,327.13,325.45,327.16,338.02,340.66,348.12,359.25,380.96,359.70,345.11,339.72
2003-01-18 21:54:06+00:00,L7,,,,,,,,,,,,,394.25,386.30,361.30,326.51,330.19,328.27,326.66,338.38,343.15,354.29,351.62,375.64,357.27,344.99,344.72
2003-01-25 22:00:18+00:00,L7,388.75,377.54,381.12,383.40,359.05,367.75,377.41,373.91,376.27,370.21,370.54,369.05,399.34,397.62,366.90,335.46,337.42,334.18,337.66,350.99,348.07,360.18,364.58,389.35,374.77,349.95,350.72
2003-03-23 21:54:16+00:00,L7,383.12,375.63,380.98,379.83,360.35,357.97,368.94,368.44,364.55,359.82,351.23,354.15,383.40,383.41,361.95,333.50,332.30,331.75,326.33,337.31,336.08,345.92,353.57,371.13,361.50,345.47,350.84
