,dates,per0232-0000,per0232-0001,per0232-0002,per0232-0003,per0232-0004,per0232-0005,per0232-0006,per0232-0007,per0232-0008,per0232-0009,per0232-0010,per0232-0011,per0232-0012,per0232-0013
0,1984-11-11 14:17:42+00:00,153.4494455817477,145.51336924985299,122.80622968651278,127.46647428375991,147.27236892202296,151.78815452675263,140.54471495568527,146.10814865621717,151.58453340609807,160.53388301560415,164.02038546849494,159.52239759502382,157.94454560637945,150.82571999078084
1,1985-03-03 14:18:15+00:00,134.9831888701139,134.58369615640476,131.42337568814688,139.92865504611302,139.80911196670522,134.453887725027,116.31624041126777,121.70720542338266,143.45917004490377,145.9498319943205,150.92819048940433,145.38233424957141,149.57117448975262,143.90766982827054
2,1985-03-19 14:18:14+00:00,111.81364054721516,117.22298408861583,131.00191592988688,136.49827739170783,148.8920829826006,142.05643380890845,132.56207583567797,134.14554146441486,131.41700089102451,151.44154448501155,152.7645283657626,161.1287908970615,162.08887129908277,153.4607556376211
3,1985-04-20 14:18:05+00:00,75.21100189733191,100.20768681947217,110.43394491353864,103.22368787293208,,123.10620765362361,116.73777297363121,118.88939994683392,120.93257253614313,139.04452537780526,126.2218931463365,115.21386886657855,154.06163958156458,126.15612114776654
4,1987-02-21 14:08:52+00:00,,,,,159.16247720861335,124.35567813342809,112.15706008302882,115.00831712296817,118.36204731764236,135.71077601925288,131.68575652082305,119.33506522107555,137.17942325154863,159.07416631874867
5,1988-02-24 14:17:33+00:00,,,,111.50823566293984,121.63755275539233,138.1064698886189,135.88833025170723,135.99652708225852,148.54599765286605,155.9626176138001,147.92713336182737,117.67530154564125,129.06011169081847,122.68787854335585
6,1988-03-27 14:17:51+00:00,82.90267649061474,95.4567831923227,93.36748686289945,96.48180027855996,106.40696226299525,114.98016337697969,112.87246608232317,125.95238000432828,145.48105730057662,154.70397415703565,147.64924855579747,116.65265168007188,119.1699050336958,118.59899029832003
7,1988-06-15 14:18:24+00:00,,,,,,,,,,,,,,
8,1988-11-06 14:18:26+00:00,123.65480962573466,123.81397440863587,116.15996473522466,119.20783562476372,128.47833922620268,135.12493511372185,102.97302103144858,115.64288006344577,153.6716148663606,152.53150989424535,166.91730642202637,179.55944512486928,185.25073338189,147.44300917685317
9,1989-11-09 14:12:17+00:00,,,,105.55969505967701,133.87344322401157,126.12169130597255,118.46135291423897,111.75922287823735,131.5758251077933,173.67973454904867,159.5618689226197,160.94321441593357,166.4128435388383,157.79590337030862
10,1989-12-27 14:10:55+00:00,133.64641525582252,114.80563904020057,114.8969536408155,133.20534167528498,139.72602703160862,146.20936582007363,142.35521721623215,128.19653380978698,140.44604161983295,157.71204083990705,156.04132464457106,165.95989069123365,165.60244049678556,166.93986743852247
11,1990-02-13 14:09:22+00:00,136.65715902405546,135.49688145460868,135.91479596697462,154.07697544534673,158.1922214202213,161.76392438015114,146.10592754150153,158.95943324103928,155.08736336634735,164.13976682133466,183.90929330903433,182.456041707548,186.70265362493936,175.98602279232495
12,1990-03-01 14:08:49+00:00,151.14269850862223,135.4312220241108,127.37138810925481,143.66562266566427,158.57021353860162,163.548879536165,158.4875230011291,179.41680129275184,185.9832054078134,187.07458768209594,186.6922876793835,190.87358684339083,187.1649348765999,177.3783385133401
13,1990-04-18 14:08:03+00:00,151.05188474818866,137.58520592169117,139.60757894090426,159.13767915432697,144.27430842365163,162.5183393566149,183.08553799188365,202.3437129423871,206.12493221666057,188.11097124358585,198.82757736898625,210.75584891613147,217.39025599451213,205.1328515916215
14,1990-05-04 14:07:57+00:00,148.87127604809794,149.60364601882685,159.00026835488492,163.25896383183013,181.2633402415961,189.1051150441631,189.90749717637152,202.9169318638522,218.28680995909596,223.09589491759385,228.60821099017278,231.62831180805824,222.5262443995543,221.5984601897475
15,1990-11-28 14:07:06+00:00,,,107.72885838610192,121.8685592882309,139.0936518995246,147.74519974171312,134.71619966777467,139.10306734845642,164.61735576678757,159.78998723738925,169.3056589040786,171.10024337834128,172.59250944476835,167.99786557192843
16,1991-01-15 14:08:05+00:00,,112.31231270946017,119.91322099138372,128.53440032124848,120.10353174564273,120.93033364281371,138.52670475210653,139.2240778437718,156.20130600135886,159.737444615686,171.890335085091,175.37109333344546,166.30461672509318,168.79934414475497
17,1991-01-31 14:08:23+00:00,,,,133.52441696156112,141.93222674153327,155.5961971579382,154.53472534922815,160.52733213124563,172.54230084672514,183.38290529040097,190.06987053429523,194.0911417182241,188.12866906615105,185.2384025469788
18,1991-03-04 14:08:58+00:00,168.54018904712072,157.8326515947818,161.70223316262226,173.18823012048864,184.03839782888357,184.22691130581433,182.64875790583227,187.0857120508153,196.44655742256126,205.5035452673259,211.4663064067408,222.1581862716236,216.6323473658629,218.51588249657195
19,1991-04-05 14:09:31+00:00,176.9231357743818,164.4143888090405,158.02498667752954,179.1962431832542,184.01166884681896,192.07771551350072,187.3424458229336,198.46922347474393,206.42150184041984,218.48785276893364,218.68541975348083,225.7214159578948,226.8157525608743,225.12077468462928
20,1992-11-01 14:09:07+00:00,,,,,,,,,,,,,,
21,1993-01-20 14:09:31+00:00,203.01715796849226,189.77121921137066,205.08154417698216,215.106244788279,218.85009305187833,219.34391757439403,212.7865512589288,217.66936772013207,224.51225914862874,224.8368245531079,233.86963630045483,230.78937500388122,228.9472768215998,228.32449166780046
22,1994-12-25 14:01:08+00:00,190.41979049347106,181.79307483431396,179.43908077647703,199.02215723456675,213.29388269680084,216.86215090590701,208.3466167133035,214.31556304490246,213.7772421799193,219.83380632913747,222.35752181433907,227.08268965880652,225.42316954498995,220.6299860646023
23,1995-01-10 14:00:35+00:00,186.92113598390546,181.98977137866544,186.09220293522017,198.0810341341117,207.1771836109989,,,194.987514209151,200.14558615274962,200.82060638057703,208.62780472411387,214.98759416453603,211.8092693059425,212.30264809913712
24,1995-03-31 13:57:23+00:00,154.81436091241557,155.71918149805006,165.00679974224352,177.89245424972148,190.23280918689986,196.8707206030714,191.59906149822282,201.88278431300526,200.36660109147482,207.0737940134447,211.38794980145727,220.45410614295432,214.35487443470313,215.16784344354278
25,1995-06-03 13:54:32+00:00,,126.5796222937075,128.28957952568751,151.9178252021115,171.36594311176245,177.72224032179182,176.9058951015408,181.85672567427352,187.46209119320343,186.74096587447937,199.78888397603436,213.32814736935595,208.38922731000775,202.18735425970505
26,1995-07-21 13:52:22+00:00,,171.34044227799788,168.87711437863584,173.9556638705097,183.6380316310692,186.30333455643847,182.02672723887423,190.60966018157728,195.8514598895143,201.47979851673733,202.75768187157522,209.47707605354887,197.78614481814432,200.6317673355406
