dates,nzd0582-0000,nzd0582-0001,nzd0582-0002,nzd0582-0003,nzd0582-0004,nzd0582-0005,nzd0582-0006,nzd0582-0007,nzd0582-0008,nzd0582-0009,nzd0582-0010,nzd0582-0011,nzd0582-0012,nzd0582-0013,nzd0582-0014,nzd0582-0015,nzd0582-0016,nzd0582-0017,nzd0582-0018,nzd0582-0019,nzd0582-0020,nzd0582-0021,nzd0582-0022,nzd0582-0023,nzd0582-0024,nzd0582-0025,nzd0582-0026,nzd0582-0027,satname
1999-07-16 22:13:35+00:00,237.03,220.13,185.59,151.40,135.30,161.41,145.99,,,,42.94,,,31.74,,,,,,,190.43,190.21,195.39,201.68,,,176.37,188.19,L7
1999-08-08 22:19:52+00:00,244.46,221.82,189.04,156.73,146.37,173.81,164.86,174.08,132.37,86.97,62.88,60.76,35.27,49.93,167.73,277.34,252.51,264.14,242.67,232.41,209.78,205.50,207.00,211.40,187.84,168.28,181.53,196.78,L7
1999-10-04 22:13:49+00:00,245.55,217.83,184.89,153.87,145.33,172.01,164.33,161.48,121.63,80.85,62.15,53.24,33.93,51.29,154.16,271.51,251.02,255.06,231.05,217.69,208.91,203.57,207.00,211.40,187.84,168.28,181.53,196.78,L7
1999-10-27 22:19:51+00:00,246.89,220.47,184.50,155.45,144.92,170.62,161.48,150.70,114.62,82.44,58.37,42.07,26.82,60.64,152.74,261.21,244.22,244.69,231.05,212.91,205.87,203.39,207.18,209.90,186.83,169.76,182.26,201.11,L7
1999-11-05 22:13:40+00:00,246.57,221.12,185.01,157.48,146.67,170.89,163.47,152.97,115.47,84.10,61.02,44.86,28.85,60.13,148.96,257.27,244.26,245.16,229.41,211.39,205.95,204.50,206.46,209.01,185.62,168.16,181.77,200.39,L7
1999-11-28 22:19:44+00:00,246.57,221.12,185.01,157.48,146.67,170.89,159.27,146.32,111.02,83.54,58.59,41.38,27.81,57.82,144.76,253.46,239.71,240.56,223.82,206.88,203.43,202.23,202.49,203.47,183.34,166.46,180.18,199.01,L7
1999-12-07 22:13:41+00:00,247.56,221.81,186.13,158.50,147.18,170.03,159.94,144.59,110.29,82.59,58.42,41.47,29.04,58.08,144.04,254.47,238.97,240.22,222.21,206.80,203.82,202.60,202.50,203.58,185.06,168.47,181.38,200.26,L7
1999-12-30 22:19:45+00:00,246.98,221.29,185.53,158.37,146.93,168.79,159.79,143.08,109.84,82.40,58.40,41.54,29.94,57.21,141.67,254.01,237.99,238.64,221.32,206.33,203.71,202.50,202.19,202.08,186.02,169.43,181.31,199.97,L7
2000-01-24 22:13:35+00:00,249.16,220.64,184.88,160.14,148.56,169.33,161.82,143.08,108.86,83.85,58.53,39.51,30.36,64.90,146.27,253.82,239.03,238.36,225.05,208.71,206.93,205.34,207.11,205.15,187.21,171.42,182.98,204.40,L7
2000-04-20 22:19:15+00:00,248.83,222.26,183.21,160.19,146.91,165.53,157.87,135.72,104.31,84.55,53.64,34.58,29.02,65.46,143.17,247.17,233.91,231.27,221.30,204.65,202.37,201.45,203.16,200.67,186.34,171.77,182.42,204.05,L7
2000-04-29 22:13:05+00:00,248.10,221.04,182.61,160.09,148.12,165.93,161.09,142.70,107.46,84.69,57.63,39.58,33.19,61.75,141.96,247.71,235.57,233.47,221.18,204.52,202.49,201.38,201.00,199.10,185.65,170.68,181.79,202.42,L7
2000-05-31 22:12:42+00:00,247.60,218.64,181.41,158.02,148.76,166.97,165.57,149.03,109.02,84.71,59.65,41.91,35.88,66.81,149.08,253.99,240.09,237.27,225.03,209.62,206.95,203.92,203.94,203.25,187.63,174.09,184.62,206.34,L7
