dates,nzd0582-0000,nzd0582-0001,nzd0582-0002,nzd0582-0003,nzd0582-0004,nzd0582-0005,nzd0582-0006,nzd0582-0007,nzd0582-0008,nzd0582-0009,nzd0582-0010,nzd0582-0011,nzd0582-0012,nzd0582-0013,nzd0582-0014,nzd0582-0015,nzd0582-0016,nzd0582-0017,nzd0582-0018,nzd0582-0019,nzd0582-0020,nzd0582-0021,nzd0582-0022,nzd0582-0023,nzd0582-0024,nzd0582-0025,nzd0582-0026,nzd0582-0027,satname
1999-07-16 22:13:35+00:00,237.03,220.13,185.59,151.40,135.30,161.41,145.99,,,,42.94,,,31.74,,,,,,,190.43,190.21,195.39,201.68,,,176.37,188.19,L7
1999-08-08 22:19:52+00:00,251.89,223.51,192.49,162.06,157.43,186.21,183.72,174.08,132.37,86.97,82.81,60.76,35.27,68.12,167.73,277.34,252.51,264.14,242.67,232.41,229.13,220.80,218.60,221.12,187.84,168.28,186.70,205.37,L7
1999-10-04 22:13:49+00:00,247.74,209.85,176.58,148.15,143.25,168.41,163.27,148.87,110.89,74.73,60.71,45.72,32.59,54.01,140.60,265.68,249.54,245.99,219.43,202.97,207.16,199.71,,,,,,,L7
1999-10-27 22:19:51+00:00,250.92,228.40,183.33,160.19,143.69,166.43,152.94,129.14,100.59,85.61,47.02,19.73,12.59,88.71,149.88,240.60,230.60,223.95,,203.34,196.74,202.85,207.54,206.89,185.82,171.24,183.71,209.76,L7
1999-11-05 22:13:40+00:00,245.29,223.70,187.05,165.62,153.70,172.01,171.44,159.79,118.05,89.09,71.64,53.25,34.94,58.05,137.64,245.46,244.41,246.54,226.13,206.84,206.30,208.94,204.31,206.35,183.21,164.96,180.31,198.25,L7
1999-11-28 22:19:44+00:00,,,,,,,138.27,119.74,93.22,81.29,46.43,27.43,23.66,46.30,127.96,238.20,221.49,222.18,207.05,188.84,190.83,190.87,186.61,181.32,176.49,161.36,173.80,193.50,L7
1999-12-07 22:13:41+00:00,252.51,225.28,191.77,163.56,149.71,165.74,163.94,135.93,106.62,77.88,57.38,41.94,35.19,59.61,140.41,259.54,235.30,238.51,215.76,206.41,206.13,204.84,202.58,204.14,191.96,176.53,187.39,206.47,L7
1999-12-30 22:19:45+00:00,243.47,218.15,181.90,157.63,145.44,161.33,158.76,134.02,107.14,81.21,58.23,41.92,35.34,51.15,127.48,251.27,232.11,229.20,216.89,203.48,202.93,201.79,200.29,193.03,190.82,174.23,180.90,198.24,L7
2000-01-24 22:13:35+00:00,252.28,215.56,181.07,163.74,146.72,165.16,162.24,,102.03,94.01,44.05,25.36,33.29,93.27,178.49,252.50,246.31,236.40,247.44,225.39,216.21,212.88,229.85,223.17,194.31,183.37,188.03,219.24,L7
2000-04-20 22:19:15+00:00,248.51,222.49,174.13,150.42,142.23,162.51,157.48,,102.54,82.75,50.72,32.42,28.15,61.14,140.32,242.65,227.16,222.12,214.54,198.22,197.48,187.97,190.94,189.79,181.79,170.73,182.81,202.88,L7
2000-04-29 22:13:05+00:00,246.53,,179.74,159.59,150.93,168.84,175.47,164.03,122.59,86.60,74.93,54.71,41.76,62.74,141.42,244.34,242.20,239.35,220.42,202.49,197.57,202.36,192.41,195.90,180.99,163.61,179.31,198.38,L7
2000-05-31 22:12:42+00:00,242.28,211.71,179.82,153.20,157.51,178.24,175.52,162.12,113.17,85.79,72.61,55.11,41.55,72.93,166.35,273.62,257.43,258.06,235.15,221.76,221.38,213.70,207.57,213.45,185.94,176.09,189.30,212.83,L7
2000-07-09 22:18:29+00:00,220.60,188.15,168.51,144.90,127.32,157.05,147.47,114.49,115.32,,,,,,,,,,,,214.86,222.53,214.64,217.92,199.97,184.37,198.86,217.03,L7
2000-09-04 22:11:34+00:00,235.72,200.92,165.03,145.47,139.90,159.06,159.66,,85.00,68.25,41.09,23.28,25.89,50.70,125.06,243.26,222.79,226.36,218.59,201.86,201.06,193.09,192.30,194.51,181.92,169.49,176.19,204.09,L7
2000-09-20 22:11:14+00:00,240.75,204.92,168.02,146.62,145.40,165.62,165.25,,89.95,70.00,46.71,28.70,28.59,54.57,128.69,244.58,225.30,225.54,214.91,204.59,200.73,194.15,196.62,199.12,170.60,156.47,171.36,196.94,L7
2000-09-27 22:17:24+00:00,248.39,223.35,177.50,156.76,153.96,177.10,177.20,144.07,109.71,84.73,66.60,51.84,40.55,59.11,142.42,254.79,239.75,244.62,221.03,206.40,206.03,199.87,202.40,197.28,175.85,162.72,174.08,198.52,L7
2000-10-29 22:17:19+00:00,246.02,211.36,166.63,148.56,159.24,171.07,161.65,,100.10,83.51,51.40,33.30,29.19,61.20,139.24,259.73,234.00,235.10,224.24,205.15,199.18,200.85,196.43,198.72,185.91,167.42,180.92,198.14,L7
2000-12-25 22:11:14+00:00,233.49,191.98,150.78,134.44,127.71,149.53,140.59,110.11,84.33,59.33,38.95,26.14,28.16,90.26,137.22,258.41,237.86,240.14,211.59,203.24,204.66,198.78,196.31,201.42,175.46,160.71,175.36,203.63,L7
2001-01-10 22:11:15+00:00,248.04,221.79,180.49,151.14,145.45,168.12,162.54,132.17,104.07,84.62,58.71,36.97,25.16,50.35,117.45,239.59,222.77,224.09,216.84,191.31,192.16,190.39,187.36,187.18,176.17,153.79,169.15,186.64,L7
2001-02-18 22:17:22+00:00,248.18,217.01,178.47,154.86,145.66,169.06,172.00,148.54,112.57,84.55,67.56,53.66,40.92,58.45,151.05,265.42,246.86,247.11,223.73,208.42,212.22,205.80,208.31,200.63,185.98,162.76,182.62,199.54,L7
2001-03-06 22:17:18+00:00,247.01,216.85,172.73,146.90,147.06,171.17,175.87,151.06,117.37,79.47,67.36,63.91,40.75,62.62,159.64,273.48,253.57,250.89,227.74,211.78,216.62,207.90,210.97,203.08,183.55,165.71,185.76,204.02,L7
2001-03-22 22:17:09+00:00,250.57,222.19,180.35,153.91,144.64,160.13,164.07,146.53,114.54,86.52,71.52,54.62,43.56,58.95,128.81,259.79,242.67,238.67,225.12,207.28,208.60,200.99,206.25,198.36,185.61,165.29,180.83,204.08,L7
2001-04-07 22:17:01+00:00,249.50,222.99,177.99,151.20,148.33,175.99,166.10,133.10,101.63,73.27,56.27,41.10,27.20,57.68,140.01,252.94,234.34,237.68,219.41,203.19,203.35,200.88,202.88,196.03,180.88,164.01,176.65,198.36,L7
2001-04-16 22:10:54+00:00,242.83,213.91,167.76,147.21,138.91,155.82,156.89,131.66,99.71,70.29,58.64,41.85,31.96,65.69,117.94,258.83,238.14,237.38,218.57,207.18,209.69,201.60,198.26,202.31,178.30,164.10,175.37,198.26,L7
2001-06-03 22:10:28+00:00,,224.37,,,,164.14,177.97,,,,,,,,,,,276.62,,213.38,,,211.11,,,,,,L7
2001-07-05 22:10:09+00:00,253.87,226.94,189.56,164.24,152.38,179.16,165.37,147.37,96.32,83.03,62.05,50.90,32.32,61.75,141.01,260.42,237.03,243.64,228.03,211.90,207.99,205.27,207.73,205.05,193.61,181.05,194.51,208.23,L7
2001-11-01 22:15:17+00:00,238.17,207.87,169.02,147.68,136.60,157.81,150.79,113.92,81.18,60.88,43.18,27.50,20.44,45.51,128.30,240.81,225.90,222.17,207.29,198.21,199.26,193.82,192.37,192.33,182.16,165.81,178.93,193.23,L7
2001-11-26 22:09:21+00:00,254.18,219.13,177.99,155.20,151.17,171.47,166.50,143.67,109.75,81.92,70.06,55.61,36.33,67.06,157.90,275.41,253.12,247.59,229.43,213.05,217.65,209.91,205.50,210.54,197.83,186.33,186.42,204.79,L7
2001-12-19 22:15:37+00:00,245.49,205.98,164.34,144.08,136.53,159.68,148.12,127.74,95.50,74.43,43.28,22.37,30.01,51.05,135.69,257.00,233.52,231.64,,192.00,194.60,202.73,200.26,204.50,195.42,175.03,189.39,219.02,L7
2002-02-14 22:09:41+00:00,225.93,173.54,145.65,140.71,153.80,186.79,159.52,142.52,110.06,79.98,40.69,24.06,41.30,75.21,147.89,275.11,257.39,244.62,,206.11,203.89,208.29,206.66,211.92,193.37,180.81,191.00,216.92,L7
2002-03-18 22:09:33+00:00,,,,,,,,,,,,,,31.14,,,,,192.79,185.05,187.23,181.08,183.06,187.05,175.22,160.54,164.32,186.69,L7
2002-03-25 22:15:47+00:00,249.46,216.73,174.68,151.33,147.28,168.83,175.65,150.36,107.94,74.01,61.93,51.80,33.29,62.37,154.94,283.08,254.46,256.22,230.48,211.01,216.01,207.83,210.22,206.41,190.85,180.31,184.47,206.81,L7
2002-05-21 22:09:29+00:00,243.98,203.74,165.78,147.63,145.53,172.98,157.44,129.00,91.98,61.55,47.84,34.13,28.80,67.63,159.49,266.05,250.84,249.27,237.24,213.95,216.21,211.07,205.64,210.34,191.45,172.16,193.02,203.98,L7
2002-05-28 22:15:34+00:00,,,,,,,,,,,,,,55.53,106.16,284.88,252.26,225.26,,,204.93,,,,178.26,,,,L7
2002-07-08 22:09:35+00:00,,,,,,,,,,,,14.77,,,145.83,315.27,,,,,,,,,,182.92,157.30,,L7
2002-07-31 22:15:11+00:00,,,,,,,,,,,,,,54.77,127.13,253.87,235.20,232.39,217.24,213.88,222.81,219.48,214.44,210.62,192.65,175.96,200.03,205.47,L7
2002-09-17 22:14:43+00:00,231.63,196.97,156.79,128.46,129.28,160.29,148.94,126.68,91.63,58.45,48.12,31.84,16.23,55.87,111.62,239.13,234.83,238.09,214.06,198.88,198.58,196.29,193.32,195.41,176.23,159.31,174.01,192.42,L7
2002-10-03 22:14:41+00:00,252.58,221.11,176.58,146.20,143.48,174.07,168.28,146.29,108.41,72.01,64.88,53.21,31.21,63.92,147.60,275.95,255.05,260.35,229.32,212.30,210.89,208.44,206.48,203.70,185.02,166.22,182.41,199.53,L7
2002-10-12 22:08:26+00:00,244.99,206.22,164.79,139.69,140.54,156.89,153.76,115.71,78.04,52.93,39.23,24.37,32.06,56.13,129.54,251.21,231.51,231.70,221.90,213.59,207.44,207.49,206.39,203.74,191.45,177.94,189.99,207.12,L7
2002-10-19 22:14:44+00:00,232.58,199.55,159.34,131.86,124.87,152.21,141.24,115.31,82.89,52.92,38.09,25.64,13.71,49.91,104.32,248.43,234.68,233.83,213.33,203.03,200.41,199.53,202.38,199.40,183.62,170.37,176.40,200.86,L7
2002-11-13 22:08:42+00:00,241.17,197.88,165.80,136.65,133.40,161.70,149.32,122.21,88.70,55.63,44.58,30.01,24.46,58.71,140.74,259.45,244.04,238.99,217.54,203.04,205.58,203.75,198.55,196.67,182.19,162.31,174.99,194.81,L7
2002-12-06 22:15:13+00:00,239.21,225.56,178.35,153.93,130.60,147.91,141.41,123.12,94.63,69.15,41.79,27.29,28.86,50.63,122.96,237.98,223.03,223.74,220.39,205.49,196.42,200.19,194.97,199.84,184.12,164.37,172.12,194.13,L7
2002-12-31 22:09:08+00:00,246.31,212.98,173.87,142.53,140.86,172.14,163.86,137.28,101.32,66.38,56.18,44.14,39.95,62.88,134.47,262.67,251.22,248.51,223.54,205.59,205.13,209.57,203.27,205.39,184.82,167.14,179.75,197.14,L7
