dates,nzd0432-0000,nzd0432-0001,nzd0432-0002,nzd0432-0003,nzd0432-0004,nzd0432-0005,nzd0432-0006,nzd0432-0007,nzd0432-0008,nzd0432-0009,nzd0432-0010,nzd0432-0011,nzd0432-0012,nzd0432-0013,satname
1999-10-27 22:19:03+00:00,353.40,353.13,347.87,345.44,345.75,342.93,345.40,350.84,340.82,338.00,335.33,331.97,333.40,341.88,L7
1999-11-05 22:12:52+00:00,347.53,346.42,342.50,339.25,342.73,340.54,338.52,344.96,335.74,331.71,328.92,325.36,330.48,336.89,L7
1999-11-21 22:12:47+00:00,346.74,345.68,342.17,339.97,345.47,340.67,338.55,344.99,335.90,331.39,329.36,325.47,329.78,337.03,L7
1999-11-28 22:18:56+00:00,349.79,347.54,343.65,341.00,345.35,340.12,339.15,346.63,337.57,331.75,329.30,325.39,329.96,336.25,L7
1999-12-07 22:12:53+00:00,349.99,347.55,344.22,340.84,346.56,340.84,340.71,346.79,337.64,332.50,330.77,327.34,330.78,337.66,L7
1999-12-14 22:19:07+00:00,349.74,346.82,344.22,340.57,345.59,340.84,339.13,345.34,337.64,332.50,330.77,326.11,329.09,336.35,L7
2000-01-24 22:12:47+00:00,351.13,348.41,346.27,342.64,345.70,341.51,339.77,345.69,339.25,334.68,332.40,327.34,330.44,337.56,L7
2000-02-09 22:12:43+00:00,352.82,350.70,349.28,345.86,348.14,343.50,341.52,346.88,341.27,336.02,334.68,328.98,331.58,339.14,L7
2000-02-16 22:18:52+00:00,352.82,350.70,349.28,345.86,347.70,342.62,341.56,346.25,342.99,337.72,335.82,329.76,331.72,338.02,L7
2000-04-13 22:12:18+00:00,354.70,353.02,352.08,348.67,350.09,345.35,343.52,348.37,345.18,339.96,338.13,331.63,333.79,340.98,L7
2000-04-20 22:18:27+00:00,356.19,353.24,353.07,349.79,351.07,346.41,344.92,349.80,346.06,340.89,338.88,332.02,334.03,341.52,L7
2000-05-31 22:11:54+00:00,361.65,356.65,360.44,354.83,354.18,350.49,348.60,351.07,351.07,346.34,344.51,334.72,336.83,343.88,L7
2000-08-03 22:11:07+00:00,367.93,362.86,365.45,362.94,360.69,354.62,355.78,356.62,355.80,349.69,349.67,340.80,343.17,349.60,L7
2000-08-19 22:11:01+00:00,370.59,363.03,364.56,361.85,364.78,360.24,360.69,362.35,358.18,352.68,352.94,345.59,348.59,357.03,L7
2000-09-04 22:10:46+00:00,368.62,361.36,362.68,360.91,363.09,358.25,358.94,359.76,356.70,351.26,351.43,345.30,348.02,355.71,L7
2000-09-20 22:10:27+00:00,367.61,360.93,361.52,360.15,361.79,357.21,357.82,359.85,357.11,350.62,350.47,344.92,347.90,356.33,L7
2000-09-27 22:16:36+00:00,367.28,361.80,362.00,361.11,362.67,358.27,358.45,360.79,357.18,350.77,350.57,345.45,347.97,356.06,L7
2000-11-07 22:10:17+00:00,365.40,359.68,359.63,358.20,360.27,355.48,356.71,357.80,354.61,348.29,348.26,345.53,347.09,354.15,L7
2000-12-16 22:16:35+00:00,364.83,360.57,359.65,359.58,361.47,356.43,357.63,359.56,355.87,349.26,349.64,348.59,351.76,359.46,L7
2001-01-01 22:16:33+00:00,364.04,358.84,357.79,355.84,356.78,351.52,353.67,355.86,355.87,349.26,343.12,344.15,347.50,355.56,L7
2001-01-10 22:10:27+00:00,364.50,359.70,357.94,355.04,356.41,350.50,353.05,354.86,353.37,347.51,342.06,343.28,346.30,354.56,L7
2001-01-26 22:10:30+00:00,363.55,358.72,357.36,353.47,354.78,349.62,351.33,353.00,351.08,344.88,340.28,340.85,343.85,352.27,L7
2001-02-18 22:16:35+00:00,364.60,359.50,357.06,352.79,354.07,347.80,348.48,351.01,347.72,343.03,336.79,337.36,342.25,350.13,L7
2001-02-27 22:10:18+00:00,366.79,362.26,359.75,355.17,355.43,349.28,349.55,352.59,349.41,344.65,339.24,338.41,343.28,350.75,L7
2001-03-15 22:10:15+00:00,370.55,366.71,364.13,357.77,357.35,351.02,350.81,354.70,351.18,345.72,340.04,338.68,344.42,351.89,L7
2001-03-22 22:16:21+00:00,372.26,368.19,365.11,357.96,358.35,351.95,351.30,354.15,350.96,346.05,340.51,338.87,343.86,350.83,L7
2001-03-31 22:10:07+00:00,376.77,371.80,368.18,359.63,359.48,352.49,352.44,354.55,352.68,348.14,341.31,340.33,345.10,352.86,L7
2001-04-07 22:16:13+00:00,377.09,372.32,368.00,360.18,361.25,354.16,353.45,356.31,353.65,349.76,343.21,341.56,346.82,354.45,L7
