,dates,jap0181-0000,jap0181-0001,jap0181-0002,jap0181-0003,jap0181-0004,jap0181-0005,jap0181-0006
0,1984-07-31 00:45:05+00:00,100.2401117108845,97.61321838261594,102.21793044465772,108.29838078292799,95.28292198208528,78.17968423082627,68.71014278293116
1,1984-08-16 00:45:37+00:00,133.67848384818583,134.04062437060463,139.7008668490675,136.25081631502292,130.80128297530928,101.84661375409388,104.41086270254328
2,1984-10-03 00:45:56+00:00,102.83503807264132,118.49955392442257,125.13252325746308,110.07672071834648,,,
3,1984-11-04 00:46:10+00:00,105.02833238964939,105.66255436479231,111.82176491275162,119.44674615391982,118.2712436692277,91.65321244683096,103.72597267610928
4,1985-01-07 00:46:06+00:00,119.53397317325403,119.6013478235161,117.35152281392996,120.28324495542334,124.47285615320365,96.61428986123012,87.66024120092882
5,1985-11-23 00:44:12+00:00,,,,143.83721066548705,111.7554259345129,88.97612872836054,
6,1985-12-09 00:43:54+00:00,,,,,87.18012849287595,61.59952609808002,
7,1986-01-10 00:43:42+00:00,,118.21744015660674,120.36336109911284,131.63034956001962,128.98550055866727,100.72913464892108,94.58477462935522
8,1986-10-09 00:36:01+00:00,89.65684765335213,83.6169323925639,86.9780222361992,87.03014510169835,81.67809975926956,60.59038635262753,59.26015591462918
9,1986-11-10 00:34:29+00:00,101.95425588103707,92.17969522625332,98.03421953765732,105.75911362410355,105.30766271476391,69.14778516243733,50.998523632240406
10,1987-01-13 00:35:28+00:00,109.89674490530302,104.43912498284264,104.20363612164309,106.94071420425347,101.61622216103741,80.62637040941596,58.70031009983301
11,1987-02-14 00:36:34+00:00,,113.15050980333294,108.61259777836523,110.90898708445881,114.11791137593238,89.18339999127502,71.87532537895464
12,1987-03-02 00:37:11+00:00,,111.86356623041202,123.95914577019651,128.08865606870182,124.99791454023621,90.87000480146702,80.00043548435566
13,1987-04-19 00:38:53+00:00,99.26241470184031,97.23746195354525,95.45146358215516,102.36560854836922,97.62092610842868,82.50773836689022,70.414725781761
14,1987-05-05 00:39:45+00:00,111.3473729733362,111.13003699634557,116.52771663669347,125.48773026501651,124.79583347502043,83.1311480185675,102.58184293741454
15,1987-05-21 00:40:11+00:00,111.19663667806144,108.27909724571752,106.63203252152323,115.32149913291428,127.09890417244036,91.46771997558083,100.6087989835495
16,1987-06-06 00:40:34+00:00,105.1550136683394,97.06485529764399,104.30313039593266,114.97597453679369,113.9599949786044,91.25076186814256,89.54800148155178
17,1987-07-24 00:41:10+00:00,109.9869078120354,,119.46356966762285,121.72859331754547,111.76155126672694,80.92786423784278,91.77683247770754
18,1987-08-09 00:41:41+00:00,119.07690636424047,128.01996154728116,136.45113141420345,132.0931117980109,115.33416349343983,89.23703713370264,94.00108064356128
19,1987-12-15 00:44:22+00:00,,123.43242717002815,121.14839209811963,124.72121698065882,127.48196898636353,99.80641770047146,74.37868432376585
20,1988-12-01 00:46:24+00:00,104.30301486746724,115.498377288629,114.91910849111576,,102.83120050036635,93.01677308389519,77.24816034202999
21,1988-12-17 00:46:33+00:00,107.36975070982434,109.07655160229656,115.31105745990602,115.78163212251093,130.93214838207854,101.45777460678471,114.03433150187615
22,1989-01-18 00:45:52+00:00,,,,,101.84215479480964,81.20136543499873,66.87672133888258
23,1989-03-23 00:45:09+00:00,97.64390477473601,93.84135019377703,100.25101956591129,104.43871501668097,99.01798975306096,69.22514862414205,82.14837467119774
24,1989-08-30 00:42:13+00:00,91.2037380765554,100.30641200625112,104.46690033868127,102.78175046923859,99.64178938259663,71.72348461917989,73.04196466676494
25,1989-11-02 00:40:56+00:00,105.2571300935057,115.01864940250604,115.88706858329157,113.66242273359546,110.23527934654449,85.01017617381038,84.73084463881527
26,1989-11-18 00:39:55+00:00,94.39651861716692,96.18715561766639,100.24904122945735,105.37278740202214,93.40266037182884,65.50936645011778,42.956047994749156
27,1989-12-20 00:39:32+00:00,108.576506735014,113.68782191012998,117.83334783726677,,111.66160892338588,83.80271996372025,75.7234198669362
28,1990-01-05 00:38:57+00:00,110.46126185205557,116.05166729113301,122.07251842923584,120.65995008309517,119.46748819567397,92.7136372985024,98.62816014587881
29,1990-02-22 00:37:07+00:00,106.49803301551265,118.89975082356167,114.60429463300203,117.19873459732625,111.8268396836848,86.69048871342214,78.17621400432381
30,1990-03-26 00:36:02+00:00,98.11669410074697,,120.44434019516302,116.78318975254167,110.62411305759574,80.32700172600971,74.23211516280583
31,1990-04-11 00:36:00+00:00,,109.58963241793325,119.15952005417972,114.93383983634331,112.2804284184052,77.99539098758561,77.5867998768939
32,1990-05-29 00:36:24+00:00,84.84071946503927,104.86742013909499,109.79846015556105,107.76890869321137,111.80061273466025,81.33225067635168,84.60439135675408
33,1990-11-05 00:35:16+00:00,96.54896376339931,104.4485744855301,107.99176189599831,109.55506383039376,102.56083763777822,76.2096488895021,60.504317804049
34,1990-12-07 00:35:28+00:00,97.7569697071898,104.76207694744795,115.65431137365837,111.75838783801625,116.04730029643852,88.99064212568133,82.73123920825884
35,1991-01-08 00:36:14+00:00,116.09954486795745,122.75298166741267,127.11516820018613,121.82750204682874,133.0238122098253,101.6601193625179,95.44597555922225
36,1991-01-24 00:36:42+00:00,,109.9055788490543,113.35972855955833,113.10790945222077,103.63340892724268,77.48998697957397,77.22088102470806
37,1991-02-25 00:36:50+00:00,111.52802640550384,120.49745610840685,126.39589142920732,129.940544041127,122.70066541639812,96.11364201688852,87.41199765039134
38,1991-04-30 00:38:24+00:00,,103.84143492894495,117.74331927378485,120.1548737824985,108.69636308280595,78.32066376093765,86.2557557560856
