dates,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0005,nzd0171-0006,nzd0171-0007,nzd0171-0008,nzd0171-0009,satname
1999-09-20 21:58:56+00:00,362.52,369.28,368.30,362.28,357.24,355.20,356.31,360.06,344.50,336.52,L7
1999-10-22 21:58:52+00:00,345.80,362.07,357.92,359.24,357.86,353.67,350.26,348.85,332.42,325.53,L7
2000-02-11 21:58:45+00:00,372.80,369.59,370.84,366.39,360.31,358.73,350.63,360.69,343.70,335.92,L7
2000-03-14 21:58:11+00:00,347.61,355.30,356.52,361.86,371.96,367.24,360.82,365.83,350.74,340.64,L7
2000-03-30 21:58:33+00:00,345.63,355.54,354.34,355.40,356.64,352.64,352.57,359.70,348.02,339.32,L7
2000-05-24 22:03:46+00:00,348.52,360.76,351.07,350.11,345.41,347.87,349.58,,,,L7
2000-07-11 22:03:17+00:00,360.10,370.82,372.85,367.68,,,,,,,L7
2000-07-20 21:56:59+00:00,345.09,346.90,343.57,,,,,,,,L7
2000-11-09 21:56:21+00:00,361.27,373.68,370.22,373.98,372.66,363.81,362.00,366.03,348.50,339.84,L7
2000-11-25 21:56:23+00:00,350.30,347.23,349.00,347.85,344.76,344.56,343.90,352.07,340.11,340.20,L7
2000-12-11 21:56:24+00:00,344.90,343.28,345.83,344.58,338.34,341.23,342.03,,,,L7
2001-01-28 21:56:32+00:00,366.69,371.33,365.65,370.77,365.64,367.24,362.51,365.23,350.40,332.57,L7
2001-03-01 21:56:21+00:00,366.57,367.40,365.53,365.32,363.90,359.84,354.54,365.54,344.93,341.43,L7
2001-03-17 21:55:52+00:00,352.58,357.74,354.32,355.05,353.39,349.83,355.68,361.52,350.40,342.00,L7
2001-06-21 21:55:29+00:00,347.22,355.85,352.82,351.05,350.47,348.05,348.78,357.22,338.93,336.49,L7
2001-08-08 21:54:37+00:00,351.91,350.03,350.96,349.32,344.65,342.76,337.57,344.93,326.69,316.64,L7
2001-08-15 22:00:38+00:00,365.66,377.08,380.41,381.30,384.64,373.77,370.94,370.12,358.57,,L7
2001-08-24 21:54:48+00:00,348.05,346.68,346.91,345.97,348.42,341.93,343.83,353.67,331.28,324.51,L7
