dates,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0005,nzd0171-0006,nzd0171-0007,nzd0171-0008,nzd0171-0009,satname
1999-09-20 21:58:56+00:00,362.52,369.28,368.30,362.28,357.24,355.20,356.31,360.06,344.50,336.52,L7
1999-10-22 21:58:52+00:00,354.16,365.67,363.11,360.76,357.55,354.44,353.28,354.46,338.46,331.02,L7
2000-02-11 21:58:45+00:00,360.37,366.98,365.69,362.64,358.47,355.87,352.40,356.53,340.21,332.66,L7
2000-03-14 21:58:11+00:00,357.18,364.06,363.39,362.44,361.84,358.71,354.50,358.86,342.84,334.65,L7
2000-03-30 21:58:33+00:00,352.96,360.62,359.90,360.72,361.69,358.07,353.57,358.77,343.72,335.35,L7
2000-05-24 22:03:46+00:00,353.64,360.30,358.19,358.44,358.58,356.62,353.40,362.07,347.49,338.63,L7
2000-07-11 22:03:17+00:00,354.93,362.40,361.12,360.29,358.58,356.62,353.40,362.07,347.49,338.63,L7
2000-07-20 21:56:59+00:00,353.29,359.82,358.20,360.29,358.58,356.62,353.40,362.07,347.49,338.63,L7
2000-11-09 21:56:21+00:00,353.75,363.04,359.43,363.92,359.04,355.84,355.79,366.03,348.50,339.84,L7
2000-11-25 21:56:23+00:00,354.19,359.66,358.91,363.17,358.71,354.19,352.95,359.05,344.31,340.02,L7
2000-12-11 21:56:24+00:00,352.33,356.38,356.29,358.52,351.92,349.87,349.31,359.05,344.31,340.02,L7
2001-01-28 21:56:32+00:00,355.79,358.88,357.68,359.29,355.35,354.21,352.61,361.11,346.34,337.54,L7
2001-03-01 21:56:21+00:00,357.95,360.58,359.25,360.50,357.06,355.34,353.00,362.22,345.99,338.51,L7
2001-03-17 21:55:52+00:00,357.05,360.11,358.43,359.59,356.45,354.42,353.44,362.08,346.87,339.21,L7
2001-06-21 21:55:29+00:00,358.26,363.08,359.58,360.55,358.35,356.24,355.38,362.38,346.17,338.12,L7
2001-08-08 21:54:37+00:00,354.57,357.75,355.91,355.19,353.10,350.12,349.14,357.30,340.24,334.14,L7
2001-08-15 22:00:38+00:00,356.79,361.62,360.81,360.41,359.41,354.85,353.50,359.87,343.90,334.14,L7
2001-08-24 21:54:48+00:00,355.33,359.13,358.49,358.00,357.58,352.70,351.89,358.83,341.80,332.21,L7
2001-09-09 21:54:36+00:00,353.68,356.79,355.62,355.88,354.93,351.09,351.27,357.67,340.78,330.64,L7
2001-09-25 21:54:04+00:00,354.03,358.33,357.38,357.58,356.78,352.80,351.49,357.82,340.45,329.99,L7
2001-10-11 21:53:46+00:00,354.42,359.66,358.38,359.13,358.02,354.28,352.99,359.58,341.93,331.89,L7
2002-01-31 21:54:26+00:00,355.07,358.70,357.64,358.93,358.97,355.76,352.00,357.82,340.03,328.02,L7
2002-03-20 21:54:48+00:00,355.41,360.44,359.42,361.94,361.51,360.82,355.07,359.85,343.00,332.93,L7
2002-05-23 21:54:42+00:00,357.63,356.24,352.37,356.52,357.09,357.10,355.58,361.31,341.16,334.89,L7
2002-06-24 21:54:28+00:00,356.53,357.21,352.94,357.11,356.67,357.44,356.89,363.06,342.65,337.57,L7
2002-08-11 21:54:12+00:00,358.97,358.05,354.97,357.86,356.48,356.77,360.32,366.89,345.29,341.15,L7
2002-08-27 21:53:36+00:00,359.05,358.04,355.24,357.70,356.40,356.82,359.53,364.42,344.20,339.23,L7
2002-10-14 21:53:19+00:00,359.26,361.01,356.53,358.70,358.40,357.42,360.43,365.43,345.60,340.28,L7
2002-12-01 21:53:52+00:00,357.39,361.26,360.23,361.44,361.70,360.41,361.46,364.28,345.44,340.83,L7
2003-01-18 21:54:30+00:00,359.62,362.45,362.33,362.45,362.09,359.79,360.24,361.68,344.03,337.38,L7
2003-03-23 21:54:40+00:00,357.73,365.04,363.69,365.26,363.24,360.92,361.38,363.45,347.19,340.73,L7
2003-04-24 21:54:46+00:00,354.77,361.22,361.31,362.45,360.93,358.33,359.25,363.67,348.16,342.33,L7
2003-05-10 21:54:46+00:00,353.66,360.72,360.91,362.37,361.22,358.68,360.44,365.75,351.07,345.82,L7
2003-07-21 21:42:33+00:00,354.05,361.47,359.74,363.28,362.14,359.87,361.38,369.24,356.07,349.77,L5
2003-08-06 21:42:27+00:00,353.20,361.82,360.81,364.10,362.57,362.28,362.71,370.52,357.40,351.76,L5
2003-08-22 21:42:44+00:00,349.74,357.79,356.53,359.74,360.28,359.10,360.29,370.52,357.40,351.76,L5
2003-10-25 21:44:04+00:00,349.43,355.05,354.01,357.82,358.58,358.67,360.37,369.08,355.59,350.77,L5
2003-11-18 21:54:15+00:00,351.62,357.42,356.47,360.23,360.72,359.86,359.57,367.95,353.21,347.76,L7
2003-12-04 21:54:43+00:00,353.55,360.39,359.13,363.23,363.63,361.72,359.57,367.95,353.21,347.76,L7
2003-12-12 21:44:10+00:00,356.19,360.78,359.64,363.40,363.68,361.83,359.43,366.31,348.50,343.38,L5
2004-01-21 21:54:39+00:00,354.60,359.05,356.65,359.78,359.90,357.66,354.64,360.90,341.33,336.98,L7
2004-02-14 21:44:57+00:00,354.64,358.18,355.29,358.18,358.54,354.55,352.14,358.05,337.68,333.39,L5
2004-02-21 21:50:47+00:00,356.97,358.63,358.65,361.55,360.16,356.44,352.93,358.05,337.68,333.39,L5
2004-03-09 21:54:51+00:00,356.97,358.63,358.65,361.55,359.23,356.48,351.52,356.67,336.96,330.32,L7
2004-03-17 21:45:08+00:00,357.96,360.81,360.77,363.05,360.42,356.23,351.92,357.37,338.73,332.88,L5
2004-04-02 21:45:18+00:00,357.99,362.17,361.85,363.50,361.22,355.82,352.67,357.81,340.56,334.89,L5
2004-04-18 21:45:49+00:00,357.86,361.70,361.01,362.89,360.10,354.66,351.91,357.68,340.45,334.94,L5
2004-05-20 21:46:44+00:00,358.64,362.01,361.33,362.24,360.04,354.22,351.27,357.11,341.31,335.47,L5
2004-05-28 21:55:11+00:00,357.99,361.82,360.61,361.38,359.67,354.35,352.10,357.90,342.27,336.29,L7
2004-06-05 21:47:12+00:00,357.57,360.49,359.11,359.77,357.73,353.35,352.07,358.01,342.27,335.75,L5
2004-07-23 21:48:33+00:00,356.67,360.38,360.64,360.78,358.16,354.26,353.13,360.11,345.63,338.09,L5
2004-08-24 21:49:18+00:00,358.96,364.44,362.27,362.19,360.02,356.06,354.87,361.72,347.40,339.98,L5
2004-09-09 21:49:43+00:00,359.14,364.86,362.71,362.70,361.94,357.07,357.78,365.31,351.43,344.68,L5
2004-09-25 21:50:07+00:00,357.53,363.19,361.84,362.00,362.00,359.42,359.40,366.96,353.78,346.53,L5
2004-10-19 21:54:19+00:00,357.62,362.24,360.98,361.44,361.98,361.37,360.48,367.78,356.12,345.18,L7
2005-01-15 21:52:09+00:00,360.29,364.47,362.51,363.17,363.61,361.69,361.56,369.59,358.99,348.39,L5
2005-01-23 21:55:01+00:00,359.11,364.37,362.52,362.59,363.98,361.97,362.66,369.82,360.60,349.24,L7
2005-02-08 21:55:11+00:00,359.11,364.37,362.52,362.59,363.98,360.09,360.31,367.68,356.21,346.82,L7
2005-02-16 21:52:37+00:00,359.41,363.26,361.48,362.02,362.98,359.10,359.92,367.41,355.43,346.92,L5
2005-02-24 21:55:17+00:00,359.08,362.31,360.30,361.11,361.57,358.36,357.07,365.11,351.38,342.88,L7
2005-03-28 21:55:42+00:00,363.17,362.97,358.80,359.74,358.70,355.60,353.06,359.10,342.43,333.91,L7
2005-04-05 21:53:07+00:00,361.53,362.66,359.03,359.74,358.10,355.13,353.99,361.61,346.87,338.05,L5
2005-04-12 21:58:55+00:00,361.82,362.50,359.46,360.03,358.05,355.47,353.57,360.16,346.87,338.05,L5
2005-04-13 21:55:36+00:00,359.68,362.50,358.53,359.91,358.68,356.07,354.18,360.02,345.02,336.63,L7
2005-04-21 21:53:10+00:00,358.96,362.77,359.30,359.93,358.94,356.00,354.90,362.02,347.30,340.86,L5
2005-04-29 21:55:12+00:00,358.96,362.77,360.30,360.74,359.80,357.00,355.37,362.78,347.71,341.49,L7
2005-05-07 21:53:16+00:00,358.20,361.54,359.61,360.29,359.32,356.56,356.29,363.72,348.53,342.45,L5
2005-05-23 21:53:24+00:00,358.28,361.76,359.61,360.19,359.29,356.67,356.78,365.05,348.99,342.71,L5
2005-05-31 21:55:35+00:00,358.28,361.62,359.77,360.01,359.67,356.95,357.73,366.25,350.64,344.15,L7
2005-06-08 21:53:33+00:00,358.52,361.56,359.70,360.26,359.50,356.90,357.50,365.73,350.59,343.94,L5
2005-06-24 21:53:14+00:00,359.68,361.56,359.70,360.58,359.31,356.66,356.76,365.73,350.59,343.94,L5
2005-07-18 21:55:03+00:00,358.70,360.94,359.85,360.70,359.31,356.86,357.10,366.36,349.75,342.22,L7
2005-08-03 21:55:25+00:00,358.53,360.84,359.49,360.46,359.01,356.69,357.33,366.65,350.15,342.49,L7
2005-08-19 21:55:20+00:00,358.06,360.83,359.56,359.97,358.48,356.94,357.63,367.09,350.34,342.60,L7
2005-08-27 21:53:44+00:00,358.26,360.55,362.02,359.97,358.48,356.67,358.31,367.71,351.22,343.32,L5
2005-09-11 22:00:53+00:00,357.26,360.06,361.69,359.97,358.48,356.67,358.31,367.71,351.22,343.32,L7
2005-09-20 21:55:06+00:00,357.20,359.33,361.69,359.97,358.48,356.67,357.48,366.44,349.43,341.80,L7
2005-10-06 21:55:01+00:00,355.76,357.44,361.62,359.57,358.26,357.08,356.35,364.90,346.73,339.70,L7
2005-11-22 22:00:23+00:00,355.72,356.04,361.81,357.44,354.98,355.02,356.20,362.05,343.31,335.44,L5
2006-01-10 21:55:52+00:00,351.01,354.46,361.18,353.76,352.27,353.70,355.90,358.17,336.86,329.32,L7
2006-02-11 21:55:41+00:00,350.36,353.46,361.92,353.24,351.10,352.19,353.68,354.50,335.58,331.06,L7
2006-02-19 21:56:39+00:00,351.98,354.30,363.06,355.71,353.07,354.16,355.68,355.19,336.58,330.92,L5
2006-03-15 21:55:44+00:00,353.13,354.11,355.46,359.79,354.98,355.81,355.96,356.81,337.87,331.88,L7
2006-03-31 21:56:06+00:00,353.53,354.81,355.46,359.79,353.87,355.53,355.81,356.62,339.03,331.45,L7
2006-04-08 21:57:36+00:00,352.75,358.14,356.15,359.65,354.33,354.18,358.04,361.02,344.57,336.94,L5
2006-05-02 21:56:05+00:00,352.35,356.40,355.16,358.01,353.42,354.18,358.04,361.02,344.57,336.94,L7
2006-05-17 22:03:57+00:00,351.50,354.81,355.16,358.01,353.23,354.27,358.11,360.78,344.31,336.87,L5
2006-05-26 21:58:18+00:00,349.73,352.15,355.26,357.24,352.16,353.68,353.84,359.42,343.46,336.81,L5
2006-06-27 21:58:48+00:00,349.95,352.15,354.51,357.39,352.26,353.36,353.14,359.93,343.69,336.94,L5
2006-07-05 21:55:30+00:00,352.58,355.33,357.62,359.39,354.10,354.90,354.97,359.93,343.69,336.94,L7
2006-07-21 21:55:45+00:00,354.78,357.86,360.62,361.52,356.05,356.37,356.26,361.87,347.35,340.13,L7
2006-07-28 22:01:30+00:00,354.78,357.86,360.62,361.44,356.10,356.37,356.26,361.87,347.35,340.13,L7
2006-08-22 21:55:17+00:00,353.47,357.77,360.03,361.64,356.31,356.62,356.31,362.46,348.23,340.51,L7
2006-09-07 21:55:37+00:00,353.67,357.54,359.20,360.46,355.63,355.93,356.02,362.72,347.50,340.30,L7
2006-09-23 21:55:30+00:00,353.48,356.89,358.61,358.41,354.64,354.60,355.01,362.01,347.05,340.86,L7
2006-10-25 21:55:41+00:00,353.45,356.24,358.65,359.01,355.50,355.65,355.88,362.62,346.49,341.67,L7
2006-11-02 21:59:56+00:00,348.91,354.23,355.37,356.91,353.32,355.65,355.21,363.54,348.77,342.07,L5
2006-11-26 21:56:05+00:00,353.97,358.54,356.79,358.54,355.50,357.69,356.51,365.56,350.43,343.93,L7
2007-01-29 21:56:21+00:00,346.68,353.99,352.00,354.34,351.12,355.92,354.46,364.77,348.42,340.72,L7
2007-03-02 21:56:07+00:00,349.00,353.83,352.39,354.90,351.36,356.43,354.67,365.00,348.52,340.61,L7
2007-03-18 21:56:09+00:00,348.47,353.98,352.23,355.74,351.90,357.77,354.88,366.63,348.57,339.87,L7
2007-04-19 21:56:31+00:00,351.46,354.90,353.63,356.97,352.90,359.55,356.12,367.51,348.33,339.33,L7
2007-05-05 21:56:27+00:00,360.81,359.61,362.11,363.50,360.17,359.43,358.16,367.06,345.96,339.19,L7
2007-05-12 22:02:11+00:00,360.81,359.61,362.11,363.50,360.17,359.43,358.16,367.06,347.83,340.29,L7
2007-05-21 21:56:21+00:00,360.81,359.61,362.11,365.62,360.77,359.50,361.92,369.96,348.74,340.40,L7
2007-05-28 22:02:04+00:00,357.05,357.54,361.74,365.61,362.11,360.13,363.61,372.93,352.15,344.20,L7
2007-06-06 21:56:17+00:00,357.72,358.50,361.97,364.70,362.10,360.16,362.51,372.93,352.15,344.20,L7
2007-07-24 21:56:11+00:00,359.82,361.18,363.44,366.06,364.12,361.66,363.47,374.52,354.36,346.60,L7
2007-09-18 21:59:06+00:00,360.61,361.12,364.84,365.45,363.66,361.38,363.62,372.73,354.16,347.34,L5
2007-10-12 21:55:47+00:00,357.88,358.04,361.78,365.45,363.66,361.38,363.62,372.73,352.58,344.34,L7
2007-10-28 21:55:58+00:00,356.19,357.05,361.69,365.85,364.82,361.67,362.44,371.04,352.49,342.34,L7
2007-11-13 21:56:08+00:00,354.98,355.94,357.15,363.06,361.59,359.73,360.44,368.19,352.62,342.26,L7
2007-12-31 21:55:59+00:00,352.62,354.16,353.99,360.27,358.98,358.23,354.45,360.86,347.95,336.39,L7
2008-02-01 21:56:21+00:00,349.34,351.25,349.06,352.64,349.36,351.27,351.33,355.97,343.29,331.01,L7
2008-02-24 22:02:02+00:00,349.34,351.25,349.06,352.64,349.36,351.27,351.33,355.97,338.33,327.34,L7
2008-03-04 21:56:12+00:00,350.78,353.15,352.21,355.51,352.00,349.78,350.38,353.96,334.81,327.34,L7
