dates,nzd0361-0000,nzd0361-0001,nzd0361-0002,nzd0361-0003,nzd0361-0004,nzd0361-0005,nzd0361-0006,nzd0361-0007,nzd0361-0008,nzd0361-0009,nzd0361-0010,nzd0361-0011,nzd0361-0012,nzd0361-0013,nzd0361-0014,nzd0361-0015,nzd0361-0016,nzd0361-0017,nzd0361-0018,nzd0361-0019,nzd0361-0020,nzd0361-0021,nzd0361-0022,nzd0361-0023,nzd0361-0024,nzd0361-0025,nzd0361-0026,nzd0361-0027,nzd0361-0028,nzd0361-0029,nzd0361-0030,nzd0361-0031,nzd0361-0032,nzd0361-0033,nzd0361-0034,nzd0361-0035,nzd0361-0036,nzd0361-0037,nzd0361-0038,nzd0361-0039,nzd0361-0040,nzd0361-0041,nzd0361-0042,nzd0361-0043,nzd0361-0044,nzd0361-0045,nzd0361-0046,nzd0361-0047,nzd0361-0048,nzd0361-0049,nzd0361-0050,nzd0361-0051,nzd0361-0052,nzd0361-0053,nzd0361-0054,nzd0361-0055,nzd0361-0056,nzd0361-0057,nzd0361-0058,nzd0361-0059,nzd0361-0060,nzd0361-0061,nzd0361-0062,nzd0361-0063,nzd0361-0064,nzd0361-0065,nzd0361-0066,nzd0361-0067,nzd0361-0068,nzd0361-0069,nzd0361-0070,nzd0361-0071,nzd0361-0072,nzd0361-0073,nzd0361-0074,nzd0361-0075,nzd0361-0076,nzd0361-0077,nzd0361-0078,nzd0361-0079,nzd0361-0080,nzd0361-0081,nzd0361-0082,nzd0361-0083,nzd0361-0084,nzd0361-0085,nzd0361-0086,nzd0361-0087,nzd0361-0088,nzd0361-0089,nzd0361-0090,nzd0361-0091,nzd0361-0092,nzd0361-0093,nzd0361-0094,nzd0361-0095,nzd0361-0096,nzd0361-0097,nzd0361-0098,nzd0361-0099,nzd0361-0100,nzd0361-0101,nzd0361-0102,nzd0361-0103,nzd0361-0104,nzd0361-0105,nzd0361-0106,nzd0361-0107,nzd0361-0108,nzd0361-0109,nzd0361-0110,nzd0361-0111,nzd0361-0112,nzd0361-0113,nzd0361-0114,nzd0361-0115,nzd0361-0116,nzd0361-0117,nzd0361-0118,nzd0361-0119,nzd0361-0120,nzd0361-0121,nzd0361-0122,nzd0361-0123,nzd0361-0124,nzd0361-0125,nzd0361-0126,nzd0361-0127,nzd0361-0128,nzd0361-0129,nzd0361-0130,nzd0361-0131,nzd0361-0132,nzd0361-0133,nzd0361-0134,nzd0361-0135,nzd0361-0136,nzd0361-0137,nzd0361-0138,nzd0361-0139,nzd0361-0140,nzd0361-0141,nzd0361-0142,nzd0361-0143,nzd0361-0144,nzd0361-0145,nzd0361-0146,nzd0361-0147,nzd0361-0148,nzd0361-0149,nzd0361-0150,nzd0361-0151,nzd0361-0152,nzd0361-0153,nzd0361-0154,nzd0361-0155,nzd0361-0156,nzd0361-0157,nzd0361-0158,nzd0361-0159,nzd0361-0160,nzd0361-0161,nzd0361-0162,nzd0361-0163,nzd0361-0164,nzd0361-0165,nzd0361-0166,nzd0361-0167,nzd0361-0168,nzd0361-0169,satname
1999-08-17 22:12:26+00:00,,,377.00,385.67,391.47,392.21,393.88,391.34,386.92,382.64,384.38,378.48,376.49,375.90,375.96,373.18,371.57,380.44,379.75,378.95,375.52,360.77,350.49,345.46,335.69,320.87,309.96,304.80,298.88,280.33,275.09,276.10,276.59,277.87,294.51,277.46,266.49,267.53,267.12,270.47,282.63,288.85,293.73,294.22,301.12,308.75,313.64,319.47,326.57,330.37,336.56,345.97,349.08,347.38,348.48,344.83,345.90,349.76,,,344.46,338.24,341.02,339.83,340.34,339.25,347.49,338.51,339.44,342.31,337.03,326.79,330.82,327.14,324.72,325.14,321.64,318.84,314.33,310.18,307.83,307.41,302.94,298.83,302.21,305.80,306.37,309.38,312.28,308.23,320.17,323.90,324.13,325.10,320.30,314.05,325.37,329.31,328.99,327.92,321.28,299.86,307.19,311.73,308.63,319.49,321.96,323.51,323.03,328.57,,324.03,328.69,329.44,329.82,328.15,333.58,330.38,329.66,324.98,328.67,328.47,330.50,332.77,334.26,335.17,334.18,339.42,339.47,339.45,340.92,340.73,333.88,332.74,338.24,339.04,343.02,347.14,356.94,347.87,333.66,331.16,331.69,328.23,323.08,318.37,312.40,309.09,305.91,306.74,302.85,304.07,308.89,311.86,309.05,311.68,313.89,314.38,302.00,297.85,300.24,300.69,303.58,304.60,317.00,310.34,303.10,309.54,312.20,329.88,L7
1999-08-26 22:06:20+00:00,382.37,373.17,375.10,379.68,382.16,386.14,390.28,387.63,386.02,379.44,375.74,372.52,375.01,376.56,379.73,374.63,375.40,380.44,383.26,381.32,376.65,362.04,355.06,346.76,342.06,330.72,319.25,309.51,301.94,287.13,280.77,281.16,284.25,281.40,282.61,268.74,264.48,261.99,258.64,276.62,287.28,288.83,295.42,298.83,308.25,315.51,316.37,320.18,325.40,328.23,332.47,340.56,344.75,341.24,340.50,338.29,339.77,340.03,,,344.46,338.24,341.02,339.83,340.34,339.25,343.69,336.74,336.88,337.07,332.53,327.50,328.45,324.66,319.88,321.89,320.28,317.13,312.53,307.94,305.66,302.96,298.81,298.50,300.34,302.16,303.25,304.99,307.81,306.42,314.22,317.53,318.88,315.39,312.83,311.41,313.30,315.81,315.87,311.49,303.74,289.97,298.23,296.56,301.50,315.50,316.98,317.69,323.03,312.87,,324.03,318.06,320.89,324.16,328.15,319.79,323.67,320.79,318.29,321.93,324.06,325.84,326.58,331.18,333.31,333.06,334.41,334.80,334.27,337.00,336.41,329.85,325.58,326.46,328.01,333.75,342.94,351.81,345.39,332.95,332.85,328.52,326.66,321.19,317.53,305.51,309.26,304.71,305.23,301.48,303.69,304.42,308.87,307.38,306.82,305.83,304.16,297.12,295.93,300.24,300.69,303.58,302.91,306.81,304.95,299.50,305.37,308.62,321.00,L7
1999-10-13 22:06:24+00:00,384.88,383.12,379.62,380.42,382.49,385.61,386.75,383.97,384.80,380.37,377.05,374.05,377.35,378.63,379.04,374.97,378.09,381.62,382.20,377.49,374.57,362.29,357.56,348.42,342.88,333.43,322.77,312.24,304.92,292.45,283.66,285.04,284.92,281.16,281.23,270.13,268.42,266.60,266.35,278.14,285.96,288.10,295.08,301.05,310.19,316.66,320.23,322.83,326.00,328.76,332.66,340.38,343.49,341.84,341.71,341.87,342.73,342.90,344.56,336.01,342.87,335.90,337.93,341.44,343.27,343.61,346.97,340.68,338.73,338.06,334.62,329.13,329.83,327.41,322.01,323.35,323.11,321.72,315.40,310.41,306.26,304.27,300.01,300.46,302.78,302.97,303.88,305.88,309.70,311.62,319.01,320.70,318.63,315.00,312.07,311.25,312.70,315.75,316.45,312.77,307.72,293.56,302.33,301.28,306.52,317.66,320.61,322.34,330.15,320.46,332.99,325.54,321.05,322.62,325.98,328.89,324.49,327.26,325.47,323.04,326.68,326.81,328.53,329.93,332.69,332.78,332.86,334.69,335.52,336.72,339.93,338.55,333.87,332.40,334.19,336.58,341.69,349.70,356.97,348.53,336.98,334.83,329.53,327.46,322.95,318.29,308.48,307.70,305.17,306.21,304.76,305.46,307.30,310.84,308.96,307.31,305.10,302.39,302.96,299.62,303.05,304.37,308.00,304.93,309.50,307.58,304.49,312.64,315.64,325.76,L7
1999-11-21 22:12:24+00:00,388.14,384.19,381.73,380.96,382.00,385.57,388.73,385.98,386.82,383.54,380.42,376.81,380.15,381.65,382.86,378.07,381.66,384.89,385.95,382.31,377.61,366.61,361.69,352.60,348.82,339.60,329.50,318.67,309.61,296.27,288.02,287.82,289.49,282.72,274.72,272.96,272.69,271.61,272.90,283.91,289.87,292.60,298.66,305.54,314.26,320.87,323.17,325.61,329.63,332.37,334.65,341.14,345.38,342.93,343.66,343.85,344.79,343.95,345.46,336.78,341.05,334.21,338.87,341.32,343.14,345.19,347.23,342.43,340.60,337.26,334.76,329.63,330.40,328.93,324.38,325.21,326.06,323.79,318.85,314.45,309.79,306.22,302.08,301.97,303.81,304.52,305.63,306.89,310.73,313.46,319.94,322.12,319.56,315.64,313.39,312.99,314.12,315.52,315.25,310.33,304.83,294.01,303.90,303.07,308.87,319.26,321.65,323.88,330.15,321.99,331.00,325.91,322.48,323.99,326.53,326.90,324.13,326.33,324.81,323.79,326.86,329.21,330.59,332.76,335.60,335.25,334.87,336.10,337.14,337.68,340.65,340.12,335.09,333.87,335.53,338.55,342.57,351.05,357.75,350.33,340.16,337.35,332.48,330.92,325.86,321.57,311.79,312.66,309.08,308.93,307.57,308.66,310.55,313.66,311.57,309.10,307.02,302.02,306.12,304.32,306.71,307.32,310.06,307.33,311.02,309.48,307.31,314.92,317.20,326.73,L7
2000-01-17 22:06:11+00:00,387.85,384.12,383.57,382.72,385.21,389.12,390.55,388.82,389.45,384.65,380.29,378.95,380.52,381.99,384.05,380.22,382.79,385.38,385.42,380.68,376.73,367.60,362.09,353.52,349.43,341.57,332.36,323.45,313.93,301.87,294.77,294.90,296.78,285.36,275.47,274.38,274.35,273.67,275.31,284.62,290.01,294.87,301.98,307.89,316.77,323.87,326.50,328.64,331.67,334.09,335.35,340.40,344.73,343.23,345.08,345.54,345.13,344.53,345.38,338.56,342.20,337.43,338.43,341.55,342.95,345.59,347.96,344.29,341.98,338.36,335.65,330.58,330.51,329.38,325.83,326.14,326.40,324.38,321.07,316.33,312.74,308.15,304.98,305.19,307.99,309.81,310.00,308.88,312.27,314.78,321.18,324.30,321.54,317.40,314.70,314.27,314.68,315.73,315.61,312.87,307.97,298.25,307.24,307.71,313.46,322.45,325.11,327.21,333.06,325.17,336.76,332.49,327.39,327.86,329.13,329.50,326.52,327.96,325.81,324.26,328.11,331.35,332.95,335.20,337.50,337.27,336.86,338.71,338.83,339.91,343.02,342.00,336.66,335.90,337.93,342.11,344.86,353.59,360.57,352.91,343.47,339.53,334.20,332.11,326.90,324.02,315.78,315.60,312.06,311.40,309.51,309.52,314.11,316.43,313.62,311.37,309.57,305.59,307.63,306.78,309.02,309.76,312.08,309.30,313.03,310.60,309.62,316.42,320.45,328.40,L7
2000-03-12 22:12:09+00:00,390.76,390.19,390.83,385.54,384.70,388.36,388.24,389.18,388.01,385.65,384.08,381.42,382.17,385.33,390.79,385.05,386.89,387.34,385.92,376.47,371.65,367.29,361.90,354.77,349.20,343.83,337.69,330.13,317.61,308.71,302.66,303.78,304.84,293.88,270.70,274.15,278.90,275.37,278.58,281.91,284.56,292.95,300.86,310.08,318.67,326.10,328.97,330.58,335.17,341.69,337.27,340.30,347.19,342.94,345.38,346.41,345.19,345.11,343.56,337.32,339.71,335.43,334.45,339.58,343.32,346.50,349.60,348.02,345.94,340.57,339.59,334.69,332.34,332.90,333.18,325.37,326.53,326.68,323.45,319.60,317.27,312.19,309.06,311.03,314.31,315.18,315.77,315.22,318.06,321.55,325.61,328.22,323.13,320.92,315.23,314.25,314.47,316.64,319.22,313.62,309.67,301.65,312.94,316.09,322.14,332.35,335.62,336.93,335.43,332.05,335.58,333.15,332.42,329.98,329.80,329.81,329.44,329.02,327.90,326.12,330.90,333.78,335.66,336.36,339.31,336.62,338.23,339.95,341.08,341.86,343.81,343.88,340.06,340.53,343.91,349.07,351.25,358.47,363.87,356.49,345.55,338.73,334.16,330.14,325.83,324.57,320.47,320.10,315.69,314.23,314.32,313.45,319.58,322.06,318.65,314.75,318.60,312.31,315.58,312.69,310.73,310.56,313.24,312.43,318.48,312.89,313.88,324.14,326.17,332.76,L7
2000-03-21 22:06:01+00:00,387.57,386.03,386.92,380.80,380.78,383.72,385.51,386.31,385.72,383.27,382.23,379.84,379.51,382.06,387.90,384.21,385.27,383.79,382.13,374.07,369.13,364.22,359.31,351.11,345.99,340.84,334.36,326.50,315.02,306.25,298.86,300.17,302.50,292.77,264.55,271.35,273.39,269.37,271.47,277.40,281.95,289.62,297.63,307.28,315.87,323.37,325.36,327.78,331.81,336.86,334.61,338.81,344.75,340.21,341.60,340.42,340.19,340.08,343.56,337.32,339.71,335.43,330.31,339.58,343.32,346.50,345.52,345.18,343.26,338.15,337.01,332.16,329.76,330.00,329.91,323.19,324.18,323.38,321.17,317.40,314.74,309.65,306.29,307.72,310.63,311.34,311.70,311.76,314.29,317.75,321.17,324.04,319.50,316.09,310.71,310.42,310.26,312.08,313.85,308.81,309.67,295.37,305.24,316.09,322.14,327.74,330.33,331.34,329.13,323.89,335.58,333.15,326.46,325.15,325.59,329.81,322.73,323.38,322.01,320.87,325.12,328.64,331.32,332.46,335.52,333.65,334.53,335.38,335.56,336.90,338.57,339.16,334.43,334.69,337.05,342.19,345.64,352.84,358.95,352.10,341.62,336.47,331.15,327.96,323.38,321.27,317.39,317.81,312.21,311.28,310.04,310.16,315.34,317.97,315.96,311.12,313.91,305.26,310.22,308.36,306.37,305.80,308.73,307.72,311.76,309.22,309.18,319.05,321.75,326.83,L7
2000-04-13 22:11:54+00:00,386.66,384.80,387.11,383.51,383.31,386.82,390.79,391.90,389.80,385.49,384.86,382.75,381.23,383.34,389.95,386.42,386.11,383.56,382.54,376.19,369.43,366.12,359.99,352.19,347.15,341.64,335.96,330.43,318.62,309.72,303.26,303.38,308.13,301.93,268.12,277.50,278.02,274.60,275.51,281.04,284.02,291.85,300.06,308.96,318.77,327.43,329.13,331.61,333.96,338.57,337.11,339.39,346.07,342.63,345.10,342.99,340.68,340.56,345.32,340.58,341.01,337.40,330.71,340.75,343.91,347.33,344.98,345.48,345.50,340.89,339.24,334.23,331.51,331.51,332.29,324.92,325.33,323.89,322.57,319.94,318.45,312.60,310.21,311.51,313.74,314.90,315.06,314.97,316.34,319.49,321.12,325.28,322.24,319.07,312.60,311.69,311.81,315.14,316.21,311.80,311.48,297.43,307.21,321.32,327.34,331.25,333.19,334.10,330.40,324.65,337.19,335.05,328.12,327.11,326.98,331.51,323.83,324.38,323.05,322.12,326.76,330.27,333.43,333.28,337.43,336.27,337.08,338.21,338.50,338.44,339.77,341.09,336.71,335.54,337.17,342.11,345.58,352.60,358.55,352.76,342.43,338.37,334.14,329.99,325.33,323.49,319.57,321.33,315.52,313.73,312.45,313.14,317.73,320.19,317.68,312.57,316.02,307.49,310.81,308.77,308.89,307.15,310.56,310.09,313.03,309.43,309.64,317.13,320.74,325.76,L7
2000-05-24 22:05:22+00:00,384.83,385.04,385.62,383.72,385.10,388.23,390.43,391.50,389.55,384.57,384.28,382.04,380.59,383.47,389.37,386.45,383.07,380.46,378.74,371.09,365.52,363.42,356.28,350.14,342.27,336.55,331.43,325.80,316.15,309.06,302.00,303.46,306.35,302.01,275.88,281.62,279.97,276.40,277.12,280.73,286.13,292.38,299.31,309.26,317.69,325.43,327.89,331.80,333.74,338.19,337.73,340.16,346.48,344.08,345.81,344.13,340.23,340.78,344.98,341.59,342.46,339.30,331.41,343.17,346.22,349.04,346.67,348.20,347.49,344.77,341.64,337.78,334.00,332.63,333.20,326.23,325.46,324.68,322.91,320.92,319.11,314.11,312.67,314.10,316.25,317.60,317.20,317.93,319.01,321.16,323.08,325.88,322.93,320.92,314.99,312.47,313.32,317.49,319.40,316.57,316.02,297.96,310.51,325.60,331.87,333.41,336.72,335.90,332.17,326.91,339.02,338.84,329.93,327.89,327.28,334.53,326.89,326.42,327.10,325.85,329.48,332.02,334.82,332.57,338.16,336.48,337.06,338.91,338.92,338.77,340.00,340.38,337.45,336.75,338.49,344.45,347.74,353.31,359.88,353.85,342.74,337.05,333.11,327.58,323.67,321.94,319.53,319.59,314.40,313.12,313.05,312.67,317.14,319.74,317.44,312.96,314.78,308.97,308.27,305.69,309.27,307.88,311.33,311.15,315.55,310.30,309.53,317.22,322.08,326.36,L7
2000-08-03 22:10:43+00:00,388.85,392.18,390.41,388.10,383.75,386.93,394.35,393.38,386.40,383.14,386.78,383.82,382.31,386.55,390.14,388.90,386.88,382.71,381.37,371.44,363.01,361.40,355.65,348.30,340.42,333.71,328.96,320.85,312.52,305.56,296.76,298.30,299.81,301.88,280.20,285.59,282.53,279.47,279.43,281.66,288.09,292.88,297.87,311.10,316.19,324.98,325.45,333.55,337.71,341.77,338.05,341.33,350.35,346.57,344.88,345.87,342.37,341.09,346.86,345.30,344.70,337.72,330.86,343.39,347.76,349.37,345.93,347.11,347.27,345.42,342.09,336.93,334.64,339.52,333.94,325.81,325.39,324.69,321.70,320.75,317.69,314.13,312.14,312.57,313.90,313.72,314.37,318.86,320.98,323.08,323.27,325.28,325.29,320.04,313.76,310.74,312.42,317.72,320.00,314.96,314.52,292.20,307.99,325.38,331.87,332.96,336.15,334.74,329.76,323.40,332.56,331.54,324.91,323.69,323.74,331.54,326.25,324.87,327.64,327.46,329.88,332.25,334.39,332.04,338.08,334.94,337.68,339.01,339.10,338.58,339.86,339.94,336.95,336.45,337.59,342.48,346.58,350.91,356.77,351.49,339.50,334.40,331.08,325.32,322.63,320.43,318.45,318.58,313.86,311.93,312.53,313.16,315.77,318.48,317.35,310.44,312.52,305.68,307.15,303.74,307.79,306.78,310.54,310.86,314.77,310.96,309.84,316.70,319.76,325.10,L7
