,dates,usa_CA_0271-0000,usa_CA_0271-0001,usa_CA_0271-0002,usa_CA_0271-0003
0,1984-04-14 18:24:49+00:00,195.76789126461665,208.08835060266287,212.766353339522,223.4696477272634
1,1984-05-25 18:19:21+00:00,203.53598213411172,202.24091025378064,207.20072363854956,216.495676282532
2,1984-06-10 18:20:05+00:00,204.1706912742038,207.74601954893492,211.9535861912566,215.9705189287167
3,1984-06-17 18:25:59+00:00,194.57493858703265,189.93853112405887,204.7539992321969,223.0757254593978
4,1984-06-26 18:20:19+00:00,210.0329816342671,219.61246066062114,220.52621467854317,231.66823755225616
5,1984-07-28 18:20:39+00:00,203.20758155081134,204.1043049482492,213.2268844654818,224.6821006526599
6,1984-08-04 18:27:04+00:00,203.99678022368414,206.00911180256395,218.87646146999694,227.00035040630934
7,1984-09-21 18:27:45+00:00,196.8492618059618,197.22411317873912,213.68306894589963,225.4809866541589
8,1984-10-23 18:27:40+00:00,198.26285125089228,209.31925072921413,218.2481590596944,225.97586774045757
9,1984-12-19 18:21:59+00:00,175.77084548270858,168.79028049015236,200.96451310049537,212.93771917941723
10,1985-04-01 18:28:00+00:00,193.40801541354705,183.9656450165826,194.16992575597268,206.3076453740015
11,1985-05-03 18:27:48+00:00,199.74573706448288,203.49946074992567,208.30682725705452,213.3636450067326
12,1985-05-12 18:21:34+00:00,205.4253500245418,190.0269725508324,192.0025106592514,216.17138979927788
13,1985-06-13 18:21:33+00:00,198.58964374559764,194.02449391166007,198.39623212399528,207.49254501527506
14,1985-06-29 18:21:53+00:00,211.2113989080786,202.8263133272379,205.74484950976233,216.74912241271795
15,1985-08-07 18:27:22+00:00,212.38496238022654,199.07176573216088,208.32332128326922,228.5953336230423
16,1985-10-03 18:20:56+00:00,195.75218666553286,194.7166362670546,202.7271598647243,217.42147160260077
17,1985-10-10 18:26:39+00:00,196.74522439653464,201.892426797397,212.40015503345265,224.2958715277025
18,1985-11-11 18:26:13+00:00,194.815943148461,180.88918010752047,204.9165232528977,218.8225351645069
19,1986-02-08 18:18:18+00:00,185.82441572624012,166.4917277628883,197.2117251331126,218.15067694134007
20,1986-03-19 18:23:38+00:00,190.26166462848485,183.33703815827337,203.28712843904333,205.54773689618742
21,1986-04-04 18:23:18+00:00,193.63438411268328,174.4657473299133,198.86992735376037,211.47961535996666
22,1986-04-13 18:16:55+00:00,189.9178516136803,185.53936065924387,198.85624434144694,208.32923936697395
23,1986-04-20 18:22:56+00:00,196.0325501667224,190.84951844160594,205.22571764417734,217.59938329909008
24,1986-04-29 18:16:32+00:00,200.12357024737793,183.08224075253673,204.32810452222998,216.42236773546585
25,1986-05-15 18:16:31+00:00,210.29008575686655,201.93192358224815,212.89865255317582,226.55612979068633
26,1986-05-22 18:22:06+00:00,189.9990096649611,185.77858529411063,206.06441441230618,211.76376188235028
27,1986-06-07 18:21:37+00:00,204.5227658742533,201.93451892421388,204.5961154651114,215.82060480986632
