,dates,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
0,1999-09-04 22:00:09+00:00,233.49487903046364,233.244965787253,243.15387524726918,242.3208701408843,240.11299767424768,236.70637853988467,239.55698160922705,243.17941644499885,249.59542944838338,240.335230782976,244.5054021403327,244.8055073594889,251.4169166441836,,261.7980044777712,246.37831287422355,,,
1,1999-09-20 22:00:08+00:00,233.1302682312659,234.29609981133487,241.5202305655055,243.4421241817054,237.56321139034554,236.53692235709374,235.6176908812789,245.55938513159168,243.4574775145139,246.65225372487058,245.56124801353576,245.2901085881103,249.7269883303699,251.99881978208956,244.33419273508113,,233.36553884345213,,
2,1999-12-09 22:00:09+00:00,227.42677463344197,227.75275094392532,229.85578140887256,232.86636812474197,232.56023545940593,232.36193086208675,233.18628587059732,237.4956184306776,239.9641593983223,240.11309411058284,235.4502478028319,241.70434594356354,,,240.36320891088033,,,,241.64624153609768
3,1999-12-25 22:00:04+00:00,244.40633677383877,244.58147053821511,240.51320374381532,244.01832086322156,241.82267876294097,241.7748703606739,243.01595607415683,246.09964095897604,249.26387357140513,246.52991535539232,244.96027870010928,255.9142599559367,252.7694524925856,262.3852685883268,255.40000630011252,246.5603728514211,238.53802036779172,253.66189247014728,
4,2000-01-26 22:00:02+00:00,254.37894589401145,257.8926870070379,261.505695201241,269.53941779612103,261.22013365303934,258.33377885951273,259.0292208361377,264.35612160735917,264.12909239525874,268.73999878762555,264.5856254044801,275.01429112465377,274.4966193346013,286.9688821054433,269.03726455595444,270.5079028718553,267.5822522029044,,
5,2000-02-11 21:59:57+00:00,242.7319415344147,241.87352228175538,244.7983076698404,247.85592827086415,246.78641726479498,247.52258555202332,248.01848642460712,246.2770752384346,249.37344358483853,246.2109610357383,248.41446561612992,258.7926118753687,259.00133273237765,268.0252787041246,260.8568267831594,,245.24993385771097,259.21714996740053,258.58384275654555
6,2000-02-27 21:59:52+00:00,241.4870941696314,242.20232571465604,250.0599666589503,250.4020974634805,249.26885016574792,249.1494464894698,254.60574198253792,252.47175567775625,266.1546094182475,262.8842143375959,265.96048159288733,269.7664164529079,271.5278376338951,,261.30534817237367,,246.43415275604346,261.53362268920006,
7,2000-03-14 21:59:47+00:00,229.94802924296388,229.4568045303334,234.66024837650198,233.73183077051962,234.7962423778003,239.56957665490697,238.97921057420768,235.48016760915505,242.25639261128183,233.6050664660892,237.4870181676466,237.5162632320358,240.35857079882672,246.99845825742446,245.0579909659569,,222.72615980646077,,
8,2000-03-30 21:59:45+00:00,234.71104253953962,233.00278554245708,241.7967813928474,242.96799268542142,239.36331381771305,238.12381362909855,240.65288857216564,242.42914957416576,246.65507195475124,244.46315633902154,239.42425070531127,247.46999293142264,248.9262352400706,249.97693787404904,247.56045086559377,,227.35692121321478,244.36488053570716,
9,2000-04-15 21:59:31+00:00,230.6561897707603,228.04489263461048,235.2724903971486,233.32899636672062,232.38799559022303,234.900848055917,235.80358769539222,233.35713323967238,237.56839717782188,233.63466723465226,231.76399577417703,,252.3913096870675,258.8980918934272,255.74614550958367,,,,
10,2000-05-01 21:59:30+00:00,234.94746233514937,235.87968280883092,237.6880520509715,248.49279440267887,238.67123469640845,240.7879516722194,237.18033090589378,239.47057602174638,243.08190553603308,239.6711540701513,243.32211698033709,243.71000956043878,255.50470314018023,,247.6492472205755,,,,245.9830704905767
11,2000-05-17 21:59:19+00:00,228.91259951854806,,236.13729280175372,241.19503193808248,235.35554230660895,233.86489276481652,235.00919692750995,236.8221267233561,242.56746200991694,237.07524467410354,238.23782067454,236.23606249224585,240.28433487075637,240.60751410914781,245.75843314814975,,218.5262292883059,,
12,2000-06-18 21:59:03+00:00,227.37389209280767,230.36036574305936,234.3936474399371,242.67799697716416,234.35503128946803,,,241.73091181817074,244.91007275631745,234.68367766709784,239.74864429108172,,253.74429279931607,,252.54543840978977,,239.80059671552212,255.47177548501742,
13,2000-08-05 21:58:20+00:00,238.3619055649052,238.9515309143869,246.53238753861663,251.01779623000274,248.04001041969653,241.1948065857612,247.56511614212323,252.78238356514862,256.93824429561846,253.3375627720421,248.3546972886566,256.3237147745786,261.33413681865284,,262.8880297653665,,,,265.0956529623113
14,2000-09-22 21:57:41+00:00,227.4750922148771,233.90680490322237,234.95120750793316,238.39898071329836,235.07365833237867,232.97761697836128,234.81137824572897,239.482195181986,245.00046862745302,237.29110967545782,236.92834375739864,244.62680500952825,247.80652010415324,251.00824848114198,245.59070256340613,,,,246.83252189231902
15,2000-10-24 21:57:29+00:00,228.1600174473012,231.40049468413116,238.47710029154,236.25872891817585,230.00287524306944,227.57015343773426,232.3299709113198,235.96582704940113,239.77252601140083,237.06174607350633,237.20615297327276,,245.85982971826036,,254.40451688208626,,,,245.8540533116627
16,2000-11-25 21:57:34+00:00,235.17728469315315,236.52341462509304,242.75185021672291,244.97470254661684,238.1126813576316,236.62310722129726,240.0707081977385,239.96155397391888,253.4111372306031,244.89970175014886,243.66438496330252,,244.23745886616715,240.15468096971804,248.07686028936996,,221.56112976938266,240.36103748750492,251.26408819464788
17,2000-12-11 21:57:36+00:00,229.2232334615763,229.82354501189278,235.36311502623587,236.5244877078405,234.45771155893735,231.3994951743052,235.5628137363416,235.40521257656616,242.95053243107006,239.56866443568416,236.68423965296327,,243.00125727045352,244.50295444892828,239.70705088284183,,,241.32888698090497,246.9168106368888
18,2001-02-13 21:57:39+00:00,238.32675436293246,245.64161054095774,249.55261877141103,250.61885985756933,246.1469466241409,244.5147379164073,253.54509229420526,256.08713620424066,254.65168822780853,249.86675269139664,244.37987409440407,252.6638685249009,253.39873435758312,265.032247513315,258.45717885025897,,252.93743518535283,260.7339315530502,
19,2001-04-02 21:57:18+00:00,235.3193396557504,235.42463295311603,241.17528457427363,244.29258649246748,241.7034623416427,244.14925307798183,243.40043604543223,247.66164447463052,250.0011434572196,251.87800624564483,,252.05859368987257,255.46674757553922,259.9039055941911,257.05554665102653,,240.6073028419261,258.51847465467034,
20,2001-05-20 21:57:04+00:00,228.42071994160108,229.5354157816762,238.30038467152477,242.34336654331608,239.84657276027033,231.74193088777827,239.0285271884678,239.3466795171633,243.94201607267823,239.03178715445688,233.17368879047933,,243.9786100154486,,251.41559331729155,,,236.98673721965957,
21,2001-06-05 21:56:52+00:00,234.62842003476746,235.58667665614126,243.23882148641556,247.56824330756334,243.06508225037672,239.63009942280215,242.29295162858662,249.29294230407058,250.86011640453913,252.6515468929372,247.2809944276767,249.11527920435276,255.41688965741278,,254.18067701386218,,,,250.98182330816385
22,2001-08-08 21:56:12+00:00,237.96380399495982,242.6015958047218,255.65981732885055,250.55816199386038,246.720515959205,246.78578486375332,253.07288829561747,253.6459572970609,260.672385143033,252.67954001274614,256.60260552302196,263.7665844073443,267.5507540307612,271.5785254647694,265.84042816361773,,,,
23,2001-08-24 21:56:00+00:00,234.96014076894994,233.8684601873485,239.47848777383876,244.26696985010466,246.25672256396092,239.11309603704717,244.51134713682256,246.32644598074774,251.02381260839638,241.88145503426665,245.8116871844221,251.4483161628256,255.75491741155287,269.30475234509146,265.32561891172037,,250.2575791997378,,267.0481547334075
24,2001-09-25 21:55:40+00:00,232.0164736079925,235.1149874780183,238.9164235815192,238.2872476613331,237.7290519718004,232.2508978182766,236.8709636553026,238.43278800125148,240.06700950137778,237.07160069021188,238.2060627943365,244.97844026898537,251.01898767153503,,251.18772500697284,,,,247.55671868898546
25,2001-10-11 21:55:21+00:00,239.8094912631827,242.12927749167167,246.67057455469308,248.1861920735794,239.9514688320535,243.92880241869116,241.64436156680287,244.93036401285778,249.84258283156768,247.71574726218157,244.89491461300415,253.14510283750994,256.93069717783504,,250.31672453757054,,244.77251935625435,,
26,2001-12-14 21:55:53+00:00,220.86293055904727,217.96780266986835,223.2847121051228,222.5812613943366,224.18672111145835,225.16859409439618,231.05961126509513,234.7680258510824,238.32239650428647,231.35661272451384,232.60872683548513,234.2493491358889,235.4981653528671,,227.22829180222337,220.5621646396104,213.34530048295616,,
27,2001-12-30 21:55:49+00:00,228.57954089521442,232.41533831437323,234.24331467479442,239.12426675733536,235.19156173799846,234.19631942613222,236.44712492243985,245.23869757055843,246.6663619838762,246.38849219918944,244.39634342847035,240.6479480743353,244.29369537330325,245.0321243319493,242.96098868570826,,224.87047728982364,,
28,2002-01-15 21:55:59+00:00,238.43113691538844,237.92086376441824,239.4612628007374,242.26351873588277,241.22781540093177,239.9390586938785,244.23474433039684,247.27279361402626,242.75396539474738,240.01196191457177,236.84851726893245,239.95975479335692,246.7100288110225,250.05620223371895,247.6554167004856,,227.6349085563214,244.90587565776258,250.36230605744004
29,2002-02-16 21:56:06+00:00,232.73698838866076,235.976664078713,236.5177899148878,239.13899872448079,235.80843698810017,228.10949370720746,231.84227631521088,237.05012488983297,238.12022735954275,233.13435157305534,234.29547862582106,239.11778197818668,247.21344828239276,258.9273720270341,248.94367004598843,,241.23414667810547,,255.31802335345563
30,2002-05-07 21:56:03+00:00,226.43958016332735,227.09239421527982,234.83217429949835,232.7041427924158,231.30445406966754,228.2770411070265,234.65868266482144,236.59088043816175,243.98410014801036,241.32563388033788,241.52710363350116,,246.09493853638205,,249.60107217705496,,225.70500863847775,242.9142296722548,248.73727359289225
31,2002-06-24 21:55:40+00:00,222.70763186711235,230.48517958723397,237.24744647234357,239.89923134765553,232.44464273007173,229.02186880172184,235.5644672231793,237.8332035032342,243.2058158077142,242.1074623362381,239.01125999415504,,248.73059698776973,,249.34136965762553,,221.067915631362,237.5292439884253,
32,2002-08-27 21:55:12+00:00,229.71744205408802,234.70713207331718,236.0065619895615,238.35970515397523,233.37532424994325,226.7210854118829,234.826891803623,236.61596738620418,241.58208006649355,,236.92036912927102,244.0187951676073,249.63963194211235,262.0102793240877,252.76285457878853,,238.85700942888954,,257.250039729981
33,2002-09-12 21:55:07+00:00,242.00299347736205,250.0708856628578,247.27398739691247,251.93975684634032,249.0542651742777,246.52669486095766,249.11533924543147,255.311858831694,257.14147367379405,255.51644564921452,255.8118890399897,265.2402132478958,271.30104047763774,,269.6447606606334,,254.5696825369699,,269.18110759208446
34,2002-10-14 21:54:55+00:00,239.17621027607365,241.72890266791933,246.1774529126669,243.9244049302441,240.07767109695803,238.10830008751358,243.0522854826105,245.58824879075647,246.97610403672817,245.32489359225488,248.71970884644838,245.36160768199676,255.01580157893804,,259.75463587874583,,,,
35,2002-10-30 21:55:01+00:00,237.13763808267086,236.44935031956834,242.36107517095556,240.8604685904642,241.68841794123168,243.656606071323,250.49832000589473,252.99735710096076,260.21489554679084,253.43122434090304,251.8178939763206,253.82160837196793,258.5808865786192,267.70615323374267,259.06369262444053,,241.9124090508018,,
36,2003-01-02 21:55:34+00:00,228.56683262467266,226.21909846703022,231.40728262627175,232.05386795160473,231.8035903302261,230.56231466156777,236.0347838141114,242.0651082527055,242.9961271670919,245.523395293338,242.46529669215198,244.90144628602738,251.96511469011472,,251.2365347223703,,,240.5750848059479,249.0998525054879
37,2003-01-18 21:55:42+00:00,221.90156607102927,225.24173480311921,226.6475879404694,231.9347449777733,227.35065089436412,228.08836375399108,232.14228147780443,235.85460557593933,233.80015896499634,237.4755025453441,235.18870592679815,239.85390734107287,245.5636683699488,247.03757366122986,253.42055028954744,,227.32541251283797,,
38,2003-02-19 21:55:54+00:00,233.5980042969039,237.3134647754733,240.01802501169365,245.42124719994774,238.77540966293293,235.7235616097768,243.60179595892444,242.52759498388625,246.529124241985,240.8583154369479,242.81248713697826,245.43370507047982,261.12868790165606,274.89075610824176,274.80399906763535,,,,254.79196367121926
39,2003-03-23 21:55:52+00:00,239.76151848548196,238.91225495261213,247.4211302226851,249.88449287660373,248.05849551819838,244.78726684323848,250.33766792941722,254.47878754190165,254.38131841529994,250.6894863889748,250.4851135257795,253.4091223851347,260.6784422430527,,267.0246530369438,,250.31880101702876,,266.24586406902904
