,dates,chi0505-0000,chi0505-0001,chi0505-0002,chi0505-0003,chi0505-0004,chi0505-0005,chi0505-0006,chi0505-0007,chi0505-0008,chi0505-0009,chi0505-0010,chi0505-0011,chi0505-0012,chi0505-0013,chi0505-0014,chi0505-0015,chi0505-0016,chi0505-0017,chi0505-0018,chi0505-0019
0,1985-01-25 14:06:03+00:00,161.64378655952015,156.72086024476687,167.9342929995332,158.40036838780586,158.16600543827712,170.72470339152136,175.2229740203513,152.5500268592211,175.90843444246852,160.00448216489573,157.5406192131393,161.57246391451847,147.47033169513435,164.00041532188416,172.8323384911674,181.92131069978856,182.44727738597462,171.43356074836768,187.00689266989977,193.88360680888266
1,1986-01-12 14:03:06+00:00,171.13774962390207,166.17198119276733,179.8288902784544,172.97751351237952,174.32758080904858,177.82440027996185,161.00255897237685,157.6914085154892,183.88308983473854,174.38955744012566,148.86260110578425,159.03779713206006,169.3769232224527,157.94725548132757,176.18427164043328,187.15967172678333,198.97850848354787,190.05111165296083,198.69179871373558,212.48026637669082
2,1986-08-15 14:03:29+00:00,156.41513829468616,,184.29664452342942,,192.370390650877,196.5585985915193,188.7799140887544,158.3118315088512,165.60012531167482,181.91925760600836,164.78656406702848,140.57847857788627,138.17257191302826,141.11778770252144,174.13249446395872,170.65887674094353,,,,
3,1986-08-24 13:56:58+00:00,,,156.18768788733573,,,149.4378452367657,,,123.69825274487295,147.78400849097682,132.36217861635996,117.32267778987446,,95.50984124629959,137.417984412879,128.3545668515791,,,,
4,1986-09-16 14:02:21+00:00,181.8231802949913,183.5409607499511,198.19280628139632,200.40263096333013,213.5483755806778,215.06382729696895,198.35541791788594,209.50927411487382,200.02334517334356,197.93553250637416,181.9862707210612,165.89915208384073,158.47937197915635,168.07550195759092,187.82341427900658,170.80526154101162,166.1917603482476,176.13553586524728,,182.4993498688464
5,1986-09-25 13:55:54+00:00,180.71353881539108,178.8694192396825,189.21745232456007,190.81044672649276,202.94193013020967,218.23668978332392,209.600199806495,162.9736698879595,187.2386225835098,196.723811176314,178.3913050298216,150.81061682404805,159.04218800725823,165.35540506101643,189.95950804412954,174.2775708946724,172.7980586184135,177.6325688318935,196.59850557567125,163.83272963628553
6,1986-10-18 14:01:19+00:00,171.12064209232253,164.49959839867978,180.01285439397387,178.6948860754464,180.01566720053958,192.71810512000695,196.61656699673352,144.08933663081697,170.08985999833433,186.38528135809773,166.27052100757976,136.44863171356147,142.4585260353628,160.92691402088928,179.3402036945972,168.6447132024779,150.4991034250437,159.33699701693473,184.76908642067656,197.37450073253288
7,1986-12-21 14:00:49+00:00,179.45374784664858,170.49575276852187,186.9971553978958,186.73615998350186,186.99915619064546,201.34991730183015,201.59965849045517,,180.69946385279457,159.69657105828037,187.92390962683584,165.47408724395842,135.23752598353838,172.02832700905708,183.7274434460299,172.66020384550845,,175.74295209014585,,218.3601620870383
8,1998-04-03 14:12:30+00:00,176.037250112952,170.73017167814558,184.33832666444326,179.31064485137637,178.9167876188784,171.57998361429523,175.43708430953964,,185.27977622201564,171.72675528559935,167.05132627969053,174.69274529655718,163.93029691923695,170.16681135600905,178.23309056422556,167.48646978348103,,184.85965092150525,175.32434848462538,153.08994372234338
9,1998-08-25 14:14:16+00:00,170.7120346183761,158.53257569775872,163.0900931962172,155.55819646278684,,181.90997631572023,170.64674966608575,124.53579978983504,150.55655718765422,171.9739657945352,152.071698308314,141.1819935599782,140.7030987623478,161.5094379215116,158.23893528753808,170.69370688915544,150.66547552226612,,,141.24325618269512
