,dates,per0084-0000,per0084-0001,per0084-0002,per0084-0003,per0084-0004,per0084-0005,per0084-0006,per0084-0007,per0084-0008,per0084-0009,per0084-0010,per0084-0011,per0084-0012,per0084-0013,per0084-0014,per0084-0015,per0084-0016,per0084-0017,per0084-0018
0,1985-01-24 14:52:53+00:00,203.5263877737957,,,,,270.2068365432963,,,,364.157149641537,343.5856626904912,,390.22005619699576,,,,,255.68061519470896,241.70332889982905
1,1986-03-16 14:48:34+00:00,,,,275.08954616038164,270.457310862948,272.8811744962336,,,,351.9966960165441,342.38976720077727,,,,,,,268.91500085168775,263.7373240440633
2,1986-04-01 14:48:15+00:00,240.03740552898512,,,263.7272961702899,274.862180024181,275.51886250954163,274.36921549682586,333.31665352080967,,341.43581198881657,338.96402366139085,,,,336.57990452368585,321.17211752352665,262.07784012650495,243.47266755667206,250.33342528736938
3,1986-05-03 14:47:30+00:00,229.7608070093633,,,,263.0164202096973,260.98972897715987,262.84072067457527,300.40753325008046,,322.1304494659145,300.62017042870053,,,,300.23564837203844,301.28552468064436,271.8224339262979,221.5436781329244,239.61523290891793
4,1986-09-08 14:43:16+00:00,328.0626416705695,336.3577311106594,,273.75581890307944,277.1745931743165,275.11971053938066,269.8105198080572,,,363.575754248457,352.78700462726863,,365.324421217081,378.7179782291645,390.9986276738644,388.3326059576191,364.0584140881718,,
5,1987-04-04 14:45:05+00:00,345.3237855567023,340.4462443149119,343.4024334032641,,276.8039082433352,,,,329.41287419103105,366.3542918844321,362.0732782476552,390.31227068155385,381.50795755283764,366.79623914123306,355.7167146084341,360.7895784342156,378.9725061466855,,
6,1987-07-25 14:47:55+00:00,349.0597668612544,353.94420490459856,358.72456035229067,,,,,,331.6509939718837,373.4760501125687,381.4486170553756,397.35943711474056,,,,,,201.72062692820512,
7,1987-08-26 14:48:52+00:00,,,,,248.47359173483687,257.2725997058947,260.9288521449874,280.3361975010266,296.26839943213645,,,,,367.4419183769858,353.05507828900556,339.5752893505434,378.16334177658666,383.72650851737956,
8,1987-09-11 14:49:16+00:00,355.0116333040161,351.9344095194832,362.0475682350501,,,,377.55043562951636,368.03649416609784,355.9266793940973,366.08387358468997,363.48508174770535,380.0809628815115,389.8645207222131,390.7210017378932,393.9878057037466,391.84796434886243,400.9894240542734,,253.10768685064977
9,1987-09-27 14:49:38+00:00,371.253610968054,368.5516208359445,371.4082292539704,,,,385.68865283199995,378.07083816758364,372.23049238606563,383.48215918086106,382.0628952190979,379.3116032242237,393.48330679660967,395.9778294500197,397.2335933027581,398.77875028175464,404.818396561486,,249.4804849605616
10,1987-10-13 14:49:57+00:00,351.98041711310043,345.61670432224315,340.46871440149374,273.24425015347447,276.28725344111484,,,341.0303102959508,348.5612749764852,332.7553215338478,343.3603902439895,357.55492982531734,365.8896989066356,365.93477991477727,367.8196272215501,372.0564636632386,370.142449125403,379.28401728340884,
11,1987-11-14 14:50:35+00:00,345.7422766427466,351.36087834131024,354.55205903678836,,,,356.73478758018314,352.62373932441,346.2912560295197,341.8453411825801,339.3834383143722,358.1217097648595,357.54539557595274,354.6223015934584,358.47437147140676,361.6926670225368,366.07998837308116,383.11502899751997,
12,1988-01-01 14:51:21+00:00,362.9074147485046,368.14989700313254,373.117353549171,,,,367.38668260025406,363.8850580260829,361.67705683395303,360.1956739646331,361.3063553526925,375.9116651849056,381.82402875135995,384.7012778940558,384.26978678137914,382.78607901672063,373.04871391236344,374.03906084670626,
13,1988-04-06 14:52:35+00:00,305.36222358137667,331.3446012458026,339.3544097981303,320.40133836159043,270.3431667590541,280.31383861984557,,310.2883911976233,312.55823487987,307.7986871778362,321.0464967322598,357.006224373202,343.75036843845885,348.28483885225467,356.9225493082556,380.639408214114,387.7225943309012,389.3562584974691,
14,1988-04-22 14:52:40+00:00,317.4216269402507,324.52766931155145,334.10257662547986,317.6472206123444,273.20411603528555,345.374425090347,340.086414310199,323.5207610427259,316.8118357464332,305.4325068661262,335.3971054749587,352.23667995433027,341.7893213898042,365.4026755634467,374.34838563922307,385.2482865037768,393.8925644425485,390.97889225849605,
15,1988-06-09 14:53:02+00:00,334.48037420157084,339.7228996477614,349.9402085234881,349.65140250683953,354.0993818926854,368.43529914628243,356.1265872746914,344.66713931174456,340.9975445851099,318.54717670409207,354.5357271068232,380.62748248959065,382.89277491162136,394.24701964241444,405.4132472446863,,,,
16,1989-01-19 14:52:30+00:00,349.2890934853963,346.6730869535182,355.75104304694156,356.24177094690833,363.15261654157223,369.53347381499503,361.43368155581476,363.7190535833363,365.50724458704826,365.64227456657477,356.8947883053181,380.52094740914885,383.8648416107303,385.00574142546543,386.05843816282487,387.8701335554217,385.9410436971685,393.52851890735695,
17,1989-03-24 14:51:26+00:00,328.96839759818204,329.48665599326705,336.64198207604454,337.6636535074517,352.58291280089907,351.1412595666297,344.41146428905074,347.14780100852937,354.96272123231114,,,351.2955404815409,347.90894713791624,363.0408898232384,382.3487836381638,407.99775412882445,397.28374263297974,367.97191877988433,
18,1989-12-05 14:46:15+00:00,,,,,,,,,,,,,,,,,378.03948065394087,344.69286033384117,218.76692845555172
19,1989-12-21 14:45:46+00:00,,,,,391.60612612928236,397.231291336432,390.8161396297178,396.5178862840701,,,,,,,,,356.1191407041662,334.33116076794073,
20,1990-01-22 14:44:47+00:00,319.3389936454104,361.58093465013087,382.7120802874904,388.22492712397616,382.29169176213543,388.63135649535553,387.9662703231905,,,,,,,,,,327.37243250576086,318.89519752160766,
21,1990-02-07 14:44:15+00:00,,,,,,,,,,,,,,,401.874454125127,383.9861699670084,358.2488104894294,337.9607656152798,248.09630811582994
22,1990-04-12 14:42:42+00:00,359.21424759434916,371.92778915308116,379.4884757015084,374.6289351614905,380.1121542690829,380.13450076587975,373.82208048469454,374.69937566562095,381.86931470765376,,328.0323465804004,372.76788046728717,373.5684609415252,366.3943693371162,360.0700699923655,351.0044886314436,332.9482254237611,321.9854749935616,161.11419530095642
23,1990-04-28 14:42:39+00:00,364.2980266261673,364.1535456506408,375.5557571040404,375.3799641746789,376.0148288713794,375.640760057136,371.9977723906071,366.05642245819126,376.05808474155185,,323.99248808170404,372.7940417841625,368.78121171148473,357.46958289663837,343.0011770746716,328.95604108961265,306.74867980028654,313.0233627435357,155.19318624776994
24,1990-05-30 14:42:41+00:00,,,,,,,,,,,,,365.2929635372913,351.01285692854674,340.5508173505896,333.26080589526623,318.7642813001826,316.58904854836055,145.9545611370567
25,1990-06-15 14:42:40+00:00,374.40101862332125,371.80467852209506,371.42024823779184,366.75262951524377,373.33572352389115,371.7211885143939,365.27575716500615,361.56827657240444,363.58740293920357,352.1001199284441,327.1942320173616,362.95650412322914,359.5536107896942,351.53656616048914,337.93304621417377,327.3976144751919,323.6069157540702,321.1956977254076,115.81103862681144
26,1991-03-14 14:43:52+00:00,349.0401519124196,339.7807536267611,340.5662822115088,336.5660972514719,340.2853545685114,348.72258011797646,344.9679732110397,333.5240358705616,334.1428365756635,340.5867644928899,345.97102334963415,348.8952951770907,339.70373192622344,332.9505489429356,323.81633370351494,312.734229730292,314.6726446223021,321.3798794207019,
27,1991-03-30 14:44:06+00:00,328.0778144549241,316.5910188774519,319.2332177969156,322.6566548875033,324.9012410692061,330.3389056785147,328.1530347286264,317.21247937787047,324.1051139925297,327.77062587254676,331.2318381085139,342.1927377226212,331.3523613247559,326.41449426538145,314.447139767714,312.3642373825602,307.2326592403292,297.5587153915013,100.42424809676803
28,1991-04-15 14:44:27+00:00,340.782672098274,329.75173034854083,332.91284000946564,328.0871811959269,336.5643632725023,340.47483476297316,329.556236336072,325.25576702907597,333.33571262808897,337.19798128933445,339.4270134853756,347.4017687467245,341.9250858452932,342.61967217265146,333.3030499479323,330.3854155368514,327.9477296470634,310.3941692799955,
29,1991-05-17 14:44:57+00:00,302.62629247593304,298.03408846861794,298.1018928378966,301.476500040109,308.1149011422212,314.9887997860717,306.9613544437248,301.9709203797468,319.3068833471338,323.0171467378852,314.4913199483047,323.0036679071452,321.657962958451,323.2055949605152,306.83167721824987,311.6623540832544,306.86856281758685,299.9969834926783,
30,1991-06-02 14:45:14+00:00,327.4882938985308,325.6691117170418,323.01656626949915,319.8509399030088,323.6558562106554,324.9938407953189,318.2819649413912,318.88426326247975,326.0463067203008,329.81404509836557,334.3133585101123,350.19287426691403,343.30332724597065,339.43824496401095,334.75914591667606,331.39673183978823,323.24049736207724,315.7125459976707,
31,1991-10-24 14:46:37+00:00,324.52962325318094,321.3517741426013,325.11722332853935,321.18909250739665,324.35042333784145,321.36366685678024,314.5385344082259,308.8599543281342,321.1075995916421,320.61443519042206,334.76830790607437,346.5970192617878,330.68325838667056,325.1898177918991,320.20883560779646,299.51434284329366,274.968009712533,293.48676196908565,
32,1992-01-12 14:46:46+00:00,301.5003436923559,300.23279638899663,301.64408411027966,296.38493252436393,300.23648417434043,302.63156132164033,296.5704177720266,291.72917350563705,299.0165456915181,297.8802974679585,309.68880516461456,321.81340078309796,311.3016577837727,308.5019403924561,,215.40495356310885,213.40720878141542,223.699241034382,72.08370411105092
33,1992-01-28 14:46:50+00:00,319.94545561916766,313.7896212863105,311.1687714742111,308.4641255922415,313.92566945462215,304.36228232374924,297.90908221322724,297.52981624665097,310.53857310128194,310.89992515423364,320.60792416997924,330.47186227861965,328.54466705201617,323.57341556454537,,231.17291692465,240.82055974515248,248.94055502732883,
34,1992-02-13 14:46:37+00:00,305.62227232111115,299.42931278758766,300.1609309708416,288.2787054479926,292.5687339969172,294.23427025614035,289.9834042563342,285.16094909803667,296.7029533627849,308.02299899084653,315.8014699791437,325.93198251135914,318.04964230369484,318.969065039309,,216.47007328889498,219.9072162633616,232.2074243241628,
35,1992-02-29 14:46:41+00:00,,,,,,,,,,,,,,,,,,,
36,1992-07-22 14:45:25+00:00,309.66260551060554,302.29925012086875,303.72221657050693,296.25360007192273,299.1637960008163,302.60997204665534,294.3160749397033,290.38134250026974,297.42934316472264,296.4529387717082,310.6689111225138,314.2771480448533,292.2573716088177,276.5613623378871,250.60384900324163,237.21952013441586,239.93704337319264,239.91178552669777,
37,1992-12-29 14:43:56+00:00,286.2746396186273,293.22797762905583,287.299159591988,273.76947871016057,278.2893442415809,276.2807305331027,273.88773501700484,267.2755185051733,267.9299833580107,269.915503412712,267.7616661102434,288.5168016297613,272.47182485251324,258.8183534149422,237.68227923546291,235.64622221523717,230.23810897188696,223.58968800359108,
38,1993-01-30 14:44:19+00:00,288.1390382651583,286.0632655932816,,278.3614237789624,280.0208069781463,278.7662171658362,274.7894488272096,272.40641479864723,277.0537374309915,274.4423976753235,268.8014451666697,281.3801524111705,266.24961190683024,254.63897373783155,248.90167424266394,231.24864359910922,,221.96013954575514,
39,1993-04-20 14:44:53+00:00,,,,,,,,,,,,,,,,,,,
40,1993-05-06 14:44:57+00:00,279.92959045887113,276.0348902027283,277.0846090732525,263.26599035449993,273.6929495115026,275.3936945375872,275.71423317707666,276.2869053921914,292.8524279752234,294.91539739946404,286.8953129891935,324.6540028498422,293.02463928203065,292.62179137354457,278.16362022380775,216.15834800684834,,,26.493171656198342
41,1993-05-22 14:45:01+00:00,282.2789585395742,276.4262871043338,274.1438251902348,263.2218767429004,266.73659946778236,270.037564431512,275.817770472274,,,,259.1108001415346,,,,,213.4271211504996,,,25.77089831111549
42,1993-07-09 14:44:55+00:00,280.88225051110106,281.89095385564036,282.43310728750726,275.4899868093652,279.5610300008279,289.2395793073218,286.5478444527989,287.9866350674283,295.9685568573123,294.6919137370898,291.93580798496293,320.1693431685329,306.1136283142251,297.85046210884667,302.29995756971755,,138.64397278426,105.998080928389,33.92732114021983
