,dates,jap0117-0000,jap0117-0001,jap0117-0002,jap0117-0003,jap0117-0004,jap0117-0005,jap0117-0006,jap0117-0007,jap0117-0008,jap0117-0009
0,1984-09-26 00:38:58+00:00,230.83620841134808,235.76692075890574,229.38434211365168,229.37149334003993,226.1485278264767,223.52422884616678,213.53896805324254,209.8738346907358,204.90358086227857,201.42015076495807
1,1985-01-07 00:45:19+00:00,246.21446349132646,245.33031418669646,238.44180276804107,238.5892712452593,233.85988901844607,226.7070066867794,220.26961064875417,220.71709035768737,225.92948390586164,222.1310963943764
2,1985-05-31 00:45:09+00:00,241.67245410487445,220.41041535164004,215.00814772933893,209.20465053324642,206.0593214000471,202.22590188959566,202.2162456545596,194.27328118484382,200.7027514150865,190.4416556569668
3,1985-06-16 00:45:07+00:00,223.15441612471443,222.54633349358244,219.58282411973983,218.54442425516086,215.98299251501595,215.7260796475181,207.6276233347776,197.85069219682396,196.93855523316543,191.79636791470696
4,1986-01-10 00:42:31+00:00,235.84943102504397,232.9652116289523,228.31049660006443,226.19109541503087,218.942239794156,215.20627838918085,207.6146689996715,206.26274578203495,210.3892550695325,208.62473176948245
5,1986-04-09 00:34:25+00:00,246.14107183775295,245.20099032783764,243.85459891246728,244.14854545193947,240.6350846569952,242.53956212239171,232.7178060040821,227.21513122574456,221.12306345297375,211.2974657415465
6,1986-04-16 00:40:26+00:00,218.21693496139002,216.81017041218388,216.17975093728674,213.8381427194765,208.35898785637053,208.39852049182537,205.8031293924615,195.0599400438205,188.3109146788008,185.67151563882948
7,1986-05-27 00:33:11+00:00,220.73017774503202,223.94761757790752,216.94323448700072,218.87460223516968,207.03179477568807,201.22865123440195,194.93866465229246,186.71787603578142,188.43531479641229,188.202899731288
8,1986-06-12 00:32:42+00:00,235.70025084725492,232.2271528313144,227.66229300683273,225.67300980818834,224.75989588262743,226.3623899176889,220.5034757978736,216.93441396253849,217.36198541942287,206.9339336575693
9,1986-06-28 00:32:11+00:00,217.81642562942207,205.59470452688598,201.9147744000205,200.85582408049703,205.02680664433785,203.07890090813473,195.74182886615554,191.30081690754415,192.18121842248124,190.93630660375706
10,1986-07-14 00:31:39+00:00,215.16554687307294,207.6221459951409,206.14152463794014,207.27971715938932,208.33113437349527,197.1689792894673,198.53301782541823,194.62539191951612,195.49997566870874,191.83949458163886
11,1986-09-23 00:35:20+00:00,222.13076468726766,220.65672796194488,220.3478185167188,217.13696170835922,215.2788821662227,202.74151545609163,194.8289063062841,192.53462274073857,209.1193453540905,194.31030948196153
12,1986-10-09 00:34:50+00:00,202.88239205213955,198.28427121798543,198.89032939654476,189.94148382210113,189.73714162151734,186.8987874768393,189.20914142356182,193.37837969984642,180.64637100239392,182.09705057849195
13,1986-12-12 00:33:43+00:00,234.48687317788975,231.72777731612047,227.42892135596279,223.82665692715338,225.20371900688926,225.7826637252677,222.52804873236192,222.60782914209537,218.32969832231836,215.3249361956628
14,1987-03-02 00:36:24+00:00,224.94439059193718,218.22340845447897,214.0594157981239,217.40748383209356,217.70931293703302,220.15794519728848,211.8560499629718,203.0800527438173,203.90801763082865,200.1524311177909
15,1987-04-03 00:37:33+00:00,204.12265557297277,199.6697321355416,200.24048849509873,196.56988604051708,200.92076401044375,207.3095309259224,197.72491801377745,184.7070068969198,187.66341034036554,184.47076048930302
16,1987-05-05 00:38:33+00:00,215.72113251146513,206.51592725059413,197.81941674601757,192.66592761591784,198.9976579285536,198.44053866387372,198.38675233340388,190.52319196163685,189.94982626207346,189.47592138388904
17,1987-05-21 00:39:00+00:00,232.929224462679,227.64969093178013,220.21399902250062,216.659850265442,216.1225448833857,220.7436920095977,217.77827224032788,212.23875928469332,210.0134471738735,203.4535941491796
18,1987-06-22 00:39:44+00:00,220.26673838871156,212.1810326165836,203.8935422461124,205.53845974021343,204.88946352018598,202.85876581751538,195.2599886344412,185.99477949959518,197.56161577374343,201.49525573466394
19,1987-07-08 00:40:03+00:00,216.97750318071198,214.27534979869395,211.12651954791602,207.74139159083066,209.64962446539403,207.60470766667328,201.0766672360805,194.79134213119818,198.53040825163322,201.47760827350118
20,1987-07-24 00:40:23+00:00,209.6093320221219,212.4976308872514,209.30644140455857,206.9584795353723,209.45539577604302,204.2093940041202,197.19411113935428,192.14799789917615,195.23843305489274,198.2015244847876
21,1988-01-16 00:44:06+00:00,237.1211295089204,235.10170901763865,230.42253996164047,228.50779115233007,215.550739429013,217.4038225759248,215.0061591569241,213.1791380518014,211.809895514353,212.7403621918822
22,1988-02-01 00:44:24+00:00,238.76707451145276,231.37815481063032,230.08974031564168,230.90245001876198,223.20568830728524,220.39449037711108,218.17684900669616,212.71914349776205,211.02677678241287,174.2651410575718
23,1988-12-01 00:45:36+00:00,233.12884987800717,227.73254062855858,227.31496977332455,223.4576704366853,213.1863246525551,213.32671941277334,212.73483445375024,214.95528280215942,215.63622384106083,210.7309103558867
24,1989-01-18 00:45:05+00:00,242.69041128623996,241.3640301029815,234.61599103947873,226.12714089569292,220.41825713332648,221.07975268722438,221.50263773933202,209.9477495225804,212.0421816577236,214.5312513730712
25,1989-05-10 00:43:41+00:00,212.6995501911465,216.03945477088988,213.75474115459127,207.31574723196755,205.15047328013983,204.91527113259966,201.3968468851666,197.75143974479647,198.86602147446422,196.91960838903887
26,1989-08-23 00:35:23+00:00,211.47491342329553,208.91620189465343,208.29595658689755,205.68336253716532,201.0846992928216,195.30531430228814,197.7420763502017,193.56555535050686,190.28706954691688,194.2373506894821
