,dates,jap0086-0000,jap0086-0001,jap0086-0002,jap0086-0003,jap0086-0004,jap0086-0005,jap0086-0006,jap0086-0007,jap0086-0008,jap0086-0009,jap0086-0010,jap0086-0011,jap0086-0012,jap0086-0013,jap0086-0014,jap0086-0015,jap0086-0016,jap0086-0017,jap0086-0018,jap0086-0019,jap0086-0020,jap0086-0021,jap0086-0022,jap0086-0023,jap0086-0024,jap0086-0025,jap0086-0026
0,1984-10-10 00:50:30+00:00,136.51027154219676,133.36104775423823,137.0537092643341,134.42335467062446,134.86571157362522,141.68540511194237,133.2980056163696,134.38152743511807,132.51069167244728,136.36828414115212,137.02721250470515,138.89565757571717,129.49105412173014,130.14038438505338,133.99058694979843,136.302410091688,137.64104755437873,136.15047368456413,133.95640415645929,132.51319548261813,129.7591603140524,125.94099617006106,120.04929619107125,116.41360905438535,120.38999948267433,117.4635726198033,127.29726633194454
1,1985-01-07 00:44:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1985-06-16 00:44:19+00:00,139.077347092338,141.87262123261866,143.02642140121867,143.53798705774065,136.98323156665765,141.91256305739552,152.83957970623462,156.77973022591146,125.49899316218165,122.036997920104,138.808575820581,128.4763004754128,128.02059100406038,131.56028391530114,122.74793896051173,131.70763663652647,130.67609173957675,123.21948032885197,122.17039556085246,131.77401660930775,127.81162378770901,131.69102409332083,121.811570681207,114.62184806094353,121.83894639421021,118.43219028446046,127.3128549636139
3,1985-08-19 00:43:51+00:00,149.5104231489113,148.5234898553369,151.18703296737038,154.59283119498286,160.95707295531537,161.01657365160327,166.87240987449007,171.8827954524358,166.25249748856294,157.10397645395864,151.00423410173903,152.9406248148514,151.57385615283988,154.70276633622217,152.74177547500474,152.13861154928492,153.4239077420807,156.65773056773418,151.29199758931014,149.8217163069894,130.96145218987627,137.9332263300746,135.0025574598583,128.06716022233638,130.2229847702459,135.04684689669347,136.57324881826153
4,1985-10-29 00:49:11+00:00,145.55659936801231,141.20152570926737,140.93081221727624,146.00452285452212,149.83677816188322,151.49902824704867,156.24206673995593,172.9844682351083,168.45480030082445,163.29188516082453,158.39510572793603,156.24967641492475,152.35527627472268,154.02452081452478,152.40406382352245,155.72521163124384,152.61359273381032,151.73778751316755,149.58826946113822,151.02250082097527,145.13730621704826,147.97737104610587,145.39239359006865,146.50762607375316,142.2604147264289,140.22507960343984,137.46803795721928
5,1985-11-14 00:48:57+00:00,138.270514032898,140.19459010567795,146.24786610508204,133.43870751085643,141.07732152020128,140.62951014414844,131.11638708678646,124.83037238452415,,,,,,,,,,,,,,,,,,,
6,1986-09-30 00:40:30+00:00,100.21459863868813,110.62718598734216,117.93241060389957,126.40705148330542,126.95874777803041,124.25348961905415,120.8702700586704,131.09405851886666,135.5469032671159,121.50444073195169,123.7768420560418,118.32912531310177,120.58641735751502,121.69267620096758,121.34596545063266,125.50460530396315,,,,,,,,,,,
7,1986-10-09 00:34:02+00:00,123.29095173557405,125.95406815244925,121.13735829636519,116.48534887631673,117.09225730423648,,,130.70227647117366,134.42542863012898,124.4741055121662,126.92049549928909,126.82324864768901,127.01290905388913,128.40988822602856,128.752185167312,130.23513810610402,132.85385044551623,123.07620215123698,123.42224325928234,122.26527199232983,119.73895182646747,119.10100690669,118.26037191022402,114.01774039399287,126.67306355009052,120.26662627587987,126.86202797634371
8,1986-11-26 00:32:28+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-12-28 00:33:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
