,dates,usa_CA_0202-0000,usa_CA_0202-0001,usa_CA_0202-0002,usa_CA_0202-0003,usa_CA_0202-0004,usa_CA_0202-0005,usa_CA_0202-0006,usa_CA_0202-0007,usa_CA_0202-0008,usa_CA_0202-0009,usa_CA_0202-0010,usa_CA_0202-0011,usa_CA_0202-0012,usa_CA_0202-0013,usa_CA_0202-0014,usa_CA_0202-0015,usa_CA_0202-0016,usa_CA_0202-0017,usa_CA_0202-0018,usa_CA_0202-0019,usa_CA_0202-0020,usa_CA_0202-0021,usa_CA_0202-0022,usa_CA_0202-0023,usa_CA_0202-0024,usa_CA_0202-0025
0,1984-05-02 18:13:15+00:00,224.3984515476537,209.12051284298423,197.61589265682392,198.1991769826878,207.45157559053476,208.48478823940061,203.24253314767833,,,200.23862889835232,224.62477416370524,224.97737482125987,216.03909224679353,202.51792712590225,,,206.67171729485756,200.15723394929563,,191.81959576025065,227.20393796887387,230.1797464215433,,180.6686107203862,201.59762327505308,233.1838300559626
1,1984-09-07 18:16:09+00:00,227.9682925297493,228.71071097437994,232.9284157948452,218.80121488658426,233.08203935942356,242.7380893041238,240.56853450483356,230.3096940223202,218.4272962929245,213.14761379753975,211.37968832756715,215.66026009163852,216.6475397218225,216.31057639976876,227.8714475751271,228.71988726235045,219.61024112137437,214.20332654647274,215.1414418939403,212.82029422146832,212.3635326739774,213.96924158154894,222.11889758288004,216.6492833347482,222.0394646262246,219.14084705728553
2,1984-09-23 18:16:11+00:00,226.2805794516313,222.7848232945681,210.69475341676812,213.05487154848083,226.41849690651904,229.94260337385964,217.21428060828225,210.46515589107477,214.05382363000032,208.9245434766028,199.56750017257414,207.67833422951423,202.15931448515806,203.79039277827349,205.43068078221472,215.59428778266565,210.31598246949824,204.87732181556356,192.58037575568505,192.52462423491536,193.90634165713635,200.16192174945985,213.1120869689883,216.1403973209405,210.05822907811793,200.0711183312939
3,1984-10-25 18:16:05+00:00,225.4590155954296,224.3323292528766,220.34262369663202,217.35921752364735,219.87280245930734,230.95576908298915,215.82714053028985,208.87407755688398,191.4622012474008,184.69942151272193,193.45392032808036,212.33821978339637,215.87265150385753,210.16935844437424,209.71553069766853,220.07253777195876,216.54462365400724,205.3945801456864,200.7839184450024,197.02673271927875,207.22957233988961,206.2035686838131,214.7924888716233,212.8497217027145,,208.0056215451746
4,1985-10-12 18:15:03+00:00,232.2459509005801,233.90611987785744,233.55193249862026,242.15217682066185,246.43123023072602,247.5165533632378,237.68272886064472,222.2884595889761,197.68014039760348,219.86735677549612,225.81384170701818,224.77183060937722,228.58269568794907,237.21924570058468,236.0120243117188,237.26056006685585,228.0717397180114,228.88328110375988,227.92971421368037,217.91281298376813,226.24247321927126,230.39925306954026,222.2617693106006,222.07014089662715,224.09623851101117,213.64729838736773
5,1985-10-28 18:14:51+00:00,238.38593620510804,229.62742404252305,234.57850723883774,239.2022346130709,237.82402997579334,242.50296854381955,234.06912745120167,222.64278931484273,214.1426859524414,198.13913614926432,203.88586733686498,210.17117761347043,209.67562541863316,222.07770961075158,226.0884844422579,224.5596530094412,220.74753186705595,220.07499603037272,222.84956116479543,219.23904279032752,226.411725377699,219.97227053622802,219.60693398871712,219.3649108609063,,207.2366081704708
6,1986-03-21 18:12:01+00:00,242.95750329920276,243.15364750040632,238.8560253118473,248.46613317985003,250.54663535938505,246.44711408874525,236.7832689432024,221.71375296428684,212.98014677936743,218.8088306650148,222.96729344706432,233.04860516492553,231.45451273250748,230.89435095688307,226.78422908636398,230.36869548292236,224.89198497840914,205.98318660273713,192.00947952292935,201.58716415902433,222.45647349869668,230.0119209296636,232.94458033969627,227.39790803595025,214.02854373856076,189.66620963790695
7,1986-05-08 18:10:55+00:00,223.64113530401426,226.33686291912426,231.92902997099068,237.47760143529382,244.28422096884876,241.46135831301757,233.30284199292123,214.46674561077813,193.1565095244096,204.26465099929774,210.1046282467001,213.69244135691784,208.4225804896439,212.31517486190728,216.43413612535124,217.28907890783785,199.36769092828598,188.48336358704927,172.83212889133563,195.73420358328028,201.52540126046196,204.20243579723146,207.5881535408455,213.9402122820958,196.42206578541268,189.04461585724277
8,1986-06-09 18:10:00+00:00,219.53071118528607,223.35584830657572,232.90574487982,235.26347274424205,241.30343789753232,235.8061225388408,226.59719459636548,205.62960027497482,188.07995997172452,204.71763498331083,200.93160989690807,207.78566951061748,212.06706867427596,205.77394838408662,211.67831391960857,211.56205525672218,202.85351678547477,187.884510664758,195.0192130297297,198.6809902029064,194.87414829855285,200.1248440399183,207.05764854392953,184.55802372594525,171.14699646213856,178.8936240530797
9,1986-07-11 18:08:57+00:00,229.10463121801422,237.49513332333697,241.35031296363735,245.13562388552123,249.91204656442642,250.82880105225158,233.4223822450301,215.40020409538,200.8188132312129,207.39245984709598,208.6285898471915,211.09858093451302,211.6298064887411,218.1622922266816,223.3082195290644,222.73353973263096,219.4566216518174,214.62382017529748,224.46716084841432,217.20233092601316,216.5568974135932,225.37240105221912,225.52943850200413,197.4427627480559,187.48201120835415,193.1605802194291
