dates,nzd0435-0000,nzd0435-0001,nzd0435-0002,nzd0435-0003,nzd0435-0004,nzd0435-0005,nzd0435-0006,nzd0435-0007,nzd0435-0008,nzd0435-0009,nzd0435-0010,nzd0435-0011,nzd0435-0012,nzd0435-0013,satname
1999-10-27 22:19:03+00:00,385.27,377.89,380.61,388.08,389.20,395.71,390.29,384.36,379.47,370.88,360.35,351.14,344.94,344.91,L7
1999-11-05 22:12:52+00:00,378.15,369.35,367.61,368.82,,,,,372.64,354.87,345.79,344.93,341.04,349.73,L7
1999-11-21 22:12:47+00:00,403.23,376.81,379.10,374.76,384.46,383.48,377.66,365.39,354.28,339.39,338.27,339.18,337.95,350.74,L7
1999-11-28 22:18:56+00:00,381.86,366.36,367.81,383.99,383.95,388.29,371.34,366.46,366.05,370.29,359.55,351.65,346.84,334.95,L7
1999-12-07 22:12:53+00:00,378.04,364.91,362.52,362.38,374.14,369.02,370.27,368.18,367.03,368.48,362.24,359.58,353.67,353.94,L7
1999-12-14 22:19:07+00:00,363.52,361.70,363.26,369.84,385.17,381.28,375.46,371.47,373.32,378.89,369.77,368.62,362.33,346.94,L7
2000-01-24 22:12:47+00:00,364.48,364.23,355.42,362.24,379.65,382.74,373.83,371.53,372.07,377.34,379.49,370.95,358.47,345.92,L7
2000-02-16 22:18:52+00:00,405.00,393.00,396.67,412.37,421.87,422.75,425.07,416.91,417.81,407.42,403.93,398.98,398.56,,L7
2000-04-13 22:12:18+00:00,374.29,372.74,371.78,378.66,388.25,392.28,391.24,395.75,391.63,390.60,381.08,379.77,370.05,375.96,L7
2000-04-20 22:18:27+00:00,340.74,346.35,348.03,357.94,357.93,375.90,375.01,372.86,376.07,368.18,368.89,364.50,354.89,355.02,L7
2000-05-15 22:12:06+00:00,326.12,347.05,355.64,361.28,368.88,377.65,370.73,373.71,368.66,371.02,,,,,L7
2000-05-31 22:11:54+00:00,336.93,356.98,366.15,358.24,,372.01,363.42,360.20,358.27,361.58,361.16,351.25,367.66,,L7
2000-08-19 22:11:01+00:00,389.54,387.75,372.19,378.52,387.02,392.20,385.26,384.30,380.09,366.42,356.19,349.48,339.32,,L7
2000-09-20 22:10:27+00:00,367.92,353.05,359.31,357.19,369.71,369.27,370.27,370.76,343.58,336.36,330.24,327.56,332.54,322.92,L7
2000-09-27 22:16:36+00:00,395.88,373.66,370.24,380.35,380.19,383.26,376.21,372.13,366.26,360.63,356.53,342.69,355.05,369.11,L7
2000-11-07 22:10:17+00:00,398.26,378.22,375.94,371.98,378.94,373.31,372.25,361.20,364.65,355.69,358.63,351.10,344.85,346.14,L7
2000-11-14 22:16:30+00:00,380.35,368.89,371.00,379.06,373.38,371.24,365.93,364.01,346.30,341.66,344.19,341.18,340.96,347.46,L7
2000-12-16 22:16:35+00:00,357.16,363.99,370.55,379.02,382.24,382.08,374.73,374.84,373.04,364.56,373.70,361.70,356.16,346.90,L7
2001-01-01 22:16:33+00:00,349.33,347.12,353.82,360.43,368.40,372.98,370.96,366.78,366.15,359.65,359.21,354.54,350.70,344.43,L7
