,dates,chi0482-0000,chi0482-0001,chi0482-0002,chi0482-0003,chi0482-0004,chi0482-0005,chi0482-0006,chi0482-0007,chi0482-0008,chi0482-0009,chi0482-0010,chi0482-0011,chi0482-0012,chi0482-0013,chi0482-0014,chi0482-0015,chi0482-0016,chi0482-0017,chi0482-0018
0,1984-07-08 14:10:01+00:00,,,,,,,,,,,,,,,,,177.42396491328117,,
1,1985-01-25 14:05:39+00:00,192.77398810282574,183.85294699416784,,214.36772453411828,226.73745102510503,244.93044499935158,231.77031751816543,237.85724550209795,221.58414585295864,222.5379998254472,210.364912041368,212.60977357589243,219.57488226820223,213.51908011099312,,,213.96609242827597,192.95749456930747,193.58880093896977
2,1986-02-04 14:08:23+00:00,206.70881762912055,223.82395153411198,239.1387962165295,239.14770542300914,231.01498445970702,243.9997733310604,248.8380041770626,247.10359943119408,243.6486146555489,231.89583310595248,227.27414368693945,240.48629948891323,244.32027188760935,238.9687634952241,225.78040733678148,222.2826227108472,231.7490583805783,206.99418728270643,211.63745386610566
3,1986-08-15 14:03:05+00:00,196.25579650523144,203.4309971790114,201.8978489078526,209.2097677280815,227.31710443562815,239.04530443983185,,,199.64954706060752,207.90029987463706,203.99237852496276,212.0078797820198,205.83803719609443,196.33477452222576,204.82648535362935,212.39634860940362,198.00115800698617,183.30761472681223,
4,1986-09-16 14:01:57+00:00,154.79711948060373,164.9181279383241,168.26551529847995,190.75639672013364,196.32807634250173,213.03748359008893,,,178.5948689720242,180.57726880727682,187.80053767490023,198.06967670656437,191.39694022348348,185.76480389886947,173.98954687575502,176.9299286237565,190.0415038041451,169.43454592805668,176.89295105267502
5,1986-09-25 13:55:30+00:00,192.8615259120199,199.91679175525937,210.67228986055505,234.34741487882408,244.17179283767877,249.8663394378117,230.8364762566294,223.77200693776152,211.2095303370442,212.01075078764785,216.83702468365186,230.22367774874965,224.6925537414972,221.36056424416293,,209.42166495038515,224.75322355390938,,208.77301871181575
6,1986-11-12 13:53:50+00:00,164.75215649516142,191.26610902369956,174.82260292084527,200.9636386686703,216.37830328327763,218.08804967108645,188.4816999419935,190.55407220142246,186.27962546166268,178.98212244605438,186.04742197259773,194.7620497350883,190.62021103356255,188.94379481141232,181.84031035635726,179.38009803241206,192.8461825017922,155.3727070990675,194.99746735201484
7,1986-12-21 14:00:25+00:00,245.696212980483,233.83836787744988,199.172496548627,236.53046780599266,250.06564229013577,247.04905211477893,226.98126960454363,243.19739981711064,250.90250806203,232.63878244211304,217.00682561970513,221.13258456203727,233.60560732349836,243.08213181893814,226.03599875488257,218.3614715974834,230.4835852975884,237.2446683945317,235.2193066964299
8,1986-12-30 13:54:30+00:00,213.63637815957708,211.14331832608798,203.1221921555553,225.75971097998746,240.36172841703313,241.89761959077785,219.27500457727785,229.39592638043163,233.74653459661945,217.02896359116818,207.26266394771832,209.1647507923286,222.54059654394504,229.35297021551136,222.6306920387283,213.71551910790936,232.21283357443434,222.79682153694688,220.18213578688074
9,1987-01-06 14:00:54+00:00,242.01330089607194,229.8289884250457,219.5865044157632,240.15063456271452,249.3585304070244,249.6156734011235,232.92339533699797,244.20015644357005,247.19765027455065,232.37682993234299,220.43053637267047,218.4533191575225,232.5365918780629,247.60127219353126,239.78018677842408,233.44846693975398,243.43332818315156,222.65834853156827,225.43321241596198
