,dates,nzd0165-0000,nzd0165-0001,nzd0165-0002,nzd0165-0003,nzd0165-0004,nzd0165-0005
0,1999-11-07 21:58:32+00:00,226.39825224421133,197.56624402227624,196.60852739498748,195.83336535234002,195.70945099868376,203.5524835975387
1,1999-12-09 21:58:33+00:00,227.69855445579475,194.64558759186522,194.24945570860768,,,
2,2000-01-10 21:58:52+00:00,228.84000222177716,179.35352602903873,,,,
3,2000-03-30 21:58:09+00:00,241.38008196456133,213.9122874534025,217.44251361242908,216.11840330746074,218.13154179831875,222.4566666669042
4,2000-05-17 21:58:07+00:00,,,,,,
5,2000-08-05 21:57:08+00:00,226.40068950150282,193.0303734719944,192.82487403979536,195.83893905860816,195.40655726339617,196.48483272129346
6,2000-08-21 21:57:02+00:00,196.1207167232513,179.42169543241033,184.71365472481085,183.54322701113884,183.03692016877358,192.14594551970848
7,2001-03-01 21:55:57+00:00,211.46627142196522,208.87574162432696,211.8745182311722,211.99320490909741,208.12323833402243,214.80641740436369
8,2001-03-17 21:56:16+00:00,211.52294468113456,216.95100268345513,220.46757194720993,218.22936904526455,214.91513107726956,222.90142073455564
9,2001-06-21 21:55:05+00:00,,,,,,
10,2001-08-08 21:55:01+00:00,196.19209953046538,179.14500165071308,177.2361802717976,177.52339490494657,175.9558435428956,178.37507015193518
11,2001-09-09 21:54:36+00:00,211.4596687032349,209.56059186650486,209.3063069282864,206.04636904390895,203.74229128364416,206.36309655305575
12,2001-09-25 21:54:04+00:00,224.80805382683576,223.84426459023473,216.53398037445822,224.5484266882729,232.92603579426,240.18710839121508
13,2001-10-11 21:54:09+00:00,227.94846484647783,231.06046002615318,225.53920689559118,217.34703979465291,219.6007774955041,234.1012418591439
14,2001-12-30 21:54:13+00:00,226.39150598499876,195.15358507953133,193.98120595868983,193.77579261700342,194.4126324272301,199.61183027260543
15,2002-01-15 21:54:23+00:00,212.62439748041263,178.75983514571737,180.96913104846482,182.2780478577527,184.14832559675565,186.7147194397869
16,2002-01-31 21:54:26+00:00,226.3730138474145,178.60421672268654,,,,
17,2002-02-16 21:54:54+00:00,202.77619891971673,203.97101841509567,208.6309606159337,208.41232761685512,212.3204607386822,221.72802540444445
18,2002-06-24 21:54:04+00:00,211.50566841342237,210.6479368991939,211.47986664945722,206.38681104724574,199.1275186952426,210.13152723875322
19,2002-08-27 21:53:36+00:00,226.38757245530033,193.75686962886456,192.29946167749648,196.04432341414042,195.2078138389233,198.8075187931756
20,2002-10-14 21:53:43+00:00,212.51678750532136,216.0725154461316,213.17539005761904,209.4897619154915,211.04073222061845,227.67039509588403
21,2003-01-02 21:54:22+00:00,206.58893908224795,201.36100802067597,206.57465188099977,201.47657720109513,200.77627754965,212.68908071196188
22,2003-01-18 21:54:30+00:00,196.53696288463442,198.6735718352517,203.076664490821,203.66678958775776,203.36092931723033,211.8389753001823
23,2003-03-23 21:54:16+00:00,211.48899694356192,206.51468647910042,212.09087477027992,210.2439831730699,209.2238552399739,215.01867317441523
24,2003-04-24 21:54:46+00:00,,,,,,
25,2003-05-10 21:54:22+00:00,211.37569782154793,,,214.95989298051688,217.92543922012732,224.09823784294514
26,2003-07-21 21:42:09+00:00,234.54336007905124,226.9632104625261,224.9302163654153,213.64148852908488,213.505294791163,225.4288407405033
27,2003-08-06 21:42:27+00:00,230.58227211198994,228.3774631412752,223.89725399642458,219.17465969978218,216.41054894289067,238.31545627709625
28,2003-08-30 21:54:22+00:00,226.38128210939928,195.16519447583983,189.30954506589927,187.6347382758857,191.98206852435567,
29,2003-09-07 21:43:24+00:00,232.35652954490757,223.77422969358128,221.14909934633667,214.81986145574643,217.13274850631694,238.34788624355272
30,2003-10-25 21:44:04+00:00,226.0444368666774,195.97744061302458,205.1995305941475,204.00251016830987,201.25314108100636,201.96450762732474
31,2003-12-04 21:54:19+00:00,226.54723070467819,225.24281352358105,218.63567874659637,218.08511666046277,220.19567390044654,
32,2003-12-12 21:44:34+00:00,,,,,187.78126921924178,192.09996880986552
33,2004-03-01 21:44:38+00:00,235.41765052102667,205.32280142881623,209.15609430042207,211.81424345171567,209.94211378521624,221.9037221906475
34,2004-03-09 21:54:51+00:00,226.37241586729928,182.16205333696064,184.80959211803486,186.3810189135025,183.95360849636353,192.9100409787992
35,2004-03-17 21:44:44+00:00,,,218.2664188741827,217.07942123058663,219.13477032754082,222.93704551373332
36,2004-03-25 21:55:18+00:00,260.97322179767383,195.46889513227006,213.05569112732059,204.02953802668594,185.4860184455379,
37,2004-04-02 21:44:54+00:00,,,,215.0659748782582,216.8031934997631,226.22592223944503
38,2004-04-18 21:45:25+00:00,235.714037572934,202.20717313928043,203.97140494854517,203.60564283731884,209.17984943994202,214.20117139244334
39,2004-05-04 21:46:16+00:00,234.57355096504335,203.02150906368996,204.22650435071628,205.05512692226637,208.1316304393874,216.8690959155674
40,2004-05-20 21:46:20+00:00,240.77070530719718,194.2201055931101,194.41334101885712,196.91597911261647,198.99844587655252,209.8395645287459
41,2004-05-28 21:54:47+00:00,211.53407903316162,216.31566273844317,215.36469539737948,208.95904207370705,208.75417026325337,215.46584658096552
42,2004-06-05 21:46:48+00:00,241.70707747930297,178.54115064612427,176.29884518939934,173.80721822926554,175.34998621247647,183.86044627675537
43,2004-07-07 21:47:45+00:00,233.31951116526452,190.40399546446062,187.41920438537278,190.02306532467736,194.63168466789233,201.80084255270637
44,2004-07-23 21:48:33+00:00,243.72693895131786,204.28390096831993,205.6113261546409,209.00628991190777,203.53843922648593,211.4856982364638
45,2004-08-16 21:54:26+00:00,232.0281796649171,192.09043008302066,190.78192720204868,190.68046469930266,192.39275301691856,198.23441092716152
46,2004-08-24 21:48:54+00:00,226.05578715877638,221.07414464742845,217.37828354135848,211.11762683935973,208.0808685480615,227.0259101078415
47,2004-09-09 21:49:19+00:00,230.31775422310474,227.55047980102208,219.621009349582,213.37165934149454,215.86279062736588,238.85231911151413
48,2004-09-25 21:49:43+00:00,233.83192173184335,226.2714279471198,221.56397345469506,219.02942338589116,221.9065299337297,243.36936681957047
49,2004-10-19 21:54:19+00:00,,,,,168.04626744151042,173.88007459045394
50,2004-11-04 21:54:31+00:00,,,,,205.46219473350195,212.5002561108815
51,2005-01-07 21:55:01+00:00,224.5141878579475,220.38784677663944,217.15497376987173,214.78847639485068,212.11611292039254,
52,2005-01-15 21:51:45+00:00,232.20458509195305,201.60221925319232,208.7517282996424,208.12946113069205,195.84699662564313,200.99123032118075
53,2005-02-16 21:52:13+00:00,219.82810677100224,225.0990481086563,224.7005453789764,220.983331326776,217.2094597654746,221.50666720103257
54,2005-03-28 21:55:18+00:00,226.41523020496572,196.0778588437798,189.80577974673292,192.39544422694632,190.83165091692575,197.62953236419503
55,2005-04-13 21:55:12+00:00,,,,,,
56,2005-04-21 21:52:46+00:00,252.29041180066164,224.2267529591321,223.73352790253372,220.98296851045208,223.08585354168014,228.93352748359453
57,2005-04-29 21:55:12+00:00,,204.67356996027166,211.45774662268678,206.19271148915357,202.584760482137,214.06833606478426
58,2005-05-15 21:55:39+00:00,,177.90832670434966,,191.48096966134347,177.49832476832728,194.6057999339511
59,2005-05-23 21:53:00+00:00,234.23263858015997,208.28460853551775,206.3472976132566,202.66213423598128,199.71198472932818,208.77066696523434
60,2005-05-31 21:55:11+00:00,214.95007044040372,224.0071080873812,216.16146985898803,208.24049460559183,203.53652940014445,204.53715397536203
61,2005-06-08 21:53:09+00:00,246.51226190289617,202.15238865170144,206.1224726964713,203.84751724615225,202.05506011425712,208.98819734973597
62,2005-06-24 21:53:14+00:00,229.67801638676576,190.96865571094497,181.7296801792259,181.60997369419204,175.7851201029746,180.62086992745702
63,2005-08-03 21:55:25+00:00,241.36833713986616,212.4580979516307,211.2788376614103,205.61695678971682,204.3849463483501,212.94514552889706
64,2005-08-19 21:54:56+00:00,211.51112365103452,209.96149567393718,207.13723319951896,201.7081986522574,197.99156869564655,207.3639920920761
65,2005-09-20 21:54:42+00:00,,,,,184.19721625561493,183.8799131071815
66,2005-10-06 21:54:37+00:00,,,,,,181.04803635174437
67,2005-11-15 21:54:02+00:00,246.51355732930963,202.92795735303798,207.48243909689648,201.19666808914383,196.57572103055648,205.61485036906558
68,2006-01-10 21:55:28+00:00,211.55008713681787,211.8457802079103,212.4364559036204,212.6289687998239,212.37833302061705,222.30448702083874
69,2006-02-03 21:56:19+00:00,231.81277690792032,198.63509455501259,198.11945933314556,202.4329386913991,199.35669437856473,203.77655001676266
70,2006-02-11 21:55:41+00:00,211.47894484966088,201.5637559704944,204.771906952241,202.9447342977196,200.93341412264306,
71,2006-04-08 21:57:12+00:00,217.58246375503074,213.9881549018761,212.6596631250651,207.75660630593532,210.01203889401174,221.6109535123737
72,2006-04-16 21:56:02+00:00,196.55532672341695,184.77282465079168,188.8651965405249,192.75788109588984,192.9040559849392,207.5711813491065
73,2006-05-02 21:55:41+00:00,192.21990151687132,194.36341136984433,192.5362965076383,192.46656526944213,191.67332391797578,190.57879695564475
74,2006-05-26 21:57:54+00:00,,,,,,
75,2006-06-27 21:58:24+00:00,241.8544903069375,190.46268467728177,193.72148967402865,198.7182030819151,191.17886958128759,200.1444334742396
76,2006-07-13 21:58:38+00:00,240.641285664728,185.67308147292607,181.04276765172943,185.26684993024037,185.58528329099408,189.75161501849837
77,2006-07-21 21:55:45+00:00,227.38229312379377,226.24337446600597,214.42679738302945,211.1087852340524,210.43831008110482,230.14975510783373
78,2006-08-22 21:55:17+00:00,241.36875001365152,202.7666472789626,205.80131534173927,199.1907559437597,197.92700204320835,207.12774455182404
