,dates,mex0028-0000,mex0028-0001,mex0028-0002,mex0028-0003,mex0028-0004,mex0028-0005,mex0028-0006,mex0028-0007,mex0028-0008
0,1985-09-30 16:17:33+00:00,183.60423703040698,178.1146860314713,196.21343870927885,192.18049650423964,193.2709787923913,192.53878660849904,189.41516953693701,191.9362888036212,198.93986230871408
1,1986-01-20 16:15:42+00:00,,210.41624244537914,210.5848893757967,209.54075200563761,218.80409368690363,221.46940911441163,209.93771493821706,206.8773675131253,218.45121270495838
2,1986-03-25 16:14:19+00:00,203.93553299538016,199.78642235619557,208.50595540704794,206.85671362844872,205.90060007049195,210.2134269069705,205.39729816305484,198.68901432804228,214.10009816974636
3,1986-04-10 16:13:58+00:00,196.40834016744972,194.31621341881825,201.64938919208396,197.8413534910377,209.85248593196002,199.63690423387132,195.41616349823744,200.64973400443105,204.05220146050326
4,1986-04-26 16:13:36+00:00,185.92008022256186,180.8896200876395,187.5741462448886,187.60770785294002,193.8520592382473,206.09877487402292,194.64906672902305,190.6723225172841,207.5280587325947
5,1987-07-02 16:13:22+00:00,183.63724876056213,184.62784796115645,192.10370027709695,184.14747031162682,188.99922814726978,188.50702488643256,194.7707747537078,188.4828813416578,199.45915846871102
6,1987-07-18 16:13:40+00:00,176.7469180688376,180.41145646289684,191.1330423243417,181.72132837071155,196.14147632310318,198.05713881646088,193.6323924559953,189.5746332150974,210.14995617833998
7,1987-08-03 16:14:08+00:00,171.91318558557725,172.74977015342125,188.9248010229127,178.49672995513893,198.1129745689251,188.305874467418,194.20841512520553,196.30408144905414,204.02932112416852
8,1987-08-19 16:14:36+00:00,173.78491925070665,176.5832685173293,181.28296199183106,180.43406616180275,196.5876853551336,190.22708223202187,196.8135402204922,197.43678373929146,205.84862238420345
9,1987-09-20 16:15:25+00:00,199.54491718241138,194.64356573167876,199.54804618246396,192.05396556371056,196.50093562205095,187.4320686935519,193.3027286560588,193.85467930327923,201.6986220337068
10,1992-09-01 16:10:44+00:00,180.9753716262543,176.7782369044566,185.59802036471842,184.04088581338144,195.57786262551159,186.9074422769119,185.75280266088552,191.00852464523726,196.059292742048
11,1993-01-07 16:09:59+00:00,207.18815637428844,203.5254644644857,205.1385259855436,205.0915783243421,210.1870437352491,208.25493983550433,211.11663453792823,221.7538072714914,218.67355415429907
12,1993-02-08 16:10:21+00:00,207.4375989693199,203.45086833577625,205.03916743060978,198.74361810486823,212.82996978092808,214.95238928371472,205.7922320559323,211.60718042520395,216.43983464839587
13,1993-02-24 16:10:24+00:00,204.46009574325305,207.38191184181375,205.15213857579187,202.00831696516198,214.77682079757352,213.81697836128458,204.2622665457065,201.82535249341666,210.946417726912
14,1993-03-12 16:10:37+00:00,204.08447923114554,192.80889139102126,198.08131441852547,196.17622319043113,212.06247529680783,209.20079314111024,207.33994324957987,212.35542307383056,210.55222760953245
15,1993-03-28 16:10:38+00:00,197.70543364064142,200.94360782962622,209.47264190754194,189.71225202039705,207.83996192384893,207.32243307095706,200.34840458679207,203.22855893160013,211.96493447834945
16,1993-05-15 16:10:55+00:00,185.65809851643968,190.11189416662478,195.44970949697014,191.32150934379845,203.87034978550452,202.02565164180191,196.02937428532036,198.31258632000691,211.072277036838
17,1993-05-31 16:10:59+00:00,195.44053148893505,191.6776428961556,200.0105842553769,185.48446287724178,195.85990449368873,190.06880133088245,197.71950050418104,198.03357084253372,208.76091349619017
18,1993-08-03 16:10:50+00:00,183.31501888934085,192.7178859169208,196.28304280981703,184.1227630041796,188.02926538007037,188.0960236844779,192.02954410025242,195.33064289918846,209.21371617833523
19,1993-09-04 16:10:48+00:00,181.6875350446726,179.6772370453527,187.8949022356492,184.2798417993599,196.10656266304883,187.1832126715018,197.68283094128182,202.35070218469676,210.7521103455704
