dates,sar0805-0000,sar0805-0001,sar0805-0002,sar0805-0003,sar0805-0004,sar0805-0005,sar0805-0006,sar0805-0007,satname
1984-05-06 09:33:51+00:00,207.63,730.52,223.75,,,,223.08,241.75,L5
1984-06-07 09:34:42+00:00,208.06,722.32,221.12,,,,225.51,253.49,L5
1984-08-26 09:36:33+00:00,210.06,693.94,207.54,210.67,197.66,209.23,207.59,242.36,L5
1984-09-11 09:36:38+00:00,207.92,697.8,221.87,219.9,188.62,215.41,206.97,219.09,L5
1984-09-27 09:36:39+00:00,216.35,698.07,222.82,215.99,189.33,208.7,204.21,210.87,L5
1984-10-29 09:36:32+00:00,208.6,708.89,224.38,216.63,201.84,246.17,236.95,226.21,L5
1985-06-26 09:36:35+00:00,208.91,693.52,212.96,207.0,192.59,222.89,228.05,219.79,L5
1985-07-28 09:36:22+00:00,207.27,668.2,210.43,208.73,194.33,222.53,212.16,225.82,L5
1985-08-13 09:36:12+00:00,207.57,,220.8,210.73,185.62,227.45,227.48,211.5,L5
1985-08-29 09:36:02+00:00,206.88,,220.17,206.28,193.33,229.07,198.21,,L5
1985-12-03 09:34:43+00:00,204.12,705.1,235.49,,,,239.11,235.13,L5
1986-05-12 09:31:17+00:00,225.19,,,,,,245.5,255.43,L5
1986-06-29 09:29:50+00:00,206.46,,220.4,202.81,185.64,222.83,207.77,217.43,L5
1986-07-15 09:29:17+00:00,206.13,699.84,228.35,221.01,213.2,224.01,213.17,217.04,L5
1986-09-01 09:27:32+00:00,207.4,702.32,226.66,,,,232.79,234.04,L5
1986-09-17 09:27:01+00:00,214.25,706.03,233.74,222.97,210.87,224.04,216.42,228.66,L5
1987-01-07 09:26:01+00:00,210.7,700.41,230.88,,,,209.24,212.44,L5
1987-01-23 09:26:28+00:00,209.4,701.98,228.87,247.0,194.04,218.17,236.55,226.74,L5
1987-03-28 09:28:52+00:00,204.81,,220.56,210.23,214.36,233.24,232.82,214.37,L5
1987-05-15 09:30:21+00:00,210.25,698.05,209.93,210.09,191.0,219.67,207.39,241.39,L5
1987-06-16 09:31:07+00:00,216.07,702.56,214.6,220.76,204.72,230.47,235.37,255.47,L5
1987-07-02 09:31:27+00:00,209.8,699.96,224.49,213.11,192.82,225.98,223.85,246.81,L5
1987-08-19 09:32:41+00:00,207.58,697.0,226.4,243.85,195.8,236.12,225.47,222.8,L5
1987-09-20 09:33:30+00:00,207.57,703.87,,,,,229.31,251.77,L5
1996-08-27 09:23:11+00:00,236.54,,208.89,233.83,174.35,207.3,218.08,,L5
1997-04-08 09:33:36+00:00,231.3,861.65,229.08,,,,229.04,248.98,L5
1997-10-01 09:39:24+00:00,222.92,860.85,222.25,241.8,257.73,246.3,252.12,244.66,L5
1998-03-26 09:43:17+00:00,231.83,876.27,240.22,249.05,256.59,226.14,230.88,254.12,L5
1998-07-16 09:44:47+00:00,234.49,862.01,223.31,233.27,251.4,242.08,248.2,256.12,L5
1998-08-01 09:44:52+00:00,236.77,872.26,222.44,234.91,246.81,216.79,219.93,268.78,L5
1998-08-17 09:45:00+00:00,245.92,868.17,226.17,238.92,255.08,249.64,248.7,218.2,L5
1998-09-18 09:45:20+00:00,238.93,860.77,222.17,226.83,249.2,242.68,233.54,244.16,L5
1998-10-04 09:45:22+00:00,246.76,858.58,237.28,232.84,252.15,238.58,242.78,270.81,L5
1999-03-13 09:45:34+00:00,237.2,835.64,222.6,236.94,252.87,236.98,243.94,252.31,L5
1999-04-30 09:45:13+00:00,231.16,874.0,228.63,225.97,252.71,223.1,203.27,246.92,L5
1999-08-04 09:44:14+00:00,231.52,,218.48,224.54,245.0,210.63,206.32,220.88,L5
1999-08-12 09:59:25+00:00,225.13,,204.29,,,,222.14,219.12,L7
1999-08-28 09:59:28+00:00,230.14,863.35,213.25,227.13,246.9,198.77,212.15,228.58,L7
1999-09-05 09:43:34+00:00,249.31,860.72,227.41,235.45,253.62,251.2,247.02,262.44,L5
1999-09-13 09:59:23+00:00,224.79,864.65,209.68,234.51,247.95,214.42,232.89,262.92,L7
1999-10-07 09:43:09+00:00,234.4,856.96,233.35,242.38,258.4,250.3,245.69,247.29,L5
1999-10-15 09:59:30+00:00,232.52,867.12,233.07,243.91,261.98,223.82,225.09,227.85,L7
1999-10-31 09:59:25+00:00,,865.25,,,,,,,L7
1999-11-16 09:59:25+00:00,239.08,851.21,231.15,240.75,258.69,253.96,235.17,253.0,L7
1999-12-02 09:59:20+00:00,233.32,866.48,233.43,238.77,253.73,219.53,223.95,234.37,L7
2000-01-19 09:59:18+00:00,233.94,856.2,228.66,,,,222.03,235.26,L7
2000-02-04 09:59:18+00:00,239.44,865.57,234.98,,,,235.24,252.45,L7
2000-02-20 09:59:11+00:00,231.17,847.37,229.51,234.92,251.0,250.1,238.15,261.53,L7
2000-03-07 09:59:06+00:00,234.01,867.72,233.81,,,,216.05,258.17,L7
2000-03-15 09:40:17+00:00,233.68,839.95,223.38,,,,213.27,231.59,L5
2000-04-24 09:58:51+00:00,237.7,823.73,221.27,239.58,261.68,223.23,221.4,221.94,L7
2000-05-18 09:42:19+00:00,226.78,842.9,216.92,228.39,246.77,221.03,229.47,240.71,L5
2000-06-11 09:58:23+00:00,,839.34,,217.22,220.82,221.15,235.32,,L7
2000-06-19 09:42:59+00:00,234.42,867.6,219.83,,,,231.42,224.82,L5
2000-06-27 09:58:13+00:00,227.56,819.45,211.72,244.45,244.28,196.85,209.32,209.09,L7
2000-07-13 09:58:00+00:00,227.42,846.86,215.99,223.84,233.45,195.24,202.32,186.31,L7
2000-07-29 09:57:43+00:00,227.08,,213.82,240.93,233.79,218.48,181.33,254.81,L7
2000-08-22 09:44:16+00:00,226.92,,214.07,234.93,248.38,219.35,226.93,217.78,L5
2000-08-30 09:57:26+00:00,233.97,841.89,230.35,237.89,248.46,218.95,206.5,229.88,L7
2000-09-15 09:57:07+00:00,246.35,857.4,232.93,241.05,267.3,230.72,236.46,254.93,L7
2000-11-02 09:56:53+00:00,,856.67,,,,,233.52,235.9,L7
2000-11-18 09:56:51+00:00,,851.91,230.34,,,,242.22,264.3,L7
2000-12-20 09:56:57+00:00,236.63,852.9,259.61,,267.3,225.13,219.34,234.56,L7
2001-01-21 09:57:03+00:00,,863.09,,,,,243.38,234.67,L7
2001-02-06 09:56:56+00:00,266.38,864.53,234.46,,,,264.35,240.53,L7
2001-02-22 09:56:55+00:00,,850.48,,,,,221.96,235.64,L7
2001-04-11 09:56:38+00:00,294.6,825.24,269.45,,258.59,232.06,206.82,234.54,L7
2001-05-13 09:56:27+00:00,,,,,261.37,240.11,238.57,260.28,L7
2001-05-21 09:46:43+00:00,,819.01,207.57,253.14,248.26,210.06,196.69,210.9,L5
2001-05-29 09:56:18+00:00,286.7,849.05,,248.9,255.97,202.33,199.66,232.03,L7
2001-06-06 09:46:54+00:00,228.77,842.24,,,,,198.89,244.14,L5
2001-06-14 09:56:07+00:00,225.07,817.02,,251.39,264.65,223.0,227.17,243.86,L7
2001-06-30 09:55:52+00:00,227.34,868.92,,253.38,251.53,219.41,235.12,254.32,L7
2001-07-08 09:46:56+00:00,233.55,841.9,220.3,239.95,250.59,231.33,233.34,217.81,L5
2001-08-01 09:55:40+00:00,227.96,864.56,220.73,,,223.37,219.73,230.64,L7
2001-08-09 09:46:50+00:00,229.12,870.15,221.5,244.13,263.42,227.32,221.37,235.27,L5
