,dates,usa_CA_0082-0000,usa_CA_0082-0001,usa_CA_0082-0002,usa_CA_0082-0003,usa_CA_0082-0004,usa_CA_0082-0005,usa_CA_0082-0006,usa_CA_0082-0007,usa_CA_0082-0008,usa_CA_0082-0009,usa_CA_0082-0010,usa_CA_0082-0011,usa_CA_0082-0012,usa_CA_0082-0013,usa_CA_0082-0014,usa_CA_0082-0015,usa_CA_0082-0016,usa_CA_0082-0017,usa_CA_0082-0018,usa_CA_0082-0019,usa_CA_0082-0020,usa_CA_0082-0021,usa_CA_0082-0022,usa_CA_0082-0023,usa_CA_0082-0024,usa_CA_0082-0025,usa_CA_0082-0026,usa_CA_0082-0027,usa_CA_0082-0028,usa_CA_0082-0029,usa_CA_0082-0030,usa_CA_0082-0031,usa_CA_0082-0032,usa_CA_0082-0033,usa_CA_0082-0034,usa_CA_0082-0035,usa_CA_0082-0036,usa_CA_0082-0037,usa_CA_0082-0038,usa_CA_0082-0039,usa_CA_0082-0040,usa_CA_0082-0041,usa_CA_0082-0042,usa_CA_0082-0043,usa_CA_0082-0044,usa_CA_0082-0045,usa_CA_0082-0046,usa_CA_0082-0047,usa_CA_0082-0048,usa_CA_0082-0049,usa_CA_0082-0050,usa_CA_0082-0051,usa_CA_0082-0052,usa_CA_0082-0053,usa_CA_0082-0054,usa_CA_0082-0055,usa_CA_0082-0056,usa_CA_0082-0057,usa_CA_0082-0058,usa_CA_0082-0059,usa_CA_0082-0060,usa_CA_0082-0061,usa_CA_0082-0062,usa_CA_0082-0063,usa_CA_0082-0064,usa_CA_0082-0065,usa_CA_0082-0066,usa_CA_0082-0067,usa_CA_0082-0068,usa_CA_0082-0069,usa_CA_0082-0070,usa_CA_0082-0071,usa_CA_0082-0072,usa_CA_0082-0073,usa_CA_0082-0074,usa_CA_0082-0075,usa_CA_0082-0076,usa_CA_0082-0077,usa_CA_0082-0078,usa_CA_0082-0079,usa_CA_0082-0080,usa_CA_0082-0081,usa_CA_0082-0082,usa_CA_0082-0083,usa_CA_0082-0084,usa_CA_0082-0085,usa_CA_0082-0086,usa_CA_0082-0087,usa_CA_0082-0088,usa_CA_0082-0089,usa_CA_0082-0090,usa_CA_0082-0091,usa_CA_0082-0092,usa_CA_0082-0093,usa_CA_0082-0094,usa_CA_0082-0095,usa_CA_0082-0096
0,1984-04-18 18:01:41+00:00,219.6346089443151,220.68774527022467,215.0476713160507,219.19470594871308,216.6431607828946,217.14792764598917,220.6747811977973,203.0417684730989,194.53032610146533,182.4960704069814,175.1982216283864,162.24027648595083,160.40388565483033,157.47246810512007,167.48471270360076,169.16084296450353,156.32163398609623,152.2777493772215,143.6131714051303,127.1657750734475,119.75460092598713,120.29131670185643,115.69107252886675,121.43697274615775,124.75464409257101,131.69253533823212,131.29286114923573,137.79137503153552,146.69413614094273,127.96050802231565,133.99100932070513,137.58232739826525,148.8227124576272,161.97879043903208,158.9371212593696,161.7258939865076,189.40271665193723,178.9253779921691,186.50930706885273,180.82098853167173,186.19293652462653,189.0050763874628,194.88129195372792,198.62750273010528,212.75479937171943,220.03524317533325,225.13847545953146,220.12133152920623,216.0367834226874,206.52623072726254,202.1979938133202,195.90090167613062,193.77707181653324,193.0710978725574,189.04854044481576,191.059280931858,191.56759015577384,193.07248257373706,190.32794992070896,195.16340451338513,195.22685366801645,199.66928325328067,194.88145554698352,187.46993920490615,189.32043742257414,196.32087834617718,200.0558145698225,205.24840838975211,205.80718974707622,206.9764114901873,195.12813119005656,195.3651381819787,191.9926636216338,192.74819276360557,193.5145678203337,201.14302555413607,206.44950470152818,199.1261715331543,200.7338720097515,195.30952355425,194.46534794876624,189.69792866587107,198.7747518091602,201.31586888217785,195.84145779142196,196.45595352177162,198.7676255399322,198.29092258578632,185.84357683276494,189.62545794624677,185.45183938816552,178.71256643223825,184.8604838997298,194.345649773436,202.42505053594783,214.39736352952775,214.88069991815664
1,1984-04-27 17:55:28+00:00,225.29866190851996,224.10937539858645,214.374527843061,226.4071330018867,231.22168611227275,226.66618301275065,209.2173131510973,193.67320807788784,185.87157197717704,179.80633674985677,166.2444485641735,165.34092729621787,167.7184230011538,171.88524168347345,183.53947394159084,177.2438840562665,167.91842878107045,153.31465372798075,141.92427612533712,129.76117358609105,116.93322765160852,118.30814949210856,116.07579547558817,119.14803888104512,120.84495749868202,123.3743689358682,122.26295527797895,131.04196901884515,142.5389761244236,140.524500402277,146.718818914196,143.87850146331485,147.82763485782408,147.2931676577271,164.10417687593412,175.87841567130823,193.3977149297449,186.7018313235035,186.70726534113123,183.4302483394043,183.94987734942163,188.12998894063156,189.19946219625533,197.7469814173868,200.31743908352556,213.82804503456208,223.78508888279688,216.8077235762592,207.92852544140806,197.19103309768093,189.41121611958084,186.8334445699709,188.3947101715785,188.81250989872538,188.45625466250786,190.731667713796,192.5218138475331,188.23661571253993,192.3408515657404,190.06108254244785,194.49236673123627,195.34031930247139,195.31142153840028,185.74672319167377,189.81321692564768,193.06803330076264,193.32348562524487,198.95649207081638,195.53493935399004,195.16444352180585,187.1949295926524,188.1198156302954,182.05517307061803,186.64410133411604,191.7320262280514,203.65770781423305,204.11730236920408,201.85531864833845,198.49106008414458,196.68267117146289,195.70460159601788,196.0805198449626,191.38833715946532,192.5748019324783,189.55815415588341,188.05206519310977,194.62201784690205,195.03260988959428,184.95941456704182,172.93397922076227,173.72484300613976,174.6771366599069,178.0451480144005,193.58602540939094,205.48024151035506,215.24715152953777,212.45431386889916
2,1984-05-04 18:01:45+00:00,220.7552585554651,222.53797892228292,223.247495031545,219.82032845835232,217.8409642328803,217.33448163398796,209.18098225222334,185.06085954379122,175.50017326434008,173.77830890275,162.4291983964064,164.16278083278087,168.9678759633709,175.19401544376296,177.61808325929488,174.3493915185164,170.54199838782682,160.28694481636717,144.55416272258475,121.98140091007942,117.24525385422463,115.84639598326866,115.03576513095608,114.84326540874845,118.58328565598782,122.84104784732718,123.51796016918999,136.49603391596773,146.76064344724418,147.41483170366465,145.70791957140517,138.3851208888487,147.67513913714092,151.01196712631102,160.7331607841891,176.59097443593606,192.48526298507258,185.8055566383362,186.23027651572806,180.9212457094371,191.7537808124195,187.0160313819258,194.0536887487181,197.7563580035391,207.14689415946174,214.30794607055054,221.01840722426573,216.71352996975338,207.82988706740818,204.50649849447814,200.11664252349283,198.4229224523723,190.74643267914462,194.19102804609807,194.50938017198013,187.3431188832608,192.28407279034505,188.41590557797898,189.0846706954452,190.1773008358232,188.44146695212373,198.10256731761172,196.16791605444544,189.72929713430545,189.05457048567933,193.08387387267734,198.12121658376697,199.156703648012,202.03449619963655,195.4638724836686,193.8657101025768,196.83146647950008,192.47827838263416,186.88424580352103,194.68441016945104,203.4708966649952,203.1879314155458,201.34048435309614,192.4691255802034,194.6958655455781,193.42214578090756,194.4288283178994,193.2195117103705,191.75364576655005,192.8053858079939,189.03994001661496,194.51011670753905,198.06674389923143,183.42146520148822,181.10329046628115,175.3345109571265,172.5434198343386,184.5741372800675,205.247080234513,210.99755239566318,216.88619775321473,217.96606274954902
3,1984-05-20 18:02:16+00:00,227.68580776574683,221.21013650696446,215.01282932728185,225.50828999136328,222.1803913405387,216.3278780909079,205.0889368856409,181.88771501572842,176.16953517211303,165.18522216288446,159.46483741925067,163.6872582828382,171.5994795988365,166.77032283986895,168.6950660414711,167.60759918350325,160.26427740363087,148.6681127327954,136.471387624802,116.87183197456437,109.53493757403922,108.98113685332379,106.58072299465337,108.02554412530645,113.40464192985249,117.96148675091621,117.39081058563052,133.82420959734833,142.8033874218704,135.8490958331766,145.52887307311732,150.11315937234357,157.03994093990698,170.14045733723526,170.92812049413791,171.9105001512347,184.35066997818583,183.34978123400313,184.630817120389,180.90047373322253,182.18668936728673,184.32567772324077,185.52202642490946,200.47688269478445,207.4471261843207,213.51617618545242,217.88109516649294,217.5520791973381,203.98812064413855,194.4020507194811,190.61500118137363,187.1827352761332,189.22034934466376,183.0134722296853,189.1665750161727,187.2739778977926,186.34877033330886,186.00910172342137,185.90323326049833,188.36130042612174,188.48672977084206,187.5797452792137,186.25265757948503,188.5023070225196,192.23345270268513,193.55157812448934,196.2617121334604,196.38988858266228,196.0379126944984,192.2967621043331,190.7486840116459,191.21491663862196,188.3835043112484,194.26077648645898,199.7365961063985,200.02813868164372,198.27724242597634,197.6384968657751,195.26882124827952,198.42211983657563,191.86260344727594,184.64511519675267,181.17022809574758,181.82133844307373,184.26504439402154,186.68388279780606,192.73599608109345,192.63141426479234,183.59276119112462,,,,,,,,
4,1984-10-04 17:58:26+00:00,198.08743285383773,215.38807355206123,219.3877760534014,231.0387586927476,230.74850665975967,222.85856723423387,211.3710601795355,193.6814169938839,187.02169238739816,176.29588414602642,175.29972681965506,177.12114628622916,180.9667691391083,188.90100795321314,189.86349698698422,188.57918436257938,182.2323948672959,167.12583160598248,160.87610721678234,146.15194754639268,135.18580565491922,136.3988200980183,132.50338983655317,129.80130879032524,128.74742431506616,134.02426915746705,133.37825141574774,149.06964221029006,159.20918227641477,154.07858583716728,155.61602098580116,157.60564649359134,163.7641079362835,161.44558047801502,168.971203377915,166.11246785478784,178.60298193846057,179.03547707259963,176.86529048478621,175.86094275981193,177.69555296891585,180.00069462689277,187.13052707966614,196.8608756150973,203.32260880715478,217.5109815753832,223.53972818941332,220.81942684901148,217.7317845505042,217.52680409682813,219.278482420591,221.49846921043576,213.05781425175792,212.21654834107227,210.6620985562932,209.63477145688665,210.73253819126512,205.67273785022263,202.3093255659041,197.72518282441195,197.03601684723853,190.0990636617752,191.94942117642216,184.87095126221328,190.75037493449952,194.73102292431435,195.13243880772654,198.26684063709234,198.17830914137656,197.71072614107413,196.1993051563275,200.59600625277602,193.66006263146562,194.9569498837035,191.40939766206355,204.02976104876257,201.14852304367142,204.69445268922954,199.35461571123096,200.763862834627,193.64153958244452,191.3725305985696,187.19027328079227,188.1000030232403,189.04720898411233,196.0677576363418,198.4842825609591,206.2937044303384,,,,,,,,,
5,1984-10-27 18:04:31+00:00,221.05850156547615,223.29339582920608,227.539139923253,235.6781315420506,228.923798601539,221.56947925778385,205.88591309485923,188.04850471436984,181.6499100498274,175.95727731966846,174.51263949741121,165.08307750297845,175.89552682135584,179.1326512533034,186.21607745270688,189.80779054793868,178.54813066770328,169.65708646274,161.63074602372456,145.52420868828773,134.23958669619083,133.27070931941375,127.24903910950118,128.915140793319,130.08520619530154,135.16066403588349,140.77441800100416,147.5027731992957,167.77347668996808,161.13528184735068,155.97156146772815,150.61860416098222,153.0346236679679,159.60618129215052,165.73443387046126,166.58672154463443,186.3599492722227,179.22919577162298,184.05906133846744,182.78590065090407,181.97713509464495,187.89895306678116,194.34243014974368,196.01801150682718,199.9315101610679,205.59999465031436,213.03298174610163,216.10698786670835,212.996574661221,213.86183748526915,216.24102370359054,220.22906500465388,219.00043810569224,210.9228319224959,209.116327734814,204.63970448800538,206.9374504876445,202.5072291715678,199.63753925257598,199.98323105653418,201.07829819213126,199.51336361433673,192.6953634805801,188.09395612168274,192.89527581131492,198.47005135353496,205.76533051242794,207.16063017561143,207.48232562828824,201.1158391126349,195.59981846267328,203.9606783786617,199.58447577320158,200.70158368849488,203.29746099671823,206.16163566507512,203.49271429732235,202.18102812833112,198.64539784253367,197.49091873119482,196.29651698641396,193.72698914214274,192.12481721555727,194.1562061108065,198.55627020766178,195.5111554906022,195.52089620656264,193.74365626133235,180.51777906752025,180.83363223783957,180.2197176408379,159.56186103803915,184.5480086211492,199.95134660913752,207.24168584783337,224.29981455595728,231.2563695385226
6,1984-12-14 18:04:35+00:00,217.9049791676527,220.32107295333992,224.90394215983866,237.4379790437649,239.0158378406515,229.3593263607794,215.53549436154836,204.9765249914736,190.16013128715926,184.24224325224972,169.30593810153653,159.68358861999943,166.889743520233,164.7198857698529,172.0082473725162,175.3409960776845,173.15491169450178,163.1735476993433,153.79271363173848,142.93389385967458,129.48065592033558,134.94839674728718,132.3288444228787,139.18494929775989,142.17677304168512,145.146603655697,153.66083687635438,161.5015147836613,175.2456935809451,168.5387731972742,162.99393210998295,154.05561090856477,149.1302811988829,151.24972960580476,161.4995921047808,167.057556584541,193.6812035968275,191.79554440124915,191.3886128696133,188.56891558390808,190.2527164337998,192.17598031897452,199.99725623378922,205.57418902407846,199.7714319604989,206.83431715656158,220.70321541135795,211.86256001513985,209.436033719357,205.54292082585354,208.71564138566993,208.13482572216623,209.79250410642805,207.74267585778819,211.25652450470108,207.13225315197815,206.29920364176567,207.67782661069052,202.87056476822445,210.4975955822643,215.4047672222647,212.1121307706028,207.45363551540478,200.84075756085917,198.52272143247237,197.8932130891888,203.43077078113492,213.47255117984494,209.22863356014477,211.85342111503078,205.72581360695514,205.7386104698536,202.343518302888,204.884515058283,206.73222734404845,211.85928260186478,212.74006424352115,211.80219007993054,207.8147180829462,201.0070613665173,200.20829779141354,195.68344278226132,196.36276927646225,197.76933302571172,196.75943814660104,190.78608486132268,200.25214378131417,205.85225917406868,190.40321626386572,185.53771264510934,181.23027210182642,189.8654214837743,196.2925400911113,200.34454283995217,207.4122761935093,216.67715627984978,218.82277159765056
7,1984-12-30 18:04:44+00:00,237.5499586219341,235.22151233461358,236.0928399350274,246.40968021182334,239.99232790489535,229.71906755226686,229.96491214422477,199.7367573220215,189.83751490327447,193.72079911949015,173.23438091292468,175.16338292981106,180.1377693590143,182.97987271313912,189.8167639545046,187.88922295715938,179.54016187978849,176.6124945047342,160.1415009877688,147.10117891610224,142.18981250391164,140.7408457662176,140.2502785328426,143.09577954379907,143.973000996998,151.7259044941334,157.5398092201163,168.31103892469912,183.74320128759226,174.5346426287258,168.84470961224363,161.22568436735904,155.10945449843936,171.04375428884336,179.72832700495084,175.50567116623972,202.64980656778778,196.2042321296645,200.56266621665523,198.31710117462876,202.8135807643761,203.81115772990609,202.92529036810143,205.07011440483646,206.78322733524917,212.87419040205734,220.50547351764718,215.76318021796047,212.35640901609264,211.29746541148478,213.2272111248851,218.33341512017182,221.29636648953485,220.22667858853563,218.0341401402239,216.51100734842805,214.17779178181058,208.93106938393328,210.74578439415754,212.50335076261078,223.1893172218852,213.15256572695012,208.16226716981095,202.06130452312732,199.44349440946667,205.70418868685877,206.57816775956965,209.73454776994188,211.99839745842812,212.3491505719527,211.18399571349215,209.8603015747475,212.05539247991533,211.63349743972353,216.99645257529386,217.523712737426,217.70231507757066,217.01857971320058,212.95050931629459,209.43684582058344,206.66744601217155,208.3700632852276,209.09445780743462,203.836093329016,209.4503347733692,205.2850436794071,212.80040771615802,211.95692905962312,201.8780039421601,196.13254523185253,192.75457272292877,193.48726778044525,201.49968860792222,208.1308800306102,218.02360209109167,227.43308993504417,232.5923581285707
8,1985-01-15 18:04:51+00:00,230.77138413188024,232.09543304887248,229.80619878408288,236.59954872805673,237.1756918696362,236.04546581543423,227.45953261874135,205.52883172503107,195.99372662885938,187.62269165296485,169.7977734643865,168.57156377647746,173.6173184528952,170.20514235884528,177.34662327944966,177.440544472778,170.41385443861185,165.8154560748952,153.5759460688972,143.01128765330958,131.99220954812833,139.56263656925282,136.28849151955112,145.82131531890755,147.01747793375566,152.52109591553378,154.38237304185395,163.42643557915412,176.9608376949552,167.18378854797615,163.39829525518164,161.28685729411094,164.62654802492247,170.97691132697642,173.55241553412523,176.4829751947854,198.4271484497158,192.52685735712635,197.83697346831894,195.30410567352882,197.63306051232493,202.10335385072003,199.92739847489523,199.12275203321764,202.9589862653746,210.3190783819213,217.90831315416108,216.91609066876356,210.87801306970007,212.04789239785535,212.03818115448973,212.5866668949259,212.3049221228491,211.16117990998,212.76342587476165,211.31208937867947,213.0518363335319,205.9985729045483,209.40745502020528,213.50110019990848,214.6635732895546,212.3583702252324,206.25579681360057,200.5934540406692,200.2849852637291,205.82925083008135,215.32714317913653,219.59114787355966,221.17148808891065,217.5435834364934,216.92051955503243,208.90639847528368,210.95855095281104,208.75377579863633,213.34260058068062,217.0678032910291,217.2109018296947,218.90566889951677,215.35678116671446,208.90091704214313,202.72349936149035,205.8107575372446,203.1114793146548,209.5567367399016,211.1010892584116,214.7150728192062,224.88087895938244,221.84171002033477,203.48380174864266,198.27060099661495,197.0370611244023,200.68977246498346,207.4464846973994,209.0692166872312,217.96447066704465,223.7811570276616,232.86969444014989
9,1985-01-31 18:04:55+00:00,234.13470689939336,227.3088031893023,222.974761998637,229.74761676939463,239.57352109611995,240.97342855473823,226.89505046781667,211.56974392072462,208.39243251909883,194.7010759006314,180.6596879967791,170.7318212668685,163.49591744248045,169.17073079542473,168.5590911767737,172.55506539714554,169.9729366822173,168.7917515476817,156.93678104813645,142.8897283183007,130.9202744637463,137.58719456859723,135.8641617330281,141.2062895935888,148.3219906572914,151.3005744040395,152.7275578751239,169.36340509251886,178.74850416290425,178.2137720851458,173.40775697367894,172.65212895687537,171.19711533950485,171.0748536750787,166.43379003612995,160.87912432157415,198.13185506147647,194.82080548659397,203.40176943157786,197.65852079212564,201.5122891051779,198.65752325880598,201.35424937951788,199.52080953100196,201.50328684624924,203.97244516271363,213.92400255003184,217.3980967084279,217.88204329362637,217.69149053950704,217.04972961953686,217.81108431879545,212.7651138494819,211.63465022642106,210.94199993495857,210.91359031826943,209.7043223949383,207.32467651669955,213.57102949782708,212.47432073701833,214.47803336525868,215.15914324751762,209.44297107539015,202.41793775517684,200.54149688409657,203.58893172675877,205.59371233056962,212.9861356277792,219.50236926381302,221.6951611436969,220.52769846825723,212.42138578392104,213.58508419781398,209.25272208169739,210.80143408395207,213.91388613767208,220.31534157077385,221.61557573640357,214.51630948511627,210.8236929424255,206.96691542137842,211.89947635462258,213.69659230419126,214.46739484801085,215.0074405630516,217.31879123883613,220.0947339844804,205.24342027080684,190.58398027930537,193.91292860304597,192.09351956193575,198.9917565750603,205.07139290696261,206.3678214713236,213.26728478116294,219.77369515438775,243.56723100380958
