dates,satname,nzd0530-0000,nzd0530-0001,nzd0530-0002,nzd0530-0003,nzd0530-0004,nzd0530-0005,nzd0530-0006,nzd0530-0007,nzd0530-0008,nzd0530-0009,nzd0530-0010,nzd0530-0011,nzd0530-0012,nzd0530-0013,nzd0530-0014,nzd0530-0015,nzd0530-0016,nzd0530-0017,nzd0530-0018,nzd0530-0019,nzd0530-0020,nzd0530-0021,nzd0530-0022,nzd0530-0023,nzd0530-0024,nzd0530-0025,nzd0530-0026,nzd0530-0027,nzd0530-0028,nzd0530-0029,nzd0530-0030,nzd0530-0031,nzd0530-0032,nzd0530-0033,nzd0530-0034,nzd0530-0035,nzd0530-0036,nzd0530-0037,nzd0530-0038,nzd0530-0039,nzd0530-0040,nzd0530-0041,nzd0530-0042,nzd0530-0043,nzd0530-0044,nzd0530-0045,nzd0530-0046,nzd0530-0047,nzd0530-0048,nzd0530-0049,nzd0530-0050,nzd0530-0051,nzd0530-0052,nzd0530-0053,nzd0530-0054,nzd0530-0055,nzd0530-0056,nzd0530-0057,nzd0530-0058,nzd0530-0059,nzd0530-0060,nzd0530-0061,nzd0530-0062,nzd0530-0063,nzd0530-0064,nzd0530-0065,nzd0530-0066,nzd0530-0067,nzd0530-0068,nzd0530-0069,nzd0530-0070,nzd0530-0071,nzd0530-0072,nzd0530-0073,nzd0530-0074,nzd0530-0075,nzd0530-0076,nzd0530-0077,nzd0530-0078,nzd0530-0079,nzd0530-0080,nzd0530-0081,nzd0530-0082,nzd0530-0083,nzd0530-0084,nzd0530-0085,nzd0530-0086,nzd0530-0087,nzd0530-0088,nzd0530-0089,nzd0530-0090,nzd0530-0091,nzd0530-0092,nzd0530-0093,nzd0530-0094,nzd0530-0095,nzd0530-0096,nzd0530-0097,nzd0530-0098,nzd0530-0099,nzd0530-0100,nzd0530-0101,nzd0530-0102,nzd0530-0103,nzd0530-0104,nzd0530-0105,nzd0530-0106,nzd0530-0107,nzd0530-0108,nzd0530-0109,nzd0530-0110,nzd0530-0111,nzd0530-0112,nzd0530-0113,nzd0530-0114,nzd0530-0115,nzd0530-0116,nzd0530-0117,nzd0530-0118,nzd0530-0119,nzd0530-0120,nzd0530-0121,nzd0530-0122,nzd0530-0123,nzd0530-0124,nzd0530-0125,nzd0530-0126,nzd0530-0127,nzd0530-0128,nzd0530-0129,nzd0530-0130,nzd0530-0131,nzd0530-0132,nzd0530-0133,nzd0530-0134,nzd0530-0135,nzd0530-0136,nzd0530-0137,nzd0530-0138
1999-08-08 22:19:52+00:00,L7,254.20,254.51,251.43,247.33,242.26,241.75,238.44,244.45,241.52,241.27,248.02,240.90,246.54,253.66,251.42,249.15,247.27,239.04,228.69,219.11,212.77,202.13,171.84,191.50,222.67,235.90,254.22,257.05,267.00,266.30,258.11,266.38,261.91,257.34,257.94,251.65,252.94,243.63,241.25,235.24,230.76,229.50,225.82,229.58,228.59,230.96,233.88,237.78,238.08,242.93,249.19,252.70,253.51,257.75,265.66,262.36,258.82,258.76,258.93,252.66,255.78,252.32,249.77,256.20,252.85,256.68,260.27,269.12,280.58,281.29,276.57,267.00,260.90,254.47,244.46,244.06,236.17,234.50,217.03,218.94,217.11,217.52,220.76,219.45,226.12,233.67,243.63,248.31,252.76,255.10,259.31,269.02,282.75,290.42,286.05,278.27,275.69,275.57,271.77,271.86,268.73,266.87,270.59,270.19,272.26,275.00,259.47,263.72,262.12,257.42,246.51,241.55,242.12,243.26,238.02,249.39,256.83,262.48,269.16,276.00,283.59,296.29,298.57,311.83,317.61,316.57,321.93,320.10,320.11,321.22,322.08,324.88,324.04,320.99,321.02,324.25,322.24,318.49,317.65
1999-11-05 22:13:40+00:00,L7,276.50,275.34,269.65,261.57,261.40,256.64,260.83,262.82,262.96,263.08,261.16,264.89,259.86,259.10,261.40,257.80,253.89,246.13,234.04,229.06,219.69,194.85,227.02,232.38,244.93,247.39,266.94,271.00,273.77,271.51,268.04,269.64,275.22,272.84,264.31,263.16,252.75,254.84,247.98,244.37,243.38,235.39,234.17,241.66,247.83,251.87,249.46,247.80,251.94,249.66,257.05,259.37,266.31,269.53,270.20,271.05,266.01,268.52,265.59,263.98,263.51,261.39,262.95,260.04,265.59,265.95,273.53,281.47,292.64,297.17,293.94,289.12,274.26,262.16,247.65,254.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.15,250.28,256.27,264.15,268.37,274.53,281.47,290.90,296.70,308.62,319.73,323.88,328.29,328.44,332.06,332.04,332.67,330.41,335.14,331.58,332.63,334.01,331.76,330.82,330.71,330.65
1999-12-07 22:13:41+00:00,L7,296.08,292.24,289.45,283.10,285.56,284.40,284.74,283.15,285.59,283.22,277.93,285.97,285.96,288.71,280.22,272.51,275.42,267.31,257.90,239.81,205.62,223.86,249.93,269.25,268.93,276.21,284.33,294.05,294.03,291.39,288.05,290.06,291.53,292.18,289.83,283.66,276.76,269.55,263.06,259.62,257.76,256.40,252.47,256.94,257.78,254.37,258.41,255.80,256.42,261.82,267.53,268.84,277.58,279.45,279.37,275.48,274.26,272.19,275.78,270.66,275.69,268.26,271.18,267.45,269.61,276.43,280.71,289.52,297.76,299.85,293.51,287.69,282.23,279.21,275.29,268.99,265.78,259.06,252.76,246.58,240.65,241.43,242.31,240.89,253.85,256.18,260.47,269.33,274.04,280.29,285.51,289.64,299.01,309.00,310.55,301.03,292.89,291.20,284.37,285.81,288.21,291.17,290.17,293.71,296.28,300.61,295.26,286.65,279.48,269.30,264.22,262.12,260.48,264.72,268.91,265.95,272.07,276.27,283.12,290.05,301.40,307.66,314.53,328.17,334.44,334.12,335.64,337.34,339.92,343.05,341.87,341.45,342.06,339.76,339.10,340.12,344.40,346.07,341.61
1999-12-30 22:19:45+00:00,L7,295.02,291.95,286.88,284.73,281.33,282.16,282.52,283.90,281.19,283.22,281.90,281.81,282.86,283.19,279.18,278.78,272.95,263.67,255.17,239.44,219.18,226.67,237.08,253.14,261.67,272.75,280.19,294.24,293.32,290.90,286.38,286.28,293.15,290.33,288.22,282.39,277.09,262.93,263.66,260.94,255.49,258.70,256.20,258.16,257.46,261.52,259.00,266.76,267.91,268.98,271.58,272.48,277.52,281.64,285.96,280.14,282.73,276.49,279.93,276.24,274.09,274.96,273.02,274.45,276.14,280.27,283.51,293.15,300.03,304.77,300.80,296.37,297.50,282.81,276.78,272.69,266.68,253.50,250.97,246.35,241.42,243.27,240.95,244.23,249.37,255.10,258.18,267.81,268.01,278.41,284.37,288.13,293.06,305.84,308.30,299.59,296.24,291.62,291.05,290.95,291.45,291.14,294.54,292.48,297.79,298.43,298.35,291.19,283.69,276.07,272.55,266.96,266.43,263.75,262.91,267.67,272.41,275.27,280.27,290.34,297.35,304.47,311.12,327.34,334.16,336.82,335.66,340.34,337.95,340.05,341.61,343.71,335.73,332.89,334.87,335.26,342.36,342.61,339.23
2000-01-24 22:13:35+00:00,L7,447.82,438.55,428.58,417.39,403.59,404.09,404.14,399.31,400.77,408.31,407.16,405.32,414.93,418.19,420.02,423.07,418.07,411.04,378.42,387.37,383.15,366.54,383.58,401.46,390.74,390.04,394.28,400.97,405.16,406.48,405.74,404.23,404.71,415.77,409.15,408.01,400.52,388.80,379.50,372.82,368.02,364.04,363.71,358.77,356.44,362.99,365.38,368.17,366.07,363.20,360.60,358.21,352.44,358.04,371.85,375.41,371.99,342.55,358.63,343.36,338.10,336.60,331.73,320.75,327.50,335.26,340.84,345.36,366.77,354.62,354.29,359.58,324.25,327.45,308.42,308.08,294.26,288.23,280.14,277.57,275.93,276.16,276.51,280.60,284.27,288.31,291.47,305.29,301.55,305.97,316.20,319.69,323.36,338.86,338.92,335.03,327.61,327.18,323.06,329.50,332.39,333.42,334.79,320.77,342.70,356.92,369.48,362.71,350.32,344.29,338.14,327.23,323.58,320.24,311.61,316.90,322.15,322.27,318.25,323.95,330.45,337.96,345.28,355.54,362.31,361.28,361.41,363.17,361.56,363.18,364.51,366.82,361.74,359.07,363.60,372.89,384.02,385.56,380.14
2000-04-13 22:13:06+00:00,L7,271.63,263.86,255.94,253.98,251.49,252.10,255.61,262.01,262.44,258.70,256.74,259.25,253.88,256.78,257.31,258.87,254.96,247.09,240.19,227.98,218.84,224.64,226.61,241.66,243.14,248.44,259.39,262.71,267.89,270.55,268.44,263.90,269.28,267.17,259.90,257.82,249.76,249.62,241.91,242.20,239.65,230.53,233.76,231.54,233.72,234.38,234.22,236.53,242.57,246.06,250.56,254.74,256.53,266.64,265.02,267.22,261.17,265.34,259.44,263.98,256.25,260.72,257.21,255.64,260.41,261.95,271.37,278.66,286.07,288.05,275.38,265.44,269.76,252.19,250.50,248.60,242.40,233.94,227.62,225.85,222.86,219.50,223.16,227.21,230.98,238.67,247.09,251.55,255.88,262.04,264.15,272.30,275.34,282.12,286.40,282.77,278.15,276.09,273.21,272.76,271.52,270.42,276.40,276.95,278.27,281.20,272.45,269.32,265.63,260.35,248.78,243.71,240.50,234.85,226.33,219.84,227.52,239.33,254.24,268.27,285.10,283.56,290.26,276.86,289.37,309.05,317.34,318.70,322.30,317.14,318.01,317.56,318.56,319.24,324.26,325.19,325.22,319.26,321.84
2000-04-20 22:19:15+00:00,L7,352.48,344.95,332.30,328.44,332.96,326.60,325.59,321.01,322.43,319.79,321.56,327.96,332.81,331.69,332.40,329.82,325.62,309.01,305.35,298.70,293.81,,,,314.46,321.73,322.34,333.01,337.76,340.63,336.25,344.09,341.00,337.07,328.53,329.29,316.53,313.28,308.21,296.87,294.74,290.65,285.71,292.45,289.89,288.11,288.86,290.29,292.70,295.59,294.21,296.89,300.19,302.97,307.61,301.62,301.07,300.79,296.15,295.29,296.06,293.73,289.51,290.41,294.00,299.60,311.61,317.81,323.11,326.36,318.36,314.75,310.12,303.16,300.99,292.00,291.48,284.93,273.22,267.15,261.08,258.88,255.97,263.87,266.75,271.51,278.81,283.31,287.82,295.48,304.19,304.82,315.14,318.25,325.12,315.73,310.76,306.20,305.69,306.68,307.30,309.31,309.70,314.89,319.83,326.15,331.45,324.69,304.35,296.39,288.97,286.45,284.48,285.57,283.31,285.25,288.71,290.93,304.55,309.97,320.38,321.86,334.64,342.23,346.36,350.94,351.57,354.65,354.96,358.39,357.07,355.55,356.97,358.67,359.44,358.71,354.90,351.36,355.77
2000-04-29 22:13:05+00:00,L7,279.49,275.98,267.01,266.65,257.43,261.63,264.28,262.09,259.64,260.55,264.43,266.76,267.33,268.31,261.49,263.71,258.60,254.75,243.89,240.01,228.92,221.65,222.95,243.86,238.09,254.77,257.92,274.38,275.24,275.55,274.28,262.35,270.82,268.39,266.05,257.51,264.99,260.48,250.19,244.76,250.45,239.03,239.22,239.01,238.75,240.91,242.59,248.77,247.75,246.27,253.24,258.81,263.53,269.80,268.14,268.01,260.15,265.25,258.74,265.06,259.34,260.56,258.51,256.01,262.52,265.68,274.30,281.45,290.74,291.42,284.96,277.35,276.34,268.11,259.99,255.82,251.35,241.83,233.21,224.53,225.11,226.61,225.65,230.64,235.10,238.24,244.95,256.04,263.78,264.41,268.80,272.21,281.08,286.03,292.09,287.38,282.69,274.98,272.86,273.96,274.94,272.60,277.05,280.89,283.76,283.03,273.74,274.33,266.45,261.43,256.82,256.18,255.15,251.53,252.65,254.27,258.88,264.70,273.74,282.49,289.06,297.96,309.06,317.95,324.46,323.53,327.28,326.39,330.64,329.36,329.43,333.08,326.46,326.80,328.40,332.58,327.79,324.91,324.88
2000-05-22 22:18:57+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.91,277.83,276.65,288.81,283.99,287.77,291.83,301.25,299.07,296.61,293.55,288.01,289.93,289.12,283.45,289.69,281.70,286.06,284.25,290.38,294.11,301.73,304.23,317.47,317.99,308.22,305.24,299.55,299.79,289.92,287.09,275.32,275.12,265.77,251.55,241.98,246.39,249.56,255.46,265.45,273.99,278.70,277.62,289.28,291.36,302.69,300.95,308.30,317.89,320.98,313.30,305.92,301.41,299.39,301.10,305.59,308.80,311.45,317.63,316.95,320.56,325.20,316.49,304.44,293.11,290.07,285.55,286.88,284.73,284.06,281.93,284.63,289.88,293.78,296.05,304.58,316.11,309.78,328.52,318.48,327.88,326.11,339.62,336.45,329.44,336.67,327.44,335.77,329.60,331.80,308.99,,,
2000-05-31 22:12:42+00:00,L7,237.17,234.36,227.47,223.03,218.03,214.93,215.13,222.96,222.67,221.15,225.56,228.93,224.86,239.02,241.31,245.50,240.05,234.73,231.84,217.01,215.51,,,211.16,207.71,222.10,223.86,239.11,243.22,244.32,239.57,231.87,242.97,244.88,250.00,241.98,227.39,228.32,224.25,212.79,220.84,217.54,216.10,213.99,213.99,222.17,222.20,225.84,225.14,233.28,235.80,237.84,249.38,249.79,258.48,252.67,250.90,251.12,251.02,249.29,244.98,248.11,243.01,238.49,238.66,252.22,249.22,252.98,256.08,267.95,264.62,249.50,240.45,236.95,236.31,155.90,221.07,223.12,213.56,205.18,207.70,202.66,202.56,219.72,226.37,225.55,237.75,241.85,241.03,248.40,253.60,257.26,269.87,279.96,285.19,272.73,265.20,259.21,263.14,266.15,254.04,197.22,268.72,259.35,262.39,271.40,257.59,263.23,256.92,252.91,246.60,246.94,247.36,237.00,239.66,248.15,254.14,253.87,263.92,270.69,277.56,283.00,302.73,308.62,313.73,319.67,321.14,321.74,318.10,320.25,325.75,313.45,316.90,322.31,321.80,322.36,316.86,311.74,316.92
