dates,nzd0530-0000,nzd0530-0001,nzd0530-0002,nzd0530-0003,nzd0530-0004,nzd0530-0005,nzd0530-0006,nzd0530-0007,nzd0530-0008,nzd0530-0009,nzd0530-0010,nzd0530-0011,nzd0530-0012,nzd0530-0013,nzd0530-0014,nzd0530-0015,nzd0530-0016,nzd0530-0017,nzd0530-0018,nzd0530-0019,nzd0530-0020,nzd0530-0021,nzd0530-0022,nzd0530-0023,nzd0530-0024,nzd0530-0025,nzd0530-0026,nzd0530-0027,nzd0530-0028,nzd0530-0029,nzd0530-0030,nzd0530-0031,nzd0530-0032,nzd0530-0033,nzd0530-0034,nzd0530-0035,nzd0530-0036,nzd0530-0037,nzd0530-0038,nzd0530-0039,nzd0530-0040,nzd0530-0041,nzd0530-0042,nzd0530-0043,nzd0530-0044,nzd0530-0045,nzd0530-0046,nzd0530-0047,nzd0530-0048,nzd0530-0049,nzd0530-0050,nzd0530-0051,nzd0530-0052,nzd0530-0053,nzd0530-0054,nzd0530-0055,nzd0530-0056,nzd0530-0057,nzd0530-0058,nzd0530-0059,nzd0530-0060,nzd0530-0061,nzd0530-0062,nzd0530-0063,nzd0530-0064,nzd0530-0065,nzd0530-0066,nzd0530-0067,nzd0530-0068,nzd0530-0069,nzd0530-0070,nzd0530-0071,nzd0530-0072,nzd0530-0073,nzd0530-0074,nzd0530-0075,nzd0530-0076,nzd0530-0077,nzd0530-0078,nzd0530-0079,nzd0530-0080,nzd0530-0081,nzd0530-0082,nzd0530-0083,nzd0530-0084,nzd0530-0085,nzd0530-0086,nzd0530-0087,nzd0530-0088,nzd0530-0089,nzd0530-0090,nzd0530-0091,nzd0530-0092,nzd0530-0093,nzd0530-0094,nzd0530-0095,nzd0530-0096,nzd0530-0097,nzd0530-0098,nzd0530-0099,nzd0530-0100,nzd0530-0101,nzd0530-0102,nzd0530-0103,nzd0530-0104,nzd0530-0105,nzd0530-0106,nzd0530-0107,nzd0530-0108,nzd0530-0109,nzd0530-0110,nzd0530-0111,nzd0530-0112,nzd0530-0113,nzd0530-0114,nzd0530-0115,nzd0530-0116,nzd0530-0117,nzd0530-0118,nzd0530-0119,nzd0530-0120,nzd0530-0121,nzd0530-0122,nzd0530-0123,nzd0530-0124,nzd0530-0125,nzd0530-0126,nzd0530-0127,nzd0530-0128,nzd0530-0129,nzd0530-0130,nzd0530-0131,nzd0530-0132,nzd0530-0133,nzd0530-0134,nzd0530-0135,nzd0530-0136,nzd0530-0137,nzd0530-0138,satname
1999-08-08 22:19:52+00:00,312.70,313.01,298.23,294.13,300.76,288.55,285.24,291.25,300.02,299.77,306.52,299.40,305.04,312.16,309.92,307.65,305.77,297.54,287.19,277.61,271.27,260.63,249.84,269.50,281.17,294.40,301.02,315.55,325.50,324.80,316.61,324.88,320.41,315.84,316.44,310.15,311.44,290.43,288.05,282.04,277.56,276.30,272.62,268.58,267.59,269.96,272.88,271.21,271.51,276.36,282.62,286.13,286.94,291.18,299.09,295.79,292.25,292.19,284.93,286.09,285.03,278.32,279.02,285.45,282.10,285.93,293.70,302.55,314.01,310.54,305.82,293.00,284.30,277.87,270.46,270.06,262.17,260.50,250.46,248.19,246.36,250.95,254.19,258.45,272.92,280.47,290.43,295.11,299.56,301.90,306.11,315.82,329.55,337.22,325.05,325.07,322.49,314.57,310.77,305.29,302.16,300.30,304.02,303.62,311.26,308.43,292.90,297.15,288.12,283.42,269.91,264.95,265.52,266.66,259.29,272.79,280.23,283.75,292.56,299.40,304.86,317.56,319.84,331.33,338.88,337.84,345.33,341.37,341.38,342.49,345.48,346.15,345.31,342.26,340.52,347.65,343.51,344.49,346.90,L7
1999-11-05 22:13:40+00:00,315.85,315.42,300.94,294.85,302.33,289.60,290.03,294.03,302.74,302.67,305.09,303.39,303.70,306.88,306.91,303.98,301.08,293.09,281.87,274.59,266.73,248.99,266.76,279.27,284.30,292.14,300.98,314.52,320.88,319.40,313.58,318.51,319.07,315.59,311.62,307.90,303.35,289.63,285.01,280.21,277.47,272.85,270.39,269.28,271.88,275.08,275.34,271.65,273.87,275.15,281.98,284.89,288.77,292.50,296.79,295.56,291.27,292.50,284.71,287.18,284.89,279.30,281.61,283.37,284.47,286.56,295.76,304.15,315.47,314.48,310.50,300.50,287.78,278.51,268.50,271.61,262.17,260.50,250.46,248.19,246.36,250.95,254.19,258.45,272.92,280.47,290.43,295.11,299.56,301.90,306.11,315.82,329.55,337.22,325.05,325.07,322.49,314.57,310.77,305.29,302.16,300.30,304.02,303.62,311.26,308.43,292.90,297.15,288.12,283.42,269.91,264.95,265.52,266.90,262.51,273.03,280.69,283.78,292.04,298.94,305.61,314.86,321.95,332.62,339.11,340.79,345.38,344.44,344.44,345.31,346.45,348.37,346.17,345.17,344.35,348.20,344.89,347.05,349.40,L7
1999-12-07 22:13:41+00:00,311.76,310.20,299.11,292.93,299.24,289.86,290.27,292.41,299.52,298.69,298.54,300.09,300.29,303.32,300.51,295.99,295.03,286.99,276.38,265.49,266.73,243.11,264.49,279.27,281.68,289.33,297.43,310.20,314.43,312.57,307.57,311.53,312.39,310.29,306.86,302.32,296.98,284.94,279.70,275.34,272.90,269.36,266.42,266.84,268.84,269.84,271.36,267.80,269.48,272.14,278.59,280.97,286.47,289.58,292.41,290.30,287.03,287.16,282.84,283.10,283.08,276.73,279.38,279.31,280.77,284.44,292.17,300.71,311.00,310.85,306.09,297.34,286.93,279.75,271.87,271.85,265.64,261.44,253.75,249.26,245.38,248.33,250.39,252.17,266.38,271.33,278.45,285.22,289.80,294.10,298.81,305.73,317.28,326.11,320.30,316.05,310.69,305.38,300.07,297.70,297.33,297.88,299.24,300.81,306.27,306.66,296.23,294.04,285.47,278.02,268.57,265.03,264.50,267.18,265.55,271.67,278.82,282.19,290.07,296.97,305.11,313.37,320.39,331.97,338.46,339.48,343.14,342.98,343.84,345.46,345.92,346.97,345.71,344.28,343.43,346.51,345.64,347.83,348.05,L7
1999-12-30 22:19:45+00:00,310.70,308.76,298.55,293.38,297.89,290.44,290.83,292.78,298.06,297.95,297.50,298.64,299.06,301.42,298.31,294.81,292.63,284.29,274.20,262.11,255.05,242.13,261.80,276.90,279.80,288.31,295.62,309.34,312.28,310.27,305.39,308.34,310.70,308.42,305.32,300.47,295.13,281.94,278.19,274.24,271.05,269.20,266.37,266.75,268.08,269.85,270.35,269.32,270.88,273.13,278.62,280.63,286.02,289.38,292.59,289.54,287.74,286.28,283.50,283.17,282.39,277.68,279.36,279.66,281.17,284.96,291.79,300.60,310.04,310.89,306.33,298.49,290.82,281.76,274.49,273.45,267.84,260.65,255.21,250.37,246.14,249.03,249.63,252.30,264.05,269.25,275.03,282.75,285.87,292.20,297.33,303.20,312.54,322.69,319.08,313.90,309.21,303.57,299.84,297.83,297.75,298.01,300.05,300.41,306.22,306.30,299.31,295.47,286.73,279.23,271.56,267.34,266.81,267.57,266.03,271.92,278.47,281.60,288.87,296.56,304.31,312.28,319.21,331.85,338.52,339.95,342.52,343.46,343.50,345.25,346.09,347.29,344.35,342.57,342.34,344.95,345.95,347.92,347.41,L7
2000-01-24 22:13:35+00:00,310.70,308.76,298.55,293.38,297.89,290.44,290.83,292.78,306.81,297.95,297.50,298.64,299.06,301.42,298.31,294.81,292.63,284.29,283.24,262.11,255.05,242.13,270.42,286.08,279.80,288.31,295.62,315.86,319.06,317.72,313.66,308.34,317.70,308.42,305.32,300.47,295.13,281.94,278.19,274.24,271.05,269.20,266.37,266.75,268.08,269.85,270.35,269.32,270.88,273.13,278.62,280.63,292.56,296.37,292.59,289.54,287.74,290.79,283.50,288.47,287.63,284.22,283.93,281.98,284.54,289.12,294.86,302.81,314.64,313.74,310.02,305.46,292.79,286.18,276.03,275.13,267.89,260.99,253.01,249.80,246.22,247.38,247.92,249.54,257.30,262.22,267.34,276.58,277.99,283.84,290.25,295.52,303.44,314.93,314.20,307.38,302.01,299.64,295.81,297.32,297.98,298.44,300.31,297.07,305.51,310.53,308.43,303.86,296.07,288.94,282.31,276.41,275.10,273.38,270.86,276.20,282.48,285.44,290.03,297.32,305.25,313.13,320.13,332.66,338.99,339.93,341.58,343.11,342.83,344.54,345.06,346.91,343.54,341.58,342.65,345.82,349.28,350.20,348.06,L7
2000-04-13 22:13:06+00:00,310.56,306.60,296.08,291.44,295.69,289.43,291.52,293.57,307.39,297.81,295.18,298.73,296.39,297.69,295.28,292.74,290.06,281.80,281.94,259.82,251.07,243.25,276.58,291.31,280.42,286.95,293.31,313.39,315.63,314.97,312.13,303.22,315.58,306.38,301.31,297.51,289.84,279.83,274.75,272.38,269.67,265.86,264.75,264.24,266.36,267.70,267.44,266.44,269.43,271.35,276.39,278.57,291.11,296.09,289.85,288.19,285.76,290.05,281.63,288.67,285.93,284.30,283.62,280.07,284.25,288.37,295.02,302.66,313.68,313.29,307.98,303.55,293.12,284.28,275.64,274.44,267.45,258.85,253.09,249.27,245.40,245.30,245.95,248.48,254.92,259.87,264.60,273.79,275.17,281.98,287.86,292.74,297.99,309.25,311.29,304.90,299.02,296.77,293.17,294.97,296.11,296.75,299.19,296.19,304.01,309.50,309.10,302.68,294.95,287.67,281.07,275.15,272.90,270.26,267.21,268.85,275.18,279.50,285.60,294.34,304.24,309.27,317.16,332.99,332.03,337.11,339.22,341.52,341.96,342.42,342.80,344.14,341.14,339.92,342.10,344.56,348.57,348.75,347.09,L7
2000-04-20 22:19:15+00:00,313.44,308.77,298.92,294.44,297.65,292.46,293.94,294.66,305.31,296.70,294.96,299.08,298.17,298.99,297.20,294.66,291.67,281.74,281.26,262.10,254.88,243.25,276.58,291.31,281.73,288.40,294.72,312.08,314.74,314.66,311.57,305.89,315.23,307.02,301.26,298.36,289.68,282.12,277.04,272.88,270.28,266.41,264.54,266.22,267.40,268.12,268.06,268.07,270.94,273.05,276.82,279.09,290.00,294.62,290.26,287.73,285.68,289.22,282.09,287.16,285.32,283.83,282.31,279.50,283.58,287.95,295.17,302.57,312.64,313.18,307.42,303.38,294.12,285.60,277.83,275.33,269.81,261.62,253.97,250.10,245.79,244.88,244.81,247.89,252.88,257.79,263.04,271.30,273.30,280.28,286.72,290.76,297.02,306.65,310.39,302.67,296.97,294.99,292.01,294.17,295.20,296.12,298.15,296.79,303.51,309.69,310.43,303.94,294.38,286.97,280.45,275.21,273.01,270.98,268.23,269.75,275.60,279.74,286.93,295.11,305.27,309.70,318.41,333.00,332.76,337.75,339.44,342.05,342.46,343.41,343.35,344.37,342.11,341.38,343.46,345.09,347.95,347.15,346.25,L7
2000-04-29 22:13:05+00:00,314.03,309.55,298.60,294.81,297.19,292.32,293.99,294.23,304.15,296.93,296.12,299.94,299.28,300.13,297.50,295.75,292.41,283.49,281.28,264.67,257.19,246.43,275.97,291.74,280.70,289.05,293.58,312.05,314.45,314.43,311.60,304.89,314.24,306.83,301.64,297.81,291.81,283.52,277.57,273.19,271.98,266.85,265.32,265.85,266.79,267.75,267.98,268.42,270.64,272.16,276.46,279.29,289.28,294.13,290.15,288.02,285.00,288.86,280.98,287.06,284.29,282.89,281.59,278.82,283.25,287.45,295.25,302.61,312.57,312.75,306.89,302.04,293.72,285.24,277.66,274.92,269.51,261.10,254.08,248.96,245.47,245.40,245.19,249.19,254.92,259.54,265.03,273.75,276.71,282.63,288.74,292.67,299.37,308.22,311.51,305.12,299.59,295.82,292.99,294.37,295.40,295.77,298.20,297.71,304.38,308.82,307.88,302.58,292.51,285.49,279.01,274.54,272.54,270.34,267.95,269.68,275.36,279.54,287.19,295.45,304.90,309.97,319.02,332.58,333.52,337.67,339.85,341.76,342.72,343.36,343.50,344.71,341.82,341.24,343.10,345.44,347.02,346.36,345.87,L7
2000-05-22 22:18:57+00:00,313.04,307.90,297.60,294.66,295.85,292.66,293.83,293.71,303.93,295.20,294.61,298.45,298.67,299.84,296.22,294.84,291.61,282.47,282.07,263.29,255.94,248.71,274.43,292.27,279.36,288.88,292.11,311.81,314.15,314.50,311.77,303.44,313.67,305.13,300.61,296.23,291.13,282.45,276.69,272.16,270.90,266.34,264.75,265.02,264.92,263.20,263.82,265.61,269.17,270.26,273.96,277.07,287.74,291.82,286.93,284.15,281.04,285.38,278.97,283.31,282.32,280.71,279.17,276.57,281.08,285.76,292.75,299.33,309.59,310.01,303.22,299.27,292.76,286.05,278.62,274.53,267.96,260.72,252.69,246.65,242.29,242.48,242.75,246.51,252.14,257.31,262.70,270.02,274.22,279.59,286.44,289.56,296.36,305.31,309.29,302.00,296.21,293.05,290.33,292.27,293.79,294.57,297.04,297.50,302.61,307.44,307.30,301.50,291.83,284.20,278.45,273.97,272.44,270.71,268.62,268.77,273.71,278.46,285.36,292.96,302.70,308.59,315.03,329.60,328.59,333.45,334.94,338.68,339.19,338.74,339.82,339.45,338.26,336.66,338.97,344.89,347.15,345.81,344.87,L7
2000-05-31 22:12:42+00:00,308.89,304.14,292.71,289.52,291.38,286.50,287.51,288.72,299.60,291.36,291.60,295.36,294.87,298.20,295.57,295.12,291.52,283.01,282.18,264.07,258.05,248.71,274.43,290.09,275.92,286.25,287.54,308.71,311.30,311.76,308.74,300.01,310.85,303.59,300.67,295.69,289.00,280.23,274.75,269.06,269.35,265.01,263.44,262.18,262.10,262.20,262.73,264.09,267.04,269.14,272.67,275.63,286.59,290.21,287.03,283.81,280.90,284.74,278.22,282.70,280.84,279.47,277.84,274.99,278.96,284.75,290.95,297.18,306.54,307.94,301.58,295.88,288.77,282.46,276.17,274.53,264.93,258.86,251.44,244.66,241.15,241.15,241.37,247.41,254.02,258.44,264.68,271.60,275.17,280.80,287.44,290.62,298.14,307.24,310.53,303.44,297.43,293.07,291.18,292.65,292.47,294.57,297.14,296.37,301.83,306.57,304.73,300.36,290.30,283.12,277.02,273.14,271.86,269.05,267.32,268.75,273.81,277.70,285.23,292.73,301.87,307.71,315.81,329.03,329.05,334.05,335.77,338.88,338.87,338.75,340.62,338.52,337.91,337.18,338.95,344.59,345.47,344.19,344.52,L7
