dates,nzd0241-0000,nzd0241-0001,nzd0241-0002,nzd0241-0003,nzd0241-0004,nzd0241-0005,nzd0241-0006,nzd0241-0007,nzd0241-0008,nzd0241-0009,nzd0241-0010,nzd0241-0011,nzd0241-0012,nzd0241-0013,nzd0241-0014,nzd0241-0015,nzd0241-0016,nzd0241-0017,nzd0241-0018,nzd0241-0019,nzd0241-0020,nzd0241-0021,nzd0241-0022,nzd0241-0023,nzd0241-0024,nzd0241-0025,nzd0241-0026,nzd0241-0027,nzd0241-0028,nzd0241-0029,nzd0241-0030,nzd0241-0031,nzd0241-0032,nzd0241-0033,nzd0241-0034,nzd0241-0035,nzd0241-0036,nzd0241-0037,nzd0241-0038,nzd0241-0039,nzd0241-0040,nzd0241-0041,nzd0241-0042,nzd0241-0043,nzd0241-0044,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,220.25,,,,,421.81,423.72,,449.99,449.40,,444.73,447.21,444.95,444.24,425.81,401.06,372.52,,,,,,,,,359.19,364.45,359.91,370.46,L7
1999-12-25 21:58:52+00:00,,,,,,,,,,,,,,107.57,166.25,208.89,,349.70,399.45,437.25,442.24,453.81,477.31,474.51,487.09,486.20,480.15,482.08,467.37,457.83,449.84,428.13,407.61,420.33,422.85,431.50,418.05,408.02,403.25,400.45,396.78,394.99,388.54,386.35,385.23,L7
2000-01-10 21:58:52+00:00,218.16,,,,,,,,,,,,,137.55,160.57,200.42,,,404.95,442.28,447.34,463.62,468.97,,512.80,496.73,481.48,490.49,476.75,461.01,456.06,438.35,417.08,427.28,417.52,418.58,411.70,402.46,400.62,398.46,401.79,399.76,393.80,382.04,390.58,L7
2000-03-14 21:58:35+00:00,,,,,,,282.69,,,,,,,,,,,,,,466.90,487.27,478.97,492.10,514.35,514.26,481.08,473.24,450.74,452.46,439.40,428.66,435.25,431.80,435.30,422.53,446.03,435.42,423.50,409.12,391.51,387.47,406.26,418.91,428.67,L7
2000-03-30 21:58:33+00:00,,,,,,,,,,,,,,93.80,,,,375.20,425.09,447.32,468.18,480.86,482.10,488.70,489.50,493.77,478.01,464.37,460.33,457.87,450.34,436.09,426.92,415.90,427.07,427.61,425.32,422.08,416.06,405.72,395.76,397.40,405.01,408.67,405.84,L7
2000-04-15 21:58:19+00:00,,,,,,,,,,,,,,,,,,,412.08,444.42,470.91,478.78,490.73,486.09,493.44,484.52,475.83,472.56,466.33,466.82,465.40,,,,,,,,,,,,,,,L7
2001-03-17 21:56:16+00:00,209.22,,,,,,,,,,,102.76,118.27,129.60,154.52,,,,,,509.26,477.03,473.09,482.90,494.18,,,,488.72,475.59,455.41,448.19,447.06,431.97,432.01,433.57,427.93,438.09,446.72,446.15,432.88,417.28,411.13,407.51,408.52,L7
2001-06-05 21:55:40+00:00,,,,,,,,,,,,,,,121.19,,,,393.77,453.96,,443.33,,483.26,485.09,481.28,478.29,487.38,464.31,455.89,460.71,451.23,415.97,428.96,432.78,433.87,429.57,429.09,418.09,408.67,405.01,401.71,397.97,393.06,393.91,L7
2001-08-24 21:54:48+00:00,,,,,,,,,,,,,137.30,152.21,,,363.85,385.62,411.92,,,462.24,470.35,487.63,483.65,482.04,471.43,460.17,440.62,426.56,,423.36,416.65,402.35,405.89,408.46,403.88,401.18,398.31,391.36,374.58,375.34,379.92,390.81,381.96,L7
2001-09-09 21:54:36+00:00,,,,541.70,,,,,,,,77.69,154.86,255.25,,,383.90,,,,481.52,490.25,503.24,539.32,540.86,543.86,546.76,,476.88,455.48,488.14,496.88,463.74,437.69,434.87,429.17,426.23,430.87,423.71,426.18,410.24,393.84,403.42,410.30,433.97,L7
