dates,nzd0241-0000,nzd0241-0001,nzd0241-0002,nzd0241-0003,nzd0241-0004,nzd0241-0005,nzd0241-0006,nzd0241-0007,nzd0241-0008,nzd0241-0009,nzd0241-0010,nzd0241-0011,nzd0241-0012,nzd0241-0013,nzd0241-0014,nzd0241-0015,nzd0241-0016,nzd0241-0017,nzd0241-0018,nzd0241-0019,nzd0241-0020,nzd0241-0021,nzd0241-0022,nzd0241-0023,nzd0241-0024,nzd0241-0025,nzd0241-0026,nzd0241-0027,nzd0241-0028,nzd0241-0029,nzd0241-0030,nzd0241-0031,nzd0241-0032,nzd0241-0033,nzd0241-0034,nzd0241-0035,nzd0241-0036,nzd0241-0037,nzd0241-0038,nzd0241-0039,nzd0241-0040,nzd0241-0041,nzd0241-0042,nzd0241-0043,nzd0241-0044,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,214.94,,,,,419.60,423.72,,451.71,449.40,,443.01,449.42,447.16,448.17,429.74,403.27,,,383.41,,,367.53,,,360.13,362.51,366.96,356.81,365.15,L7
1999-12-25 21:58:52+00:00,,,,,,,,,,,,,,107.57,172.16,214.87,,349.70,403.83,437.25,432.15,438.76,474.85,462.15,468.25,488.12,462.54,464.52,456.04,450.81,437.60,414.47,410.39,411.13,402.50,428.72,415.81,386.38,404.78,400.45,376.11,376.90,376.36,373.31,378.14,L7
2000-01-10 21:58:52+00:00,214.36,,,,,,,,,,,,,122.56,168.00,211.14,,349.70,405.60,439.76,437.67,447.05,471.23,462.15,483.10,492.96,469.21,472.72,462.49,453.40,442.95,421.98,414.50,416.67,407.28,422.88,413.14,391.23,403.12,399.45,383.80,383.85,381.66,376.85,383.38,L7
2000-03-14 21:58:35+00:00,214.36,,,,,,301.86,,,,,,,122.56,168.00,209.24,,349.70,405.60,439.76,452.61,468.23,474.63,483.30,504.75,499.42,481.26,481.48,464.50,456.29,447.63,431.26,420.49,424.78,424.99,423.69,424.85,414.79,409.40,402.68,395.83,393.40,395.69,396.40,402.58,L7
2000-03-30 21:58:33+00:00,214.36,,,,,,301.86,,,,,,,112.97,168.00,209.24,,362.45,411.88,442.28,456.41,471.39,476.59,485.20,500.94,497.94,480.38,477.29,463.55,456.85,448.46,432.56,422.00,422.89,425.56,424.77,425.05,416.71,411.01,403.44,395.98,394.53,398.12,399.34,403.18,L7
2000-04-15 21:58:19+00:00,214.36,,,,,,301.86,,,,,,,112.97,168.00,209.24,,362.45,413.00,442.82,459.79,472.87,478.94,484.95,499.44,495.62,479.84,475.87,463.63,457.99,451.00,432.56,422.00,422.89,425.56,424.77,425.05,416.71,411.01,403.44,395.98,394.53,398.12,399.34,403.18,L7
2001-03-17 21:56:16+00:00,214.72,,,,,,,,,,,109.05,121.94,129.60,149.81,,,,,,507.30,477.03,475.05,484.43,494.18,,,,490.68,479.08,458.90,450.15,444.84,439.30,433.01,435.79,429.72,440.30,445.50,446.15,,420.22,413.35,404.76,403.81,L7
2001-06-05 21:55:40+00:00,214.72,,,,,,,,,,,109.05,121.94,129.60,141.16,,,,402.15,453.96,507.30,460.18,475.05,482.01,489.63,484.95,481.96,482.67,475.14,463.29,455.62,448.33,433.07,425.33,431.69,432.17,427.50,432.04,433.26,427.41,396.01,407.44,403.00,402.21,404.51,L7
2001-08-24 21:54:48+00:00,214.72,,,,,,,,,,,109.05,132.36,140.91,141.16,,360.92,385.62,404.43,453.96,507.30,460.87,474.16,484.64,487.64,482.36,475.55,472.88,464.61,452.79,445.15,440.99,426.49,421.31,423.59,425.37,420.51,422.85,421.00,415.39,388.09,398.20,396.41,397.04,394.65,L7
2001-09-09 21:54:36+00:00,214.72,,,560.60,,,,,,,,96.97,141.26,179.02,141.16,,371.28,385.62,404.43,453.96,493.28,468.21,484.61,498.75,500.94,502.27,498.71,472.88,468.24,454.46,456.90,455.52,435.17,427.51,426.70,426.96,422.45,425.49,421.33,418.09,396.91,397.95,398.80,399.57,403.13,L7
2001-09-25 21:54:28+00:00,,,,546.88,,,,,461.41,,459.94,84.89,146.10,215.56,132.50,,363.16,385.62,404.43,451.41,477.00,473.12,496.66,507.29,511.71,511.74,506.08,481.13,463.56,448.09,457.42,458.67,437.96,431.00,427.71,429.36,425.81,424.12,415.75,411.26,401.65,395.75,399.90,404.38,408.53,L7
2002-02-16 21:54:54+00:00,,,,546.88,,,,,461.41,,459.94,104.08,152.91,215.05,,256.11,363.16,385.62,406.71,448.63,472.05,480.84,496.57,512.31,518.15,519.25,512.06,488.71,472.62,457.32,464.07,464.18,445.04,439.64,429.66,430.80,427.72,425.44,418.48,418.93,411.83,405.99,410.58,409.99,412.54,L7
