,dates,chi0369-0000,chi0369-0001,chi0369-0002,chi0369-0003,chi0369-0004,chi0369-0005,chi0369-0006,chi0369-0007,chi0369-0008,chi0369-0009,chi0369-0010,chi0369-0011,chi0369-0012,chi0369-0013,chi0369-0014,chi0369-0015,chi0369-0016,chi0369-0017,chi0369-0018,chi0369-0019,chi0369-0020,chi0369-0021,chi0369-0022,chi0369-0023,chi0369-0024,chi0369-0025
0,1985-01-25 14:04:51+00:00,345.63907992748216,348.75324049629177,349.1137472680137,371.42014668121186,378.5591412334875,382.449790164625,391.0413236409212,392.634533240717,,,,,,,,,,,,,,,,,,
1,1986-01-12 14:01:54+00:00,352.37327194653005,364.01351245559647,371.6454886822656,379.6278369415077,385.66437324496843,379.2548836819924,387.1637947698613,387.14770849874316,395.0414648830851,,,,,,,,,,,,,,,,,
2,1986-01-28 14:01:10+00:00,356.13021114043585,373.6474770447772,380.1381677436004,390.356684603002,389.8048229400856,,,,,,,,,,,,,,,,,,,,,
3,1986-02-04 14:07:11+00:00,358.1100868766816,371.773984938642,382.76982464837505,392.8984507044046,399.3606715817017,,,,,,,,,,,,,,,,,,,,,
4,1986-04-02 13:59:47+00:00,,321.46282031096723,346.13584699994664,336.7540668544944,342.48760602939416,366.05364752632136,389.45123789417624,402.12432980977735,,,,,,,,,,,,,,,,,,
5,1986-08-15 14:01:53+00:00,339.3739763431697,343.5784738504834,361.6400186775214,376.2574199052882,369.65153945696085,,,380.3601254359326,385.431680307678,395.93741231891147,388.02608321619226,389.61542919196825,390.086229286409,,,,,,,,,,,,,
6,1986-09-16 14:00:46+00:00,331.4105552489017,328.1336345087431,335.39725029089067,350.7741325168926,363.02239247377,,,367.43596696407985,380.4785179750096,386.61903273431267,381.30657415754,384.95915689455444,386.1390084719367,385.61770622199396,390.9934811622147,,,,,,,,,,,
7,1986-09-25 13:54:18+00:00,340.1454099330226,342.50571292648533,351.86118973637133,361.13852985571936,369.4135651407631,,,,389.496456205206,394.2339460677282,382.7860059543693,387.8362587878043,384.5251489701609,384.978209395219,389.6101387251168,385.67375251726054,386.3409044646447,,,,,,,,,
8,1986-10-11 13:54:11+00:00,333.25666398730857,343.1317604917505,347.9616388734384,361.37190097680207,371.4193987272357,374.5126449227089,374.3558481781588,368.4983674792273,379.70027538169677,385.2985416662153,383.3433651822059,385.1726611722007,389.0856090341942,387.176295440232,392.6037336422726,391.54535257632574,393.92988254251543,,,,,,,,,
9,1986-10-18 13:59:44+00:00,327.8555496241569,330.83016760609064,343.0352269520425,343.51891466211583,358.33114896499364,356.1878150802671,365.8497601846974,358.76783444389775,370.14359079920155,379.3398371075899,378.8981845750953,379.58660641184673,,,,,393.3219206551872,,,,,,,,309.0454217595907,
10,1986-11-03 13:59:10+00:00,334.2332421906862,345.4842084918232,354.86561619155634,360.39360001964906,371.06535273159875,368.7292035615566,383.7946584619106,383.81183419860974,396.67390523128614,,,,,,,,,,,,,,,,,
