dates,satname,nzd0431-0000,nzd0431-0001,nzd0431-0002,nzd0431-0003,nzd0431-0004,nzd0431-0005,nzd0431-0006,nzd0431-0007,nzd0431-0008,nzd0431-0009,nzd0431-0010,nzd0431-0011,nzd0431-0012,nzd0431-0013,nzd0431-0014,nzd0431-0015,nzd0431-0016,nzd0431-0017,nzd0431-0018,nzd0431-0019,nzd0431-0020,nzd0431-0021,nzd0431-0022,nzd0431-0023,nzd0431-0024,nzd0431-0025,nzd0431-0026,nzd0431-0027,nzd0431-0028,nzd0431-0029,nzd0431-0030,nzd0431-0031,nzd0431-0032,nzd0431-0033,nzd0431-0034,nzd0431-0035,nzd0431-0036,nzd0431-0037,nzd0431-0038,nzd0431-0039,nzd0431-0040,nzd0431-0041,nzd0431-0042,nzd0431-0043,nzd0431-0044,nzd0431-0045,nzd0431-0046,nzd0431-0047,nzd0431-0048,nzd0431-0049,nzd0431-0050,nzd0431-0051,nzd0431-0052,nzd0431-0053,nzd0431-0054,nzd0431-0055,nzd0431-0056,nzd0431-0057,nzd0431-0058,nzd0431-0059,nzd0431-0060,nzd0431-0061,nzd0431-0062,nzd0431-0063,nzd0431-0064,nzd0431-0065,nzd0431-0066,nzd0431-0067,nzd0431-0068,nzd0431-0069,nzd0431-0070,nzd0431-0071,nzd0431-0072,nzd0431-0073,nzd0431-0074,nzd0431-0075,nzd0431-0076,nzd0431-0077,nzd0431-0078,nzd0431-0079,nzd0431-0080,nzd0431-0081,nzd0431-0082,nzd0431-0083,nzd0431-0084,nzd0431-0085,nzd0431-0086,nzd0431-0087,nzd0431-0088,nzd0431-0089,nzd0431-0090,nzd0431-0091,nzd0431-0092,nzd0431-0093,nzd0431-0094,nzd0431-0095,nzd0431-0096,nzd0431-0097,nzd0431-0098,nzd0431-0099,nzd0431-0100,nzd0431-0101,nzd0431-0102,nzd0431-0103,nzd0431-0104,nzd0431-0105,nzd0431-0106,nzd0431-0107,nzd0431-0108,nzd0431-0109,nzd0431-0110,nzd0431-0111,nzd0431-0112,nzd0431-0113,nzd0431-0114,nzd0431-0115,nzd0431-0116,nzd0431-0117,nzd0431-0118,nzd0431-0119,nzd0431-0120,nzd0431-0121,nzd0431-0122,nzd0431-0123,nzd0431-0124,nzd0431-0125,nzd0431-0126,nzd0431-0127,nzd0431-0128,nzd0431-0129,nzd0431-0130,nzd0431-0131,nzd0431-0132,nzd0431-0133,nzd0431-0134,nzd0431-0135,nzd0431-0136,nzd0431-0137,nzd0431-0138,nzd0431-0139
2000-08-19 22:11:01+00:00,L7,385.00,354.03,333.02,343.31,335.27,338.03,327.23,332.57,337.00,338.00,340.51,343.59,352.27,358.55,371.04,372.45,374.27,366.28,367.31,364.09,359.98,357.15,355.25,359.10,360.28,365.52,361.87,364.44,365.73,363.89,365.53,366.93,365.43,370.17,369.79,368.83,371.19,376.75,380.05,383.79,389.62,389.79,386.11,383.76,390.81,386.32,382.88,385.45,384.56,380.72,383.09,377.79,377.96,377.36,378.86,375.83,376.24,370.70,369.11,367.23,362.87,367.76,365.94,367.48,366.99,371.48,374.77,382.29,389.28,385.28,383.13,378.01,375.74,370.27,366.34,357.78,374.65,380.57,380.16,382.22,381.49,378.20,369.88,357.22,362.74,366.28,370.43,369.35,369.70,372.71,380.44,385.56,389.18,385.04,384.64,381.78,378.11,387.08,387.66,395.34,407.68,403.67,400.99,395.31,401.32,396.60,395.26,395.37,393.56,391.45,390.23,391.68,393.37,390.64,390.21,390.04,386.49,380.09,384.29,382.67,385.12,388.58,387.93,388.29,387.89,386.19,381.92,379.40,385.62,386.34,,,,,,,,,,
2000-09-20 22:10:27+00:00,L7,378.38,372.32,352.40,337.68,322.34,316.33,314.99,320.06,324.54,330.17,337.20,342.34,349.23,349.44,348.78,359.64,372.93,354.66,349.83,339.85,342.29,342.97,350.81,348.66,342.42,345.32,342.68,354.01,355.35,360.06,359.90,362.39,360.76,363.27,366.90,372.58,365.36,365.34,366.68,369.65,374.26,381.80,375.79,375.22,376.13,391.19,385.80,379.17,376.40,375.73,378.97,377.92,378.38,368.89,366.78,368.48,369.06,360.22,358.54,361.22,354.29,351.86,352.95,352.58,356.84,365.14,367.73,377.19,382.35,384.37,374.94,370.67,366.54,363.78,366.09,358.51,366.80,379.24,372.66,373.36,371.38,375.63,366.18,356.25,369.16,371.46,368.24,368.96,364.90,362.03,372.47,378.72,383.81,380.14,379.55,376.22,381.32,379.59,390.61,391.41,385.40,394.18,391.88,390.51,390.21,385.05,385.89,384.34,386.46,386.15,389.73,386.32,382.27,384.67,383.55,381.52,379.59,377.32,377.58,381.43,379.43,378.49,378.84,379.57,387.21,378.90,379.40,373.66,376.94,380.23,376.68,374.41,368.12,361.55,362.52,365.57,,,,
2000-09-27 22:16:36+00:00,L7,368.40,341.65,328.33,319.03,306.24,309.92,313.76,315.42,320.86,327.10,334.07,340.56,342.92,347.99,346.39,360.24,371.27,358.37,345.67,333.82,331.44,331.68,343.28,347.52,346.30,344.43,347.71,355.50,362.78,358.64,355.21,360.02,363.03,364.87,367.80,370.33,355.12,354.47,360.13,366.79,371.48,373.53,368.23,370.97,375.74,381.31,379.64,375.51,374.99,370.48,368.71,369.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-07 22:10:17+00:00,L7,341.50,342.47,343.39,333.25,315.78,304.34,296.98,302.69,305.28,305.18,308.80,320.17,317.61,317.22,335.31,344.72,349.81,350.59,345.91,341.69,338.58,338.69,337.73,336.88,336.24,334.27,338.13,340.83,345.01,352.20,349.36,352.27,349.68,351.49,354.64,361.04,365.99,372.38,361.88,360.06,363.65,366.30,366.09,369.94,372.52,375.98,372.42,366.17,366.96,362.49,362.75,365.44,368.62,362.99,357.76,354.11,352.21,350.41,347.72,352.00,346.56,350.25,347.84,344.01,349.33,355.20,354.12,354.02,354.73,360.12,361.61,362.75,361.08,357.86,350.00,338.92,353.11,357.12,355.86,358.34,355.85,357.25,351.76,340.87,344.03,335.23,331.09,337.49,340.88,348.06,352.95,363.11,373.32,369.58,361.99,363.33,365.77,369.39,373.65,366.84,377.55,382.74,382.53,379.27,376.98,379.78,381.09,382.41,382.99,377.62,379.00,376.39,378.46,375.39,374.07,375.05,374.04,375.53,368.44,366.82,366.93,364.45,366.64,367.75,370.75,369.98,366.82,365.33,369.13,368.66,364.98,361.43,360.85,357.06,350.64,343.77,349.10,351.20,342.68,352.33
2000-11-14 22:16:30+00:00,L7,348.31,348.58,347.08,344.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-16 22:16:35+00:00,L7,364.23,360.23,356.50,353.59,350.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01 22:16:33+00:00,L7,353.61,340.38,341.37,348.99,343.63,342.38,342.84,348.91,334.27,327.08,329.22,333.07,333.68,344.86,367.67,363.64,363.01,357.12,345.20,337.93,342.19,345.27,350.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-10 22:10:27+00:00,L7,338.64,329.12,327.54,328.59,327.88,318.79,318.44,315.35,307.74,311.22,317.39,317.94,324.18,318.50,338.66,348.98,353.46,346.64,336.67,335.07,335.87,336.72,345.59,350.67,342.59,324.41,328.07,332.17,343.17,347.36,346.10,348.27,346.71,346.45,348.64,352.91,352.39,354.56,362.33,367.85,370.06,370.47,368.05,369.41,366.70,367.95,369.12,368.95,368.28,371.14,366.29,364.04,362.12,361.07,364.27,363.22,351.14,349.89,350.12,345.74,346.19,342.65,337.73,342.28,345.02,348.87,353.02,359.02,357.21,361.42,361.32,357.00,350.57,348.89,341.15,332.24,348.48,354.28,355.43,356.28,354.98,363.72,369.66,371.22,364.73,350.54,330.80,335.99,339.89,348.83,355.34,359.21,368.03,367.44,364.38,361.38,361.67,365.45,365.06,365.83,367.43,378.49,377.20,374.81,377.17,373.84,376.28,377.69,376.33,378.66,375.66,374.43,374.20,373.10,369.51,368.52,367.86,372.74,368.62,368.88,367.52,369.05,372.03,371.76,373.22,375.28,370.49,376.18,378.70,370.54,368.32,363.71,360.97,359.70,355.74,350.98,355.56,352.47,344.94,352.63
2001-01-26 22:10:30+00:00,L7,334.61,318.23,315.90,317.88,320.57,316.08,316.21,321.20,327.31,315.54,316.00,316.32,323.16,327.51,333.64,339.64,338.48,332.31,327.18,320.71,320.34,321.26,326.17,335.56,348.78,350.21,339.05,338.84,334.91,341.30,338.56,345.35,347.44,346.57,349.71,347.61,347.59,352.23,348.03,357.56,358.55,356.70,356.57,363.07,365.67,367.82,363.88,362.06,358.62,359.27,361.80,359.18,360.29,358.58,355.22,354.22,352.77,350.53,343.71,338.16,334.56,339.95,325.13,334.11,340.93,344.91,347.67,353.54,347.73,356.66,353.58,344.80,337.27,338.51,326.05,318.48,336.05,337.31,342.97,340.60,339.47,352.78,354.66,363.60,365.33,355.89,345.86,341.05,337.58,344.24,348.05,351.39,359.73,363.29,359.88,359.94,355.87,364.59,364.87,367.92,369.00,374.19,376.21,373.30,371.27,371.88,368.73,370.66,372.39,370.73,369.69,369.71,367.67,365.35,363.14,363.67,362.36,360.46,361.04,360.37,359.36,359.13,360.91,367.80,368.71,368.06,364.93,369.17,368.94,368.39,370.13,364.69,362.45,358.04,351.58,353.59,355.72,355.98,351.63,353.85
2001-02-18 22:16:35+00:00,L7,346.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
