dates,nzd0431-0000,nzd0431-0001,nzd0431-0002,nzd0431-0003,nzd0431-0004,nzd0431-0005,nzd0431-0006,nzd0431-0007,nzd0431-0008,nzd0431-0009,nzd0431-0010,nzd0431-0011,nzd0431-0012,nzd0431-0013,nzd0431-0014,nzd0431-0015,nzd0431-0016,nzd0431-0017,nzd0431-0018,nzd0431-0019,nzd0431-0020,nzd0431-0021,nzd0431-0022,nzd0431-0023,nzd0431-0024,nzd0431-0025,nzd0431-0026,nzd0431-0027,nzd0431-0028,nzd0431-0029,nzd0431-0030,nzd0431-0031,nzd0431-0032,nzd0431-0033,nzd0431-0034,nzd0431-0035,nzd0431-0036,nzd0431-0037,nzd0431-0038,nzd0431-0039,nzd0431-0040,nzd0431-0041,nzd0431-0042,nzd0431-0043,nzd0431-0044,nzd0431-0045,nzd0431-0046,nzd0431-0047,nzd0431-0048,nzd0431-0049,nzd0431-0050,nzd0431-0051,nzd0431-0052,nzd0431-0053,nzd0431-0054,nzd0431-0055,nzd0431-0056,nzd0431-0057,nzd0431-0058,nzd0431-0059,nzd0431-0060,nzd0431-0061,nzd0431-0062,nzd0431-0063,nzd0431-0064,nzd0431-0065,nzd0431-0066,nzd0431-0067,nzd0431-0068,nzd0431-0069,nzd0431-0070,nzd0431-0071,nzd0431-0072,nzd0431-0073,nzd0431-0074,nzd0431-0075,nzd0431-0076,nzd0431-0077,nzd0431-0078,nzd0431-0079,nzd0431-0080,nzd0431-0081,nzd0431-0082,nzd0431-0083,nzd0431-0084,nzd0431-0085,nzd0431-0086,nzd0431-0087,nzd0431-0088,nzd0431-0089,nzd0431-0090,nzd0431-0091,nzd0431-0092,nzd0431-0093,nzd0431-0094,nzd0431-0095,nzd0431-0096,nzd0431-0097,nzd0431-0098,nzd0431-0099,nzd0431-0100,nzd0431-0101,nzd0431-0102,nzd0431-0103,nzd0431-0104,nzd0431-0105,nzd0431-0106,nzd0431-0107,nzd0431-0108,nzd0431-0109,nzd0431-0110,nzd0431-0111,nzd0431-0112,nzd0431-0113,nzd0431-0114,nzd0431-0115,nzd0431-0116,nzd0431-0117,nzd0431-0118,nzd0431-0119,nzd0431-0120,nzd0431-0121,nzd0431-0122,nzd0431-0123,nzd0431-0124,nzd0431-0125,nzd0431-0126,nzd0431-0127,nzd0431-0128,nzd0431-0129,nzd0431-0130,nzd0431-0131,nzd0431-0132,nzd0431-0133,nzd0431-0134,nzd0431-0135,nzd0431-0136,nzd0431-0137,nzd0431-0138,nzd0431-0139,satname
2000-09-27 22:16:36+00:00,383.22,355.65,344.08,331.63,317.69,323.18,327.02,328.68,337.66,341.92,347.33,353.16,356.92,364.79,367.39,378.24,388.07,375.17,359.67,347.82,344.04,344.94,359.03,361.52,356.80,355.88,361.71,376.50,377.60,372.64,370.96,373.28,375.03,378.87,381.80,386.08,376.12,367.07,367.77,383.59,388.28,389.28,383.05,386.72,389.74,397.06,395.39,396.51,392.99,385.30,384.46,384.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-07 22:10:17+00:00,346.09,346.80,348.26,337.15,319.33,308.45,301.09,306.80,310.48,309.77,312.91,324.07,321.94,322.42,341.81,350.29,355.01,355.79,350.24,346.02,342.48,342.80,342.61,341.21,339.49,337.82,342.46,347.33,349.60,356.53,354.24,356.38,353.39,355.82,358.97,365.92,372.49,376.28,364.24,365.26,368.85,371.18,370.68,374.81,376.85,380.86,377.30,372.67,372.53,367.08,367.62,370.03,373.50,367.87,362.63,358.70,356.54,355.29,351.83,357.57,351.76,355.12,352.43,347.26,353.23,359.79,359.32,360.52,364.48,367.21,365.72,366.14,364.20,360.55,352.60,344.12,357.44,359.07,360.45,362.05,359.96,361.36,355.66,346.07,349.23,341.73,336.66,342.37,345.47,352.39,356.85,366.11,377.43,374.17,365.70,366.33,368.66,372.94,377.76,370.55,381.45,387.07,386.64,383.38,380.69,384.11,385.42,386.74,387.10,381.17,383.59,380.98,382.79,379.72,378.18,378.60,378.37,379.86,373.03,371.41,370.83,369.04,371.51,370.44,375.08,373.88,371.69,369.44,373.72,372.99,369.31,367.00,365.18,361.39,355.84,350.27,356.90,358.29,345.68,357.53,L7
2000-11-14 22:16:30+00:00,349.49,349.69,348.33,345.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-12-16 22:16:35+00:00,352.82,349.45,344.38,343.89,341.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-01 22:16:33+00:00,345.61,332.82,332.87,342.19,337.45,335.22,335.68,341.75,325.20,319.08,322.06,326.27,326.12,335.79,356.34,353.93,353.94,348.05,337.64,330.37,335.39,338.11,342.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-10 22:10:27+00:00,348.52,338.45,338.04,336.99,335.52,327.63,327.28,324.19,318.94,321.10,326.23,326.34,333.51,329.70,352.66,360.98,364.66,357.84,346.00,344.40,344.27,345.56,356.09,360.00,349.59,332.05,337.40,346.17,353.05,356.69,356.60,357.11,354.71,355.78,357.97,363.41,366.39,362.96,367.42,379.05,381.26,380.97,377.93,379.91,376.03,378.45,379.62,382.95,380.28,381.02,376.79,373.92,372.62,371.57,374.77,373.10,360.47,360.39,358.96,357.74,357.39,353.15,347.61,349.28,353.42,358.75,364.22,373.02,378.21,376.69,370.16,364.30,357.29,354.68,346.75,343.44,357.81,358.48,365.31,364.28,363.82,372.56,378.06,382.42,375.93,364.54,342.80,346.49,349.77,358.16,363.74,365.67,376.87,377.32,372.38,367.84,367.89,373.09,373.90,373.83,375.83,387.82,386.04,383.65,385.17,383.17,385.61,387.02,385.17,386.30,385.54,384.31,383.53,382.43,378.35,376.16,377.19,382.07,378.50,378.76,375.92,378.93,382.53,377.55,382.55,383.68,380.99,385.02,388.58,379.87,377.65,375.71,370.30,369.03,366.94,364.98,372.36,367.74,351.40,363.83,L7
2001-01-26 22:10:30+00:00,336.85,320.34,318.27,319.78,322.30,318.08,318.21,323.20,329.84,317.78,318.00,318.22,325.27,330.04,336.81,342.35,341.01,334.84,329.29,322.82,322.24,323.26,328.55,337.67,350.36,351.94,341.16,342.01,337.15,343.41,340.94,347.35,349.25,348.68,351.82,349.99,350.76,354.13,349.18,360.09,361.08,359.07,358.81,365.44,367.78,370.19,366.25,365.23,361.33,361.51,364.18,361.42,362.67,360.95,357.60,356.46,354.88,352.90,345.71,340.87,337.09,342.32,327.37,335.69,342.83,347.15,350.20,356.71,352.48,360.11,355.58,346.45,338.79,339.82,327.32,321.01,338.16,338.26,345.21,342.41,341.47,354.78,356.56,366.13,367.86,359.06,348.57,343.43,339.82,346.35,349.95,352.85,361.73,365.53,361.69,361.40,357.28,366.32,366.87,369.73,370.90,376.30,378.21,375.30,373.08,373.99,370.84,372.77,374.39,372.46,371.93,371.95,369.78,367.46,365.14,365.40,364.47,362.57,363.28,362.61,361.26,361.37,363.29,369.11,370.82,369.96,367.31,371.17,371.18,370.50,372.24,367.40,364.56,360.15,354.11,356.76,359.52,359.43,353.09,356.38,L7
2001-02-18 22:16:35+00:00,351.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-02-27 22:10:18+00:00,362.21,348.55,331.86,337.48,337.37,336.35,336.75,342.93,350.55,350.46,352.23,357.49,363.14,365.96,363.82,372.85,371.03,365.88,362.62,357.83,350.17,353.38,359.81,365.77,372.93,378.19,381.42,386.58,381.65,380.91,361.74,366.68,361.82,362.88,364.08,366.92,367.08,372.33,378.23,379.34,379.94,383.52,380.64,386.04,390.33,391.55,386.00,382.09,382.40,383.78,382.45,377.47,380.92,380.81,378.37,378.03,379.58,378.56,371.41,363.70,364.02,360.31,359.22,365.50,368.73,372.09,370.34,373.25,380.63,388.79,382.07,375.13,369.57,366.03,358.92,349.09,361.37,375.78,374.05,370.86,374.39,376.86,374.94,378.86,379.38,374.98,374.11,374.25,368.18,365.05,368.66,372.91,380.85,375.16,380.83,373.92,376.09,387.18,390.12,395.56,391.84,396.00,393.00,392.02,390.49,388.56,385.97,391.58,391.55,387.93,385.72,386.38,385.16,384.89,383.59,383.46,379.37,380.18,380.98,380.26,377.93,377.67,373.25,382.88,382.76,382.77,382.79,386.77,389.61,386.52,389.59,387.46,388.99,389.04,379.40,368.40,365.46,367.61,367.08,373.16,L7
2001-03-15 22:10:15+00:00,360.33,340.13,324.81,329.31,325.97,326.00,324.09,328.57,333.13,336.98,339.03,342.46,348.37,362.69,360.32,364.12,367.61,362.11,362.49,356.26,350.40,347.26,349.08,358.39,370.58,374.05,371.17,379.69,388.97,379.60,368.95,367.32,366.20,366.46,371.52,371.70,368.57,371.35,376.45,376.96,377.86,380.40,383.05,382.88,388.65,387.48,381.51,376.27,377.78,378.41,375.51,374.45,374.44,372.70,375.52,373.08,372.73,367.31,366.01,359.19,359.30,358.69,357.99,358.23,359.01,362.33,367.51,365.09,374.94,387.48,388.82,376.24,367.36,363.65,356.79,350.36,361.90,374.73,364.61,364.49,366.79,377.72,369.96,374.57,375.69,369.99,377.23,376.32,380.99,381.65,379.00,380.70,378.68,375.02,377.29,372.87,379.62,378.26,396.31,389.49,388.54,391.29,388.94,388.57,389.23,389.99,388.40,387.93,389.18,388.36,386.57,386.30,385.32,385.88,383.07,380.10,375.07,377.77,377.53,381.07,379.70,376.52,382.50,387.02,383.46,382.62,384.95,381.21,386.57,387.97,384.58,379.38,379.96,380.56,376.16,363.29,356.00,361.92,362.39,374.23,L7
2001-03-31 22:10:07+00:00,368.83,351.30,336.54,342.45,339.19,337.66,341.03,343.95,348.95,342.40,348.91,350.86,360.63,364.67,366.34,377.51,377.04,372.35,372.15,366.42,363.18,360.01,359.61,366.32,374.16,389.17,396.81,392.29,403.05,389.31,378.09,375.37,376.96,374.19,375.88,380.24,371.59,373.07,383.69,384.97,388.93,386.63,387.23,389.39,395.97,395.41,392.26,386.94,387.37,384.93,382.49,384.02,385.41,383.67,381.46,382.16,379.97,372.10,369.67,368.01,365.73,363.67,366.54,368.33,368.46,376.40,370.70,378.65,377.80,398.47,404.23,395.16,379.25,373.05,373.31,365.79,378.59,386.94,378.38,384.48,376.65,379.01,381.99,389.79,399.05,371.81,391.11,397.30,395.07,388.46,391.49,390.46,385.80,384.81,385.85,383.05,385.35,389.94,405.21,403.30,398.43,399.95,395.45,394.87,394.68,392.68,396.26,395.72,393.66,393.63,392.05,393.72,390.32,392.68,388.06,389.08,383.33,386.86,383.90,384.80,385.67,384.44,379.04,388.53,389.11,386.80,385.75,384.62,388.11,387.60,391.47,386.69,385.18,376.17,373.24,373.34,373.81,369.94,374.03,374.52,L7
2001-04-07 22:16:13+00:00,364.81,340.20,337.86,333.17,327.64,329.93,335.24,341.12,344.07,349.36,350.31,355.52,359.21,368.51,367.24,369.74,376.31,370.10,358.59,354.00,353.44,350.76,345.10,350.62,352.78,345.04,352.21,370.26,369.32,365.23,357.50,357.30,353.18,356.73,356.25,372.57,378.06,360.54,362.92,376.13,378.98,382.09,373.93,378.94,382.07,379.70,378.09,377.70,371.34,373.13,370.99,369.12,372.55,372.10,371.69,365.12,366.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-05-02 22:10:03+00:00,,,,,,,,,,,,,352.57,359.16,357.44,365.30,358.56,353.23,349.62,348.64,333.84,333.22,343.75,338.95,343.43,344.76,357.48,365.95,374.87,380.88,378.85,375.88,365.14,355.31,350.23,353.10,357.60,365.64,363.16,366.26,374.33,378.99,382.64,387.52,390.01,389.88,383.80,381.01,377.64,376.02,372.44,369.64,370.79,371.44,366.82,360.51,364.62,361.21,354.16,352.57,347.93,351.00,348.31,351.49,355.86,361.06,366.73,370.77,379.85,376.87,368.94,364.81,365.17,361.20,358.86,351.61,357.26,368.48,361.39,358.48,363.57,371.25,364.78,364.44,359.54,355.40,358.03,359.81,358.58,361.46,364.16,364.69,367.55,363.22,363.56,362.15,363.46,372.41,377.84,380.89,378.73,379.70,377.98,379.41,380.98,379.24,383.52,381.78,378.20,375.42,371.78,374.00,370.97,373.74,373.66,372.33,373.56,367.56,372.02,369.93,366.58,366.16,370.69,363.91,369.10,365.64,366.44,372.63,371.63,369.90,370.87,369.63,367.89,360.47,362.65,363.91,365.12,,,,L7
2001-06-10 22:15:47+00:00,385.93,363.94,349.57,344.84,339.19,339.85,346.98,344.77,346.03,350.72,351.16,361.46,367.57,372.32,373.68,384.95,391.12,382.19,376.31,369.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
