,dates,jap0202-0000,jap0202-0001,jap0202-0002,jap0202-0003,jap0202-0004,jap0202-0005,jap0202-0006,jap0202-0007,jap0202-0008,jap0202-0009,jap0202-0010,jap0202-0011,jap0202-0012,jap0202-0013,jap0202-0014,jap0202-0015,jap0202-0016
0,1984-07-31 00:45:29+00:00,141.42187291725295,125.90981171334502,112.57322539848012,118.91946704975784,124.91031595863882,,133.038734561635,141.04105458169013,150.92043257397555,164.890235734749,162.09546762700506,160.34500454328435,157.94818062813988,149.4409251745361,142.28982866071894,144.67318457184138,134.29029725602803
1,1984-08-16 00:46:00+00:00,193.39132712184147,144.45678651058697,133.6065148130127,132.76464763316935,138.71012373514264,,152.5990969740456,,167.2867663053674,183.44599335477383,177.17728244015183,175.55542813305553,174.61179979412535,164.6993341634333,159.8538096246902,161.93372071805223,149.78396551102932
2,1984-09-17 00:45:56+00:00,,,,,,,,,,,,,,,,,
3,1984-11-04 00:46:10+00:00,151.25011102212977,141.1962805986427,132.23818044906614,128.9090182223132,139.32814759787257,,145.4164476071732,148.4074570288655,159.19512139963456,163.18647865967847,159.48013998355242,165.61857173720796,160.1228897392372,144.14729816118225,134.0328930733699,141.07578915907663,122.4240975241459
4,1985-01-07 00:46:30+00:00,166.95977719682554,156.23127281492512,145.42244430061314,144.16113950359733,142.20632286759712,139.35540439701185,140.372322313757,149.38589608068887,153.08900372613303,165.26712690038408,163.8412786545319,164.88206852962995,168.19131037931223,164.01012564458364,153.33017221910276,164.73891595916663,142.8037219146885
5,1985-09-04 00:45:15+00:00,,,,,,,,,,,,,,,,,
6,1985-12-09 00:44:17+00:00,152.38464327129037,131.8464260831121,122.54865820074825,116.52477001634927,138.90789587909364,,145.87349656007825,,154.35805755071132,165.376771975466,160.6044833027455,159.91188517898402,164.4615624638378,144.34538956039796,135.9560810130784,138.18593698093008,126.51699638548475
7,1986-01-10 00:43:42+00:00,157.71468140856663,145.85223251243156,139.2072192360604,138.70214414758567,152.0456833021722,157.39636010702307,153.7553420943504,,160.10438126393237,168.13131637581182,,156.97054694778413,164.72619359676173,137.50823628054212,129.68904467680545,137.4085495327728,123.43896048514013
8,1986-06-19 00:39:27+00:00,,,,,,,,,,,,,,,,,
9,1986-09-23 00:36:08+00:00,,,,,,,,,,,,,,,,,
10,1986-10-09 00:36:01+00:00,163.07421608455763,134.14212220381225,120.69161597916523,98.4047807092053,,115.64104759574928,108.84256715588172,,136.5109685638586,150.69036869133927,153.11755959287058,148.0609709358878,,128.6935006463545,113.97003046554856,112.67507871535317,
11,1986-11-10 00:34:53+00:00,,143.27666466231437,128.6637170359106,123.99531266922283,,134.6051136996511,137.12376899704384,114.57547294024855,141.28585341567037,182.30501559864015,169.6386559932064,168.96095834271784,,,,,
12,1986-12-12 00:34:54+00:00,154.3644842397908,136.70818348865717,131.81220043491396,120.92292872973321,128.95411235328035,,149.06340068005517,146.73782690814076,159.60861697091582,170.11027068682654,169.11580637127395,170.22197039954688,170.6618818487336,147.86900976902237,141.77544895952823,141.0566536707371,127.44906955298839
13,1987-02-14 00:36:58+00:00,140.40498179396542,121.61450458666894,118.13035404206495,116.34504287303514,129.5250406969026,,137.0609749436196,,139.5667215798275,147.24193494134443,,124.84653837856628,129.8927181772378,,118.59907663679158,126.08145439103457,119.98696643722161
14,1987-03-02 00:37:11+00:00,139.7647329500924,134.89423313818259,135.08396251436025,140.8336230837937,158.82396520942075,163.65647406718512,151.8490456254292,159.6286635094872,159.7457888430591,162.63915793756675,,151.75887577571487,163.49607030202222,,161.61936390004794,170.8959219492192,156.0812084996969
15,1987-03-18 00:37:47+00:00,172.1190821414487,173.63906046622142,146.44244483533615,159.87241530948026,162.97041785377712,168.9261181380435,150.6531929429168,162.28735074360156,161.31640005933633,174.6564724895632,151.6070796086032,154.86754533124588,160.5222384715781,154.84393709548445,141.59375891474053,152.364585632247,118.98335880421394
16,1987-04-19 00:38:53+00:00,165.38605671294613,143.8016958693696,136.4093747681411,140.13204429830927,136.7575174290998,,,151.55077789766776,159.71072998229084,172.44462340159987,165.54673582412872,166.00896042735533,168.07508810447612,157.65837188367988,146.55993007567017,154.72906941631763,133.55187976253117
