,dates,jap0114-0000,jap0114-0001,jap0114-0002,jap0114-0003,jap0114-0004,jap0114-0005,jap0114-0006,jap0114-0007,jap0114-0008,jap0114-0009,jap0114-0010,jap0114-0011,jap0114-0012,jap0114-0013,jap0114-0014,jap0114-0015,jap0114-0016,jap0114-0017,jap0114-0018
0,1984-04-26 00:41:47+00:00,235.9050571854004,,,215.09825007522844,205.9772539374128,205.60243064461673,221.02650831071767,210.85810719074965,217.02366728422365,212.13389210187808,225.7309301597241,,244.04783855906527,246.06609405209198,,220.9060201659737,216.16511778466676,217.68232991148398,223.9734350262839
1,1984-08-16 00:44:25+00:00,252.56783753391295,245.72332006425762,246.4532077718324,224.81659510964323,225.6153723406203,230.1255881441619,223.0842636504648,203.82009203753913,192.30799644835062,210.61533985252635,,,231.75520047951537,240.0897531133872,227.94409080699768,233.7922929520068,,218.88097702961113,216.248755223223
2,1984-12-06 00:44:37+00:00,238.9518733816934,,,,,,,,,183.20901237260074,,,,,,209.73727728123507,,,194.1974110135532
3,1985-01-07 00:44:55+00:00,261.04396919229174,253.27056254050848,251.28309984920256,,240.89155465920715,245.20012146590508,234.68582803062242,237.80581075721176,247.98900774577785,248.2737188035844,260.32839948005665,,263.71253968578355,,262.55168300573894,251.20123893569945,237.61415467983335,256.7419488951951,258.91397218553595
4,1985-05-15 00:44:44+00:00,253.16667680124476,221.84993524147086,203.64134395211218,205.03384604194122,212.47372880630107,232.61932994838807,244.92293290544964,229.91284440780933,,219.84149210979777,235.39873399685712,237.96096243618234,237.84622201239532,225.64372500972442,,232.964502101419,209.2181526865711,212.23388042159843,
5,1985-06-16 00:44:43+00:00,253.90397550174316,233.5271497714016,229.48860368781473,216.8210925263029,214.59644849292255,232.43225203785158,251.22057765007702,238.41623006052967,203.64181443134703,231.396731509381,253.5437533052268,,245.05643180355182,,237.12499825209625,237.05533736732247,,218.0235279663347,215.4177458611543
6,1985-07-02 00:44:39+00:00,243.24643332884872,228.47712773688866,215.77529670358956,,203.96666311555066,226.4056784083706,238.67042074046526,202.1264362046304,189.75238528127662,201.48823374497053,217.29460414772782,222.7991518622835,228.5933564344595,225.92417438059965,,,194.4356197154272,,200.04770768352833
7,1985-08-19 00:44:15+00:00,,,,,223.75820679422932,233.79843825562563,245.38249151474974,,198.93867465698304,213.8649666813175,230.76473602741504,,241.82017355216175,,,236.54793195287547,224.25452191183177,232.90912983294513,231.2161700395852
8,1985-10-22 00:43:30+00:00,247.6135755156815,234.387699174904,223.98207695660778,220.0890862209324,209.20985444941732,208.421044360602,221.68836433089146,215.49698249722798,213.1394102038589,,,,238.71243568150965,,248.74442377537895,238.6867985602611,214.01789943909517,,209.7261256720334
9,1986-01-10 00:42:07+00:00,246.82289530609694,227.37205039927187,220.72202155890128,220.14461901541983,223.40512326673593,237.2189970390339,232.8929442974971,214.55024912943685,213.24401261206293,225.74081647347836,242.66608678529474,242.8466084804448,253.29365417402622,,247.48923783528292,234.53231441644976,220.81961569822843,224.38561328929802,225.32019731449898
10,1986-09-23 00:34:56+00:00,236.37337693608353,,187.82128378626226,196.12859432606896,213.56596480875717,227.801230041838,227.66601317670504,203.59759384862136,197.13339029937407,207.91421199871766,216.81668657374553,,,,,,,,211.89217519587393
11,1986-10-09 00:34:26+00:00,,,170.70357745425696,198.0102394417238,207.44027330003183,215.8424376858444,216.05745266752328,187.3367630002945,182.66050485707106,191.10984664872734,203.5981361010595,,,,,,,192.25135284792623,214.68800566665993
12,1986-11-26 00:32:52+00:00,,,,,,181.9927105716696,,190.13906897592167,197.72364803112654,196.72480121436715,211.32733654312747,,232.7203813446367,,,,,,220.91844290484872
13,1986-12-12 00:33:19+00:00,249.6096985839677,235.60072174067375,224.4145063445568,216.89388515572935,231.84448240345765,242.2189341106463,,208.1346569248232,204.7476718885818,216.10474509308656,232.36546184878134,,242.20229600970868,,,235.73600029318544,,224.3685854616668,229.92066962660243
