dates,satname,nzd0317-0000,nzd0317-0001,nzd0317-0002,nzd0317-0003,nzd0317-0004,nzd0317-0005,nzd0317-0006,nzd0317-0007,nzd0317-0008,nzd0317-0009,nzd0317-0010,nzd0317-0011,nzd0317-0012,nzd0317-0013
1999-08-26 22:05:56+00:00,L7,376.46,370.51,370.60,369.34,371.94,371.31,375.16,375.10,378.66,374.88,368.75,367.65,361.79,363.13
1999-10-13 22:06:00+00:00,L7,400.86,386.15,381.62,380.53,385.39,384.01,387.19,401.70,401.09,394.08,380.53,375.02,368.68,371.61
1999-11-30 22:05:47+00:00,L7,417.16,379.06,384.22,388.45,392.63,382.63,381.43,388.57,388.09,381.82,370.78,353.29,359.66,
1999-12-16 22:05:57+00:00,L7,446.23,401.49,403.77,399.77,395.93,396.56,395.96,405.45,398.22,389.37,373.79,366.37,376.75,
2000-02-18 22:05:41+00:00,L7,369.20,364.49,359.07,360.72,363.00,366.98,363.75,368.15,369.14,362.77,359.61,357.31,350.42,349.05
2000-02-25 22:11:49+00:00,L7,352.07,,,269.91,255.67,220.91,199.79,176.86,170.70,161.23,,,,
2000-03-05 22:05:36+00:00,L7,375.26,363.23,360.77,363.33,361.14,357.53,355.17,360.49,364.03,361.97,359.67,354.71,346.42,350.54
2000-03-12 22:11:45+00:00,L7,367.65,343.75,310.38,306.54,,335.01,293.64,,354.18,315.27,,,,
2000-03-21 22:05:37+00:00,L7,374.61,361.00,358.85,357.56,360.03,356.16,364.79,375.10,374.96,373.53,363.57,363.94,367.67,357.58
2000-04-13 22:11:30+00:00,L7,413.51,404.09,400.95,401.82,404.53,404.12,412.05,421.95,425.56,437.72,,395.55,398.11,413.27
2000-10-15 22:03:08+00:00,L7,370.70,,,,,,336.70,337.34,,,,352.21,346.02,
2000-10-31 22:03:22+00:00,L7,413.92,394.40,388.43,389.40,390.16,396.38,400.80,401.73,400.09,391.35,382.09,391.40,392.55,395.38
2000-12-02 22:03:21+00:00,L7,426.84,400.53,390.70,396.65,402.94,402.30,404.79,414.50,416.09,411.38,405.14,399.47,400.79,446.96
2000-12-18 22:03:25+00:00,L7,425.16,,390.39,400.06,403.98,397.36,386.91,398.50,403.13,391.11,386.94,384.60,385.96,434.01
2001-01-03 22:03:24+00:00,L7,417.68,417.00,409.46,413.16,409.20,397.45,392.51,391.97,394.21,387.76,388.57,390.24,409.86,389.69
2001-01-19 22:03:31+00:00,L7,386.13,381.04,381.84,379.99,378.13,382.17,383.70,384.37,381.83,377.47,372.04,374.51,374.30,372.20
2001-02-20 22:03:24+00:00,L7,387.25,387.89,381.94,382.23,379.73,367.88,377.19,388.03,386.08,385.52,391.94,397.74,391.63,378.60
2001-03-08 22:03:20+00:00,L7,377.33,366.87,364.68,365.66,362.10,359.55,358.41,366.81,371.54,371.24,366.13,364.71,363.21,359.23
2001-03-31 22:09:19+00:00,L7,,,,,,,,,,,,,,
2001-05-27 22:02:48+00:00,L7,398.63,392.67,389.86,388.49,384.53,386.72,391.65,398.17,394.69,384.22,379.00,371.16,376.70,371.10
2001-07-14 22:02:21+00:00,L7,485.08,407.99,411.76,413.34,429.93,433.43,432.04,411.17,403.12,409.22,422.84,434.27,420.39,438.56
