,dates,nzd0523-0000,nzd0523-0001,nzd0523-0002,nzd0523-0003,nzd0523-0004,nzd0523-0005,nzd0523-0006,nzd0523-0007,nzd0523-0008,nzd0523-0009,nzd0523-0010,nzd0523-0011,nzd0523-0012,nzd0523-0013,nzd0523-0014,nzd0523-0015,nzd0523-0016,nzd0523-0017,nzd0523-0018,nzd0523-0019,nzd0523-0020,nzd0523-0021,nzd0523-0022,nzd0523-0023,nzd0523-0024,nzd0523-0025,nzd0523-0026,nzd0523-0027,nzd0523-0028,nzd0523-0029,nzd0523-0030,nzd0523-0031,nzd0523-0032,nzd0523-0033,nzd0523-0034,nzd0523-0035,nzd0523-0036,nzd0523-0037,nzd0523-0038,nzd0523-0039,nzd0523-0040,nzd0523-0041,nzd0523-0042,nzd0523-0043,nzd0523-0044,nzd0523-0045,nzd0523-0046,nzd0523-0047,nzd0523-0048,nzd0523-0049,nzd0523-0050,nzd0523-0051,nzd0523-0052,nzd0523-0053
0,1999-08-08 22:19:52+00:00,136.76738737861655,134.66194235735253,130.1910308629692,134.10575972179646,141.08262857413473,150.4159163764029,151.8560904561353,154.2198181592377,150.21457216616855,152.2703128954466,143.79719988470868,133.78795024836126,140.06830115327054,141.27756452025025,138.30842783911834,128.75810058264668,132.5249353848306,132.5456565071458,134.40856727581382,137.21190133904074,139.03755800201722,129.30178349656248,140.31462145182812,148.38633399777225,146.59808563111568,141.31938286771822,125.07969805018648,124.04231236414891,127.8059507991463,,125.24468367407427,128.1047149946293,131.61045911936012,128.92887107046278,129.8800784747577,135.3533216964706,133.90008900742234,142.85252856631277,,141.91685121763115,139.92345041280493,134.42672227028982,,,,,,,,,,,,92.71105721564487
1,1999-09-16 22:25:58+00:00,138.8804747237582,137.58246487062476,129.60335473483892,137.61139088338416,140.32457573155443,149.79348839210923,146.67611326931635,158.26033973576617,164.06924800699898,165.70069506498024,156.29970196068575,153.1637822499749,151.03049601112173,144.74063017995587,138.26593579993698,141.69400564158352,133.7871818499624,140.36536784796354,139.38449885690756,137.07401576913577,140.18472468214617,152.50601686954786,145.82430395890304,146.12395095758714,142.16811477882516,144.01319406366486,135.72804494951362,134.5356105414792,131.03111471273925,150.54300619148268,141.36358097541378,132.06232283108648,132.27011919743865,146.02443083751,151.8938718022709,155.3890291038161,146.44375135039925,154.0060052829191,161.98881857226672,153.84497028228674,147.24473587260016,148.8406230918569,142.62859202345928,140.63395882743623,129.5918577204109,130.4089264664297,135.0671767709335,137.0760198675385,136.69167384760448,145.98647561528472,155.8547957873167,151.18762537750848,145.33952249436177,
2,1999-10-02 22:26:11+00:00,137.89896851511062,138.64827289507767,137.4138356287739,136.9488985258278,136.86303311071785,143.48992788347218,145.88692449074705,154.4738436600659,155.63550725699062,160.58761683178105,155.88759968621017,149.77335602058545,144.79260063292463,145.3277838908129,141.93565505884783,142.17126024401233,129.52096116477554,127.35405857007676,136.34424453477052,138.08051284984685,148.038566912841,149.45554847594337,136.9391272099744,142.03324192945348,139.83895257181908,142.11107257239982,134.97615456024943,138.21613034375724,134.88291062052087,130.98744437517252,121.94236478468127,134.66501355416779,132.68316111851925,138.23424515950785,147.64930396104967,148.9951696091753,139.7402982315546,142.0334476802697,144.4763141673793,153.0072342989641,142.29582288421068,142.93571905128513,138.23683724578288,136.95707271225578,122.82688984474376,124.99358118924388,131.49596032597054,128.0852931954793,128.58769790641355,157.80597310798322,133.6573946652327,144.3100307624776,131.5217261739271,122.17682959112175
3,1999-12-30 22:19:45+00:00,154.47179694999528,146.44315790395086,148.102902225047,144.06101602194806,148.3091136156292,155.14237504710792,153.63519414517575,159.6473494607486,163.45279395811886,176.907383604644,171.71658507518202,165.2580934758994,152.47518371077018,153.82199328777494,151.2313893783513,143.7032374514433,140.7351713385372,143.82633816544416,144.0251487205726,137.4955855952314,154.3910197118893,173.07372725402976,179.84106142166405,158.47416072405937,150.33983839725528,148.17021509561158,146.96769919281917,147.4504461520219,142.12827522540718,151.51435689613584,145.1814053994255,148.9512377282709,140.82870869031592,147.25972068999778,155.6563802707471,158.44670513580638,157.00971768828472,159.05070874252846,166.2313914268758,160.97088458847287,158.10339239987604,157.6747508339138,153.73416641664727,152.23834770091347,152.63079397703305,138.88527493560275,143.6556146091325,142.77830093492494,147.7728595268688,150.5637437319718,155.85415916612666,152.82071000429806,147.7746408533364,143.19668909000973
4,2000-04-20 22:19:15+00:00,142.48388461538042,134.1833214983467,130.84061353784142,133.48712914829048,136.36240348987846,150.84308985826613,161.12227429318523,164.79748935998305,162.71104099283525,150.70255976619248,144.39554255889115,141.51985463956677,136.73366946907817,139.91795972275983,132.43155358808025,130.9211887158476,128.03289157109853,128.26552031594989,120.82105553801395,127.70559589418006,141.0352838823281,142.88909240313134,149.03739483260762,147.9375108471931,146.29117095217867,135.08321837607514,132.99670524403314,121.98049857297416,121.46937668976095,119.65729730951945,123.7161842565833,134.67436883715334,129.36577185856495,136.86670113277893,143.69818712831494,142.6254283791553,134.02273152065948,132.5994961699379,138.60006024279255,137.85146455267838,134.18446356030665,134.19530215418098,129.36155659823004,119.64982400736586,,120.30266704709007,128.309408331228,,,,132.09617966092108,147.68077818009144,136.99391547535726,81.92818911905758
5,2000-04-27 22:25:27+00:00,147.00703919826796,138.51186602545425,132.59460176780829,132.7254909395926,140.0233379552629,152.2379707452006,154.77314128458346,162.7708089633031,161.86941885729746,159.67183807870163,149.37099750184234,144.4247420547973,145.98109593095498,145.2771815159683,133.0153933519736,134.9296406381704,137.45668815731275,136.9239142871751,132.4243233030064,139.96791513698966,152.95359101502768,151.97770308821978,157.8940264323452,152.6701596982034,150.6604370599638,133.31884032077213,136.11675304426487,133.33519821630236,123.67628588288859,119.0805537180582,127.19487603783081,132.67365629390432,146.1690777855321,147.6014934325604,151.97642029345184,140.70144761800836,137.63715422835213,134.35577505539143,138.15148812680354,140.6187579081013,136.88585775853875,141.75106277693226,140.04086748606602,132.0936507090552,127.99475782577674,117.14341909291339,117.65257479025875,,,,,131.24642104514314,116.59000571256651,84.576851941105
6,2000-05-22 22:18:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2000-06-30 22:24:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2000-08-01 22:24:18+00:00,137.08126551954803,140.08147563982388,133.22831937926406,137.05751836437412,140.83364264568414,143.03612830213532,141.07922410001967,142.64424824723588,151.0020166982142,156.31406366805297,145.21552695402087,140.28511651282597,139.89563307219603,133.8062144807716,131.78456681227874,131.6058638978778,136.98391093255628,126.30733759211127,137.56681473772454,137.2528201426446,163.5449104527362,149.58441810818803,132.6438649682826,149.20035926495532,146.96161688618716,141.06848551153746,139.31327594034275,137.2670610264999,126.51132876955427,120.70133477507764,120.12816442668057,149.50211447392832,160.9069541536301,167.45349741432813,140.40759940017878,144.86842707744424,130.4249538178584,154.81120758594582,169.33348769999526,169.19633360242824,155.33125352820113,,,,,,,,,,,,96.53526746578733,80.9560534535755
9,2000-09-18 22:23:38+00:00,145.58876975729183,144.51230922494497,139.10769916730564,147.83267474852858,153.0780844573557,157.21984208959486,148.57553023261661,149.64803281812365,154.51257926319167,154.13341866323026,154.69938893942785,149.71249506899886,153.36920776755744,138.26641528410656,131.0960809459755,130.62044843693997,132.3342424060395,134.3795483679533,140.62225863849687,137.0164592855131,144.99023568692002,146.2883737463051,146.92170012227362,142.21986148014744,145.64875846691635,142.53601790585392,135.72778193186917,138.68881321197972,127.63019101395116,126.44833833663026,125.97324834178629,134.96930597746206,140.68113535466892,140.74437683037195,135.60169466920425,140.77310291389975,138.34866512015773,146.88515128353106,155.35837631852056,151.60620504794664,148.4656920388505,146.97463432120776,127.63062660394453,115.67482184260801,116.22684608714981,113.1792285878208,130.8854921938869,127.1354375834901,129.4722523451138,144.62344192353447,141.27383117860177,137.68960492591103,124.09367216774422,121.6895363188684
