dates,nzd0335-0000,nzd0335-0001,nzd0335-0002,nzd0335-0003,nzd0335-0004,nzd0335-0005,nzd0335-0006,nzd0335-0007,nzd0335-0008,nzd0335-0009,nzd0335-0010,nzd0335-0011,nzd0335-0012,nzd0335-0013,nzd0335-0014,nzd0335-0015,nzd0335-0016,satname
1999-08-17 22:12:02+00:00,366.28,354.84,339.50,331.54,347.84,352.89,348.44,357.90,350.37,345.25,334.25,343.09,345.09,335.43,,,,L7
1999-08-26 22:05:56+00:00,378.41,344.56,358.89,361.21,357.72,359.20,362.42,358.15,363.16,369.72,362.23,353.27,364.97,361.14,332.39,316.39,333.08,L7
1999-10-13 22:06:00+00:00,357.09,356.48,348.07,336.84,335.90,331.25,338.65,342.09,342.48,350.13,351.45,353.02,347.93,349.45,342.29,330.55,327.42,L7
1999-11-21 22:12:00+00:00,402.87,388.86,,,381.56,367.74,357.96,349.27,349.07,360.20,359.67,360.54,370.80,363.85,357.38,337.88,330.32,L7
2000-02-18 22:06:05+00:00,,,,,,,357.79,349.38,350.42,348.42,360.58,370.77,375.78,370.47,377.50,369.05,362.10,L7
2000-03-21 22:06:01+00:00,367.96,,335.84,338.83,343.49,351.18,351.43,353.81,364.06,370.09,371.68,371.69,376.41,372.06,371.13,363.42,350.14,L7
2000-04-13 22:11:30+00:00,,,316.97,330.91,340.43,341.85,346.99,355.47,365.07,369.89,366.87,365.80,369.32,368.52,356.86,347.05,350.51,L7
2000-05-24 22:05:22+00:00,,,,304.03,363.60,365.61,368.85,373.70,364.24,361.04,363.90,367.59,376.17,,175.73,364.18,351.28,L7
2000-06-25 22:05:07+00:00,,,,,349.10,380.19,380.44,372.18,383.01,376.29,360.50,348.10,,,190.12,,,L7
2000-07-11 22:04:53+00:00,,,,,347.24,365.52,377.50,376.25,373.30,368.35,364.64,362.20,,,200.36,,,L7
2000-08-12 22:04:29+00:00,,,350.31,349.01,346.94,346.24,346.73,342.59,352.01,360.10,358.54,356.76,348.27,336.01,213.00,,,L7
2000-08-19 22:10:13+00:00,397.11,398.60,385.40,377.56,367.24,366.61,370.41,361.09,371.67,377.04,379.85,372.93,359.94,359.01,211.79,332.37,337.49,L7
2000-09-13 22:04:02+00:00,401.50,375.04,387.01,378.90,370.21,355.81,354.50,341.18,339.50,341.14,345.68,342.58,344.39,335.21,321.51,313.02,315.64,L7
2000-11-07 22:09:29+00:00,380.64,373.83,375.26,373.70,368.81,359.37,339.47,331.92,351.08,339.69,328.39,330.18,332.32,344.45,332.04,330.18,310.61,L7
2000-11-23 22:09:30+00:00,372.43,365.88,373.14,374.95,370.22,366.73,366.87,352.31,359.36,351.32,347.03,342.71,351.29,364.89,361.24,348.92,342.65,L7
2000-12-18 22:03:49+00:00,387.57,384.22,375.43,382.42,370.90,379.16,367.35,366.05,377.99,372.01,369.23,362.97,372.71,379.78,358.26,350.98,350.03,L7
2001-01-03 22:03:48+00:00,386.58,382.61,374.11,367.37,368.04,376.61,375.80,375.66,367.23,368.86,367.94,373.38,373.86,383.11,378.28,351.65,344.02,L7
