dates,satname,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0059,nzd0191-0060,nzd0191-0061
1999-07-18 21:58:49+00:00,L7,191.04,282.99,275.74,,,84.43,,226.18,,,,,,,,,143.54,,,,,,220.32,,,123.66,232.08,279.64,256.07,248.17,332.52,412.38,463.79,259.66,262.58,321.48,453.01,185.82,211.94,452.81,,,,270.32,287.75,256.44,285.68,304.98,,,,,,,,298.12,300.47,335.07,342.80,346.40,347.31,341.93
1999-09-13 21:52:41+00:00,L7,280.99,277.74,269.98,264.22,248.76,236.27,182.53,241.02,256.22,265.29,263.21,264.50,269.53,268.68,265.86,270.86,270.17,270.05,267.04,255.38,256.58,250.67,256.17,262.05,266.53,271.25,269.49,271.55,263.39,266.29,264.87,274.32,271.72,280.05,281.04,294.39,296.89,295.54,297.16,293.59,291.76,290.59,291.24,301.97,297.72,299.63,302.84,304.77,311.01,310.05,317.77,325.36,327.52,332.78,314.36,,,,,,,
1999-09-29 21:52:52+00:00,L7,295.95,295.30,282.40,282.68,280.88,277.48,,297.44,296.67,289.97,283.36,284.90,292.93,287.46,299.73,304.69,298.95,300.21,287.52,282.16,271.50,272.81,279.51,277.54,289.73,283.54,287.39,289.00,294.84,288.84,290.08,292.35,296.67,297.64,302.85,306.79,308.52,310.40,314.76,320.33,304.13,317.98,316.32,317.86,318.09,328.73,328.21,333.23,339.97,338.18,337.84,353.99,348.52,349.80,341.58,341.14,351.87,351.37,356.95,360.58,369.74,345.75
1999-10-15 21:52:49+00:00,L7,311.77,295.14,284.05,284.23,281.23,279.26,,325.86,290.31,291.08,283.28,284.86,280.55,284.55,294.70,297.48,295.40,298.00,283.62,279.27,271.63,269.48,273.91,272.46,280.86,283.60,286.13,288.63,287.94,281.33,286.62,292.56,296.92,297.43,297.63,305.72,308.31,306.38,308.78,305.88,303.19,302.31,308.91,311.34,308.85,305.82,317.18,324.21,328.43,330.18,329.56,333.39,340.19,338.60,331.98,327.85,336.41,344.91,347.39,359.16,366.73,352.59
1999-10-22 21:58:52+00:00,L7,362.29,346.28,321.94,305.64,313.52,330.63,319.99,340.96,337.10,320.49,328.02,328.38,323.83,329.60,330.62,334.18,326.73,331.60,320.86,312.35,309.16,309.36,300.56,305.35,313.55,322.42,321.84,324.04,316.95,308.94,315.76,327.34,332.12,328.57,327.63,332.89,336.70,335.15,347.88,338.91,335.91,338.03,339.99,345.75,338.74,333.38,340.53,352.30,345.85,349.81,347.93,359.07,367.29,367.44,365.78,351.92,359.61,356.20,360.19,367.36,398.61,357.67
1999-11-16 21:52:44+00:00,L7,310.77,294.10,280.91,274.65,276.78,278.72,273.97,309.98,,295.29,296.50,292.43,292.10,289.14,291.05,300.42,301.70,302.98,296.02,296.21,290.65,283.16,274.33,278.35,283.92,291.08,292.60,287.67,291.46,287.72,289.72,292.65,307.50,310.80,300.75,301.71,316.21,326.80,316.29,309.97,315.14,315.05,313.17,316.81,319.20,319.76,317.95,325.10,331.86,334.62,337.09,337.11,343.29,339.88,343.88,340.62,,,,,,
1999-12-02 21:52:40+00:00,L7,327.66,306.78,283.03,288.67,288.74,301.62,,304.04,,316.96,318.97,313.37,310.23,314.58,309.63,314.40,321.60,323.21,318.25,315.73,309.11,319.00,310.99,314.07,309.93,326.81,321.13,313.04,314.14,325.30,320.15,327.64,328.95,332.86,331.16,334.06,340.41,344.15,345.50,344.54,341.41,344.58,342.77,342.13,343.91,348.88,343.17,348.02,352.47,356.38,362.91,,,,,,,,,,,124.25
1999-12-09 21:58:57+00:00,L7,297.20,287.01,277.96,271.67,272.57,277.49,272.27,265.23,,291.01,287.21,288.41,280.49,285.65,291.92,292.21,301.43,304.38,301.67,294.54,293.25,288.73,283.43,284.65,278.73,288.74,295.46,295.91,297.22,299.37,298.17,297.86,301.07,301.30,304.82,309.61,320.31,321.11,328.50,329.11,328.11,321.26,319.42,323.71,325.86,323.19,325.50,330.28,338.36,337.40,342.09,346.47,347.26,347.01,349.74,345.41,341.82,350.36,345.39,353.84,354.32,338.19
2000-02-04 21:52:37+00:00,L7,332.95,309.83,303.55,298.90,296.80,302.60,314.13,345.29,301.96,294.53,300.33,299.66,303.30,313.51,322.54,316.43,318.06,311.97,309.67,300.79,304.42,307.91,315.48,319.50,315.99,311.64,314.12,314.44,315.57,314.53,319.02,321.35,318.84,320.92,330.71,332.93,334.26,336.36,337.00,339.14,333.96,339.82,337.82,340.84,337.25,334.89,336.96,349.98,355.34,362.93,365.30,364.08,362.25,365.18,364.82,370.90,367.03,373.86,369.53,375.56,379.34,368.16
2000-03-14 21:58:35+00:00,L7,338.18,325.39,313.46,314.38,312.59,309.69,304.69,314.71,308.02,310.17,314.99,317.24,312.33,315.36,317.35,316.63,316.72,314.80,310.73,311.78,305.29,306.97,310.62,316.15,320.36,318.39,316.82,317.54,316.21,318.15,318.59,315.59,322.34,331.32,330.98,331.96,336.94,345.48,344.33,334.94,331.37,326.94,335.80,335.00,337.57,335.78,354.65,353.21,352.53,352.54,361.08,359.74,368.57,372.04,356.88,356.60,363.30,368.13,370.21,367.83,362.78,365.72
2000-03-30 21:58:33+00:00,L7,339.72,333.89,329.07,320.62,314.66,312.12,308.24,346.50,310.28,319.37,320.20,316.46,313.65,313.53,310.93,312.48,308.43,304.02,304.22,292.27,291.90,299.81,301.36,306.19,309.99,314.99,309.82,312.96,317.84,316.01,318.62,311.39,321.34,326.44,324.89,326.34,333.03,340.72,341.76,335.31,342.97,333.47,333.97,335.32,337.40,348.93,357.66,352.89,349.31,361.51,363.11,369.02,373.10,370.28,362.28,355.98,364.88,361.94,367.44,363.14,358.89,360.33
2000-05-01 21:58:18+00:00,L7,356.58,340.10,329.11,323.04,331.28,347.92,354.37,343.17,336.76,328.62,319.18,325.98,334.62,339.31,339.02,316.77,330.29,326.82,322.06,306.96,306.82,305.08,313.11,332.79,343.02,343.42,321.55,320.08,321.28,340.01,333.97,326.29,323.43,325.25,349.78,351.23,337.22,343.80,348.25,344.20,348.44,347.50,342.05,338.18,354.38,360.14,361.89,361.45,368.17,366.53,370.32,378.25,373.40,364.35,359.21,362.38,360.31,369.73,376.75,366.72,387.18,371.24
2000-06-18 21:57:51+00:00,L7,280.61,291.27,286.55,277.17,273.87,240.47,,294.19,277.74,283.77,283.20,291.63,295.05,295.08,293.89,295.37,288.01,287.89,280.24,283.82,277.08,281.20,,290.86,297.11,297.73,294.36,298.99,290.98,292.95,293.22,303.02,304.56,301.70,307.79,312.79,323.55,322.71,314.80,320.44,317.83,318.81,317.96,318.73,334.08,335.43,335.18,331.43,,,347.04,,,352.40,,348.74,357.21,353.47,352.10,356.74,353.88,338.27
2000-07-29 21:51:02+00:00,L7,293.09,297.14,297.49,303.02,290.36,316.65,,317.94,285.97,287.46,299.58,298.00,303.52,308.43,299.48,290.83,291.21,302.15,305.69,,268.50,270.64,277.61,274.73,279.26,302.11,300.14,291.14,299.26,300.16,298.29,294.61,307.16,299.47,305.74,307.64,310.94,324.80,329.66,320.59,319.34,319.90,315.89,326.47,352.50,322.15,316.85,320.71,326.31,325.07,345.61,355.90,352.24,361.45,,353.56,347.35,361.12,386.89,389.03,382.02,313.31
2000-08-05 21:57:08+00:00,L7,268.30,272.67,273.65,262.96,257.66,242.92,210.40,232.02,248.25,257.60,271.90,277.80,275.79,274.62,262.60,259.49,262.20,268.21,257.78,255.02,255.36,252.61,254.20,262.65,259.43,268.93,265.76,264.18,275.42,281.25,258.32,265.61,277.97,270.19,268.35,274.36,288.04,291.32,293.80,292.47,291.57,289.38,291.05,304.71,308.28,299.65,298.58,297.40,,,,,,,,329.70,329.04,328.72,341.77,353.76,332.41,307.83
2000-08-14 21:50:56+00:00,L7,283.43,291.26,288.69,288.83,279.98,277.26,,318.58,260.75,268.47,277.44,292.96,295.87,295.99,286.41,276.30,282.22,274.97,277.54,265.71,266.15,262.78,272.59,276.50,279.54,280.99,284.94,282.05,286.28,287.51,285.74,282.22,295.26,292.89,298.97,311.41,313.05,312.71,316.41,306.84,310.89,303.33,311.05,311.96,315.33,311.44,317.50,317.62,328.62,331.78,342.54,350.79,347.35,353.75,350.86,344.20,345.41,351.53,364.44,364.61,359.23,314.26
2000-11-09 21:56:21+00:00,L7,298.48,295.80,288.26,275.21,282.04,282.40,288.00,272.75,287.11,294.03,288.54,283.95,283.52,281.70,289.93,284.30,276.63,275.22,274.18,268.98,266.37,269.58,266.40,274.92,271.71,278.88,276.84,280.16,282.46,286.42,283.65,280.26,292.17,295.95,298.95,304.31,306.31,308.95,307.57,303.51,297.94,298.51,304.10,307.90,309.58,313.71,317.07,322.19,322.76,333.31,337.92,337.07,346.69,346.48,349.84,348.91,344.42,336.27,340.70,339.62,345.15,337.69
