dates,satname,nzd0476-0000,nzd0476-0001,nzd0476-0002,nzd0476-0003,nzd0476-0004,nzd0476-0005,nzd0476-0006,nzd0476-0007,nzd0476-0008,nzd0476-0009,nzd0476-0010,nzd0476-0011,nzd0476-0012
1999-08-26 22:07:08+00:00,L7,332.68,329.21,326.84,328.66,333.00,335.24,337.18,331.67,333.07,346.92,362.41,367.29,369.44
1999-10-13 22:07:12+00:00,L7,317.57,321.19,317.66,318.76,321.87,327.40,323.54,320.37,327.06,337.92,348.01,358.84,341.89
1999-11-30 22:07:23+00:00,L7,,,,,305.09,304.90,307.03,308.20,309.48,319.99,329.71,349.89,340.65
2000-03-21 22:07:12+00:00,L7,,,,,,,,,,,,,
2000-05-08 22:06:20+00:00,L7,315.46,319.05,322.38,321.15,326.07,327.50,324.17,319.43,323.76,334.40,344.57,353.42,340.65
2000-05-31 22:12:18+00:00,L7,,,,,,,,,,,,,
2000-06-25 22:05:55+00:00,L7,286.36,311.90,308.37,313.06,311.71,316.59,317.73,320.01,318.47,325.56,344.30,352.44,328.41
2000-07-27 22:05:24+00:00,L7,300.07,304.98,316.05,316.06,315.71,319.90,322.68,323.80,327.71,334.30,348.44,351.29,333.92
2000-08-03 22:11:31+00:00,L7,330.19,320.18,320.80,319.28,322.90,326.83,332.04,330.48,331.98,344.78,354.76,367.76,347.84
2000-08-12 22:05:17+00:00,L7,316.54,312.62,312.58,317.53,322.47,325.67,325.82,326.92,331.37,336.79,352.59,363.18,342.26
2000-09-20 22:10:50+00:00,L7,315.04,308.44,311.72,315.58,315.01,320.64,317.75,321.22,319.08,331.74,348.62,363.67,356.38
2000-12-02 22:04:57+00:00,L7,,,,,,,,,,,,,
2000-12-18 22:04:37+00:00,L7,302.05,302.98,309.09,311.87,314.92,319.03,321.63,320.48,322.97,325.63,335.51,340.28,267.83
2001-01-19 22:04:43+00:00,L7,318.53,310.27,319.40,319.02,318.91,323.28,322.85,318.94,324.08,324.79,329.19,334.09,264.97
2001-02-20 22:05:00+00:00,L7,,,,,,,,,,,,,
2001-03-08 22:04:32+00:00,L7,366.06,350.51,344.99,331.40,333.29,303.43,259.73,184.42,244.59,332.93,360.22,369.06,340.81
2001-04-09 22:04:41+00:00,L7,344.45,333.68,333.33,333.56,335.49,339.38,338.47,333.03,335.47,339.60,347.78,359.29,341.12
2001-06-28 22:03:32+00:00,L7,273.45,294.87,309.82,313.27,314.42,321.06,318.14,317.37,319.27,324.06,326.65,316.94,283.13
2001-07-14 22:03:33+00:00,L7,295.09,298.84,306.84,311.14,312.18,315.22,318.10,316.71,316.89,320.45,319.53,318.96,284.74
