,dates,chi0387-0000,chi0387-0001,chi0387-0002,chi0387-0003,chi0387-0004,chi0387-0005,chi0387-0006,chi0387-0007,chi0387-0008,chi0387-0009,chi0387-0010,chi0387-0011,chi0387-0012,chi0387-0013,chi0387-0014,chi0387-0015,chi0387-0016,chi0387-0017,chi0387-0018,chi0387-0019,chi0387-0020,chi0387-0021,chi0387-0022,chi0387-0023,chi0387-0024,chi0387-0025,chi0387-0026,chi0387-0027,chi0387-0028,chi0387-0029,chi0387-0030,chi0387-0031,chi0387-0032,chi0387-0033,chi0387-0034,chi0387-0035,chi0387-0036,chi0387-0037
0,1986-02-04 14:07:35+00:00,173.80908868683986,167.66840558331447,177.63019657368807,189.7684833720522,188.21551914238705,197.85836502567923,174.85426805307986,185.83543444335524,180.1413210916657,167.73941491747885,170.6501473817779,155.45783311084847,174.58821968338998,147.1368721128726,157.7248766802934,168.56408914168108,181.40860442534324,174.1182920292896,185.9733972162025,177.91279008361047,169.8953717837309,177.0174906939297,169.62599729319786,176.80302642832473,186.34115753984426,197.20775034534626,207.82964421151803,201.31324166821543,191.20864809722843,190.174258486966,191.6870672702852,197.48862701538002,202.62271821369825,196.98801040119722,186.83578292208458,184.22801420627468,,
1,1986-08-15 14:02:17+00:00,165.78882956808445,140.95806147995734,173.27739438142822,186.08320722449446,166.8756840257974,168.26467999621218,159.33401100458033,155.4336803438626,152.21016518998343,161.1325085388367,158.53759637118162,158.09679248721454,145.95219946520035,139.43726593359386,140.5550479973863,139.4426425681518,161.70326606979404,165.10227009347827,162.16281444312114,157.19933080401765,162.23479171575872,154.0042812109974,168.61306419867273,169.14653288380032,179.07926620962235,187.42212376463488,177.3754836067343,191.96792268971546,184.24379928738904,161.94417361534275,179.01609844666547,177.22344851747337,170.584075140342,173.91622227944558,171.53716636788945,146.44801634543015,132.70279353352026,133.63480123020574
2,1986-09-16 14:01:09+00:00,140.8120801871337,155.05427201647424,161.3341864013692,171.68953667197113,156.93310071967062,156.13110624020845,149.27616172264368,154.2373849377014,140.69693692849498,140.52041816806408,150.47779848261825,148.18784444350652,148.34029559402103,134.60031324615775,133.34057003305455,143.37961866805156,164.00834167570991,153.35079946703286,150.96361965825614,153.01447220176544,148.8292304655187,151.76865120367552,163.2127884420617,166.08225685828177,179.6427593705574,179.97554499175826,178.76422094804525,176.94124571106994,174.9793006191598,173.7002197241931,178.65042110068157,167.8816749399663,165.69032653793357,176.47134656681953,166.47903177276646,146.2865596658545,134.0069127400572,121.66408477612866
3,1986-11-03 13:59:34+00:00,,159.01286200250524,166.73001914278484,150.6744885448942,160.92377668621555,148.84567411535616,147.14410235601514,155.0917667286384,132.45353764083674,142.83366581283565,137.86518762679765,129.41076506441095,119.9249256167867,132.8418544818791,131.25388946665535,134.81765349523644,147.42861001517406,139.64824871087168,144.64981303668696,150.3146784296543,146.5297693419025,150.19557974792093,154.007284952934,161.2887620216784,176.68339195058104,185.0044775244846,180.75932723002546,169.9071191065874,178.0022026590761,160.71445946804513,185.79101013517857,179.49298638501935,180.02129080828269,,,,,
4,1986-12-21 13:59:37+00:00,167.19053915739505,174.6980977241172,187.3068957686416,198.67043933035092,178.26659554907883,174.0086707284152,162.35509019984022,166.30618920821385,160.79880635119665,159.08525994292657,160.76869220767293,161.2492741084045,153.73121824345975,176.6897108595759,170.64609146688073,167.05233414948006,174.44452844963138,171.46242256307312,168.64755027246733,169.58520536711035,173.76051640645784,178.3171458137012,185.79717030665415,181.01542433737,187.12796773589153,195.1548058872458,198.07262626843146,202.44121045216218,188.08823471307724,192.78925114712194,194.86581504479744,204.31151794828372,185.89860120523326,181.1886306356194,187.8431975808152,176.65109303771294,169.3104424187322,165.91652503597948
5,1987-01-06 14:00:06+00:00,140.9566553814854,150.61701135956986,175.0675503508781,183.53219857988606,187.02156321158054,190.14451006605697,175.30208642248564,159.70580689606078,170.94767471746877,169.53712558548546,157.26000026987836,172.1400591714023,162.42963866841814,176.4862549286825,185.881123547593,170.48597021638804,165.64829218272882,168.41606012853646,170.66407897331487,178.5827325961648,170.88802309589084,183.01960519625086,186.30774703400598,188.4991686039598,203.11105321859085,207.25544405391244,201.99981472483123,193.17465417088746,193.49888077519392,198.12702478959972,205.43359880218463,185.61187548450596,188.39513347970393,180.298974111118,184.44380877470476,176.69591051276765,177.26918598551106,178.60175384165763
6,1987-01-22 14:00:34+00:00,186.8876424457927,149.58757129091452,171.61039845700338,179.25027379849612,164.39218987820573,174.14088879728482,162.05365743791003,160.3881659320006,155.03049438117313,152.9893931779691,148.39211053804553,164.34113488212756,148.32089155538523,137.02405074790957,150.22952840207464,168.8984357559821,161.70495667242415,167.65821739183136,159.21218627163097,157.83121153548987,161.15372366713376,170.94477709259027,175.31206475274152,176.3522597500998,183.8008564916104,194.35253050211165,198.61287823314834,190.07663872787998,185.45118287624595,174.91323425560466,182.89733885753202,,,,,,,
7,1987-02-07 14:01:09+00:00,179.16708915271792,179.9555938655189,190.42948253784982,191.43605377243023,191.94606571518932,188.87429944856265,173.90967312688494,173.29197238196872,182.5390186188965,174.8011933894582,181.40411609676102,164.4394224370252,151.00787745111518,175.36302107490127,196.9016494902735,185.56216595036705,179.37284696649058,190.8444462209838,188.50788447081845,190.80025967166648,172.84716792766753,172.50345884131266,183.96535942881775,190.6450737054161,203.22075985228673,199.6846092744374,205.84292402738853,198.15109591555674,197.80335061133184,199.9125438284068,198.3107782600319,184.45169955407434,201.82568233302462,202.0496433161676,179.21772321364836,193.91073748322697,182.19221434990249,168.17297276510885
8,1998-02-21 14:16:53+00:00,217.48921522189553,215.96591034689519,,,,,236.66988042737682,,,199.9367268814188,206.27805442071968,211.13792710805382,,232.29692368646766,226.86745979485224,227.12258064889994,221.74881784282897,,,,,,,,,245.62223902912146,244.10215216737467,237.04790510623337,228.88939261769934,222.684500238619,210.37806395470454,223.10984106306972,211.47748039274515,202.88070305944706,203.88139258146106,190.02389601995895,179.19473499184375,174.0723517489125
9,1998-03-25 14:17:23+00:00,192.32920555436715,,166.67700080660865,181.74655214589728,,195.90247938161588,,,,,,,,,,,,,,153.7099831786737,,192.1792737924044,169.64641530922617,171.81875824803166,180.8286164321559,,197.3350743076043,,,172.93747592814043,170.21953666778393,170.62643330436603,173.0515509243556,,165.896952749013,157.86320619860277,143.2681200275892,146.5248541273583
