,dates,aus0210-0000,aus0210-0001,aus0210-0002,aus0210-0003,aus0210-0004,aus0210-0005,aus0210-0006,aus0210-0007,aus0210-0008,aus0210-0009,aus0210-0010,aus0210-0011,aus0210-0012,aus0210-0013,aus0210-0014,aus0210-0015,aus0210-0016
0,1987-05-22 23:07:44+00:00,198.0541947534994,194.75773352205485,206.05770674416337,197.61870601819786,194.53811990467779,194.3749931369487,198.02596618793768,201.84732130826168,208.80267911828537,211.41330190378073,212.6501678467649,220.97332173883706,220.8265914600841,214.5695185926832,210.10345176488522,210.01859816742842,213.5224201751785
1,1987-09-11 23:10:53+00:00,217.00425186484014,217.71253223735815,227.48270889893342,215.7338785052284,208.16605539625903,208.18169033757283,212.2740817725913,217.76729757461464,226.2609061270618,223.86686113974778,232.23668019587512,229.41083991862752,229.67844594339232,229.97601707763994,225.3472668756807,221.20078903114157,216.39950443542693
2,1987-09-27 23:10:51+00:00,223.57253129940068,228.06636249355,233.1341300836336,224.89959375897286,217.61542356715634,217.7241583578856,216.90687141182204,218.60521653568534,228.11687595974513,229.56069037686328,234.50770718275166,227.82525478520463,227.71034714075353,231.33335427430822,226.27348309310696,220.2875151828624,214.96992049572478
3,1987-11-14 23:12:11+00:00,200.0993131301552,211.65064274853336,216.22698894428365,204.14286632400027,191.67259567451129,191.50709492506198,194.6831037340859,200.41734050779385,202.0589442268468,207.1414972817478,215.73963975994184,216.640267011252,216.60951163671874,219.34945068964254,215.55283244670701,210.05076412816322,209.52051131869837
4,1988-02-18 23:13:47+00:00,199.0947491225011,202.86553376348616,210.90302085631365,207.4258210122397,199.69001577555144,199.82662450567952,203.71844114092363,203.16315739077365,210.72550647323902,206.67065606158468,214.7259800018683,216.91746441239408,217.02283057422545,218.96458140101953,210.90636087581515,210.7650542787618,207.75226193811724
5,1988-05-08 23:14:26+00:00,182.0463195215863,195.90196648733976,197.36606546476108,191.4865447484754,180.08604526215402,179.91056275926985,171.1477661797505,180.34691508240948,182.1338400554974,182.5134555574225,195.7107004675966,194.92156813524596,194.73309685648056,203.4581261573822,198.76606392751341,196.87750926271931,
6,1988-06-09 23:14:15+00:00,184.5289441816,191.5749780378966,208.62904969821457,194.42513431963533,187.5385776687511,187.41971130712514,189.1114012758548,195.86037661871228,197.96582963406794,200.31857953035845,203.54352712349967,202.64570471073912,202.66714128375662,206.09550738166513,203.3219209103419,197.38223336727242,196.81643891953178
7,1988-06-25 23:14:44+00:00,193.66148695444087,201.4395639328269,213.5483213543202,193.75119063841495,195.86505873299546,195.98506876011947,199.29289548104944,208.1564974469878,206.21065301445964,210.22339941045863,211.49260969050565,210.0690633530636,209.68440002724725,211.9055252254155,205.55619204495855,199.49030901959227,195.54765102569957
8,1988-07-27 23:14:50+00:00,191.81199835905377,202.96045680165872,218.21577358185277,200.21755613933485,195.72033539244592,195.64332907274988,192.60500547059493,198.52775466239223,196.63942649781683,209.44818316646405,208.3713493850445,208.42591169628534,208.7303870130857,205.96524403990986,204.5694256054103,195.2342599466114,199.81347244815885
9,1988-08-28 23:14:30+00:00,202.93217479169087,209.6958543294661,215.1878041019883,199.96023940352728,202.40967846122288,202.23026890294418,201.05868262608024,205.1798987239975,207.58549100831607,206.81226311111126,219.60490495921897,217.63978971047788,217.657369651532,215.92924995131034,210.75846630467137,199.39351519700853,200.15739481952022
