,dates,jap0314-0000,jap0314-0001
0,1984-05-24 01:09:12+00:00,137.58531933256108,139.68811563023934
1,1984-07-27 01:10:28+00:00,148.44809749848417,141.9678256982722
2,1984-10-31 01:11:19+00:00,,151.407544889531
3,1985-04-25 01:11:34+00:00,126.8084978375468,123.22007700260629
4,1985-07-30 01:11:09+00:00,152.18713053412657,142.26542020111765
5,1985-12-05 01:09:30+00:00,,154.7371987579387
6,1986-01-22 01:08:35+00:00,,152.68413877519274
7,1986-02-07 01:08:13+00:00,,
8,1986-04-12 01:06:50+00:00,151.91204752387478,143.22418858301018
9,1986-05-30 01:05:35+00:00,127.06956339618993,125.69969333221587
10,1986-07-01 01:04:35+00:00,158.1744757847123,147.18881045380948
11,1986-08-02 01:03:28+00:00,146.22987814760745,143.02175507276428
12,1986-08-18 01:02:53+00:00,127.45631857470707,129.28527145018705
13,1986-09-03 01:02:16+00:00,132.07588322360604,128.91623155696848
14,1986-11-06 01:00:09+00:00,208.63533084495697,152.07567815371667
15,1986-11-22 00:59:28+00:00,193.05819618234892,148.51669944054805
16,1986-12-08 00:59:53+00:00,194.1657409656967,151.53808957179504
17,1986-12-24 01:00:24+00:00,207.83913931982465,
18,1987-02-10 01:01:56+00:00,207.70501938170494,150.3284866410714
19,1987-06-18 01:05:58+00:00,,141.6799966173999
20,1987-11-09 01:09:17+00:00,192.48267319117065,130.46128285513188
21,1987-11-25 01:09:36+00:00,192.42060428344308,145.3317301193038
22,1988-09-08 01:12:07+00:00,192.3041880336951,157.3206861372968
23,1988-10-26 01:11:54+00:00,192.1753906632594,143.1955463644624
24,1988-12-13 01:11:44+00:00,194.64990104015482,147.8452581118077
25,1989-01-30 01:11:21+00:00,176.9510199920187,141.947273839819
26,1989-02-15 01:11:20+00:00,207.82172404899853,153.53699575372366
27,1989-10-13 01:06:36+00:00,,151.69495781327046
28,1989-11-14 01:05:34+00:00,208.62049439354428,149.92718613193398
29,1989-12-16 01:04:47+00:00,192.23012336417105,146.9359082171191
30,1990-01-17 01:03:46+00:00,210.54504914921358,152.71780414804678
31,1990-02-02 01:03:15+00:00,157.08912996045746,143.784362411776
32,1990-03-06 01:02:12+00:00,192.82084563415273,149.8275373430714
33,1990-05-09 01:01:33+00:00,163.11491736251355,155.81653334037838
34,1990-05-25 01:01:30+00:00,153.18399627891566,148.70317300521054
35,1990-08-29 01:01:13+00:00,128.31375242089067,126.6846047219647
36,1990-10-16 01:00:55+00:00,161.7069018684404,149.7962306602721
37,1990-12-03 01:00:31+00:00,207.72606236516268,153.13659636287653
38,1990-12-19 01:00:51+00:00,224.90447416304173,156.01814421631835
39,1991-02-05 01:01:51+00:00,192.98833039306837,153.41410341914496
40,1991-09-01 01:05:04+00:00,,139.10343979991995
41,1991-11-04 01:05:29+00:00,193.00543294762022,158.15596607624926
42,1991-11-20 01:05:32+00:00,192.98197290348156,151.2784600808239
43,1992-01-23 01:05:36+00:00,194.22670293221898,147.03945966562088
44,1992-03-11 01:05:31+00:00,177.86816212185641,144.23782686372556
45,1992-10-21 01:02:47+00:00,177.93151087397445,151.80339964698732
46,1992-11-22 01:02:20+00:00,193.6675789561834,148.6484257102038
47,1992-12-08 01:02:35+00:00,177.91450702521632,142.2138125063942
48,1993-02-10 01:03:15+00:00,192.92051622559532,152.42232395538994
49,1993-10-24 01:03:28+00:00,193.09595382680152,151.73251074632253
50,1993-11-25 01:03:15+00:00,209.10348320835442,158.45153099070205
51,1993-12-27 01:03:01+00:00,192.65698945465624,148.21992784307236
52,1994-02-13 01:02:24+00:00,207.66428600378052,154.712822570762
53,1994-03-01 01:02:10+00:00,192.46838454024757,132.11062081208124
54,1994-06-21 01:00:08+00:00,165.96909809735257,158.56483797022645
55,1994-07-07 00:59:43+00:00,156.2422732203196,157.14540036898006
56,1994-07-23 00:59:17+00:00,,123.4055887291542
57,1994-08-24 00:58:27+00:00,176.30905293017858,140.4430304534559
58,1994-09-09 00:58:03+00:00,148.79735877128746,141.95105721266597
59,1994-09-25 00:57:37+00:00,149.5160973393365,140.31943709427586
60,1994-11-12 00:56:03+00:00,208.19069151327918,153.90832365033302
61,1994-12-14 00:55:01+00:00,225.46056085915626,162.59956546290437
62,1995-01-15 00:53:55+00:00,225.24828137844452,160.26486128532514
