dates,nzd0418-0000,nzd0418-0001,nzd0418-0002,nzd0418-0003,nzd0418-0004,nzd0418-0005,nzd0418-0006,nzd0418-0007,nzd0418-0008,nzd0418-0009,nzd0418-0010,nzd0418-0011,nzd0418-0012,nzd0418-0013,nzd0418-0014,nzd0418-0015,nzd0418-0016,nzd0418-0017,nzd0418-0018,nzd0418-0019,nzd0418-0020,nzd0418-0021,nzd0418-0022,nzd0418-0023,nzd0418-0024,nzd0418-0025,nzd0418-0026,nzd0418-0027,nzd0418-0028,nzd0418-0029,nzd0418-0030,nzd0418-0031,nzd0418-0032,nzd0418-0033,nzd0418-0034,nzd0418-0035,nzd0418-0036,nzd0418-0037,nzd0418-0038,nzd0418-0039,nzd0418-0040,nzd0418-0041,nzd0418-0042,nzd0418-0043,nzd0418-0044,nzd0418-0045,nzd0418-0046,nzd0418-0047,nzd0418-0048,nzd0418-0049,nzd0418-0050,nzd0418-0051,nzd0418-0052,nzd0418-0053,nzd0418-0054,nzd0418-0055,nzd0418-0056,nzd0418-0057,nzd0418-0058,nzd0418-0059,nzd0418-0060,nzd0418-0061,nzd0418-0062,nzd0418-0063,nzd0418-0064,nzd0418-0065,nzd0418-0066,nzd0418-0067,nzd0418-0068,nzd0418-0069,nzd0418-0070,nzd0418-0071,nzd0418-0072,nzd0418-0073,nzd0418-0074,nzd0418-0075,nzd0418-0076,nzd0418-0077,nzd0418-0078,nzd0418-0079,nzd0418-0080,nzd0418-0081,nzd0418-0082,satname
1999-11-05 22:12:52+00:00,302.14,304.72,303.65,421.45,427.60,421.14,412.26,408.58,405.89,396.17,397.72,398.53,391.61,390.97,394.34,384.89,375.65,365.26,364.27,368.41,364.77,356.40,349.20,,,,,,,,,,,,,,334.26,337.35,338.29,345.13,347.71,351.34,348.65,342.38,341.64,343.51,338.62,338.79,337.53,334.00,339.24,345.75,358.23,360.32,370.04,371.43,373.01,376.94,378.18,377.97,302.10,298.98,318.82,329.64,339.32,345.82,343.59,353.97,360.74,366.08,369.13,364.28,357.76,364.24,363.19,375.57,367.95,375.17,379.33,379.53,378.24,378.91,398.75,L7
1999-11-21 22:12:47+00:00,304.55,306.19,300.83,433.68,440.57,430.90,428.56,419.02,410.20,400.73,415.62,414.38,404.01,401.63,399.25,390.15,393.02,384.17,385.53,383.69,374.24,367.66,361.47,353.17,358.77,354.53,353.44,349.18,344.69,340.14,,,340.26,337.84,340.46,336.96,347.00,351.55,364.27,354.66,358.08,356.63,356.58,352.80,356.10,354.09,350.52,349.66,346.87,341.83,347.94,361.29,365.30,374.27,379.10,378.37,379.19,381.14,380.57,380.01,317.60,323.61,328.13,336.64,344.33,355.84,356.53,366.79,368.15,377.56,380.39,373.59,367.29,375.94,377.38,384.51,382.45,384.36,386.23,384.04,382.74,379.36,396.16,L7
1999-12-07 22:12:53+00:00,327.38,324.26,311.97,426.00,439.45,431.49,429.53,420.98,409.95,409.48,411.34,409.49,397.22,399.12,395.84,382.35,383.66,381.63,393.97,386.15,370.61,365.66,363.02,359.79,355.82,350.33,341.67,331.29,327.20,331.24,331.11,337.01,335.84,,,338.17,358.53,365.75,364.00,355.95,353.07,349.41,348.10,344.37,335.31,336.58,335.32,336.34,339.99,336.69,341.65,352.17,352.55,356.84,359.58,367.07,374.97,390.74,391.67,387.53,328.39,323.58,328.27,332.75,335.40,346.47,344.81,346.85,355.14,361.57,365.97,366.89,362.03,366.50,369.23,371.37,364.95,364.86,374.98,379.69,391.80,391.49,401.92,L7
2000-04-13 22:12:18+00:00,329.19,328.23,319.47,434.56,433.22,431.79,426.17,417.12,421.01,415.45,416.49,410.00,400.66,414.50,407.36,398.42,394.14,391.86,396.07,388.48,376.15,366.91,365.24,357.02,346.24,347.61,343.93,342.42,345.44,342.51,345.33,346.87,352.15,353.95,352.91,351.20,356.87,362.19,358.63,358.01,357.50,348.86,350.09,350.12,349.28,350.05,351.79,354.51,351.57,352.04,350.60,354.46,355.76,361.90,367.20,373.93,376.93,386.08,391.05,399.72,325.06,318.19,331.41,338.31,337.74,346.91,352.53,358.52,368.85,378.32,384.59,378.44,376.99,374.56,374.04,372.64,371.57,372.44,381.85,382.43,387.29,395.73,419.10,L7
2000-05-31 22:11:54+00:00,299.71,320.84,322.52,408.99,417.81,409.75,398.58,388.45,392.09,378.23,390.61,387.53,383.68,378.51,378.47,,,,,,,350.61,,,,,,331.24,316.12,327.07,,,340.59,333.89,332.73,,340.85,331.38,334.13,326.13,,,,,,,,,,,,,,,,,,,,,292.21,293.43,295.00,,,,,,,,,,,,,,,,,,,,,L7
2000-08-03 22:11:07+00:00,,,,435.01,429.38,436.83,440.70,439.98,438.45,434.30,416.03,412.44,412.67,400.41,399.20,392.36,397.50,397.11,409.76,402.29,382.23,374.59,364.97,357.00,355.86,358.23,358.98,364.71,353.56,347.04,361.33,360.08,355.95,346.62,340.54,342.34,350.36,350.87,351.53,356.88,358.26,353.23,347.54,354.73,352.60,354.45,361.77,360.14,,,,,,,,,,,,,314.17,311.03,327.35,339.10,338.59,342.00,358.03,358.90,368.99,390.61,389.98,,,,,,,,,,,,,L7
2000-08-19 22:11:01+00:00,,,,434.04,428.17,430.98,426.04,426.40,429.99,422.31,421.95,409.15,405.03,401.52,398.61,398.88,400.61,404.80,413.15,404.00,395.63,378.40,376.90,371.94,355.52,354.00,345.70,354.48,351.89,352.79,349.10,357.76,356.19,350.19,350.21,354.86,356.91,352.25,343.69,343.88,349.01,349.69,353.22,355.60,350.62,361.24,361.54,365.09,,,,,,,,,,,,,313.82,302.54,315.16,330.06,334.75,346.20,359.89,357.64,380.86,388.04,393.59,,,,,,,,,,,,,L7
2000-11-07 22:10:17+00:00,362.81,359.43,,427.53,428.61,422.48,416.52,409.61,405.13,397.05,395.75,389.99,382.98,382.09,380.08,378.05,381.37,388.93,393.41,397.40,383.74,366.91,355.42,349.65,350.36,338.68,327.46,326.90,324.79,327.42,332.82,339.47,344.02,345.42,337.49,331.56,335.49,339.81,351.58,344.30,343.44,342.05,339.95,344.23,338.99,346.50,350.73,352.08,351.74,343.47,330.35,344.51,346.13,348.99,348.88,350.46,350.73,364.47,378.54,380.93,304.49,311.28,317.28,325.13,329.21,338.09,348.43,347.07,363.32,377.42,382.43,380.02,369.22,353.65,362.92,362.30,359.90,353.93,358.39,355.32,365.70,381.21,396.61,L7
2001-01-10 22:10:27+00:00,370.64,363.80,378.34,423.61,431.04,422.65,411.79,413.06,408.24,401.26,405.80,402.54,400.06,398.63,395.93,394.26,395.00,391.50,389.34,387.16,387.86,396.03,405.06,402.03,397.76,383.55,376.76,360.92,355.76,338.06,330.85,338.54,342.78,345.08,343.46,339.76,341.54,336.98,339.81,336.68,347.26,348.44,350.78,345.04,346.03,338.87,351.16,353.32,360.95,359.48,369.55,366.84,364.77,373.49,377.24,382.70,391.08,394.43,400.07,403.08,299.54,300.29,307.17,329.42,336.39,348.68,347.90,355.61,355.97,378.58,383.77,387.75,384.14,394.86,384.61,382.14,383.10,382.41,390.59,396.64,395.58,401.51,422.44,L7
2001-01-26 22:10:30+00:00,370.40,359.39,355.62,403.74,407.58,405.12,395.47,391.09,385.33,383.08,378.57,375.98,374.75,370.33,367.81,360.67,359.67,361.25,367.07,364.65,364.01,370.49,371.89,375.03,377.65,370.55,352.88,345.73,351.84,334.78,336.43,335.52,340.55,338.63,335.65,340.03,333.59,326.32,327.14,323.66,324.32,322.93,324.53,323.81,322.72,326.48,328.78,326.23,332.37,344.31,354.55,353.72,353.12,351.65,352.46,353.89,358.26,365.66,382.55,382.13,289.96,286.56,293.54,304.91,309.39,321.22,327.26,331.46,340.62,354.30,356.49,363.16,368.94,377.61,373.56,371.20,361.16,357.87,361.74,363.96,366.98,384.90,408.96,L7
2001-02-27 22:10:18+00:00,381.47,377.65,376.80,440.01,421.80,416.96,420.04,417.25,419.68,419.62,411.67,406.16,404.92,395.96,393.80,387.33,390.09,390.65,394.68,398.56,400.00,398.33,398.31,397.30,386.14,383.63,379.80,384.61,370.29,363.00,353.79,357.12,357.92,357.83,366.51,372.88,373.16,380.88,376.81,373.66,369.32,359.66,355.03,352.50,352.56,351.27,347.97,361.18,365.76,363.62,354.60,358.85,367.47,372.58,386.49,384.68,388.42,392.16,397.88,403.30,342.80,335.91,344.55,352.16,344.52,348.08,355.77,359.60,364.75,372.89,391.59,393.79,386.61,376.58,379.82,383.64,381.60,391.55,393.18,394.16,394.00,400.84,426.47,L7
2001-03-15 22:10:15+00:00,383.96,378.65,372.63,465.90,429.68,423.62,419.45,413.35,420.20,422.96,409.41,408.98,412.89,398.29,392.04,389.97,381.88,386.06,384.79,391.13,391.60,394.68,402.45,,,389.33,379.86,369.59,365.10,356.59,350.08,341.96,350.88,352.53,354.47,357.88,372.85,373.06,375.93,372.28,370.44,373.16,368.10,362.85,363.38,357.50,355.02,355.55,364.78,366.61,354.86,355.68,359.71,363.82,373.71,369.11,363.30,372.80,384.98,393.96,336.86,335.33,344.69,354.63,358.99,358.79,370.33,368.44,377.65,379.46,385.96,392.51,392.35,375.37,378.04,376.01,372.42,378.54,376.81,368.68,375.13,388.86,416.00,L7
2001-03-31 22:10:07+00:00,396.15,387.72,386.88,463.84,454.59,435.17,421.68,419.37,424.66,428.78,422.69,415.69,415.53,407.54,400.70,399.60,392.85,398.59,394.14,393.47,395.43,396.93,399.63,398.43,392.64,392.35,383.28,378.46,373.91,366.25,353.63,347.81,352.10,352.05,352.67,359.40,363.81,376.56,377.94,382.31,373.77,371.02,375.14,373.40,366.87,365.59,368.72,368.55,375.69,382.26,378.53,364.91,363.72,378.88,381.27,382.77,375.59,382.86,380.99,381.13,340.62,339.77,354.43,354.75,355.60,367.56,376.61,373.02,380.65,394.78,399.56,403.22,407.63,399.59,387.35,383.26,387.25,386.58,390.63,381.29,384.45,383.60,397.68,L7
2001-05-02 22:10:03+00:00,,,,425.58,421.84,417.92,415.13,403.87,401.05,399.76,399.25,387.65,388.37,384.11,375.30,377.14,373.19,372.06,375.92,379.14,381.11,380.27,381.64,378.14,372.61,365.74,358.31,350.49,344.37,336.22,334.79,329.21,336.36,331.31,331.31,347.55,347.10,347.61,342.67,351.18,359.51,360.91,364.98,363.06,359.50,358.48,354.27,349.28,355.90,351.68,,,,,,,,,,,310.38,304.32,322.70,340.45,345.04,359.85,365.41,369.23,373.59,379.76,379.63,383.89,376.95,,,,,,,,,,,L7
2001-06-03 22:09:40+00:00,420.59,415.98,395.94,415.20,423.50,410.48,411.17,408.54,398.48,396.39,400.45,397.75,396.67,392.51,383.20,378.64,380.87,371.07,372.36,375.77,375.06,374.29,376.47,368.75,368.80,365.23,367.02,358.55,364.34,364.20,,,345.04,,,,340.05,340.40,335.27,331.32,333.64,341.64,340.25,341.25,348.54,349.07,349.90,350.21,352.43,,,,,,,,,,,,304.52,295.39,305.78,320.61,329.17,343.45,345.24,360.22,365.47,377.35,380.44,379.19,,,,,,,,,,,,L7
2001-07-05 22:09:21+00:00,396.22,383.74,381.77,414.45,427.78,413.31,411.85,415.09,407.34,390.13,397.58,391.59,386.82,388.51,384.94,384.17,391.77,392.88,406.22,395.57,396.82,395.64,384.59,396.06,376.62,372.15,373.72,364.37,362.37,367.42,363.46,376.24,368.29,367.79,363.87,364.66,365.50,362.27,367.31,360.66,362.03,356.84,375.27,366.09,370.98,386.96,371.05,372.45,367.09,,,,,,,,,,,,326.15,327.39,332.61,343.20,347.49,376.56,364.24,381.33,402.21,396.29,402.67,,,,,,,,,,,,,L7
