dates,nzd0418-0000,nzd0418-0001,nzd0418-0002,nzd0418-0003,nzd0418-0004,nzd0418-0005,nzd0418-0006,nzd0418-0007,nzd0418-0008,nzd0418-0009,nzd0418-0010,nzd0418-0011,nzd0418-0012,nzd0418-0013,nzd0418-0014,nzd0418-0015,nzd0418-0016,nzd0418-0017,nzd0418-0018,nzd0418-0019,nzd0418-0020,nzd0418-0021,nzd0418-0022,nzd0418-0023,nzd0418-0024,nzd0418-0025,nzd0418-0026,nzd0418-0027,nzd0418-0028,nzd0418-0029,nzd0418-0030,nzd0418-0031,nzd0418-0032,nzd0418-0033,nzd0418-0034,nzd0418-0035,nzd0418-0036,nzd0418-0037,nzd0418-0038,nzd0418-0039,nzd0418-0040,nzd0418-0041,nzd0418-0042,nzd0418-0043,nzd0418-0044,nzd0418-0045,nzd0418-0046,nzd0418-0047,nzd0418-0048,nzd0418-0049,nzd0418-0050,nzd0418-0051,nzd0418-0052,nzd0418-0053,nzd0418-0054,nzd0418-0055,nzd0418-0056,nzd0418-0057,nzd0418-0058,nzd0418-0059,nzd0418-0060,nzd0418-0061,nzd0418-0062,nzd0418-0063,nzd0418-0064,nzd0418-0065,nzd0418-0066,nzd0418-0067,nzd0418-0068,nzd0418-0069,nzd0418-0070,nzd0418-0071,nzd0418-0072,nzd0418-0073,nzd0418-0074,nzd0418-0075,nzd0418-0076,nzd0418-0077,nzd0418-0078,nzd0418-0079,nzd0418-0080,nzd0418-0081,nzd0418-0082,satname
1999-11-05 22:12:52+00:00,297.09,308.74,320.96,427.92,422.85,418.68,413.40,409.72,408.01,401.07,394.28,397.21,393.73,390.97,396.46,387.87,374.67,368.69,361.98,365.82,368.64,362.44,358.97,,,,,,,,,,,,,,331.80,338.20,335.70,342.65,345.89,352.32,353.65,346.67,345.66,340.54,328.66,330.86,331.24,331.52,332.27,333.73,351.36,354.59,370.04,372.99,376.44,386.84,381.06,385.01,306.39,295.11,315.28,331.93,341.78,349.25,347.32,353.97,355.19,356.88,361.52,358.59,355.55,354.68,354.74,369.24,358.41,375.17,380.89,382.96,388.14,382.93,404.64,L7
1999-11-21 22:12:47+00:00,297.58,310.03,321.99,434.95,428.67,423.22,421.70,415.10,410.46,404.04,402.75,404.95,400.23,396.30,399.21,390.91,383.22,378.63,372.29,373.09,373.92,368.92,366.48,363.28,363.91,365.40,357.84,360.05,353.49,350.61,,,340.26,335.84,338.46,339.67,337.83,345.42,348.32,347.06,350.82,355.11,358.31,352.49,353.45,345.41,333.21,335.18,335.02,335.08,335.64,339.81,353.93,360.76,374.57,376.68,380.01,390.33,382.66,387.02,314.75,306.88,319.44,335.75,344.62,354.75,354.31,360.38,358.12,361.32,366.08,362.44,360.00,359.18,360.64,372.82,364.32,379.76,384.56,385.70,391.78,383.72,404.17,L7
1999-12-07 22:12:53+00:00,306.00,315.98,323.86,433.92,430.83,425.24,424.65,417.40,410.93,407.33,404.58,406.07,399.86,397.24,398.72,388.95,383.07,380.66,378.83,376.66,373.99,369.65,368.27,365.10,361.68,361.69,351.30,349.50,343.44,344.62,332.30,335.60,338.05,335.84,338.46,339.88,343.99,352.46,352.76,349.28,351.02,353.50,356.41,351.07,348.61,341.57,330.91,333.18,334.78,334.87,335.55,340.31,351.40,357.73,369.57,373.95,379.37,393.45,386.53,389.31,320.59,311.28,321.32,335.44,342.29,353.02,352.27,355.87,355.45,358.64,363.75,362.21,360.02,358.74,360.96,370.43,361.66,374.80,381.84,384.73,394.77,387.51,405.19,L7
2000-04-13 22:12:18+00:00,311.59,319.21,323.48,434.35,431.23,426.78,425.08,417.38,413.54,409.56,407.42,407.00,400.15,401.56,400.97,391.44,385.80,383.61,383.04,379.51,374.69,369.22,367.91,362.84,356.75,357.47,349.04,347.61,344.49,344.36,338.92,341.11,342.75,344.76,345.55,343.77,347.11,354.93,354.12,351.36,352.57,352.38,355.04,351.01,348.94,343.57,335.72,338.19,338.72,339.06,339.02,343.36,352.21,358.54,368.98,374.01,378.90,392.01,387.78,392.20,321.88,312.85,323.70,336.25,341.25,351.63,352.49,356.53,358.57,363.18,368.65,366.03,364.17,362.30,363.88,370.73,363.75,374.21,381.90,384.30,393.31,389.73,408.91,L7
2000-05-31 22:11:54+00:00,314.86,327.54,331.38,428.19,426.49,422.45,418.97,409.73,409.32,404.85,403.49,401.32,395.49,397.38,395.53,391.97,388.38,388.58,393.80,385.92,375.45,365.73,369.35,362.62,353.17,353.50,344.63,341.54,334.90,339.93,338.92,341.11,342.86,342.81,341.71,345.81,350.19,353.77,350.24,344.78,354.31,349.66,351.76,349.53,344.43,341.73,338.23,341.19,342.42,343.04,342.40,346.90,350.49,356.31,363.39,371.33,377.78,393.69,392.89,397.38,318.54,308.74,315.49,336.75,337.88,348.52,350.67,352.69,359.03,365.03,371.21,369.62,368.34,365.42,367.12,368.63,363.17,368.65,379.25,382.90,394.83,395.75,413.65,L7
2000-08-03 22:11:07+00:00,310.88,327.38,333.26,428.09,425.41,425.40,422.15,415.52,417.81,410.77,406.70,402.94,399.63,397.81,395.63,394.84,396.00,393.86,403.34,395.87,378.48,365.82,363.30,355.56,350.31,351.36,350.82,348.62,340.39,341.28,353.08,353.76,349.56,344.36,341.60,346.38,348.64,348.40,347.33,346.28,358.22,350.86,347.89,351.63,350.20,352.80,358.62,358.78,350.53,351.63,349.45,352.48,354.63,360.96,367.20,374.19,377.50,387.71,391.52,400.88,311.74,306.41,316.88,338.28,337.71,343.83,354.60,358.71,369.94,386.16,388.69,377.50,376.63,372.98,372.64,371.60,370.00,372.44,382.11,383.00,388.92,396.39,420.07,L7
2000-08-19 22:11:01+00:00,310.88,327.38,333.26,428.87,426.62,427.06,423.00,418.12,420.62,413.12,410.89,404.64,400.75,398.74,396.15,395.76,397.68,397.00,406.94,398.96,383.63,368.31,366.41,359.87,351.46,351.00,348.62,349.16,342.52,343.27,351.56,355.32,351.22,345.99,343.92,348.90,350.98,349.27,346.71,345.95,355.41,350.33,348.94,352.33,349.76,356.05,361.04,362.04,350.53,351.63,349.45,352.48,354.63,360.96,367.20,374.19,377.50,387.71,391.52,400.88,311.79,305.87,316.84,335.21,336.37,344.12,355.82,358.35,374.39,388.13,391.43,377.50,376.63,372.98,372.64,371.60,370.00,372.44,382.11,383.00,388.92,396.39,420.07,L7
2000-11-07 22:10:17+00:00,327.14,343.40,344.20,427.46,425.21,424.61,420.65,416.30,416.76,408.78,405.52,399.56,396.44,390.63,389.44,389.18,393.36,396.27,405.89,401.75,386.43,368.63,363.83,357.97,353.12,348.63,343.37,345.73,337.72,339.93,347.49,352.74,349.19,343.77,339.99,342.50,345.50,343.71,344.81,342.39,350.59,348.13,345.92,350.67,346.61,354.65,359.98,360.67,349.36,342.53,327.71,339.96,343.53,346.82,348.88,351.05,352.03,368.22,379.63,383.60,306.88,303.93,313.11,330.98,333.70,341.42,354.71,354.54,372.15,387.17,390.17,377.86,368.38,350.03,359.72,359.91,356.29,353.93,358.98,356.62,369.45,382.73,398.84,L7
2001-01-10 22:10:27+00:00,363.56,364.12,393.46,430.50,428.97,428.06,423.84,422.35,420.60,414.08,409.64,403.44,400.34,395.66,393.61,391.10,393.55,395.83,401.25,397.53,387.64,379.41,376.27,370.71,365.16,359.21,352.47,352.35,346.98,341.90,343.62,348.85,349.74,346.72,342.81,342.28,345.90,345.04,346.47,345.26,349.36,348.42,348.22,350.20,347.34,350.06,355.60,357.10,352.40,349.92,345.58,348.15,351.15,357.65,363.06,367.56,373.05,385.65,391.11,396.42,308.31,306.01,316.49,331.09,334.91,343.99,353.82,354.81,366.89,383.01,386.91,380.32,375.29,368.26,368.48,368.26,365.53,368.17,375.47,378.13,386.84,393.87,413.21,L7
2001-01-26 22:10:30+00:00,365.48,362.83,376.39,425.43,424.49,423.37,418.22,416.14,413.64,408.09,403.28,397.89,395.31,390.60,388.54,385.14,386.73,389.06,394.32,390.85,383.08,377.88,375.81,371.91,367.83,361.84,352.70,351.39,348.25,340.83,342.24,346.12,347.90,345.03,341.32,341.92,343.33,341.33,342.50,340.84,344.28,343.36,343.70,345.10,342.59,345.22,349.81,350.59,345.28,347.87,348.08,349.15,351.32,355.24,359.53,363.11,368.37,379.69,388.46,392.16,304.82,301.96,311.75,325.95,329.91,339.58,348.67,350.14,361.40,376.88,380.50,374.19,373.02,370.70,369.57,368.79,363.39,364.74,371.00,373.65,380.93,391.17,412.21,L7
