dates,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043,satname
1999-08-21 21:47:44+00:00,332.99,323.56,325.53,321.26,318.22,319.78,327.42,347.72,358.04,349.79,353.83,352.92,346.37,354.55,356.49,358.87,351.13,343.57,331.98,335.25,337.89,320.64,323.19,335.23,335.14,329.45,310.32,321.99,331.42,321.26,316.11,312.89,309.71,306.65,312.38,313.80,301.64,301.64,310.52,316.39,301.42,294.76,294.63,309.86,L7
1999-08-28 21:53:35+00:00,334.12,320.55,321.28,321.75,317.54,317.35,328.55,345.11,357.78,349.89,351.69,353.13,348.21,354.49,354.81,357.26,350.79,343.11,332.89,336.22,336.52,323.67,325.28,337.79,336.51,330.52,313.11,324.43,331.61,322.33,316.69,310.25,305.81,304.40,312.91,314.16,299.10,300.91,311.40,317.25,303.38,297.56,297.10,310.69,L7
1999-09-22 21:47:48+00:00,336.77,318.99,321.04,323.15,320.58,316.63,331.56,353.28,363.23,354.11,356.21,355.67,352.26,355.22,355.99,359.23,350.12,344.69,338.52,338.12,336.19,325.87,330.68,338.01,339.10,332.53,316.43,329.38,337.61,326.83,324.60,313.43,306.39,309.21,319.43,316.57,302.43,304.52,313.84,317.04,305.23,299.59,301.32,314.04,L7
1999-09-29 21:53:40+00:00,335.51,318.06,319.11,321.17,319.74,316.48,332.67,354.23,365.25,354.26,355.56,354.64,351.57,352.22,351.20,355.99,346.95,342.55,337.60,335.88,332.06,324.53,328.93,335.49,336.59,330.31,314.06,327.56,336.35,327.24,325.45,313.10,306.19,309.54,318.99,315.35,302.45,304.88,311.88,314.96,304.37,298.71,301.00,311.79,L7
1999-10-24 21:47:44+00:00,336.27,318.10,318.59,321.45,320.89,320.24,335.93,355.12,366.92,358.19,358.74,355.94,350.73,350.44,350.57,356.13,347.75,343.55,337.78,336.75,333.37,326.02,328.96,335.27,337.56,330.04,314.11,326.59,335.56,328.80,326.82,314.34,305.55,308.22,318.13,314.62,302.78,306.19,313.22,314.60,304.24,299.18,301.49,310.77,L7
2000-01-19 21:53:25+00:00,336.48,318.79,317.62,320.74,320.51,321.24,336.38,355.32,368.59,361.22,360.71,357.67,352.50,352.33,351.83,357.08,348.53,342.76,337.44,336.74,332.62,326.10,329.14,334.05,336.64,328.58,312.89,325.57,334.38,328.62,326.94,315.04,306.39,308.26,318.42,313.84,302.37,305.48,310.86,312.29,304.11,299.80,301.99,310.34,L7
2000-05-03 21:47:07+00:00,340.61,324.81,320.12,319.91,320.60,328.06,340.11,355.44,374.00,370.07,365.31,359.65,358.99,353.90,358.05,360.43,351.25,339.61,337.78,337.81,337.13,334.55,329.78,328.88,331.18,321.70,305.98,320.05,328.17,331.38,327.89,322.13,313.72,313.65,319.98,309.96,300.32,301.94,299.05,300.78,303.46,302.92,304.45,308.20,L7
2000-05-10 21:53:10+00:00,338.57,324.19,318.90,319.23,323.36,330.52,341.49,355.63,375.33,370.37,366.13,361.01,357.69,353.57,357.44,359.34,351.04,339.05,336.21,338.75,339.82,338.15,334.89,333.72,335.44,326.49,310.23,324.45,330.79,331.71,330.26,323.46,313.20,311.74,317.39,308.31,301.16,303.84,303.21,308.67,304.63,300.90,303.13,308.44,L7
2000-05-19 21:46:55+00:00,336.94,320.00,316.44,316.35,323.66,331.73,343.04,356.79,377.45,371.26,366.13,361.01,357.69,353.57,357.44,359.34,351.04,339.05,336.21,338.75,339.82,338.15,334.89,333.72,335.44,326.49,310.23,324.45,330.79,331.71,330.26,323.46,313.20,311.74,317.39,308.31,301.16,303.84,303.21,308.67,304.63,300.90,303.13,308.44,L7
2000-05-26 21:52:36+00:00,337.67,321.81,318.80,319.76,325.99,334.14,345.42,358.67,378.97,373.22,366.58,360.69,357.73,354.63,359.21,361.03,352.20,340.25,336.30,339.41,340.89,339.51,334.80,334.60,337.08,328.39,310.86,324.36,331.87,334.22,333.00,324.04,313.48,313.54,318.40,308.40,297.17,305.03,307.03,308.56,306.33,301.72,302.18,309.37,L7
