dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2001-02-06 21:51:02+00:00,L7,355.96,343.76,337.62,332.26,338.13,339.53,351.15,365.60,391.02,379.78,367.46,367.89,360.04,358.79,362.52,369.64,363.72,359.85,360.38,361.24,354.30,351.80,350.52,351.23,350.74,342.06,325.00,340.76,347.83,350.21,349.40,342.18,332.03,322.87,330.23,327.73,323.29,325.69,321.50,325.43,320.78,325.51,322.86,329.37
2001-04-27 21:51:07+00:00,L7,332.64,318.36,310.54,305.79,314.96,317.85,331.62,344.07,362.56,356.45,348.15,342.07,339.10,339.00,338.20,338.43,332.10,320.64,321.19,321.57,323.20,314.60,313.30,318.75,318.01,303.76,286.61,299.93,308.20,310.04,310.11,299.82,291.45,292.34,295.67,289.23,283.84,291.59,288.10,286.19,286.60,285.97,282.70,296.68
2001-05-13 21:50:33+00:00,L7,331.92,317.35,311.58,309.33,307.82,312.24,328.42,339.70,353.43,348.47,345.29,346.06,349.53,345.15,342.53,341.86,331.93,324.75,320.91,316.73,318.23,318.05,317.54,318.49,317.67,302.96,290.60,302.46,304.65,312.78,315.08,293.35,280.23,293.42,298.57,290.78,276.36,290.69,291.75,284.87,281.86,281.91,283.71,296.99
2001-05-22 21:44:42+00:00,L7,338.90,326.08,320.98,323.03,326.84,327.96,339.13,362.28,370.87,355.81,354.10,353.49,353.12,350.61,357.08,357.19,345.17,344.55,336.93,336.54,342.29,333.78,336.47,335.24,327.97,313.57,298.23,313.30,322.20,332.04,332.79,313.33,286.50,298.23,309.94,293.98,288.77,304.89,303.97,304.00,298.05,295.52,299.22,303.99
2001-06-14 21:50:14+00:00,L7,323.23,315.02,314.52,318.84,323.65,325.74,328.32,355.27,383.46,373.15,366.83,356.99,354.12,356.57,362.44,361.35,351.56,340.80,333.55,339.22,329.07,329.76,331.01,332.20,326.40,315.15,301.03,312.92,332.05,330.25,328.58,318.98,300.11,303.87,308.69,298.12,282.52,309.44,311.79,300.16,303.40,303.24,300.02,306.17
2001-07-25 21:44:06+00:00,L7,316.91,305.18,304.65,309.40,307.84,311.28,328.13,348.64,361.01,351.62,341.59,336.84,325.44,336.26,337.56,331.50,325.88,321.75,320.57,314.54,312.04,307.80,316.03,325.75,319.56,299.10,286.25,299.14,306.35,304.95,304.60,283.90,277.24,291.85,299.19,289.38,267.97,280.31,283.35,287.71,289.74,286.82,277.78,288.45
2001-09-18 21:49:05+00:00,L7,351.30,328.90,321.92,326.15,328.01,335.64,350.35,363.69,378.18,370.49,359.62,356.94,356.51,368.18,364.69,357.83,349.73,352.48,354.09,348.81,348.37,325.17,323.26,330.76,334.72,327.56,309.20,326.58,337.01,328.61,326.21,321.27,313.16,323.13,325.73,318.87,312.86,308.46,307.96,321.38,311.58,306.28,312.26,320.88
2002-02-25 21:49:35+00:00,L7,338.91,320.31,320.66,319.49,318.92,329.51,344.56,357.59,381.83,384.35,382.68,371.76,368.19,366.85,373.92,377.17,367.77,365.87,360.99,360.06,353.97,345.23,339.19,340.62,346.84,339.74,327.02,338.72,351.66,331.07,329.65,331.50,325.76,321.04,330.31,328.35,319.66,318.67,317.93,317.90,315.16,315.15,327.70,324.75
2002-03-06 21:43:47+00:00,L7,308.41,296.97,298.05,298.43,302.18,308.63,318.65,333.67,355.70,354.05,354.24,346.94,340.30,348.67,359.46,362.12,348.85,336.29,336.47,332.23,330.67,320.27,317.63,316.54,323.51,311.75,293.74,309.99,317.36,309.07,310.17,307.31,306.70,302.76,307.96,297.36,292.91,293.30,291.83,293.82,293.21,289.23,290.43,302.22
2002-05-09 21:43:40+00:00,L7,329.95,319.96,316.18,309.14,317.92,329.31,343.13,361.10,382.98,374.54,378.75,370.90,360.66,356.37,361.77,364.09,359.46,359.09,349.53,344.56,342.24,332.60,324.08,329.53,333.72,323.92,308.38,322.96,333.34,330.40,324.03,318.08,303.01,302.89,309.69,299.07,287.88,291.87,297.10,299.63,292.91,287.63,290.23,305.26
