dates,satname,nzd0264-0000,nzd0264-0001,nzd0264-0002,nzd0264-0003,nzd0264-0004,nzd0264-0005,nzd0264-0006,nzd0264-0007,nzd0264-0008,nzd0264-0009,nzd0264-0010,nzd0264-0011,nzd0264-0012,nzd0264-0013,nzd0264-0014,nzd0264-0015,nzd0264-0016,nzd0264-0017,nzd0264-0018,nzd0264-0019,nzd0264-0020,nzd0264-0021,nzd0264-0022
1999-12-25 21:59:16+00:00,L7,344.03,329.71,311.96,304.68,302.96,312.35,318.79,321.73,318.09,319.76,322.86,323.58,324.23,331.24,328.96,327.77,316.72,335.97,322.78,306.90,315.97,325.70,341.35
2000-01-10 21:59:16+00:00,L7,341.38,336.72,328.66,332.96,315.12,332.23,340.74,331.20,325.79,332.14,340.47,333.56,324.28,326.69,335.59,355.24,311.58,344.85,338.60,324.16,332.29,344.84,345.08
2000-01-26 21:59:14+00:00,L7,389.15,367.74,353.52,335.72,327.05,328.16,345.02,355.84,352.61,352.09,348.66,348.91,338.75,343.51,349.23,357.78,346.35,359.69,340.49,326.24,316.38,326.56,348.08
2000-03-14 21:58:59+00:00,L7,355.25,351.19,346.62,346.46,326.27,343.98,347.95,343.26,341.41,346.44,344.44,346.31,305.33,294.72,311.36,282.85,350.90,363.90,347.38,334.44,315.88,338.88,353.49
2000-03-30 21:58:57+00:00,L7,339.63,308.64,313.65,316.98,270.79,335.31,347.54,344.69,347.07,276.86,300.07,252.74,296.39,279.12,275.91,271.61,307.87,347.35,340.98,325.83,295.42,339.49,350.45
2000-07-04 21:58:02+00:00,L7,271.43,280.01,273.85,,249.88,288.99,239.62,192.13,204.35,,155.81,213.46,263.13,269.03,238.78,252.74,306.99,320.81,335.65,,258.64,321.77,331.07
2000-08-05 21:57:32+00:00,L7,568.38,574.36,582.85,,254.47,272.13,266.36,187.76,253.90,574.06,572.02,570.59,571.67,578.92,577.47,578.77,580.77,588.65,587.78,598.61,263.07,334.57,342.64
2000-08-21 21:57:26+00:00,L7,572.72,575.96,580.47,582.11,585.46,586.40,334.76,337.91,358.42,574.96,574.58,570.89,579.56,304.97,322.51,574.79,580.59,586.61,595.93,341.68,345.40,360.85,370.32
2000-11-09 21:56:45+00:00,L7,354.99,339.60,327.69,330.04,326.45,323.87,328.76,328.98,325.96,325.87,321.87,323.58,325.86,324.28,335.74,347.25,317.14,338.45,326.59,313.65,315.83,327.79,333.12
2000-11-25 21:56:47+00:00,L7,328.66,324.77,309.81,302.15,293.07,301.59,314.01,317.22,315.83,315.50,319.78,323.85,321.38,325.68,326.74,327.70,312.80,329.47,313.79,299.33,304.67,320.67,329.34
2001-03-17 21:56:40+00:00,L7,365.94,352.58,332.57,332.00,333.43,346.03,345.57,352.11,342.66,347.75,353.18,340.61,287.17,293.53,304.39,281.16,310.21,366.16,355.27,335.61,338.00,337.94,350.57
2001-08-24 21:55:12+00:00,L7,566.49,569.16,573.91,575.37,576.07,575.97,570.39,569.27,570.67,570.59,570.26,571.83,570.59,572.63,572.40,573.48,578.09,590.07,593.69,591.09,593.62,593.93,596.34
2001-09-25 21:54:52+00:00,L7,368.87,355.25,345.13,351.57,353.57,344.04,355.29,358.26,345.51,349.57,352.99,345.99,309.21,307.72,355.20,285.54,316.13,381.77,350.07,328.84,342.21,354.67,369.27
2002-02-16 21:55:18+00:00,L7,351.94,345.98,340.72,331.72,332.05,338.15,334.12,343.32,343.57,323.57,339.72,343.54,311.01,310.21,323.27,312.35,316.68,339.53,342.27,336.30,340.73,348.20,353.97
