dates,nzd0264-0000,nzd0264-0001,nzd0264-0002,nzd0264-0003,nzd0264-0004,nzd0264-0005,nzd0264-0006,nzd0264-0007,nzd0264-0008,nzd0264-0009,nzd0264-0010,nzd0264-0011,nzd0264-0012,nzd0264-0013,nzd0264-0014,nzd0264-0015,nzd0264-0016,nzd0264-0017,nzd0264-0018,nzd0264-0019,nzd0264-0020,nzd0264-0021,nzd0264-0022,satname
1999-12-25 21:59:16+00:00,372.03,353.04,339.96,339.68,330.96,340.35,338.79,345.06,333.65,333.76,338.42,346.91,338.23,342.91,346.46,347.77,334.22,355.97,346.11,334.90,335.97,341.26,354.08,L7
2000-01-10 21:59:16+00:00,364.50,351.38,342.11,346.07,330.84,344.09,345.34,344.63,334.05,336.85,343.78,346.74,335.15,338.05,345.90,357.07,327.77,355.98,348.86,337.33,339.70,347.38,353.12,L7
2000-01-26 21:59:14+00:00,364.19,349.72,337.38,331.95,321.04,330.25,339.13,341.26,335.50,337.66,340.67,340.35,332.09,336.31,341.68,351.21,328.63,351.12,338.96,325.10,325.83,335.70,347.56,L7
2000-03-14 21:58:59+00:00,354.95,344.26,332.69,326.83,315.35,326.68,336.34,335.93,333.09,336.36,337.72,336.01,321.90,323.00,329.72,351.21,329.82,349.31,335.23,320.44,318.34,332.61,345.86,L7
2000-03-30 21:58:57+00:00,351.01,336.40,328.00,323.76,305.56,327.53,337.95,336.94,335.40,336.36,329.70,336.01,316.36,313.86,318.41,351.21,324.88,348.29,335.65,320.63,313.13,333.50,346.38,L7
2000-07-04 21:58:02+00:00,335.93,325.99,319.82,319.78,294.38,322.29,337.74,334.92,335.83,337.22,327.52,332.37,303.86,301.18,300.02,352.93,322.59,344.86,337.75,317.07,301.26,332.40,344.07,L7
2000-08-05 21:57:32+00:00,319.70,311.28,308.97,311.47,279.91,320.36,336.17,330.48,335.24,332.44,313.25,322.98,287.08,279.96,273.85,,320.42,342.31,339.34,313.94,276.61,328.51,340.18,L7
2000-08-21 21:57:26+00:00,319.70,311.28,308.97,311.47,279.91,320.36,328.85,324.95,337.63,332.44,313.25,322.98,287.08,283.21,273.85,,320.42,342.31,339.34,313.58,286.25,331.78,343.59,L7
2000-11-09 21:56:45+00:00,296.63,333.31,299.05,,275.08,334.63,332.62,334.45,342.86,341.47,339.20,349.58,275.73,286.25,254.53,369.54,329.69,349.77,354.62,328.87,295.31,335.91,344.01,L7
2000-11-25 21:56:47+00:00,296.63,346.35,299.05,,275.08,342.68,340.04,344.59,344.44,342.79,345.38,360.55,275.73,286.25,254.53,369.05,335.98,356.63,356.90,338.09,305.35,339.22,346.28,L7
2001-03-17 21:56:40+00:00,,356.98,308.97,302.50,309.83,345.43,344.88,350.77,340.15,340.51,343.61,360.55,275.37,283.70,289.64,369.05,342.60,360.12,349.88,350.69,334.93,340.80,347.49,L7
2001-09-25 21:54:52+00:00,340.47,331.58,316.73,316.07,325.17,315.64,335.00,334.59,329.73,335.37,337.21,,295.01,295.89,337.45,,,361.48,326.40,,321.92,338.89,356.36,L7
2002-02-16 21:55:18+00:00,351.21,342.94,333.73,330.14,333.61,331.89,338.13,343.12,339.43,331.97,341.25,351.87,305.51,305.13,333.49,,322.93,354.08,338.50,346.30,334.89,346.32,357.44,L7
2002-10-14 21:54:07+00:00,324.53,321.65,,,302.55,,315.94,314.76,310.07,316.86,320.83,314.09,310.68,299.37,337.30,337.99,338.54,341.95,318.05,298.39,309.76,319.40,329.07,L7
2002-12-01 21:54:40+00:00,324.53,336.79,343.23,348.51,302.55,344.66,330.06,332.52,327.76,326.62,328.45,329.49,323.52,299.37,341.00,348.87,333.91,348.37,333.59,315.10,319.49,331.17,338.70,L7
2003-02-03 21:55:01+00:00,314.30,336.79,343.23,348.51,282.22,319.06,330.06,332.52,327.76,326.62,328.45,329.49,309.06,291.11,341.00,331.76,328.35,344.11,337.05,315.10,319.49,331.17,338.70,L7
2003-02-19 21:55:06+00:00,309.94,324.66,343.23,348.51,281.17,306.40,330.06,332.52,327.76,326.62,328.45,329.49,301.30,285.60,341.00,318.16,328.35,344.11,337.05,306.64,319.49,331.17,338.39,L7
2003-03-07 21:55:10+00:00,309.94,326.73,341.10,339.75,282.90,305.33,331.81,333.40,323.71,319.17,323.14,329.49,302.88,289.05,341.00,312.25,325.00,345.60,339.05,310.38,319.04,335.24,341.97,L7
2003-04-24 21:55:10+00:00,302.64,328.42,341.10,339.75,276.35,299.98,331.60,342.72,330.53,320.33,324.30,344.88,300.94,281.91,344.70,294.68,313.93,339.85,341.91,308.60,323.67,335.07,344.42,L7
2003-07-21 21:42:57+00:00,302.64,316.66,338.96,330.98,276.35,288.81,325.31,335.15,315.61,304.28,312.52,,289.12,276.79,,271.44,303.66,327.30,337.74,300.86,318.14,316.83,338.53,L5
2003-07-29 21:54:53+00:00,310.57,321.06,346.60,330.98,284.69,296.05,314.34,335.15,315.61,301.67,312.52,267.71,289.50,276.79,,271.44,310.83,333.44,343.96,300.86,318.14,316.83,343.16,L7
2003-11-18 21:55:03+00:00,326.75,327.00,335.51,,304.22,317.27,306.71,311.90,316.86,311.76,,267.71,306.04,256.30,334.90,243.56,317.87,335.31,338.15,286.46,307.68,303.85,339.18,L7
2004-03-01 21:45:26+00:00,310.72,321.14,315.39,315.52,288.04,300.50,319.51,314.83,314.27,311.79,302.93,269.09,308.18,287.21,314.86,277.74,320.88,338.34,323.42,296.00,296.27,312.74,330.78,L5
2004-03-09 21:55:39+00:00,310.72,333.22,329.12,340.77,297.79,300.50,328.08,325.50,314.27,311.79,315.68,285.51,310.21,297.98,320.65,290.68,324.34,342.92,334.11,311.24,296.52,312.74,330.78,L7
2004-03-17 21:45:32+00:00,316.15,331.41,330.68,337.32,297.78,303.86,327.19,327.08,311.41,307.06,313.64,282.81,308.05,296.90,316.38,294.79,325.82,342.84,336.12,313.38,296.50,311.27,333.13,L5
2004-03-25 21:55:42+00:00,324.25,330.35,327.81,326.39,293.11,303.86,327.19,332.25,319.80,300.32,312.27,277.91,305.89,296.67,313.03,290.46,323.31,339.23,336.12,313.38,293.84,316.64,336.00,L7
2004-04-02 21:45:42+00:00,326.00,330.48,329.82,313.78,295.72,308.14,327.85,329.06,316.33,299.36,309.66,274.06,303.16,297.87,312.69,294.82,325.83,341.52,338.35,318.66,295.46,315.72,335.93,L5
2004-04-18 21:46:13+00:00,329.31,333.59,334.41,305.21,299.23,316.73,330.27,326.17,315.39,301.61,311.16,273.23,301.44,297.22,310.46,297.70,328.44,344.33,346.42,327.22,296.73,322.27,340.82,L5
2004-05-20 21:47:08+00:00,326.85,332.61,337.18,305.21,298.51,316.72,325.73,328.55,315.09,295.11,311.16,269.50,294.60,297.53,300.76,299.30,330.07,345.49,355.50,335.37,294.85,324.25,343.49,L5
2004-06-05 21:47:36+00:00,325.47,334.67,333.69,305.21,299.96,315.24,324.04,328.63,314.29,294.67,310.23,269.50,297.37,299.76,300.76,304.55,327.26,348.56,357.65,335.37,292.62,322.01,340.67,L5
2004-06-21 21:48:04+00:00,326.95,334.67,329.97,303.80,297.19,310.96,319.09,328.63,305.95,294.67,306.41,269.50,297.69,299.43,298.69,303.71,325.98,346.00,353.96,335.37,290.95,318.97,339.36,L5
2004-06-29 21:55:27+00:00,326.95,334.67,329.97,303.80,297.19,310.96,319.09,328.63,303.46,293.88,302.31,264.88,294.61,296.66,290.72,300.65,322.81,343.55,352.71,335.37,290.95,319.35,339.72,L7
2004-07-07 21:48:33+00:00,326.95,334.67,329.97,303.80,297.19,310.96,319.09,328.63,303.46,293.88,302.31,264.88,288.90,292.37,281.13,294.72,319.21,340.12,349.20,335.37,285.79,316.42,338.24,L5
2004-07-23 21:48:56+00:00,326.95,334.67,329.97,303.80,297.19,310.96,319.09,328.63,303.46,293.88,302.31,264.88,284.66,289.76,274.98,292.72,316.82,340.05,347.74,335.37,280.50,311.45,337.26,L5
2004-08-16 21:55:14+00:00,328.69,336.84,329.97,298.60,298.27,310.96,319.86,324.48,303.46,293.88,298.92,266.18,285.10,291.02,275.61,293.78,318.65,342.04,349.61,335.49,281.55,311.45,337.26,L7
2004-09-09 21:50:07+00:00,333.56,335.20,326.70,284.76,295.87,310.73,314.58,320.89,302.03,292.44,296.58,265.42,284.27,291.89,271.97,297.30,319.01,341.44,349.80,331.64,281.46,312.70,337.71,L5
2004-09-25 21:50:31+00:00,334.50,337.83,326.99,282.34,299.34,313.05,316.00,315.47,297.62,296.31,295.27,267.66,283.55,292.88,270.95,298.99,319.53,343.39,349.97,333.31,282.17,311.79,337.73,L5
2004-11-20 21:55:25+00:00,334.72,337.00,312.39,293.03,295.29,302.43,313.76,318.43,294.04,295.08,295.31,282.35,285.05,295.84,270.23,299.10,314.37,338.89,339.97,312.81,276.63,302.78,332.74,L7
2004-12-06 21:55:35+00:00,334.23,333.98,313.19,292.32,292.46,298.76,312.81,315.73,294.38,299.52,296.18,284.69,282.75,297.27,270.23,296.09,313.94,334.48,332.07,305.20,277.41,301.30,332.25,L7
2005-01-31 21:52:45+00:00,334.50,333.81,320.28,295.62,299.74,307.03,319.09,315.15,311.69,306.14,306.44,296.57,303.63,319.03,316.47,320.58,325.27,343.50,334.88,303.22,294.18,312.25,333.58,L5
2005-02-08 21:55:59+00:00,334.50,333.81,320.28,295.62,307.74,307.03,324.99,321.89,317.83,312.13,310.68,296.57,303.63,319.03,316.47,327.00,325.27,343.50,341.18,303.22,294.18,312.25,338.47,L7
2005-02-24 21:56:05+00:00,338.38,335.60,329.61,302.29,311.56,314.20,329.01,329.94,319.83,313.96,317.72,300.57,310.39,321.51,327.22,330.40,326.23,343.44,340.34,296.64,299.76,312.25,341.69,L7
2005-03-04 21:53:16+00:00,338.38,330.12,329.61,298.85,311.56,314.20,329.01,327.72,317.04,311.05,315.54,300.57,310.39,316.53,327.22,330.40,321.45,343.44,340.34,293.58,299.76,308.16,340.18,L5
2005-03-12 21:56:08+00:00,341.70,332.03,333.39,298.85,319.57,323.95,336.50,331.17,320.51,315.63,318.09,304.60,313.89,316.72,331.16,330.52,319.55,344.87,340.14,293.79,299.85,305.27,340.98,L7
2005-05-23 21:53:48+00:00,344.47,330.54,342.25,292.88,326.63,328.64,339.69,332.78,320.97,316.18,318.61,306.40,319.04,313.43,338.12,338.19,315.83,344.33,345.45,282.12,300.04,300.58,340.21,L5
2005-08-03 21:55:49+00:00,356.41,329.90,344.46,283.82,340.43,349.22,356.06,342.20,324.27,312.02,322.59,318.97,333.06,303.85,336.23,365.53,323.61,352.19,362.39,278.26,307.19,316.70,346.82,L7
