dates,nzd0515-0000,nzd0515-0001,nzd0515-0002,nzd0515-0003,nzd0515-0004,nzd0515-0005,nzd0515-0006,nzd0515-0007,nzd0515-0008,nzd0515-0009,nzd0515-0010,nzd0515-0011,nzd0515-0012,nzd0515-0013,nzd0515-0014,nzd0515-0015,nzd0515-0016,nzd0515-0017,nzd0515-0018,nzd0515-0019,nzd0515-0020,nzd0515-0021,nzd0515-0022,nzd0515-0023,nzd0515-0024,nzd0515-0025,nzd0515-0026,nzd0515-0027,nzd0515-0028,nzd0515-0029,nzd0515-0030,nzd0515-0031,nzd0515-0032,nzd0515-0033,nzd0515-0034,nzd0515-0035,nzd0515-0036,nzd0515-0037,nzd0515-0038,nzd0515-0039,nzd0515-0040,nzd0515-0041,nzd0515-0042,nzd0515-0043,nzd0515-0044,satname
1999-08-17 22:13:37+00:00,319.88,298.67,302.27,309.23,308.38,311.63,325.20,329.56,329.78,331.45,324.72,323.81,336.70,329.43,328.91,335.78,330.25,322.92,339.25,340.33,342.06,345.90,339.61,324.14,315.08,306.99,315.11,318.04,322.79,322.97,319.68,326.94,323.34,321.38,315.61,318.88,312.33,336.67,362.49,371.84,367.27,352.78,350.14,349.08,358.32,L7
1999-09-18 22:13:39+00:00,319.90,301.75,302.76,308.96,304.97,309.94,325.55,327.50,324.66,325.60,323.22,324.02,329.72,324.20,320.88,330.10,332.84,325.98,342.88,338.95,339.84,341.70,338.38,318.37,309.51,305.52,310.65,309.55,311.77,318.74,322.93,325.27,323.33,317.96,309.93,307.22,303.06,322.61,351.51,359.50,354.79,342.65,344.44,346.03,357.17,L7
1999-09-27 22:07:36+00:00,317.68,297.60,304.41,308.67,304.71,308.38,324.14,329.03,325.48,325.00,322.87,324.54,327.15,321.79,317.01,323.62,328.45,325.08,340.03,340.91,341.08,339.47,337.83,314.79,305.23,302.13,307.96,302.74,305.49,315.88,318.90,319.30,318.31,310.72,305.35,303.77,297.51,319.28,348.36,354.52,350.59,336.21,337.83,340.41,347.24,L7
1999-12-07 22:13:41+00:00,322.39,302.82,309.29,311.94,308.19,311.56,321.81,328.51,324.99,326.76,324.31,325.47,326.77,320.13,315.18,327.80,333.13,327.88,339.82,340.31,341.44,339.84,336.61,316.44,308.49,304.26,308.15,303.99,311.11,321.00,321.60,321.30,321.71,317.40,312.25,310.07,301.62,319.28,348.36,354.52,350.59,336.21,337.83,340.41,347.24,L7
1999-12-23 22:13:39+00:00,322.39,302.82,309.29,311.94,308.19,311.56,321.81,328.51,324.99,326.76,324.31,325.47,326.77,320.13,315.18,327.80,333.13,327.88,339.82,340.31,342.52,341.33,338.12,318.03,308.59,305.07,309.02,304.09,311.63,319.97,324.34,323.25,322.23,320.65,314.09,313.43,303.79,319.28,348.36,357.57,353.56,335.62,335.64,337.87,347.24,L7
2000-02-18 22:07:16+00:00,327.81,307.14,312.30,314.86,310.43,314.29,322.37,330.09,323.90,326.14,324.62,326.62,323.53,318.33,313.69,328.42,334.66,331.83,338.56,342.34,344.39,340.75,337.36,317.31,307.67,304.49,308.64,302.90,309.89,319.16,325.71,324.64,325.02,323.15,317.02,316.32,305.22,320.18,344.60,352.81,349.00,329.89,330.81,334.13,341.70,L7
2000-05-08 22:06:44+00:00,336.85,315.26,318.93,320.57,319.54,322.61,323.08,333.55,326.67,333.32,329.69,330.86,327.55,321.84,318.10,337.94,341.33,339.80,340.35,346.55,349.13,346.22,338.68,323.56,315.77,311.41,313.46,311.08,320.00,324.79,331.75,332.51,332.89,334.43,328.14,327.95,316.84,335.69,352.54,362.27,361.10,341.63,348.06,361.29,415.18,L7
2000-05-15 22:12:54+00:00,336.78,314.66,319.18,320.05,320.26,324.34,325.66,334.89,327.91,334.07,330.73,331.38,329.10,322.61,319.57,336.24,340.98,340.60,343.81,348.72,351.61,347.77,339.97,325.29,318.14,313.97,315.35,313.17,320.42,326.71,333.33,334.36,335.13,334.29,328.57,327.30,316.92,333.17,355.07,363.20,361.10,344.68,355.20,370.88,414.74,L7
2000-06-25 22:06:19+00:00,337.11,314.37,319.55,322.76,323.22,327.96,332.13,339.90,332.77,336.95,334.04,334.11,331.08,328.20,325.42,337.46,341.38,343.76,348.39,354.94,358.53,351.91,343.64,324.03,320.92,318.76,319.13,317.87,320.15,329.15,335.70,341.89,344.36,337.87,331.21,326.17,317.87,334.06,358.47,367.63,364.90,357.21,374.15,396.14,411.54,L7
2000-07-27 22:05:48+00:00,337.11,314.37,319.55,322.76,320.91,325.53,335.55,339.90,337.59,337.58,334.59,335.39,332.22,327.96,324.39,338.13,340.50,340.25,348.86,354.55,356.73,349.20,338.86,320.98,317.76,319.36,319.36,317.50,322.10,330.10,336.69,341.81,343.91,337.76,331.95,326.25,317.93,334.04,359.95,370.76,367.31,360.01,376.31,396.67,405.74,L7
