514071.840,4339360.618,1.082

514072.091,4339360.504,1.176

514075.543,4339358.845,1.668

514078.574,4339356.751,1.715

514083.819,4339354.587,1.28

514087.326,4339352.899,1.165

514090.409,4339351.283,1.012

514093.630,4339349.046,0.955

514096.468,4339347.860,0.944

514097.778,4339347.076,0.892

514099.723,4339346.150,0.936

514103.233,4339344.618,0.973

514105.840,4339343.277,0.977

514107.791,4339342.356,1.008

514111.532,4339340.339,0.916

514114.170,4339338.964,0.991

514115.517,4339338.364,1.086

514117.673,4339337.305,1.104

514120.238,4339335.848,1.013

514123.003,4339334.565,1.094

514125.021,4339333.460,1.164

514126.728,4339332.504,1.197

514129.495,4339331.305,1.132

514132.166,4339329.675,1.074

514134.255,4339328.757,0.948

514135.187,4339328.260,0.856

514137.065,4339327.180,0.443

514139.922,4339325.879,-0.077

514141.312,4339325.214,-0.262

514141.782,4339325.033,-0.368

514142.356,4339324.623,-0.38

514143.006,4339324.265,-0.553

514144.843,4339323.195,-0.454

514146.538,4339322.795,-0.393

514149.618,4339321.072,-0.516

514152.464,4339319.661,-0.644

514156.226,4339317.594,-0.717

514159.123,4339316.069,-0.74

514164.678,4339313.818,-0.873

514167.974,4339311.575,-0.997
